Enroll,Rate,Level,NumberOfCourse,Framework
195,3.9,,1,CORDOVA
536,3.1,,1,EJS
2,4.9,,1,RUBY ON RAILS
9,4.2,,1,RUBY ON RAILS
7,4.5,,1,RUBY ON RAILS
2,4.8,,1,RUBY ON RAILS
24,4.4,,1,WOOCOMMERCE
12,4.0,,1,JQUERY
1,3.7,,1,JQUERY
851,4.0,,1,JQUERY
7,4.5,,1,JQUERY
1,3.9,,1,JQUERY
5,4.4,,1,JQUERY
25,4.1,,1,JQUERY
19,4.7,,1,BOOTSTRAP
7,3.6,,1,BOOTSTRAP
12,4.0,,1,BOOTSTRAP
24,4.5,,1,BOOTSTRAP
2,4.9,,1,BOOTSTRAP
23,4.4,,1,BOOTSTRAP
9,4.2,,1,BOOTSTRAP
7,4.5,,1,BOOTSTRAP
1,3.9,,1,BOOTSTRAP
236,4.5,,1,BOOTSTRAP
5,4.4,,1,BOOTSTRAP
15,4.0,,1,BOOTSTRAP
25,4.1,,1,BOOTSTRAP
660,3.7,,1,SELENIUM WEBDRIVER
3,4.0,,1,SELENIUM WEBDRIVER
34,4.4,,1,SELENIUM WEBDRIVER
1,4.2,,1,SELENIUM WEBDRIVER
660,3.7,,1,SELENIUM
3,4.0,,1,SELENIUM
34,4.4,,1,SELENIUM
649,3.7,,1,SELENIUM
285,3.2,,1,SELENIUM
145,3.7,,1,SELENIUM
1,4.2,,1,SELENIUM
285,3.2,,1,WEBDRIVER
1,4.2,,1,WEBDRIVER
1,4.2,,1,SELENIUM RC
38,2.9,,1,MVC PATTERN
446,3.6,,1,ROBOGUICE
63,4.5,,1,TESTNG
34,4.4,,1,TESTNG
285,3.2,,1,TESTNG
1,1.6,,1,JUNIT
285,3.2,,1,JUNIT
5,4.4,,1,ASP.NET
5,4.4,,1,NET CORE
5,4.4,,1,ENTITY FRAMEWORK CORE
5,4.4,,1,ASP .NET MVC 5
5,4.4,,1,ASP.NET MVC
5,4.4,,1,ASP.NET MVC5
5,4.4,,1,ASP .NET CORE 2.0 MVC
5,4.4,,1,EF CORE 2.0
5,4.4,,1,.NET CORE 2.0
5,4.4,,1,NET CORE 2.0
5,4.4,,1,EF CORE
5,4.4,,1,.NET
5,4.4,,1,BOOTSTRAP3
5,4.4,,1,EF
5,4.4,,1,ASP.NET CORE
5,4.4,,1,ENTITY FRAMEWORK
5,4.4,,1,.NET CORE
5,4.4,,1,BOOTSTRAP4
5,3.9,,1,ZK
1,3.9,,1,ANGULAR FORMS
1,3.9,,1,NGMOCK
1,3.9,,1,ANGULARJS
7,4.5,,1,ANGULAR
1,3.9,,1,ANGULAR
1,3.7,,1,J-QUERY
23,4.4,,1,TWITTER BOOTSTRAP
9,4.2,,1,TWITTER BOOTSTRAP
107,4.3,,1,TWITTER BOOTSTRAP 3
107,4.3,,1,TWITTER BOOTSTRAPTHE
649,3.7,,1,TESTCOMPLETE
649,3.7,,1,PROTRACTOR
65,3.7,,1,VOLLEY
24,4.5,,1,HIBERNATE
24,4.5,,1,WEBJARS
24,4.5,,1,SPRING SECURITY
1,1.6,,1,SPRING
24,4.5,,1,SPRING
24,4.5,,1,USE SPRING SECURITY
24,4.5,,1,SPRING MVC
24,4.5,,1,LOG4J
12,4.0,,1,CAKEPHP
12,4.0,,1,KICKSTART
12,4.0,,1,CODEIGNITER
12,4.0,,1,CODEIGNITERS
431,2.8,,1,UNITY
10,4.1,,1,UNITY
1,3.6,,1,UNITY
862,3.6,,1,UNITY
1,3.5,,1,UNITY
1,4.5,,2,UNITY
3,4.0,,1,UNITY
3,4.1,,1,UNITY
172,4.1,,1,UNITY
226,4.3,,1,UNITY
342,4.6,,1,UNITY
233,1.6,,1,UNITY
950,3.9,,1,UNITY
170,4.3,,1,UNITY
8,4.2,,1,UNITY
780,4.7,,1,UNITY
1,4.6,,1,UNITY
1,4.5,,1,UNIT
34,4.4,,1,CUCUMBER
34,4.4,,1,SELENIUM WEBDRIVERX
34,4.4,,1,SAUCE LABS
660,3.7,,1,SELENIUM GRID
34,4.4,,1,SELENIUM GRID
63,4.5,,1,REST HYBRID FRAMEWORK
2,3.2,,1,AQUERY
1,1.6,,1,ANDROID GRAPHICS
1,1.6,,1,ACTION BAR SHERLOCK
1,1.6,,1,ROBOELECTRIC
1,1.6,,1,ANDROID SUPPORT�V4
1,1.6,,1,ANDROID SOUNDPOOL
1,1.6,,1,STARTACTUVITYFORRESULT
1,1.6,,1,ONACTIVITYRESULT
146,3.8,,1,FIREBASE
146,3.8,,1,MYSQL
0,4.3,,1,MYSQL
126,4.2,,1,MYSQL
4,4.3,,1,MYSQL
136,3.3,,1,MYSQL
862,3.6,,1,MYSQL
135,4.6,,1,MYSQL
19,4.5,,1,MYSQL
288,4.6,,1,MYSQL
550,4.3,,1,MYSQL
1,4.4,,1,MYSQL
558,4.4,,1,MYSQL
1,4.1,,1,SQLITE
146,3.8,,1,SQLITE
297,3.0,,1,UNREAL ENGINE
0,4.3,,1,UNREAL ENGINE
126,4.2,,1,MS SQL SERVER
126,4.2,,1,MSSQL
126,4.2,,1,SQL SERVER MANAGEMENT STUDIO
4,4.3,,1,XAMPP
4,4.3,,1,PHPMYADMIN
43,4.5,,1,JIRA
394,3.7,,1,JIRA
2,4.5,,2,JIRA
152,3.6,,1,JIRA
10,4.1,,1,GIT
24,4.5,,1,GIT
2,4.5,,1,GIT
2,4.5,,1,JENKINS
152,3.6,,1,GITLAB
342,4.6,,1,VISUAL STUDIO
0,3.9,,1,VISUAL STUDIO
0,4.2,,1,VISUAL STUDIO
2,4.7,,1,VISUAL STUDIO
0,0.0,Basic,1,JQUERY
24,4.5,,1,TRAVIS
24,4.5,,1,POSTMAN
43,4.5,,1,BUGZILLA
24,4.1,,1,ANDROID STUDIO
418,3.7,,1,ANDROID STUDIO
2,3.7,,1,ANDROID STUDIO
23,4.6,,1,ANDROID STUDIO
8,4.2,,1,ANDROID STUDIO
21,3.4,,1,ANDROID STUDIO
18,2.9,,1,ANDROID STUDIO
3,3.8,,1,VUFORIA
1,3.6,,1,UNITY3D
3,3.8,,1,UNITY3D
8,4.2,,1,LIBGDX
1,4.5,,1,BABYLONJS
237,4.4,,1,UNREAL
348,4.7,,1,STENCYL
24,4.1,,1,XCODE
550,4.3,,1,XCODE
1,3.6,,1,XCODE
2,3.1,,1,SQL SERVER
519,4.4,,1,SQL SERVER
13,4.5,,1,SQL SERVER
7,4.3,,1,SQL SERVER
7,4.0,,1,SQL SERVER
4,4.5,,1,SQL SERVER
195,4.3,,1,SQL SERVER
2,4.3,,1,SQL SERVER
1,3.6,,1,SQL SERVER
909,4.5,,1,SQL SERVER
22,4.7,,1,SQL SERVER
17,4.5,,1,SQL SERVER
17,4.5,,1,SQLSERVER AGENT
818,3.8,,1,REPORTING SERVICES
7,4.3,,1,MICROSOFT SQL SERVER
2,4.0,,1,MICROSOFT SQL SERVER
8,4.4,,1,MICROSOFT SQL SERVER
7,4.3,,1,SSIS
7,4.0,,1,SSIS
4,4.5,,1,SSIS
3,4.2,,1,SSIS
2,4.0,,1,SSIS
8,4.4,,1,SSIS
558,4.4,,1,TABLEAU
198,4.5,,1,TABLEAU
361,4.1,,1,TABLEAU
1,4.2,,1,POWER BI
27,4.4,,1,POWER BI
367,4.6,,1,POWER BI
361,4.1,,1,POWER BI
635,4.2,,1,SQL DEVELOPER
1,4.4,,1,SQL DEVELOPER
16,4.3,,1,SQL DEVELOPER
22,4.7,,1,SQL DEVELOPER
7,4.0,,1,SSMS
1,5.0,,1,SSMS
22,4.7,,1,SSMS
1,3.7,,1,ORACLE DATABASE
1,4.5,,1,ORACLE DATABASE
7,4.7,,1,ORACLE DATABASE
1,4.2,,1,ORACLE DATABASE
1,4.8,,1,ORACLE DATABASE
2,4.5,,1,ORACLE DATABASE
1,4.4,,1,ORACLE DATABASE
2,4.6,,1,ORACLE DATABASE
16,4.3,,1,ORACLE DATABASE
3,4.2,,1,ORACLE DATABASE
22,4.7,,1,ORACLE DATABASE
1,5.0,,1,SQL SERVER( MICROSOFT SQL SERVER)
2,4.0,,1,SQL SERVER INTEGRATION SERVICES
2,4.0,,1,SQL SERVER MASTER DATA SERVICES
2,4.0,,1,SQL SERVER DATA QUALITY SERVICES
7,4.0,,1,SSAS
