JobCount,Framework,Time
1,RUBY ON RAILS,2024-01-14
1,REACT,2024-01-14
1,REACT NATIVE,2024-01-14
1,UNIT,2024-01-14
2,MYSQL,2024-01-14
1,UNIT,2024-01-14
1,DJANGO,2024-01-14
1,UNIT,2024-01-14
2,DATABASE,2024-01-14
1,JENKINS,2024-01-14
1,GIT,2024-01-14
1,ELASTICSEARCH,2024-01-14
1,LINUX,2024-01-14
1,ELASTICSEARCH,2024-01-14
1,DATABASE,2024-01-14
1,LINUX,2024-01-14
1,MYSQL,2024-01-14
1,TABLEAU,2024-01-14
1,POWER BI,2024-01-14
1,BUSINESS INTELLIGENCE,2024-01-14
1,FLUTTER,2024-01-14
1,POSTGRESQL,2024-01-14
1,DATABASE,2024-01-14
1,REQUESTS,2024-01-14
1,XCODE,2024-01-14
1,GIT,2024-01-14
1,POSTGRESQL,2024-01-14
1,DATA ANALYSIS,2024-01-14
1,SPARK,2024-01-14
2,BUSINESS INTELLIGENCE,2024-01-09
2,POWER BI,2024-01-09
2,MYSQL,2024-01-09
2,DATA ANALYSIS,2024-01-09
2,MICROSOFT EXCEL,2024-01-09
2,EXCEL,2024-01-09
2,MYSQL,2024-01-09
2,POWER BI,2024-01-09
2,BUSINESS INTELLIGENCE,2024-01-09
1,BUSINESS INTELLIGENCE,2024-01-08
1,DATABASE,2024-01-14
2,REQUESTS,2024-01-14
2,ANGULAR,2024-01-14
2,REACT,2024-01-14
1,REQUESTS,2024-01-14
1,ANGULAR,2024-01-14
1,REACT,2024-01-14
1,PHOTOSHOP,2024-01-14
1,REACT,2024-01-14
1,GIT,2024-01-14
1,VUE.JS,2024-01-14
1,REACT,2024-01-14
1,EXCEL,2024-01-14
1,VISUAL STUDIO,2024-01-14
1,UNREAL,2024-01-14
1,GIT,2024-01-14
1,JIRA,2024-01-14
1,UNIT,2024-01-14
1,RDBMS,2024-01-14
1,DATA ANALYSIS,2024-01-14
1,DATABASE,2024-01-14
1,JIRA,2024-01-14
1,SPRING,2024-01-14
1,JQUERY,2024-01-14
1,MICROSOFT SQL SERVER,2024-01-14
1,SQL SERVER,2024-01-14
1,LINUX,2024-01-14
1,SQL SERVER MANAGEMENT STUDIO,2024-01-14
1,DATABASE,2024-01-14
1,REPORTING SERVICES,2024-01-14
1,ORACLE ENTERPRISE MANAGER,2024-01-14
1,BUSINESS INTELLIGENCE,2024-01-14
1,ANGULAR,2024-01-14
1,REACT,2024-01-14
1,DATABASE,2024-01-14
1,DATASET,2024-01-14
2,JQUERY,2024-01-14
2,REQUESTS,2024-01-14
2,PHOTOSHOP,2024-01-14
1,PHOTOSHOP,2024-01-14
1,JQUERY,2024-01-14
1,DATABASE,2024-01-14
1,ORACLE DATABASE,2024-01-14
1,GIT,2024-01-14
1,UNIT,2024-01-14
1,SQL SERVER,2024-01-14
1,RMAN,2024-01-14
1,LINUX,2024-01-14
1,MS SQL SERVER,2024-01-14
1,DATABASE,2024-01-14
1,POSTGRESQL,2024-01-14
1,ORACLE DATABASES,2024-01-14
1,ORACLE ENTERPRISE MANAGER,2024-01-14
1,EXCEL,2024-01-14
1,DATABASE MANAGEMENT SYSTEMS,2024-01-14
1,DATABASE,2024-01-14
1,LINUX,2024-01-14
1,TOAD,2024-01-14
1,EXCEL,2024-01-04
1,POWER BI,2024-01-04
1,DATA VISUALIZATION,2024-01-04
