Enroll,Rate,Level,NumberOfCourse,Platform
697,4.2,,1,BACULA
697,4.2,,1,BACULA SERVER
1,1.6,,1,GOOGLE PLAY
20,4.4,,1,GOOGLE PLAY
575,4.5,,1,GOOGLE PLAY
446,3.6,,1,GOOGLE PLAY
2,4.3,,1,GOOGLE PLAY
55,4.5,,1,GOOGLE PLAY
0,4.0,,1,GOOGLE PLAY
4,3.9,,1,SQUARESPACE
2,3.6,,1,WORDPRESS
607,3.8,,1,WORDPRESS
12,4.0,,1,WORDPRESS
20,4.1,,1,WORDPRESS
1,3.9,,3,WORDPRESS
43,3.6,,1,WORDPRESS
67,4.6,,1,WORDPRESS
420,2.5,,1,WORDPRESS
16,4.5,,1,WORDPRESS
2,4.1,,1,WORDPRESS
24,4.6,,1,WORDPRESS
28,4.1,,1,WORDPRESS
11,4.1,,1,WORDPRESS
2,4.0,,1,WORDPRESS
35,4.7,,1,WORDPRESS
673,4.2,,1,WORDPRESS
7,4.0,,1,WORDPRESS
172,2.6,,1,WEB DEVELOPMENT
536,3.1,,1,INSTAGRAM API
288,4.6,,1,NODEJS
1,4.5,,1,NODEJS
536,3.1,,1,NODEJS
52,4.7,Basic,1,GOOGLE ANALYTICS
2,3.6,,1,GOOGLE ANALYTICS
178,4.0,,1,GOOGLE ANALYTICS
7,4.0,,1,GOOGLE ANALYTICS
673,4.2,,1,WEB APPLICATION
2,4.8,,1,PINTEREST
24,4.4,,1,WORDPRESS CMS
24,4.4,,1,PRINTFUL
24,4.4,,1,BLUEHOST
2,3.2,,1,ANDROID
494,4.1,,1,ANDROID SDK
146,2.5,,1,ANDROID SDK
0,3.0,,1,ANDROID SDK
812,2.8,,1,ANDROID SDK
172,2.6,,1,PARSE SDK
58,4.1,,1,CHROME
653,4.6,,1,GITHUB
241,4.5,Basic,1,GITHUB
34,4.4,,1,GITHUB
2,4.9,,1,GITHUB
9,4.2,,1,GITHUB
58,4.1,,1,GITHUB
13,4.7,,1,CREATIVEMARKET
13,4.7,,1,THEMEFOREST
13,4.7,,1,MOJOTHEMES
13,4.7,,1,WRAPBOOTSTRAP
13,4.7,,1,CROWD SOURCING
285,3.2,,1,FIREFOXDRIVER
285,3.2,,1,CHROMEDRIVER
285,3.2,,1,INTERNETEXPLORERDRIVER
285,3.2,,1,SAFARIDRIVER
15,4.0,,1,GOOGLE WEB FONTS
28,4.1,,1,JOOMLA
28,4.1,,1,MAGNETO
178,4.0,,1,MICROSOFT ADCENTER ANALYTICS
178,4.0,,1,KLOUT
5,3.9,,1,ZK
565,3.7,,1,APACHE
3,3.9,,1,APACHE
1,3.9,,1,FIREBASE
1,3.9,,1,GOOGLE DRIVE
1,3.9,,1,WEEBLY
1,3.9,,1,TUMBLR
18,4.7,Basic,1,GOOGLE
7,4.5,,1,NODE.JS
1,3.7,,1,GOOGLE CHROME
2,4.9,,1,STRIPE
9,4.2,,1,STRIPE
2,4.9,,1,HEROKU
9,4.2,,1,HEROKU
205,4.6,Intermediate,1,DROPBOX
2,4.9,,1,DROPBOX
9,4.2,,1,DROPBOX
15,3.6,,1,AMAZON WEB SERVICES
575,4.0,,1,AMAZON WEB SERVICES
565,3.7,,1,AMAZON WEB SERVICES
565,3.7,,1,EC2
565,3.7,,1,AWS EC2
1,1.6,,1,GOOGLE MAPS
186,2.7,,1,GOOGLE MAPS
186,2.7,,1,GMAIL
649,3.7,,1,NODE JS
12,3.7,,1,AMAZON APPSTORE
0,3.7,,1,NEXUS
74,4.1,,1,LOLLIPOP APIS
74,4.1,,1,ANDROID APIS
2,4.9,,1,AMAZON S3
396,4.8,,1,GOOGLE MAPS API
2,4.9,,1,GOOGLE MAPS API
2,4.9,,1,STRIPE API
4,4.5,,1,SPRING MVC
389,3.2,,1,SPRING
20,3.8,,1,GOOGLE ADSENSE
642,4.1,,1,GOOGLE+
642,4.1,,1,GOOGLE HANGOUTS
396,3.6,,1,SELENIUM
24,4.5,,1,SELENIUM
737,4.6,,1,SELENIUM
63,4.5,,1,SOAPUI
63,4.5,,1,API
63,4.5,,1,SOAPWEB
63,4.5,,1,JAVA API
67,4.6,,1,GITHUB PAGES SERVICE
2,3.2,,1,ANDROID LOLLIPOP
2,3.2,,1,GOOGLE CLOUD MESSAGING
2,3.2,,1,ANDROID LOLLIPOP APIS
2,3.2,,1,GOOGLE GEOFENCES
2,3.2,,1,GOOGLE SIGN IN
2,3.2,,1,GEOFENCES
2,3.2,,1,PALETTE API
2,3.2,,1,GOOGLE SING IN API
2,3.2,,1,FACEBOOK API
2,3.6,,1,PAYPAL
2,3.6,,1,ZOHO
2,3.6,,1,MAILCHIMP
660,3.7,,1,SAUCELABS
575,4.0,,1,SERVICIO DE SIMPLE STORAGE
575,4.0,,1,VPC
575,4.0,,1,NUBE PRIVADA VIRTUAL
575,4.0,,1,AWS
15,3.6,,1,AWS
1,4.5,Intermediate,1,AWS
7,4.6,Basic,1,S3
575,4.0,,1,S3
469,4.6,,1,WIX
1,1.6,,1,PARSE
1,1.6,,1,GOOGLE�PLAY�SERVICES
1,1.6,,1,GOOGLE DIRECTIONS
1,1.6,,1,YOUTUBE API
35,4.5,,1,PANDAS
0,0.0,,2,PANDAS
24,4.1,,1,PANDAS
7,4.6,,1,PANDAS
2,2.7,,1,PANDAS
294,4.0,,1,PANDAS
156,4.7,,1,PANDAS
5,4.0,,1,PANDAS
5,4.6,Basic,1,PANDAS
2,4.2,Advanced,1,PANDAS
4,4.3,Intermediate,1,PANDAS
3,3.9,,1,PANDAS
759,4.4,,1,PANDAS
10,4.5,,1,PANDAS
1,4.1,,1,PANDAS
126,4.2,,1,PANDAS
4,4.3,,1,BOOTSTRAP
0,4.4,,1,BOOTSTRAP
0,4.4,,1,ASP.NET CORE MVC
0,4.4,,1,CHART JS
