Enroll,Rate,Level,NumberOfCourse,ProgrammingLanguage
12,4.0,,1,PHP
301,3.8,,1,PHP
868,3.7,,1,PHP
25,4.1,,1,PHP
315,2.6,,1,PHP
155,4.3,,1,PHP
278,4.5,,1,PHP
62,4.5,,1,PHP
7,4.5,,1,PHP
812,2.8,,1,PHP
565,3.7,,1,PHP
232,4.5,,1,PHP
3,4.1,,1,PHP
301,3.8,,1,HTML
1,4.0,,1,HTML
133,4.5,,1,HTML
19,4.7,,1,HTML
67,4.6,,1,HTML
7,3.6,,1,HTML
12,4.0,,1,HTML
2,4.9,,1,HTML
5,4.2,,1,HTML
23,4.4,,1,HTML
232,4.5,,1,HTML
1,4.1,,1,HTML
160,4.7,,1,HTML
2,3.8,,1,HTML
9,4.2,,1,HTML
1,3.7,,2,HTML
7,4.5,,1,HTML
2,4.2,,1,HTML
5,4.0,,1,HTML
37,4.5,,1,HTML
2,4.1,,1,HTML
1,4.7,,1,HTML
1,3.9,,1,HTML
236,4.5,,1,HTML
26,5.0,,1,HTML
28,4.1,,1,HTML
868,3.7,,1,HTML
536,3.1,,1,HTML
0,3.8,,1,HTML
2,4.8,,1,HTML
25,4.1,,1,HTML
100,4.7,,1,HTML
1,4.2,,1,HTML
247,4.6,,1,HTML
145,3.7,,1,HTML
285,3.2,,1,HTML
868,3.7,,1,JAVASCRIPT
90,4.7,,1,JAVASCRIPT
7,3.6,,1,JAVASCRIPT
12,4.0,,1,JAVASCRIPT
2,4.9,,1,JAVASCRIPT
5,4.2,,1,JAVASCRIPT
649,3.7,,1,JAVASCRIPT
139,3.0,,1,JAVASCRIPT
7,4.5,,1,JAVASCRIPT
2,4.1,,1,JAVASCRIPT
1,4.7,,1,JAVASCRIPT
536,3.1,,1,JAVASCRIPT
0,3.8,,1,JAVASCRIPT
25,4.1,,1,JAVASCRIPT
0,3.6,,1,JAVASCRIPT
1,4.2,,1,JAVASCRIPT
172,2.6,,1,JAVASCRIPT
145,3.7,,1,JAVASCRIPT
278,4.5,,1,JAVASCRIPT
5,3.9,,1,JAVASCRIPT
1,3.9,,1,JAVASCRIPT
1,3.9,,1,CSS
1,4.0,,1,CSS
19,4.7,,1,CSS
67,4.6,,1,CSS
7,3.6,,1,CSS
12,4.0,,1,CSS
2,4.9,,1,CSS
5,4.2,,1,CSS
23,4.4,,1,CSS
232,4.5,,1,CSS
1,4.1,,1,CSS
160,4.7,,1,CSS
9,4.2,,1,CSS
7,4.5,,1,CSS
2,4.2,,1,CSS
1,3.7,,1,CSS
1,4.7,,1,CSS
868,3.7,,1,CSS
536,3.1,,1,CSS
0,3.8,,1,CSS
2,4.8,,1,CSS
25,4.1,,1,CSS
100,4.7,,1,CSS
247,4.6,,1,CSS
278,4.5,,1,CSS
28,4.1,,1,CSS
5,3.9,,1,CSS
62,4.5,,1,CSS
26,5.0,,1,CSS
236,4.5,,1,CSS
868,3.7,,1,HTML5
133,4.5,,1,HTML5
19,4.7,,1,HTML5
12,4.0,,1,HTML5
107,4.3,,1,HTML5
1,4.1,,1,HTML5
139,3.0,,1,HTML5
1,3.7,,1,HTML5
7,4.5,,1,HTML5
2,4.2,,1,HTML5
247,4.6,,1,HTML5
278,4.5,,1,HTML5
62,4.5,,1,HTML5
236,4.5,,1,HTML5
37,4.5,,1,HTML5
5,4.0,,1,HTML5
455,4.5,,1,HTML5
0,0.0,Basic,1,JAVASCRIPT
47,4.1,,1,XML
529,4.8,,1,XML
0,3.6,,1,XML
38,2.9,,1,XML
2,4.1,,1,XML
2,3.8,,1,XML
186,2.7,,1,XML
24,4.5,,1,XML
3,4.2,,1,XML
9,3.5,,1,VBSCRIPTING
90,4.7,,1,RUBY
2,4.9,,1,RUBY
9,4.2,,1,RUBY
2,4.8,,1,RUBY
25,4.1,,1,MYSQL
2,4.3,,1,JAVA
90,4.7,,1,JAVA
1,1.6,,1,JAVA
417,4.2,,1,JAVA
660,3.7,,1,JAVA
2,3.2,,1,JAVA
34,4.4,,1,JAVA
38,2.9,,1,JAVA
285,3.2,,1,JAVA
5,3.9,,1,JAVA
575,4.5,,1,JAVA
0,3.0,,1,JAVA
186,2.7,,1,JAVA
3,4.1,,1,JAVA
27,4.2,,1,JAVA
65,3.7,,1,JAVA
5,4.2,,1,JAVA
24,4.5,,1,JAVA
529,4.8,,1,EXTENSIBLE MARKUP LANGUAGE
0,3.6,,1,EXTENSIBLE MARKUP LANGUAGE
124,4.7,Basic,1,JAVA
2,4.5,Basic,1,JAVA
247,4.6,,1,CSS3
15,4.0,,1,CSS3
236,4.5,,1,CSS3
5,4.0,,1,CSS3
7,4.5,,1,CSS3
107,4.3,,1,CSS3
7,3.6,,1,CSS3
67,4.6,,1,CSS3
19,4.7,,1,CSS3
133,4.5,,1,CSS3
5,4.4,,1,C#
146,3.9,,1,C#
3,4.1,,1,C#
90,4.7,,1,C#
1,3.9,,1,ANGULARJS
1,3.7,,1,CASCADING STYLE SHEETS
3,4.1,,1,PYTHON
3,4.0,,1,PYTHON
9,4.6,,1,PYTHON
90,4.7,,1,PYTHON
529,4.8,,1,PYTHON
396,4.8,,1,PYTHON
803,4.9,,1,PYTHON
0,0.0,,1,PYTHON
75,4.4,,1,PYTHON
42,4.5,,1,PYTHON
6,4.4,Basic,1,PYTHON
5,4.6,Basic,1,PYTHON
213,4.7,Basic,1,PYTHON
23,4.7,Basic,1,PYTHON
0,0.0,Basic,1,PYTHON
92,4.7,Basic,1,PYTHON
220,4.6,Basic,1,PYTHON
348,4.6,Basic,1,PYTHON
51,4.1,Basic,1,PYTHON
19,4.7,Basic,1,PYTHON
18,4.8,Basic,1,PYTHON
649,3.7,,1,JS
5,4.2,,1,OBJECTIVE-C
2,4.9,,1,COFFEESCRIPT
7,4.4,,1,TRELLO
34,4.4,,1,GHERKIN
34,4.4,,1,LOG4J
63,4.5,,1,GROOVY
63,4.5,,1,SQL
57,4.3,,1,SQL
1,1.6,,1,SQL
