Enroll,Rate,Level,NumberOfCourse,Tool
697,4.2,,1,LINUX
697,4.2,,1,WINDOWS
55,4.5,,1,ECLIPSE IDE
55,4.5,,1,ANDROID STUDIO
1,4.2,,1,STAAD.PRO
1,4.2,,1,STAAD PRO
1,4.2,,1,STRUCTURAL ANALYSIS AND DESIGN
3,3.6,,1,JIRA
301,3.8,,1,EXCEL
301,3.8,,1,MYSQL
301,3.8,,1,LINUX
301,3.8,,1,CRONJOB
301,3.8,,1,CRON JOB
301,3.8,,1,WORD
1,3.9,,1,WOOCOMMERCE
195,3.9,,1,MATERIAL DESIGN
47,4.1,,1,ANDROID
673,4.2,,1,FIREWALLS
35,4.7,,1,POWERPOINT
35,4.7,,1,WORD
8,4.1,,1,CONTROL PANEL'S WEBSITE EDITOR
8,4.1,,1,CONTROL PANEL'S FILE MANAGER
9,3.5,,1,EXCEL
9,3.5,,1,UFT
9,3.5,,1,QTP
3,3.9,,1,SAP BUSINESS OBJECTS
3,3.9,,1,BI LAUNCH PAD
25,4.1,,1,MYSQL
321,2.9,,1,APACHE JMETER
321,2.9,,1,JMETER
321,2.9,,1,QTP
12,4.4,,1,GIMP
100,4.7,,1,PHOTOSHOP
778,4.0,,1,RICH TEXT EDITOR
1,4.2,,1,FIREFOX
1,4.2,,1,ECLIPSE
0,4.3,,1,PHOTOSHOP
38,2.9,,1,ANDROID STUDIO
172,2.6,,1,OS X
172,2.6,,1,LINUX
172,2.6,,1,WINDOWS
5,4.0,,1,PHOTOSHOP
145,3.7,,1,SELENIUM IDE
155,4.3,,1,MYSQL
58,4.1,,1,CHROME DEVELOPER TOOLS
58,4.1,,1,SUBLIME TEXT
58,4.1,,1,GIT
446,3.6,,1,ANDROID
285,3.2,,1,MAVEN
285,3.2,,1,ANT
178,4.0,,1,WEB ANALYTIC
5,4.4,,1,MS SQL SERVER
5,4.4,,1,AJAXYFIY
62,4.5,,1,PHOTOSHOP
3,3.9,,1,LINUX
26,5.0,,1,DREAMWEAVER CS6
26,5.0,,1,DREAMWEAVER
26,5.0,,1,PHOTOSHOP
26,5.0,,1,PHOTOSHOP CS6
2,3.8,,1,ANDROID
236,4.5,,1,GOOGLE FORMS
236,4.5,,1,FONT-AWESOME
1,3.9,,1,GOOGLE CHROME
1,3.9,,1,FORMS TOOL
1,3.7,,1,DREAMWEAVER
1,3.7,,1,ADOBE DREAMWEAVER
1,3.7,,1,PHOTOSHOP CS6
1,3.7,,1,PHOTOSHOP
1,3.7,,1,PHOTOSHOP CS
248,4.6,,1,MICROSOFT PROJECT
248,4.6,,1,MICROSOFT PROJECT13
420,2.5,,1,NEVADA WORDPRESS
575,4.5,,1,ANDROID
455,4.5,,1,IZOTOPE RX3
455,4.5,,1,TELESTREAM EPISODE
455,4.5,,1,POWERPOINT
455,4.5,,1,APPLE COMPRESSOR
455,4.5,,1,FCPX
455,4.5,,1,FCPAND X
455,4.5,,1,MPEG STREAMCLIP
455,4.5,,1,ADOBE MEDIA ENCODER
455,4.5,,1,PREMIERE PRO
455,4.5,,1,NEAT VIDEO
455,4.5,,1,AUDITION
455,4.5,,1,MEDIAINFO
455,4.5,,1,APPLE COMPRESSOR1
455,4.5,,1,HANDBRAKE
455,4.5,,1,SORENSON SQUEEZE
455,4.5,,1,BITRATE VIEWER
2,4.2,,1,WYSIWYG
7,4.5,,1,MYSQL
109,4.2,,1,ADOBE PHOTOSHOP
