CourseName,CourseLink,CourseLevel,CourseDuration,CoursePrice,Enroll,Rate,Organization,Website,LinkToWebsite
Introduction to Data Engineering,https://www.coursera.org/learn/introduction-to-data-engineering,Basic,11.0,0.0,19,4.7,IBM,coursera,www.coursera.org
Data Engineering and Machine Learning using Spark,https://www.coursera.org/learn/data-engineering-and-machine-learning-using-spark,Basic,7.0,0.0,1,3.7,IBM,coursera,www.coursera.org
Cloud Data Engineering,https://www.coursera.org/learn/cloud-data-engineering-duke,Intermediate,17.0,0.0,1,4.5,Duke University,coursera,www.coursera.org
Cloud Data Engineering,https://www.coursera.org/learn/cloud-data-engineering-duke,Intermediate,17.0,0.0,1,4.5,Duke University,coursera,www.coursera.org
Modernizing Data Lakes and Data Warehouses with GCP,https://www.coursera.org/learn/data-lakes-data-warehouses-gcp,Intermediate,9.0,0.0,33,4.7,Google Cloud,coursera,www.coursera.org
Explore Core Data Concepts in Microsoft Azure,https://www.coursera.org/learn/explore-core-data-concepts-microsoft-azure,Basic,9.0,0.0,3,4.8,Microsoft,coursera,www.coursera.org
AI Workflow: Business Priorities and Data Ingestion,https://www.coursera.org/learn/ibm-ai-workflow-business-priorities-data-ingestion,Intermediate,8.0,0.0,4,4.3,IBM,coursera,www.coursera.org
Introduction to Data Engineering,https://www.coursera.org/learn/introduction-to-data-engineering,Basic,11.0,0.0,19,4.7,IBM,coursera,www.coursera.org
Introduction to Data Analytics,https://www.coursera.org/learn/introduction-to-data-analytics,Basic,11.0,0.0,120,4.8,IBM,coursera,www.coursera.org
Introduction to NoSQL Databases,https://www.coursera.org/learn/introduction-to-nosql-databases,Basic,17.0,0.0,3,4.6,IBM,coursera,www.coursera.org
Python Project for Data Engineering,https://www.coursera.org/learn/python-project-for-data-engineering,Intermediate,6.0,0.0,6,4.6,IBM,coursera,www.coursera.org
Qualitative Data Analysis with MAXQDA Software,https://www.coursera.org/learn/qualitative-data-analysis-with-maxqda-software,Intermediate,16.0,0.0,2,4.6,Emory University,coursera,www.coursera.org
Exploratory Data Analysis for Machine Learning,https://www.coursera.org/learn/ibm-exploratory-data-analysis-for-machine-learning,Intermediate,8.0,0.0,23,4.6,IBM,coursera,www.coursera.org
AI Workflow: Data Analysis and Hypothesis Testing,https://www.coursera.org/learn/ibm-ai-workflow-data-analysis-hypothesis-testing,Advanced,11.0,0.0,2,4.2,IBM,coursera,www.coursera.org
