,ProgrammingLanguage,Framework,Knowledge,Tool,Platform,jobCount
49428,PYTHON,SPARK,BIG DATA,JUPYTER NOTEBOOKS,,160
49463,PYTHON,SPARK,REGULAR EXPRESSIONS,SAS,,160
49450,PYTHON,SPARK,DATA ANALYSIS,SAS,,160
49451,PYTHON,SPARK,COMPUTER SCIENCE,SAS,,160
49452,PYTHON,SPARK,REGRESSION,SAS,,160
49453,PYTHON,SPARK,STATISTICS,SAS,,160
49454,PYTHON,SPARK,ANOVA,SAS,,160
49455,PYTHON,SPARK,CORRELATION ANALYSIS,SAS,,160
49456,PYTHON,SPARK,DATA SCIENCE,SAS,,160
49457,PYTHON,SPARK,STATISTICAL THINKING,SAS,,160
49458,PYTHON,SPARK,STATISTICAL ANALYSIS,SAS,,160
49459,PYTHON,SPARK,DATA PARALLEL,SAS,,160
49460,PYTHON,SPARK,BIG DATA,SAS,,160
49461,PYTHON,SPARK,MAPREDUCE,SAS,,160
49462,PYTHON,SPARK,PROTOCOLS WEB BROWSERS,SAS,,160
49464,PYTHON,SPARK,APIS,SAS,,160
49448,PYTHON,SPARK,CSS SELECTORS,SAS,,160
49465,PYTHON,SPARK,OBJECT ORIENTED,SAS,,160
49466,PYTHON,SPARK,DATA STRUCTURES,SAS,,160
49467,PYTHON,SPARK,DATA ANALYTICS,SAS,,160
49468,PYTHON,SPARK,GAMBLING,SAS,,160
49469,PYTHON,SPARK,LOGISTIC REGRESSION,SAS,,160
49470,PYTHON,SPARK,MODELING,SAS,,160
49471,PYTHON,SPARK,TEST HYPOTHESES,SAS,,160
49472,PYTHON,SPARK,CHI-SQUARE,SAS,,160
49473,PYTHON,SPARK,STATISTICAL TESTS,SAS,,160
49474,PYTHON,SPARK,PEARSON CORRELATION ANALYSIS,SAS,,160
49475,PYTHON,SPARK,STATISTICAL,SAS,,160
49414,PYTHON,SPARK,XPATH,JUPYTER NOTEBOOKS,,160
49413,PYTHON,SPARK,API,JUPYTER NOTEBOOKS,,160
49449,PYTHON,SPARK,NOSETESTS,SAS,,160
49447,PYTHON,SPARK,UNITTEST,SAS,,160
49415,PYTHON,SPARK,UNITTEST,JUPYTER NOTEBOOKS,,160
49431,PYTHON,SPARK,REGULAR EXPRESSIONS,JUPYTER NOTEBOOKS,,160
49417,PYTHON,SPARK,NOSETESTS,JUPYTER NOTEBOOKS,,160
49418,PYTHON,SPARK,DATA ANALYSIS,JUPYTER NOTEBOOKS,,160
49419,PYTHON,SPARK,COMPUTER SCIENCE,JUPYTER NOTEBOOKS,,160
49420,PYTHON,SPARK,REGRESSION,JUPYTER NOTEBOOKS,,160
49421,PYTHON,SPARK,STATISTICS,JUPYTER NOTEBOOKS,,160
49422,PYTHON,SPARK,ANOVA,JUPYTER NOTEBOOKS,,160
49423,PYTHON,SPARK,CORRELATION ANALYSIS,JUPYTER NOTEBOOKS,,160
49424,PYTHON,SPARK,DATA SCIENCE,JUPYTER NOTEBOOKS,,160
49425,PYTHON,SPARK,STATISTICAL THINKING,JUPYTER NOTEBOOKS,,160
49426,PYTHON,SPARK,STATISTICAL ANALYSIS,JUPYTER NOTEBOOKS,,160
49427,PYTHON,SPARK,DATA PARALLEL,JUPYTER NOTEBOOKS,,160
49429,PYTHON,SPARK,MAPREDUCE,JUPYTER NOTEBOOKS,,160
49430,PYTHON,SPARK,PROTOCOLS WEB BROWSERS,JUPYTER NOTEBOOKS,,160
49432,PYTHON,SPARK,APIS,JUPYTER NOTEBOOKS,,160
49446,PYTHON,SPARK,XPATH,SAS,,160
49433,PYTHON,SPARK,OBJECT ORIENTED,JUPYTER NOTEBOOKS,,160
