Name,Link,Rating,Enroll,Instructor,Time,Level,Price,Practice Task,Knowledge,Programing Language,Tool,Platform,Framework,Program,Subtitle,Subject,Organization
"Introduction to Web Development with HTML,CSS,JavaScript",https://www.coursera.org/learn/introduction-to-web-development-with-html-css-javacript,4.4,12772,Upkar Lidder,16 hours,Beginner,Free,,"cloud development ecosystem,cloud applications","html,css,javascript",git,,,"Cloud Application Development Foundations Specialization,IBM Full Stack Cloud Developer Professional Certificate",English,Computer Science,IBM
Single Page Web Applications with AngularJS,https://www.coursera.org/learn/single-page-web-apps-with-angularjs,4.9,100605,Yaakov Chaikin,47 hours,Intermediate,Free,"build a fully functional,well organized and tested web application using angularjs and deploy it to the cloud.","unit testing,web development","javascript,html",,,angularjs,,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,
Bootstrap Basics: Program Responsive Websites,https://www.udemy.com/course/code-responsive-website-twitter-bootstrap/,4.7,5307,"Brad Hussey,Code College",3 hours,,$13.99 ,built a fully-responsive webpage with bootstrap 3,,"html,css","textwranger,espresso",,"jquery,bootstrap",,English,Computer Science,
"Responsive Website Basics: Code with HTML,CSS,and JavaScript ",https://www.coursera.org/learn/website-coding,4.6,172003,"Dr Matthew Yee-King,Dr Marco Gillies,Dr Kate Devlin",25 hours,,Free,,,"html,css,javascript",,,"jquery,bootstrap",Responsive Website Development and Design Specialization,"Arabic,French,Portuguese (European),Chinese (Simplified),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,"University of London,Goldsmiths,University of London"
Ruby on Rails: Training and Skills to Build Web Applications,https://www.udemy.com/course/the-startups-guide-to-web-development-with-ruby-on-rails/,4.2,9432,Alex Yang,7 hours,,$13.99 ,,"stripe api,navigate github,navigate heroku",ruby,,heroku,"ruby on rails,bootstrap",,English,Computer Science,
Free HTML Tutorial - Introduction to Web Development: HTML,https://www.udemy.com/course/webdevelopment101_html/,4.5,37668,Brian Gorman,3 hours,,Free,,,html,,,,,English,Computer Science,
Learn To Build Beautiful HTML5 And CSS3 Websites In 1 Month,https://www.udemy.com/course/learn-to-build-beautiful-html5-and-css3-websites-in-1-month/,4.7,19319,Ryan Bonhardt,11 hours,,$13.99 ,,,"html,css",,,,,English,Computer Science,
Building Web Applications in PHP,https://www.coursera.org/learn/web-applications-php,4.7,121715,Charles Russell Severance,31 hours,Intermediate,Free,,"requestresponse cycle,web markup","html,php,css","xampp,mamp",,,Web Applications for Everybody Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,Korean,German,Russian,English,Spanish",Computer Science,University of Michigan
"JavaScript,jQuery,and JSON",https://www.coursera.org/learn/javascript-jquery-json,4.6,82726,Charles Russell Severance,26 hours,Intermediate,Free,,document object model (dom),"javascript,json,php",,,jquery,Web Applications for Everybody Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,University of Michigan
Introduction to Structured Query Language (SQL),https://www.coursera.org/learn/intro-sql,4.8,128644,Charles Russell Severance,16 hours,Intermediate,Free,,,sql,"mamp,xampp,mysql,phpmyadmin",,,Web Applications for Everybody Specialization,"Arabic,French,Portuguese (European),Serbian,Italian,Vietnamese,Korean,German,Russian,English,Spanish",Computer Science,University of Michigan
Introduction to Web Development,https://www.coursera.org/learn/web-development,4.7,181981,Daniel Randall,22 hours,Beginner,Free,,,"css,html,javascript",,,,,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,"University of California,Davis"
"HTML,CSS,and Javascript for Web Developers",https://www.coursera.org/learn/html-css-javascript-for-web-developers,4.7,640509,Yaakov Chaikin,40 hours,,Free,build a fully functional web application that utilizes ajax to expose server-side functionality and data to the end user.,,"html,javascript,css",,,,,"Arabic,French,Portuguese (European),Italian,Vietnamese,Korean,German,Russian,English,Spanish",Computer Science,Johns Hopkins University
How To Create a Website in a Weekend! (Project-Centered Course),https://www.coursera.org/learn/how-to-create-a-website,3.3,173766,"Dr.  Margaret Anne Schedel,Melissa Clarke",14 hours,,Free,"design,build,and publish a basic website that incorporates text,sound,images,hyperlinks,plug-ins,and social media interactivity","web design,websites,web development",,wordpress,,,,"Arabic,French,Portuguese (European),Greek,Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,The State University of New York
"Programming Foundations with JavaScript,HTML and CSS",https://www.coursera.org/learn/duke-programming-web,4.6,459737,"Susan H. Rodger,Robert Duvall,Owen Astrachan,Andrew D. Hilton",33 hours,Beginner,Free,build a fully functional web application that utilizes ajax to expose server-side functionality and data to the end user.,,"html,javascript,css,html5",,,,Java Programming and Software Engineering Fundamentals Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,Duke University
Web Application Development with JavaScript and MongoDB,https://www.coursera.org/learn/web-application-development,4.6,58939,Dr Matthew Yee-King,27 hours,,Free,,"simpleschema system,data read and write access,simpleschema,routing",javascript,mongodb,,meteor,Responsive Website Development and Design Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,"University of London,Goldsmiths,University of London"
Learn Devops: Continuously Deliver Better Software,https://www.udemy.com/course/learn-devops-continuously-deliver-better-software/,4.3,15284,Edward Viaene,4.5 hours,,$13.99 ,,"devops,continuous delivery,automate the software development lifecycle (sdlc)",,"ansible,chef,kubernetes,docker",,,,"English,Spanish",Software Development Tools,
"Richard Stibbard's ""Ultimate Web Development Course""",https://www.udemy.com/course/the-ultimate-web-development-course/,4.5,23785,Richard Stibbard,11.5 hours,,$13.99 ,,ajax,"html5,css,php",mysql,,"jquery,mysqli",,,Web Development,
Back to School Web Development and Programming Bundle,https://www.udemy.com/course/back-to-school-web-development-and-programming-bundle/,4.9,18368,John Bura,44 hours,,$13.99 ,,,"html,html5,css,css3,c++,c#,javascript","game salad,stencyl,xcode,construct 2,adobe illustrator",,jquery,,English,Web Development,
