companyName,description,jobName,location,require,salary,timePost
DatvietVAC Group Holdings,"Mô tả Công việc MỤC TIÊU CÔNG VIỆC/ JOB OBJECTIVES: Data Science Department is looking for a Data Scientist Lead to: Lead DS Team to deliver Data Platform (DP) for VieON – OTT Platform Design innovative attribution models to implement valuable metrics and better address system enhancement, user behavior Build and maintain visually appealing and engaging dashboards for stakeholders Work with Data Engineers to help define the data standards and requirements helping to ensure our systems are running correctly and efficiently. Involve in the development and evolvement of the data architecture Produce segmented views of our users for our business, and product stakeholders to drive product iterations and improvements Identify problems and propose recommendations. Focus on bringing statistical depth, analytical insights, and accurate interpretation of data. Collecting, cleaning, and preparing data at large scale for modeling. Providing insights and recommendations based on large amounts of data from various sources. Designing, conducting A/B tests, and analyzing the results for experiment insights;",Data Scientist Lead,Hồ Chí Minh,"Yêu Cầu Công Việc Degree in Computer Science or other related fields At least 2 years of experience as Lead Data Engineer/Scientist, preferably in the OTT, e-commerce, or digital industry. 2-4 years of using programming languages including Go/Python/Java/Scala Understanding of data administration and management functions (collection, analysis, distribution, etc.) Familiarity with modern database and information system technologies. Have practical experience in applying Machine Learning in personalization, deal recommendation, or user behavior analysis. Strong data visualization and storytelling skills. Experience in creating dashboards using Tableau and other visualization tools. Big Data tools: Kafka, Hadoop, Hive, Spark, Elastic Search Relational SQL and NoSQL databases: MySQL, MongoDB, Postgres, Cassandra Data pipeline and workflow management tools: Airflow Stream-processing systems: Spark-Streaming Familiar with Linux development environments and multi-threaded programming Having knowledge/Experience in crawl data is a plus Motitor server capacity and resource usage for server capacity planning is a plus Creating customized alerts to more effectively track key server capacity metrics is plus Good logical thinking Passionate about coding and programming, innovation, and solving challenging problems An analytical mindset with problem-solving skills. A team player, with brave, enthusiastic cheerful attitude",Lương: Cạnh tranh,11-12-2023
Công Ty Cổ Phần VNG,"Mô tả Công việc ZaloPay is a Fintech product in Vietnam with young people and full of energy. Our aim is to optimize product across the entire user journey, identify and create new audiences. We are looking for a Senior Data Scientist to join our Data Science Team. You’ll be part of a team that is disrupting the industry with innovative attribution models and building the future analytics platform to be used by many teams (Tech, Promotion, ...) for User Behavior, Campaign performance and market insights. You’ll be working on very exciting projects using big data technologies with terabytes of data coming from different source. Responsibilities: Work with many teams (PO, Tech, BO) to understand dataflow, cashflow Identify problems and propose recommendations Focus on bringing statistical depth, analytical insights, and accurate interpretation of data Measure system performance and also deeper understand trends by providing insights and recommendations based on large amounts of data from various sources Design innovative attribution models to implement valuable metrics and better address system enhancement, user behavior Build and maintain visually appealing and engaging dashboards for stakeholders Work with Data Engineers to help define the data standards and requirements helping to ensure our systems are running correctly and efficiently. Involve in the development and evolvement of the data architecture Support internal training and proper documentation ensuring the successful onboarding of new team members","Senior Data Scientist II (ZaloPay, Data Platform)",Hồ Chí Minh,"Yêu Cầu Công Việc Qualifications: 5+ years relevant work experience with large amounts of data Education background in machine learning, statistics, math, data science, computer science or other closely related area Strong machine learning/statistics background with hands-on experience in academia and/or industry, sourcing, cleaning, manipulating and analyzing large volumes of data Experience with open-source machine learning libraries such as numpy, pandas, scikit-learn, distributed/parallel big data processing architecture (e.g., Hadoop, Spark, MLlib) and deep learning framework (e.g., TensorFlow, Pytorch) Understand the business domain (FinTech, AdTech knowledge is a plus) Be able to create plans, establish priorities, and effectively troubleshoot issues. Experience with recommendation systems is a plus Experience with data science models in finance domain or CRM (e.g., credit scoring, CLV, churn, etc) is a plus",Lương: Cạnh tranh,04-12-2023
Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,"Mô tả Công việc VPBank hiện là một trong những Ngân hàng có tốc độ tăng trưởng nhanh nhất tại Việt Nam, cung cấp đa dạng các dịch vụ và được nhiều khách hàng tin dùng. VPBank đặc biệt chú ý đến việc nâng cao hiệu quả hoạt động qua việc phân tích các dữ liệu kinh doanh. Vị trí này đóng vai trò làm việc với các đơn vị kinh doanh và các các Phòng/ Trung tâm khác trong nội bộ Khối Quản trị và Phân tích dữ liệu (EAD) để phân tích các bộ dữ liệu phức tạp, tìm kiếm các hiểu biết sâu sắc về hành vi khách hàng và đưa ra các khuyến nghị tương ứng. 1. Hỗ trợ quản lý và định hướng Phòng Khoa học dữ liệu trong việc áp dụng các kỹ thuật phân tích nâng cao, tìm ra hành vi khách hàng, giải quyết các vấn đề kinh doanh thực tế: Chủ động triển khai và dẫn dắt các dự án phân tích dữ liệu phục vụ hoạt động kinh doanh Áp dụng các kỹ thuật phân tích nâng cao, đưa ra các hiểu biết sâu sắc về hành vi của khách hàng, qua đó giúp giải quyết các vấn đề kinh doanh thực tế. Tìm kiếm các hiểu biết sâu sắc về hành vi khách hàng bằng các kỹ thuật khai phá dữ liệu khác nhau Phát triển mô hình học máy, giúp các đơn vị kinh doanh dự báo các vấn đề kinh doanh khác nhau như dự báo khách hàng ngừng sử dụng dịch vụ, bán chéo sản phẩm cho khách hàng hiện tại Tự động hóa quy trình phân tích Hướng dẫn, đào tạo các thành viên trong phòng 2. Nghiên cứu và học hỏi các kỹ thuật phân tích nâng cao mới Nghiên cứu các phương pháp mới trong lĩnh vực phân tích, khai phá dữ liệu và dự báo 3. Hỗ trợ các Phòng/ Trung tâm khác trong các bài toán phân tích dữ liệu nâng cao Làm việc với các phòng/ trung tâm khác trực thuộc EDA cũng như các đơn vị kinh doanh để nắm rõ các vấn đề và thực hiện các phân tích chuyên sâu và dự báo khi cần thiết Hỗ trợ đào tạo thành viên khác trong lĩnh vực phân tích dữ liệu",Data Scientist Senior/Expert - Hà Nội - TA139,Hà Nội,"Yêu Cầu Công Việc Yêu cầu công việc Tốt nghiệp Đại học hoặc cao hơn chuyên nghành toán, thống kê, kinh tế, ngân hàng, tài chính, khoa học máy tính, kỹ thuật phần mềm… Tối thiểu 3-5 năm làm việc trong lĩnh vực phân tích dữ liệu, mô hình học máy, học sâu. Ưu tiên các ứng viên có kinh nghiệm tại ngân hàng Có hiểu biết sâu sắc và có kinh nghiệm làm việc với các mô hình thống kê, dự báo, các thuật toán học máy, các kỹ thuật phân tích nâng cao Thành thạo SQL, Excel và ngôn ngữ phân tích dữ liệu R hoặc Python Thích nghiên cứu, học hỏi các phương pháp và kỹ thuật phân tích chuyên sâu để phục vụ tối ưu kết quả kinh doanh. Quyền lợi: Thu nhập hấp dẫn, lương thưởng cạnh tranh theo năng lực (16-18 tháng lương/năm) Thưởng các Ngày lễ, Tết cạnh tranh Được vay ưu đãi với lãi suất hấp dẫn theo quy định của ngân hàng Chế độ ngày phép 12-18 ngày phép/năm theo cấp bậc Bảo hiểm sức khỏe VPBank care cho CBNV theo cấp bậc Được tham gia các khóa đào tạo tùy thuộc vào Khung đào tạo cho từng vị trí Thời gian làm việc: từ thứ 2 – thứ 6 & 02 sáng thứ 7/ tháng",Lương: Cạnh tranh,26-11-2023
Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,"Mô tả Công việc VPBank hiện là một trong những Ngân hàng có tốc độ tăng trưởng nhanh nhất tại Việt Nam, cung cấp đa dạng các dịch vụ và được nhiều khách hàng tin dùng. VPBank đặc biệt chú ý đến việc nâng cao hiệu quả hoạt động qua việc phân tích các dữ liệu kinh doanh. Vị trí này đóng vai trò làm việc với các đơn vị kinh doanh và các các Phòng/ Trung tâm khác trong nội bộ Khối Quản trị và Phân tích dữ liệu (EAD) để phân tích các bộ dữ liệu phức tạp, tìm kiếm các hiểu biết sâu sắc về hành vi khách hàng và đưa ra các khuyến nghị tương ứng. 1. Hỗ trợ quản lý và định hướng Phòng Khoa học dữ liệu trong việc áp dụng các kỹ thuật phân tích nâng cao, tìm ra hành vi khách hàng, giải quyết các vấn đề kinh doanh thực tế: Chủ động triển khai và dẫn dắt các dự án phân tích dữ liệu phục vụ hoạt động kinh doanh Áp dụng các kỹ thuật phân tích nâng cao, đưa ra các hiểu biết sâu sắc về hành vi của khách hàng, qua đó giúp giải quyết các vấn đề kinh doanh thực tế. Tìm kiếm các hiểu biết sâu sắc về hành vi khách hàng bằng các kỹ thuật khai phá dữ liệu khác nhau Phát triển mô hình học máy, giúp các đơn vị kinh doanh dự báo các vấn đề kinh doanh khác nhau như dự báo khách hàng ngừng sử dụng dịch vụ, bán chéo sản phẩm cho khách hàng hiện tại Tự động hóa quy trình phân tích Hướng dẫn, đào tạo các thành viên trong phòng 2. Nghiên cứu và học hỏi các kỹ thuật phân tích nâng cao mới Nghiên cứu các phương pháp mới trong lĩnh vực phân tích, khai phá dữ liệu và dự báo 3. Hỗ trợ các Phòng/ Trung tâm khác trong các bài toán phân tích dữ liệu nâng cao Làm việc với các phòng/ trung tâm khác trực thuộc EDA cũng như các đơn vị kinh doanh để nắm rõ các vấn đề và thực hiện các phân tích chuyên sâu và dự báo khi cần thiết Hỗ trợ đào tạo thành viên khác trong lĩnh vực phân tích dữ liệu",Data Scientist Senior/Expert - Hà Nội - TA139,Hà Nội,"Yêu Cầu Công Việc Yêu cầu công việc Tốt nghiệp Đại học hoặc cao hơn chuyên nghành toán, thống kê, kinh tế, ngân hàng, tài chính, khoa học máy tính, kỹ thuật phần mềm… Tối thiểu 3-5 năm làm việc trong lĩnh vực phân tích dữ liệu, mô hình học máy, học sâu. Ưu tiên các ứng viên có kinh nghiệm tại ngân hàng Có hiểu biết sâu sắc và có kinh nghiệm làm việc với các mô hình thống kê, dự báo, các thuật toán học máy, các kỹ thuật phân tích nâng cao Thành thạo SQL, Excel và ngôn ngữ phân tích dữ liệu R hoặc Python Thích nghiên cứu, học hỏi các phương pháp và kỹ thuật phân tích chuyên sâu để phục vụ tối ưu kết quả kinh doanh. Quyền lợi: Thu nhập hấp dẫn, lương thưởng cạnh tranh theo năng lực (16-18 tháng lương/năm) Thưởng các Ngày lễ, Tết cạnh tranh Được vay ưu đãi với lãi suất hấp dẫn theo quy định của ngân hàng Chế độ ngày phép 12-18 ngày phép/năm theo cấp bậc Bảo hiểm sức khỏe VPBank care cho CBNV theo cấp bậc Được tham gia các khóa đào tạo tùy thuộc vào Khung đào tạo cho từng vị trí Thời gian làm việc: từ thứ 2 – thứ 6 & 02 sáng thứ 7/ tháng",Lương: Cạnh tranh,03-12-2023
Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,"Mô tả Công việc VPBank hiện là một trong những Ngân hàng có tốc độ tăng trưởng nhanh nhất tại Việt Nam, cung cấp đa dạng các dịch vụ và được nhiều khách hàng tin dùng. VPBank đặc biệt chú ý đến việc nâng cao hiệu quả hoạt động qua việc phân tích các dữ liệu kinh doanh. Vị trí này đóng vai trò làm việc với các công ty thành viên trong hệ sinh thái của VPBank và các các Phòng/ Trung tâm khác trong nội bộ Khối Quản trị và Phân tích dữ liệu (EAD) để phân tích các bộ dữ liệu phức tạp, tìm kiếm các hiểu biết sâu sắc về hành vi khách hàng và đưa ra các khuyến nghị tương ứng. 1. Hỗ trợ quản lý và định hướng Phòng Khoa học dữ liệu trong việc áp dụng các kỹ thuật phân tích nâng cao, tìm ra hành vi khách hàng, giải quyết các vấn đề kinh doanh thực tế: Chủ động triển khai và dẫn dắt các dự án phân tích dữ liệu phục vụ hoạt động kinh doanh Áp dụng các kỹ thuật phân tích nâng cao, đưa ra các hiểu biết sâu sắc về hành vi của khách hàng, qua đó giúp giải quyết các vấn đề kinh doanh thực tế. Tìm kiếm các hiểu biết sâu sắc về hành vi khách hàng bằng các kỹ thuật khai phá dữ liệu khác nhau Phát triển mô hình học máy, giúp các đơn vị kinh doanh dự báo các vấn đề kinh doanh khác nhau như dự báo khách hàng ngừng sử dụng dịch vụ, bán chéo sản phẩm cho khách hàng hiện tại Tự động hóa quy trình phân tích Hướng dẫn, đào tạo các thành viên trong phòng 2. Nghiên cứu và học hỏi các kỹ thuật phân tích nâng cao mới Nghiên cứu các phương pháp mới trong lĩnh vực phân tích, khai phá dữ liệu và dự báo 3. Hỗ trợ các Phòng/ Trung tâm khác trong các bài toán phân tích dữ liệu nâng cao Làm việc với các phòng/ trung tâm khác trực thuộc EDA cũng như các đơn vị kinh doanh để nắm rõ các vấn đề và thực hiện các phân tích chuyên sâu và dự báo khi cần thiết Hỗ trợ đào tạo thành viên khác trong lĩnh vực phân tích dữ liệu",Data Scientist Senior/Expert - Hà Nội - TA139,Hà Nội,"Yêu Cầu Công Việc Yêu cầu công việc Tốt nghiệp Đại học hoặc cao hơn chuyên nghành toán, thống kê, kinh tế, ngân hàng, tài chính, khoa học máy tính, kỹ thuật phần mềm… Tối thiểu 3-5 năm làm việc trong lĩnh vực phân tích dữ liệu, mô hình học máy, học sâu. Ưu tiên các ứng viên có kinh nghiệm tại ngân hàng Có hiểu biết sâu sắc và có kinh nghiệm làm việc với các mô hình thống kê, dự báo, các thuật toán học máy, các kỹ thuật phân tích nâng cao Thành thạo SQL, Excel và ngôn ngữ phân tích dữ liệu R hoặc Python Thích nghiên cứu, học hỏi các phương pháp và kỹ thuật phân tích chuyên sâu để phục vụ tối ưu kết quả kinh doanh. Quyền lợi: Thu nhập hấp dẫn, lương thưởng cạnh tranh theo năng lực (16-18 tháng lương/năm) Thưởng các Ngày lễ, Tết cạnh tranh Được vay ưu đãi với lãi suất hấp dẫn theo quy định của ngân hàng Chế độ ngày phép 12-18 ngày phép/năm theo cấp bậc Bảo hiểm sức khỏe VPBank care cho CBNV theo cấp bậc Được tham gia các khóa đào tạo tùy thuộc vào Khung đào tạo cho từng vị trí Thời gian làm việc: từ thứ 2 – thứ 6 & 02 sáng thứ 7/ tháng",Lương: Cạnh tranh,07-12-2023
Ngân Hàng TMCP Quân Đội,"Mô tả Công việc - Nhóm xử lý dữ liệu Text yêu cầu kỹ năng lập trình 1 trong các ngôn ngữ Python/Scala/java với các stack công nghệ Spark processing framework, Jupiter Notebook, Numpy, Pandas, Pyspark, PyClustering, Transformer, Fast-Bert, Anaconda, Tableau, ect. - Nhóm xử lý ảnh yêu cầu thêm Pytorch, TensorFlow, OpenCV, Keras, Pytorch, Rapid, CUDA, etc - Có kiến thức cơ bản về Hadoop eco-system/ Image-Processing Eco-System - Kiến thức cơ bản về Machine Learning, Deep Machine Learning, Data mining.",Data Scientist - Trung tâm Công nghệ Dữ Liệu - Khối Dữ Liệu,Hà Nội,"Yêu Cầu Công Việc 1. Đang theo học hoặc tốt nghiệp Đại học chuyên nghành liên quan trong và ngoài nước. 2. Chuyên nghành: CNTT, Điện tử-Viễn thông, Toán Tin, Khoa học máy tính, Khoa học dữ liệu,…. 3. Ngoại ngữ: Đọc hiểu tài liệu tiếng Anh tốt. Ưu tiên có thể làm việc trực tiếp với các đối tác nước ngoài. 4. Kinh nghiệm: Yêu cầu tối thiểu 3 năm làm việc đối với ứng viên có kinh nghiệm. Ưu tiên: - Đã tham gia các dự án thực tế tại các công ty - Tốt nghiệp nghành data science, có kiến thức tốt về thuật toán và giải thuật và kỹ năng phân tích data tốt - Khả năng làm việc độc lập tốt: xác định vấn đề, giải quyết vấn đề, khả năng chịu áp lực - Kỹ năng làm việc nhóm tốt: kỹ năng giao tiếp, trình bày, thuyết phục,… - Sôi nổi, nhiệt tình, đam mê công việc - Background về Banking Business - Có khả năng đọc hiểu tiếng anh tốt",Lương: Cạnh tranh,11-12-2023
Ngân Hàng TMCP Quân Đội,"Mô tả Công việc 1. Thực hiện xây dựng, thu thập các dữ liệu phục vụ cho việc xây dựng mô hình phân tích dữ liệu theo mảng nghiệp vụ được phân công 2. Hỗ trợ xây dựng kho lưu trữ dữ liệu đặc điểm làm nguồn đầu vào cho các mô hình phân tích dữ liệu kinh doanh trên lĩnh vực được phân công 3. Tham gia xây dựng và phát triển các mô hình phân tích phục vụ ra quyết định kinh doanh trên lĩnh vực được phân công 4. Tham gia công tác điều chỉnh, tối ưu hóa các mô hình phân tích phục vụ ra quyết định kinh doanh trên lĩnh vực được phân công",Chuyên viên/CVCC Mô hình kinh doanh (Data scientist) - Khối Dữ liệu,Hà Nội,"Yêu Cầu Công Việc - Tốt nghiệp Cử nhân chuyên ngành kinh tế, tài chính, ngân hàng, khoa học dữ liệu, khoa học máy tính, thống kê, Toán tin... hoặc các chuyên ngành liên quan - Ưu tiên có kinh nghiệm từ 01 năm phân tích dữ liệu, khoa học máy tính hoặc các vị trí tương đương làm việc với dữ liệu lớn, có kinh nghiệm xây dựng các mô hình dự đoán, học máy. Ưu tiên có kinh nghiệm trong lĩnh vực ngân hàng - tài chính - Ưu tiên có chứng chỉ hoặc có kinh nghiệm sử dụng thành thạo công cụ truy xuất, biến đổi dữ liệu: SQL, Tableau, Power BI, Oracle, Data visualization - Toeic 450 hoặc chứng chỉ tương đương",Lương: Cạnh tranh,15-11-2023
Ngân Hàng TMCP Quân Đội,"Mô tả Công việc 1. Thực hiện xây dựng, thu thập các dữ liệu phục vụ cho việc xây dựng mô hình phân tích dữ liệu theo mảng nghiệp vụ được phân công 2. Hỗ trợ xây dựng kho lưu trữ dữ liệu đặc điểm làm nguồn đầu vào cho các mô hình phân tích dữ liệu kinh doanh trên lĩnh vực được phân công 3. Tham gia xây dựng và phát triển các mô hình phân tích phục vụ ra quyết định kinh doanh trên lĩnh vực được phân công 4. Tham gia công tác điều chỉnh, tối ưu hóa các mô hình phân tích phục vụ ra quyết định kinh doanh trên lĩnh vực được phân công",Chuyên viên/CVCC Mô hình kinh doanh (Data scientist) - Khối Dữ liệu,Hà Nội,"Yêu Cầu Công Việc - Tốt nghiệp Cử nhân chuyên ngành kinh tế, tài chính, ngân hàng, khoa học dữ liệu, khoa học máy tính, thống kê, Toán tin... hoặc các chuyên ngành liên quan - Ưu tiên có kinh nghiệm từ 01 năm phân tích dữ liệu, khoa học máy tính hoặc các vị trí tương đương làm việc với dữ liệu lớn, có kinh nghiệm xây dựng các mô hình dự đoán, học máy. Ưu tiên có kinh nghiệm trong lĩnh vực ngân hàng - tài chính - Ưu tiên có chứng chỉ hoặc có kinh nghiệm sử dụng thành thạo công cụ truy xuất, biến đổi dữ liệu: SQL, Tableau, Power BI, Oracle, Data visualization - Toeic 450 hoặc chứng chỉ tương đương",Lương: Cạnh tranh,04-12-2023
DatvietVAC Group Holdings,Mô tả Công việc Analyze and organize raw data Build data systems and pipelines Evaluate business needs and objectives Ensure data quality Serving data based on requirements Collaborate with data scientists and architects on several projects. Assigment of line supervisor.,Data Engineer,Hồ Chí Minh,"Yêu Cầu Công Việc Previous experience as a data engineer or in a similar role. Hand-on experience in setup the data processing pipeline system. Technical expertise with data models, data mining, and segmentation techniques. Knowledge of programming languages (e.g. Java and Python). Hands-on experience with SQL database design. Great numerical and analytical skills. Degree in Computer Science, IT, or similar field; a Master’s is a plus",Lương: Cạnh tranh,05-12-2023
CÔNG TY TNHH CÔNG NGHỆ ASILLA VIỆT NAM,"Mô tả Công việc Research, understand, and propose novel methods for Computer Vision tasks related to Multiple Camera Object Tracking (MCT), 3D Estimation Research, propose, implement, and test MCT and 3D mapping algorithms Catch up and understand the state-of-the-art studies, especially in the MCT or 3D domain Analyze the issues and give ideas to improve the current system Survey and understand the advantages/disadvantages of competitors",AI Researcher,Hà Nội,"Yêu Cầu Công Việc The ideal candidate should have a degree in computer science, mathematics, or a related field, with a minimum of 3 years of experience in Machine Learning and Deep Learning At least 3 years of experience working as an AI Engineer, AI Researcher, or Data Scientist position At least 2 years of experience working on 3D Computer Vision domains such as 3D Object Detection, Depth Estimation, or 3D Mesh Reconstruction Experience in 3D data processing such as depth information, point cloud, etc. Solid foundation in probability, linear algebra, and space geometry Deep understanding of the multi-view geometry of the camera, a variety of matrix factorization algorithms, linear equation solutions, and spatial coordinate transformations in different coordinate systems Experience in deploying Deep Learning models onto real environments such as edge devices Proficient in frameworks such as PyTorch or TensorFlow Proficient in Python. C/C++ is a plus Good logical and critical thinking skills, hard-working and responsible at work Able to communicate and work in a team",Lương: Lên đến 55 Tr VND,29-11-2023
