companyName,description,jobName,location,require,salary,timePost
Công ty Tài Chính Cổ Phần Tín Việt,"Mô tả Công việc 1. Thực hiện các công việc được giao liên quan đến: Cài đặt, cấu hình, theo dõi, xử lý sự cố và hỗ trợ các hạ tầng liên quan đến các ứng dụng lớp giữa và hệ quản trị cơ sở dữ liệu. 2. Chịu trách nhiệm chính cho việc quản trị cơ sở dữ liệu bao gồm: Oracle, Microsoft SQL, MySQL, … 3. Chịu trách nhiệm chính cho việc quản trị phần mềm lớp giữa bao gồm: Websphere, WebLogic, JBoss, Tomcat, IIS, … 4. Đảm bảo vận hành theo đúng quy trình và cập nhật thường xuyên các quy trình vận hành hệ thống liên quan. 5. Thực hiện các công việc khác do cấp trên giao phó.",Database Administrator,Hồ Chí Minh,"Yêu Cầu Công Việc 1. Tốt nghiệp Đại học trở lên chuyên ngành CNTT hoặc bằng cấp tương đương. 2. Kinh nghiệm làm việc: tối thiểu làm 02 năm về Database Oracle, Microsoft SQL, MySQL . 3. Có kinh nghiệm cài đặt và quản trị Hadoop là một lợi thế. 4. Có kinh nghiệm làm việc với Database NoSQL như HBase, Casandra, hoặc MognoDB là một lợi thế. 5. Có kinh nghiệm làm việc tích hợp data với nhiều loại data sources. 6. Có kinh nghiệm làm việc quản trị các phần mềm hệ thống Middleware như WebLogic, JBOSS, Tomcat, IIS. 7. Am hiểu mô hình hoạt động của các hệ thống web. 8. Có Các bằng cấp/ chứng chỉ như: OCA và OCP là một lợi thế. 9. Có khả năng phối hợp nhóm tốt 10. Chịu được áp lực công việc, chấp nhận trực, theo dõi hệ thống và xử lý sự cố bất cứ khi nào. 11. Có kỹ năng nghiên cứu, phân tích, xử lý vấn đề 12. Có tính tuân thủ cao, nghiêm túc thực hiện đúng theo quy trình quản trị",Lương: Cạnh tranh,05-12-2023
Indo Trans Logistics,"Mô tả Công việc Duties and responsibilities include, but are not limited to: Be responsible for planning and system administration procedures - Plan the system capacity to ensure for the long-term development on business strategic objectives. - Assess risks and identify vulnerabilities of systems to analyze business impacts. - Building the recovery plan to mitigate or prevent the disaster in order to ensure the business operations continuously. - Managing the configurations, incidents and changes constantly to support for ICT governance. - Building up the policies and procedures to create ICT resources for newcomers or disable all resources of terminated/resigned staffs to ensure the highest security of information systems Be responsible for operational administration: - Main administration of server hardware, server operating systems, applications, services, configurations and databases on both Windows and Unix/Linux environment of entire enterprise systems (email, active directory, applications, database, website and others) - Managing user accounts, permissions and access rights as well as allocating ICT resources within approved policies and standards. - Monitor and test application performance for potential bottlenecks, identify possible solutions, and work with developers to implement those fixes. - Ensure the Confidentiality, Integrity and Availability of entire Corporation data on user’s computers, storages, databases as well as transferring data on network. - Optimizing and tuning the application and database system to ensure the performance as robustness as possible - Ensuring Corporation’s data to be monitored and audited strictly as well as implementing backup/restore procedure periodically. - Cooperating with Vendors and internal teams to ensure the system implementation on time, on project and on budget.",ICT System & Database Administrator,Hồ Chí Minh,"Yêu Cầu Công Việc Experienced in System and Database administrator at least 2 years. Strong knowledge and experience in administrating Enterprise applications on Windows Server/Unix/Linux. Strong knowledge and experience of MS SQL, MySQL or similar database management systems. Knowledge of web servers, web applications on both Windows and Linux environment such as IIS, Apache, Nginx, or others. Experience with virtualization and containerization (e.g., VMware, Hyper-V, Docker). Must be able to obtain and maintain a government security clearance. System and service monitoring solutions (Zabbix, Prometheus, Grafana, Opsgenie). Understanding scripting skills. Nice to have: - Network skills. Good knowledge and experience in Networking and Security - Nginx, HAProxy, - Kafka - Kubernetes - AWS",Lương: Cạnh tranh,06-12-2023
Công Ty Cổ Phần VNG,"Mô tả Công việc VNG Solutions is a subsidiary of VNG Corporation, a reputable Vietnamese provider of IT services and technology on a global scale. With its key markets in the Middle East, the US, and Europe, VNG Solutions's headquarters in Vietnam is dedicated to providing enterprise-level services and empowering customers and society to advance decisively into the digital future. VNG Solutions provides top-notch services while strictly adhering to international standards. We remain in the public eye as experts in \"the next big technologies”. VNG Solutions will provide you with a creative environment with an emphasis on B2B services, where you will have the opportunity to foster your abilities and learn about various technologies to advance your career. We are dedicated to the development and well-being of our staff members while creating a supportive work environment that allows them to reach their greatest potential. We are seeking a talented and experienced Middle/Senior Database Administrator with expertise in Microsoft SQL Server to join our dedicated team. The ability to communicate effectively in English or Arabic is essential as you will be interfacing with customers. If you are passionate about managing and optimizing MSSQL databases and ensuring their reliability, we want to hear from you. • Manage and maintain Microsoft SQL Server databases, ensuring high availability, security, and optimal performance. • Design, implement, and oversee database architecture, including data modeling, indexing, and query optimization. • Perform database installations, configurations, and upgrades, staying up-to-date with the latest MSSQL versions. • Monitor database performance and troubleshoot issues proactively to minimize downtime. • Implement backup and recovery strategies to safeguard data integrity. • Collaborate with development and IT teams to support application integration with the database. • Perform regular database maintenance tasks, such as patching, tuning, and capacity planning. • Ensure compliance with data security and privacy regulations and implement access controls. • Work on disaster recovery planning and testing to mitigate data loss and system downtime. • Stay current with MSSQL best practices and industry trends, making recommendations for improvements.","Senior Database Administrator (Microsoft SQL Server), VNG Solutions",Hồ Chí Minh,"Yêu Cầu Công Việc • Bachelor's degree in Computer Science, Information Technology, or a related field. Advanced degrees or relevant certifications (e.g., Microsoft Certified: Azure Database Administrator Associate) are a plus. • Proven experience as a Database Administrator with a focus on Microsoft SQL Server. • In-depth knowledge of MSSQL database management, performance optimization, and troubleshooting. • Proficiency in scripting and automation for database tasks (e.g., T-SQL, PowerShell). • Strong understanding of database security, backup and recovery, and disaster recovery strategies. • Experience with SQL Server Reporting Services (SSRS) and Integration Services (SSIS) is a plus. • Good communication skills in English or Arabic, both written and spoken. • Ability to work effectively both independently and as part of a team. • Strong attention to detail and organizational abilities.",Lương: Cạnh tranh,08-12-2023
CÔNG TY TÀI CHÍNH BƯU ĐIỆN,"Mô tả Công việc 1. Chịu trách nhiệm quản trị và vận hành các hoạt động liên quan đến cơ sở dữ liệu như lên kế hoạch, cài đặt, cấu hình, tối ưu, backup, security, v.v. nhằm đảm bảo hệ thống luôn sẵn sàng cho người dùng truy cập. 2. Định kỳ lập báo cáo về chất lượng dữ liệu toàn hàng và đề xuất các biện pháp cải thiện phù hợp. Thực hiện xây dựng, vận hành và quản trị về mặt nghiệp vụ hệ thống quản lý chất lượng dữ liệu; 3. Đảm bảo hệ thống cơ sở dữ liệu hoạt động 24/7 với thời gian downtime thấp nhất; 4. Tìm, phân tích (troubleshooting) và xử lý các lỗi liên quan đến cơ sở dữ liệu. 5. Chịu trách nhiệm chính cho việc quản trị phần mềm lớp giữa bao gồm: Websphere, WebLogic, JBoss, Tomcat, IIS, … 6. Thực hiện các công việc được giao liên quan đến: Cài đặt, cấu hình, theo dõi, xử lý sự cố và hỗ trợ các hạ tầng liên quan đến các ứng dụng lớp giữa và hệ quản trị cơ sở dữ liệu. 7. Đánh giá và đề xuất các công nghệ cơ sở dữ liệu mới.",Chuyên viên Quản trị cơ sở dữ liệu (Database Administrator),Hà Nội,"Yêu Cầu Công Việc Tốt nghiệp Đại học trở lên chuyên ngành CNTT hoặc bằng cấp tương đương. Kinh nghiệm làm việc: 02 năm trong lĩnh vực quản lý dữ liệu/ quản trị cơ sở dữ liệu. Trong đó có kinh nghiệm làm việc trong tổ chức tín dụng, Ngân hàng, doanh nghiệp có quy mô lớn (> 1500 nhân viên) là 1 lợi thế. Hiểu biết về các hệ thống công nghệ thông tin ứng dụng trong hoạt động Ngân hàng, tài chính; Am hiểu các mô hình hoạt động của hệ quản trị cơ sở dữ liệu: Sao lưu, phục hồi dữ liệu tại thời điểm bất kỳ; Oracle RAC, Oracle data guard, Enterprise Manager, Oracle GoldenGate; Replication (realtime) Tuning Có kinh nghiệm làm việc quản trị các phần mềm hệ thống Middleware như WebLogic, JBOSS, Tomcat, IIS. Có kinh nghiệm làm việc trên các hệ thống: Linux, UNIX, AIX, Redhat Có kiến thức, kinh nghiệm về quản lý dịch vụ CNTT (ITMS, ITIL) Có kiến thức, kinh nghiệm về bảo mật dữ liệu (PII, PCIDSS) Có Các bằng cấp/ chứng chỉ như: OCA và OCP là một lợi thế. Đọc hiểu tài liệu Tiếng Anh",Lương: 18 Tr - 23 Tr VND,02-12-2023
Tổng công ty Cổ phần Bảo hiểm Bưu điện,"Mô tả Công việc 1. Team Post and Telecommunication Insurance Corporation (PTI) is currently the largest non-life insurer with largest sales and service network in Vietnam. PTI is developing a Data team with an ambitious mission of implementing a brand-new Data Strategy to better serve our customers, manage risk and find new business opportunities. 2. Role Description We are looking for a Data Analyst to join PTI and to be part of our journey in developing Data Analytics/AI solutions for PTI as a part of VNDirect’s ecosystem. 3. Responsibilities - Work with various stakeholders to define and monitor KPIs across the company - Explore/Analyze vast data from PTI to understand and normalize company’s data - Build dashboards and ad hoc reports to analyze and present data associated with business and product performance, business operations, risk management and strategic decision making - Support development of predictive models to support strategic and operational initiatives",Data Analyst,Hà Nội,"Yêu Cầu Công Việc - Bachelor‘s degree in Data Science, Statistics, Computer Science or Finance/Economics with Data Analytics skillset - 1+ years working experience as a data analyst - Demonstrable experience working with PowerBI or similar data analytics and data visualization tools - Have a strong foundation on SQL and Python - Capable of working in an interdisciplinary/cross-functional environment - Strong foundation on statistics & probability",Lương: Cạnh tranh,08-12-2023
"NGÂN HÀNG MIZUHO BANK, LTD.- CHI NHÁNH THÀNH PHỐ HÀ NỘI","Mô tả Công việc Main tasks: • To provide adequate system administration, operation and maintenance activities for Branch’s IT systems & ensure the system availability and safety. • To be a database administrator • To provide technical support to internal or external end-users. Our Offer: • Professional working environment • Competitive salary • 13th month salary • Performance bonus • Health care insurance & accident insurance • 16 days annual leave",Senior Clerk - IT Admin - IT Department,Hà Nội,"Yêu Cầu Công Việc Requirements: • University degree in computer sciences or above; • Responsible, accurate and able to work under high pressure and to strict deadlines; • Good skills of teamwork, communication, reporting & interpersonal; • Fluent in Vietnamese and English (both oral & written) • Good understanding in network/system administration. The title can be adjusted according to the experience and ability of the selected candidate. • Certifications: o MCSA/MCDBA (Mandatory); o CCNA, CCNP, etc (Advantage)",Lương: Cạnh tranh,23-11-2023
CÔNG TY TNHH TALENTVIS VIỆT NAM,"Mô tả Công việc Compile, analyze and report sales data Provide actionable insights to Sales Head and BOM Monitor and analyze customers, competitors and market trends Monitor and evaluate sales performance by sales channel, by product and by sales branches and sales team. Analyze sales promotion and sales campaigns effectiveness and provide recommendations Contribute to the development of sales plans and objectives Other tasks assigned by Line Manager and CMD",Sales Analyst/ Data Analyst,Hà Nội,"Yêu Cầu Công Việc Minimum 3 year working experience, preferably in finance reporting, market research, data analyst Proficient in English Proficiency in Excel, BI tools, SQL Strong verbal, written communication and presentation skills Multi-tasking & effective time management Critical thinking, result oriented and can do attitude Integrity, Accountability and Ownership Proactive, enthusiastic at work, and able to work under pressure.",Lương: 30 Tr - 40 Tr VND,13-11-2023
Công Ty TNHH Taisun Việt Nam,"Mô tả Công việc Work with various stakeholders of commercial and DMS system to define and monitor KPIs across Sales Capability Explore/ Analyze vast data from DMS (Sell Out) And ERP to understand and normalize Sales Capability. Buil dashboards, ad hoc reports and Map Visual to analyze and present data associated with Distribution, Salesforce, Retailers and Product performance, by Distribution, Province & Region, business operations, risk management and strategic decision making. Support development of predictive models to support strategic and operational initiatives. Support Daily Tracking & audit of DMS information & Sales Performance Other tasks are assigned by the department head.",Data Analyst Supervisor,Hồ Chí Minh,"Yêu Cầu Công Việc University graduation major Finance, Accounting, Business Administration, Data Science, Statistics; Demonstrable experience working with PowerBI or similar data analytics and data visualization tools. 2+ years working experience as a data analyst. Have a strong foundation on SQL and Python, Excel VBA. Capable of working in an interdisciplinary/cross-functional environment. Strong foundation on statistics & probability. Ready for Business Trip when needed. * Benefits: Annual leave: 12 days/year (< 5 yos), 13 days/year (5<10 yos), 14 days/year (10+ yos) Annual bonus (avg. 1.5 month); Labor day bonus; Mid-Autumn bonus; Absenteeism bonus; Reward for Outstanding employee/dept; Insurance pay on total salary; Free products; Marital/Funeral/Sickness support; Touring trip/Touring fee; . Birthday gift; . Int'l Women day's gift; .Vietnamese women day's gift; Children day's gift; Year-end gift; . No interest loan for emergent needs; . Training on the job.",Lương: 14 Tr - 22 Tr VND,07-12-2023
Hanwha Life Insurance Company Limited (Vietnam),"Mô tả Công việc Applying knowledge of programming techniques and computer systems for evaluates user request for new or modified program or change request to: Analyze the business need and impact of new products and services on the system and suggest solutions. Analyze the impact of the current functionalities in the systems as a statistical study of traffic patterns, system performance impact, data impact… Determine feasibility, cost, and time required compatibility with the current system, and computer capabilities. Consult with end-users to identify current operating procedures and clarify program objectives. Find and learn ways via trending practices from periodicals forums, and technical reports, articles to develop programs that meet user requirements and compatibility with the current systems. Do database design, and functional design by stored procedure based on user requirement document (URD) and business specifications document (BSD) Coding to meet user requirements based on BSD with the main program language used being Oracle Database PL/SQL Write technical documents after application development, logic coding, and corrections Write guide documents for deployment to all environments as SIT, UAT, production (PRD) systems. Self-deploy to development/UAT systems, and support infrastructure to deploy to PRD Do unit testing, support end-users for testing in all stages Benifits: Competitive salary (100% salary during probation). Bonus: 13th-month salary and the performance-based bonus of up to 30% of the total annual package. Full social insurance, personal accidental & health care insurance, group life insurance (death and dismemberment). Provide an advanced Health Medical pre-check-up from the 1st week of your probation. Gifts for new comers and on special occasions Modern facilities in the spacious office 15 Annual leaves",Program Analyst Senior Executive (Database Developer),Hồ Chí Minh,"Yêu Cầu Công Việc Graduated University/ College Having ability to design system and system architecture. Skills in programming & business are required More than 7 years of IT development experience and more than 4 years of development experience Have more than more +3 years of working in industries are Insurance, Finance, Securities, Banking, Manufacturing, E-commerce and a deep understanding of these industries. Over 5 years of experience in Java web development, information architecture, and related concepts and technologies, with a focus on Java framework (Strut2, Java Spring Boots, Java Spring MVC..) Over 3 years of experience in Web services development (REST/SOAP). Over 2 years experiences in Front End development with CSS3, HTML/ HTML5, Bootstrap, JS, Jquery… Have knowledge of Java technologies like Java framework like Spring Boots/ Spring MVC/Hibernate/Strut2… Good knowledge of object-oriented system design and software development processes. Have more experience in software architecture and model design like Micro Services, Multi-Tenant, and SaaS Have more experience in development with MVC Model, DDD (domain-driven design) model… Have more than 02 years of working with Database Oracle/MS SQL in Database Design and Database development. Understanding and using to deploy middleware systems like Message Queue, Cache, Log, and API Gateway is a plus. .Net knowledge is preferred",Lương: 22 Tr - 33 Tr VND,30-11-2023
CHI NHÁNH CÔNG TY TNHH TRANSCOSMOS VIỆT NAM TẠI THÀNH PHỐ HỒ CHÍ MINH,"Mô tả Công việc 1. Forecasting • Perform analysis and forecast volumes – Day of the month / Day of the week / Hour of the day • Perform Headcount forecast based on the volume received/EWS/Training throughput 2. Rostering & Scheduling • Prepare rosters and schedules as per the volume forecasted • Monitor attendance and schedule adherence • Prepare intraday reports on staff attendance • Ensure Login Adherence - Reconcile attendance with employee login hours against schedule and • Analyze AL submissions and approve/deny based on their effect on operations • Manage changes to scheduling to ensure adequate daily resource coverage 3. Performance Management • Maintain data required for measuring the agent performance in the defined format (PBI, Excel, etc.) • Perform KPI ranking for employees based on the grids / parameters for the LOBs 4. MIS and Reporting • Prepare and publish productivity/quality report for employees (PBI) • Prepare TL Dashboard – Team performance by supervisors for managers’ review • Maintain tracker with list of employees with their status (active/inactive), client account, contact details 5. Billing • Provide and consolidate data required for preparing Minutes of Acceptance (Login hours/Attendance/OT/Volume) • Calculate the unit/headcount as per client approved Email/Contract • Check and prepare Bonus & Penalty (if applicable) • Send billing data to Operations/Client for review/approval • Compliance • Alert Operations when client account isn't deleted in a timely manner (upon employee's resignation) • Alert Operations or higher-level management upon finding frauds • Communicate with management and operations team to ensure compliance with company standards",Data Analyst/ Workforce Management Analyst,Hồ Chí Minh,"Yêu Cầu Công Việc At least 1 - 2 years experience in Workforce Management Analyst or Data Analyst or Business Analyst Advance Excel; Power BI & SQL is plus Researching, Planning, Reporting, Presentation, Communication Problem-solving mindset Logic and critical thinking mindset Attention to details Willing to learn and open to new ideas/areas English Basic",Lương: 14 Tr - 17 Tr VND,28-11-2023
