companyName,description,jobName,location,require,salary,timePost
Elofun Entertainment,"Mô tả Công việc • Take part in the development of games using Unity Engine/ Cocos… • Program, debug and optimize codes to implement the gameplay ideas into game prototype, and polish the prototype to be ready for publishing • Actively detect issues on programming side, take initiative and propose solutions to prevent and solve those issues • Analyze existing features of the game and making changes to meet current needs • Constantly learn and stay in touch with evolving game standards and development technologies • Submit constructive opinions • Program medium-scale functionality; debugging their own code • Use classic data structures and algorithms as well as resource-management techniques • Identify problems and resulting dependencies • Provide plans that accounts for assignment of their tasks, dependencies and time • Document all technical skills and experience to enrich team’s knowledge",Game Developer,Hồ Chí Minh,"Yêu Cầu Công Việc Experience: • Experience of 2D/3D game development using Unity; Cocos Creator, etc… • Experience with Unity scripting, textures, animation, particle systems, 3D assets, physics • Experience with Cocos Creator scripting, textures, animation, particle systems, physics • Experienced with iOS/Android/PC platforms is a plus • Experienced with implementing automated testing platforms and Unit tests is a plus • Experienced with cloud platforms is a plus Knowledge: • Knowledge of native languages Typescript, Javascript • Knowledge in 3D mathematics (Linear algebra, arrays, vectors) is a plus • Knowledge of current game engines and tools (Unity, Cocos Creator) or physics engines (Bullet/Physx/etc) is a plus • Knowledge of Shader Graph; Editor Inspector is a plus • Knowledge of online communication and networking technologies • Knowledge of computer graphic & experience of Design Patterns • Knowledge with AR/VR/XR is a plus • Good at Algorithm, Math and Physic • Good at Code Creation",Lương: Cạnh tranh,12-11-2023
Công Ty Cổ Phần VNG,"Mô tả Công việc Work with internal team to communicate with Korean partners Constantly communicate with partners via chat, email, and phone. Translate documents and interpret in the meetings with partners Be able to understand Team’s operation plan and clearly communicate to partners Follow, check and remind partners and internal team to make sure all things are as plan Translate and send reports of business results to partners Maintain and develop long term and quality relationships with game developers Experience and research game versions in advance as well as support new game research when needed","Product Coordinator (Games, Korean required)",Hồ Chí Minh,"Yêu Cầu Công Việc Bachelor’s degree or higher in Korean language, TOPIK level 6. Fluent in Korean Aggressive and collaborative working style Ability to work independently and as a team. Excellent coordination, managing and communication skills Embrace challenges, eager for fast-pace growing and learning Working experience in the fields of information technology, Internet, working experience in game field is an advantage",Lương: Cạnh tranh,18-11-2023
CÔNG TY CỔ PHẦN TRÒ CHƠI GIÁO DỤC VIỆT,"Mô tả Công việc Tạo ra âm thanh, tiếng động, hiệu ứng âm thanh... trong game theo kịch bản sao cho phù hợp nhất. Thực hiện thu âm và xử lý âm thanh sau khi thu. Phối hợp với các bộ phận liên quan để phối hợp tạo ra sản phẩm hoàn thiện. Chi tiết công việc sẽ trao đổi trong vòng phỏng vấn.",Chuyên Viên Hậu Kỳ Âm Thanh Game,Hà Nội,"Yêu Cầu Công Việc Có ít nhất 1 năm kinh nghiệm chuyên nghiệp về lĩnh vực tạo âm thanh và nhạc cho trò chơi điện tử hoặc phim hoạt hình (cần có portfolio/các bản demo) Có kiến thức về nội dung nhạc tương tác Ưu tiên có kinh nghiệm trong trong thiết kế âm thanh cho phim hoạt hình hoặc trò chơi dành cho trẻ em PHÚC LỢI Thưởng kỳ, KPIs, thưởng dự án không giới hạn Ít nhất 1 lần/năm Môi trường làm việc trẻ trung, năng động, có nhiều câu lạc bộ để bạn tham gia. ĐỊA ĐIỂM LÀM VIỆC Dịch Vọng, Cầu Giấy, Hà Nội, Việt Nam",Lương: Cạnh tranh,05-12-2023
DJRecruit Asia Company Limited,"Mô tả Công việc How would you like to join a Tier 1 IT Company in Vietnam to learn, grow personally and professionally, and build high-quality products trusted by clients around the globe? We are looking for a Java Software developer responsible for building Java applications. This includes anything between complex groups of back-end services and their client-end (desktop and mobile) counterparts. Your primary responsibility will be to design and develop these applications, and to coordinate with the rest of the team working on different infrastructure layers. Thus, a commitment to collaborative problem-solving, sophisticated design, and product quality is essential. RESPONSIBILITIES: Translate application storyboards and use cases into functional applications. Contribute to all phases of the development lifecycle. Design, build, and maintain efficient, reusable, and reliable Java code. Ensure the best possible application performance, quality, and responsiveness. Identify bottlenecks and bugs, and devise solutions to these problems. Help maintain code quality, organisation, and automatisation. Support continuous improvement by investigating alternatives and technologies and presenting these for architectural review. Directly report to Project Manager/Team lead on daily assignments.",Software Developer (Java),Hồ Chí Minh,"Yêu Cầu Công Việc REQUIREMENTS: To be a successful candidate for this role, you have to: Bachelor’s degree in Computer Science or equivalent work experience Minimum 1-year experience in Java programming Good knowledge of Core Java, Servlet/JSP, JDBC, SOAP/RESTful, Hibernate, Spring, Spring MVC/Strut/JSF, Web service, Oracle, MSSQL and a solid understanding of OOP, design, and architectural patterns Familiarity with Responsive web design, HTML5, CSS3, and Bootstrap is preferred. Familiarity with any JavaScript framework: AngularJS/React/ BackboneJS/Knockout JS is preferred. N3+ Japanese skill Good English communication skills, interpersonal and collaboration skills, and strong team working ability.",Lương: Cạnh tranh,18-11-2023
Tan Hiep Phat Group,"Mô tả Công việc - Thiết kế, xây dựng, triển khai, quản lý, vận hành và bảo trì hệ thống công nghệ thông tin bao gồm các hệ thống phần mềm, website, ứng dụng di động và các hệ thống khác trong lĩnh vực Kỹ thuật phát triển Ứng dụng CNTT None ERP luôn vận hành an toàn và thông suốt + Trao đổi với bộ phận phân tích nghiệp vụ để hiểu rõ và nắm bắt nhu cầu mới tư vấn giải, pháp, thực hiện phát triển, vận hành và bảo trì hệ thống công nghệ thông tin trong lĩnh vực kỹ thuật phát triển ứng dụng CNTT None ERP luôn vận hành an toàn và thông suốt. + Tham gia thử nghiệm các công nghệ mới nhằm cải tiến, phát triển công nghệ thông tin của Công ty trong lĩnh vực kỹ thuật phát triển ứng dụng CNTT None ERP + Tham gia thực hiện rà soát và tìm kiếm các lỗ hổng hay nguy cơ trong hệ thống CNTT trong lĩnh vực kỹ thuật phát triển ứng dụng CNTT None ERP có thể gây thất thoát và ảnh hưởng đến tính toàn vẹn của hệ thống, từ đó đưa lên các phương án và lộ trình khắc phục đảm bảo tính liên tục trong việc vận hành hệ thống phục vụ cho Công ty + Tham gia triển khai cùng các đối tác để đưa các CNTT mới vào các hoạt động thực tế trong Công ty nhằm đáp ứng nhu cầu phát triển trung và dài hạn của Công ty trong lĩnh vực kỹ thuật phát triển ứng dụng CNTT None ERP + Thực hiện phân quyền cho người dùng các ứng dụng về kỹ thuật phát triển ứng dụng CNTT None ERP nhằm đảm bảo thực hiện đúng quy định + Tham gia xử lý và khắc phục các sự cố liên quan đến hệ thống CNTT trong hoạt động hàng ngày của người dùng trong lĩnh vực kỹ thuật phát triển ứng dụng CNTT None ERP của Công ty và đảm bảo sự tiện dụng của người dùng + Tham gia thực hiện các giải pháp phòng ngừa các rủi ro trong lĩnh vực kỹ thuật phát triển ứng dụng CNTT None ERP đảm bảo ngăn ngừa các rủi ro và sự cố an toàn công nghệ thông tin. + Vận hành chu trình phát triển phần mềm trong lĩnh vực kỹ thuật phát triển ứng dụng CNTT None ERP theo tiêu chuẩn DevOps (Phát triển mới, Quản lý sự thay đổi, Theo dõi và phối hợp xử lý lỗi, Kiểm thử và bàn giao). - Tham gia rà soát, kiểm kê định kỳ về tài nguyên CNTT trong lĩnh vực Kỹ thuật phát triển ứng dụng None ERP bao gồm phân quyền tài nguyên, bản quyền phần mềm đảm bảo các tài nguyên CNTT được cấp phát đúng quy định + Tham gia rà soát, kiểm kê định kỳ về tài nguyên CNTT trong lĩnh vực Kỹ thuật phát triển ứng dụng None ERP bao gồm phân quyền tài nguyên, bản quyền phần mềm, dịch vụ hosting đảm bảo các tài nguyên CNTT được cấp phát đúng quy định và hoạt động ổn định",Mobile Developer (Flutter),Bình Dương,"Yêu Cầu Công Việc Tốt nghiệp Đại Học CNTT. Hiểu và áp dụng đầy đủ vòng đời của phát triển phần mềm từ giao diện tới sử lý phần nền của hệ thống. Thành thạo các ngôn ngữ lập trình: Flutter Kiến thức tốt trong Web services(RESTFUL API, JSON) Đọc hiểu tốt tài liệu kỹ thuật chuyên ngành CNTT Kỹ năng tiếng Anh giao tiếp tốt là 1 lợi thế Kỹ năng vi tính văn phòng tốt Có ít nhất 3 năm kinh nghiệm làm việc trong lĩnh vực phát triển phần mềm.",Lương: Cạnh tranh,05-12-2023
Công ty TNHH Công nghệ Ezlabs,"Mô tả Công việc - Thiết kế bộ nhận diện thương hiệu cho game mobile: Logo, Poster, App Icon, Screenshots, Covers,… - Thiết kế các sản phẩm phục vụ cho các hoạt động quảng bá sản phẩm: Banners, Posters, Game Backgrounds, Landing pages,… - Phối hợp chặt chẽ cùng các team nội bộ để đảm bảo tiến độ và chất lượng của sản phẩm thiết kế. - Đề xuất, xây dựng các ý tưởng mới áp dụng vào trong game",Graphic Designer- Mobile Game,Hà Nội,"Yêu Cầu Công Việc - Có 01 năm kinh nghiệm trở lên ở vị trí tương đương LÀM VỀ GAMES - Có kiến thức tổng quan về nguyên lý thiết kế, cảm thụ màu sắc, hình khối và bố cục tốt. - Sử dụng thành thạo các công cụ thiết kế hình ảnh ( Adobe Photoshop, Ilustrator...). - Biết vẽ tay và có kiến thức về digital painting - Yêu thích manga, anime; đam mê các thể loại game đối kháng là một lợi thế",Lương: 15 Tr - 25 Tr VND,09-12-2023
CÔNG TY CỔ PHẦN TẬP ĐOÀN CÔNG NGHỆ GIÁO DỤC FUTURELANG,"Mô tả Công việc Xây dựng, phát triển các ứng dụng mobile app bằng React Native dựa theo design, API được cung cấp. Phối hợp làm việc với team sản phẩm, UI/UX và Backend để thiết kế, xây dựng và mở rộng ứng dụng. Xây dựng các components có khả năng tái sử dụng cho Mobile trên nên tảng React Native Đánh giá, nắm bắt các kĩ năng và xu hướng công nghệ mới, áp dụng để cải thiện phần mềm",[Junior] Mobile Developer (React Native),Hà Nội,"Yêu Cầu Công Việc Ưu tiên 1 năm kinh nghiệm làm dự án phát triển ứng dụng trên mobile. Thành thạo REACT NATIVE Có kinh nghiệm: JavaScript , Restful API, JSON, XML, SOAP , UNIT TEST. Có thể sử dụng công cụ Version Control như Git. Có kinh nghiệm và hiểu biết về ReactJS là 1 lợi thế (không bắt buộc). Khả năng phân tích tình huống và xử lý vấn đề nhanh, kinh nghiệm về UI/UX. Có kinh nghiệm sử dung và làm việc với các hệ quản trị CSDL MySQL, MongoDB là một lợi thế. Quyền lợi -Lương hàng tháng 15-20tr+ thưởng -Lương tháng 13 và thưởng theo dự án -Môi trường làm việc năng động, cấp trên tâm lý nhiều kinh nghiệm, đồng nghiệp trẻ hỗ trợ đồng đội cùng phát triển. -Chế độ BHXH, BHYT và nghỉ Lễ Tết, nghỉ phép theo quy định của Nhà nước. -Team Building hàng tháng, Du lịch hàng năm",Lương: 15 Tr - 20 Tr VND,14-11-2023
Công Ty Cổ Phần Le & Associates,Mô tả Công việc Thời gian làm việc : T2-T6 ( 8h30 -17h30) Tiếp nhận tài liệu giải pháp kỹ thuật từ BA. - Nhận thực hiện công việc từ Technical leader - Thực hiện lập trình hệ thống theo tài liệu giải pháp kỹ thuật ( Odoo trong hệ thống nhân sự và tài chính) - Thực hiện Unit test trước khi chuyển qua QC - Báo cáo công việc cho Technical Leader - Phân tích xử lý quá trình triển khai phần mềm,Software Developer (Odoo/ERP) - Phát triển phần mềm,Hồ Chí Minh,"Yêu Cầu Công Việc • Ít nhất 1 năm kinh nghiệm Odoo trong phát triển & triển khai ERP cho nội bộ. • Có kiến thức về Python, SQL, OOP, PostgresSQL, Docker. • Có kiến thức tốt về HTML/ CSS/ JavaScript. • Ưu tiên hiểu biết về (kinh nghiệm ) về vận hành và hoạt động của HRM, Accounting. • Khả năng đọc hiểu bằng tiếng Anh. • Kỹ năng trình bày tốt.",Lương: 18 Tr - 28 Tr VND,26-11-2023
Công ty Cổ phần Thời Trang YODY,"Mô tả Công việc - Phát triển giao diện người dùng: Xây dựng giao diện người dùng dựa trên thiết kế từ các nhóm thiết kế hoặc UI/UX Designer. Sử dụng các ngôn ngữ và công nghệ như HTML, CSS, JavaScript để tạo ra trang web hoặc ứng dụng di động hấp dẫn và thân thiện với người dùng. - Tối ưu hóa hiệu suất: Tối ưu hóa hiệu suất giao diện để đảm bảo tải trang nhanh chóng và đáp ứng. Xử lý các yếu tố như tối ưu hóa hình ảnh, sử dụng đệm và tối ưu hóa mã nguồn. - Đảm bảo tính đáp ứng: Đảm bảo rằng giao diện hoạt động một cách đáp ứng trên nhiều thiết bị và kích thước màn hình khác nhau. - Tương tác với Backend: Làm việc với nhóm Backend Developer để tích hợp giao diện người dùng với phần Backend của ứng dụng. Giao tiếp thông tin và dữ liệu giữa Frontend và Backend thông qua API hoặc các kỹ thuật khác. - Kiểm tra và sửa lỗi: Kiểm tra và sửa lỗi trên giao diện người dùng để đảm bảo tính ổn định và chất lượng của ứng dụng. - Tương tác với thiết kế: Làm việc cùng với nhóm thiết kế để hiểu và thực hiện các thiết kế giao diện theo đúng yêu cầu và hướng dẫn thiết kế. - Nghiên cứu công nghệ mới: Theo dõi và áp dụng các xu hướng và công nghệ mới trong lĩnh vực Frontend để cải thiện trải nghiệm người dùng. - Thời gian làm việc: 8h-17h (từ Thứ 2 đến hết Thứ 7), nghỉ các Chủ nhật Quyền lợi + Cung cấp thiết bị, màn hình làm việc + Thu nhập: Open for discussion + Thưởng cuối năm: 1 - 2 tháng thu nhập, thưởng theo doanh thu, thưởng các ngày Lễ, Tết + Công ty chi trả 100% các khóa học nội bộ/ bên ngoài + Nghỉ chủ nhật, năm có 12 ngày nghỉ phép + Đóng bảo hiểm khi chính thức theo quy định + Phụ cấp Ăn trưa miễn phí tại công ty. + Được tổ chức sinh nhật, du lịch 1-2 lần/năm, hưởng các chính sách đãi ngộ đặc biệt từ công ty",Senior Frontend Developer (ReactJS),Hà Nội,"Yêu Cầu Công Việc - Kinh nghiệm làm việc với HTML, CSS, JavaScript và các thư viện hoặc framework phát triển Frontend như React, Angular, Vue.js, hoặc Ember.js. - Hiểu biết về thiết kế giao diện người dùng (UI/UX) và khả năng làm việc với các công cụ thiết kế như Adobe XD, Sketch, Figma. - Hiểu biết về các tiêu chuẩn, quy tắc truy cập trang web và ứng dụng di động. - Kỹ năng làm việc nhóm và giao tiếp hiệu quả. - Khả năng giải quyết vấn đề và tư duy logic. - Có sự chi tiết và cẩn thận trong công việc. - Hiểu biết về các công cụ kiểm tra và kiểm tra tự động (testing tools) là một lợi thế. - Kiến thức về các tiêu chuẩn bảo mật và biện pháp bảo vệ thông tin là một lợi thế. - Ưu tiên kinh nghiệm từ 2 năm trở lên",Lương: Cạnh tranh,01-12-2023
Công ty TNHH framas Korea Vina,"Mô tả Công việc · Develop and maintain web-based applications based on Microsoft .NET framework, SQL Server technology or similar · Write complex software programs from design specifications · Work with other developers to design algorithms and flowcharts · Integrate software components and third-party programs · Plan, organize, and coordinate maintenance, development, and operation of systems · Support user requests and application management · Act as a liaison between the IT department and other departments · Take responsibilty as stakeholder in technical solutions · Provide technical and analytical support to users · Analyze user requirements and convert requirements to design documents · Improve business software processes and interactions · Troubleshoot, debug, and modify existing programs · Create reports and technical documentation Working Location: · Primary: 92A Nguyen Huu Canh, Ward 22, Binh Thanh, HCMC · Secondary: framas Vietnam Ltd. (Binh Duong) / framas Korea Vina Co., Ltd.(Dong Nai)","[HCM] Fullstack Software Developer (Sharepoint, .NET, C#) (Mới)",Hồ Chí Minh,"Yêu Cầu Công Việc University/College Degree in Computer Science, IT Engineering At least 1 year experience in systems implementation with .NET, WCF, Entity Framework Good knowledge about database and Web API development as well as about programming languages like HTML, JavaScript, CSS, TypeScript, React JSC#, C/C++, .NET, Java, AJAX, jQuery, REST, HTML/CSS, XML, MVC, MVVM, Bootstraps, SQL server and other open source Microsoft stack is a plus (Office 365, Sharepoint, Azure, etc) Good English communication skills (verbal and written) Learn new technologies Work independently as well in a team Handle multiple assignments in an international environment Great analytical, problem solving and organizational skills",Lương: Cạnh tranh,09-12-2023
