companyName,description,jobName,location,require,salary,timePost
CÔNG TY TNHH CÔNG NGHỆ ASILLA VIỆT NAM,"Mô tả Công việc 1. Về chúng tôi: Asilla là startup tiên phong trong lĩnh vực trí tuệ nhân tạo, tập trung vào công nghệ nhận diện hành vi. Sau hơn 8 năm hình thành và phát triển, Asilla đã có những bước đi chắc chắn, đồng hành cùng hơn 20 khách hàng lớn tại Nhật Bản tạo ra giải pháp công nghệ tương lai và vẫn đang tiếp tục mở rộng kinh doanh sang thị trường Việt Nam và Đông Nam Á. Bên cạnh đó, công ty cũng xây dựng được sản phẩm riêng, ứng dụng AI nhận diện hành vi ứng dụng trong lĩnh vực an ninh. Với mục tiêu IPO vào năm 2024, Asilla đang rất mong chờ các bạn kỹ sư có tinh thần khởi nghiệp, muốn phát triển và thử thách bản thân trong môi trường quốc tế năng động. Gia nhập để trở thành những thành viên chủ chốt của Asilla ngay hôm nay! 2. Mô tả công việc: Tham gia vào các dự án xây dựng sản phẩm của Asilla trong mảng Computer Vision có sử dụng công nghệ Deep Learning. Các sản phẩm của công ty bao gồm: nhận diện hành động bất thường thông qua camera giám sát, multiple camera tracking, human pose estimation. Cụ thể: - Xây dựng các ứng dụng, tích hợp hệ thống sử dụng model AI - Làm việc với các thiết bị Jetson Nano, TX2, Xavier - Làm việc với các hệ thống server tại chỗ hoặc trên nền tảng Cloud AWS",Software Engineer,Hà Nội,"Yêu Cầu Công Việc Tốt nghiệp đại học chuyên ngành CNTT hoặc tương đương Tối thiểu 1,5 năm kinh nghiệm phát triển hệ thống trên Python hoặc C++, OpenCV Thành thạo với môi trường Linux Hiểu biết tốt về lập trình hướng đối tượng, đa luồng Tư duy logic tốt, chăm chỉ và có trách nhiệm trong công việc Có đam mê, và thích hợp với môi trường startup",Lương: 22 Tr - 44 Tr VND,02-12-2023
Công Ty Cổ Phần VNG,"Mô tả Công việc Develop Web Applications working independently on small tasks and work as a team player, on design and development, in collaboration with other Software Engineers on large application. Principal Responsibilities: Design and develop applications using HTML/Javascript in combination with server side technologies like PHP Maintain and modify existing applications on his own as well as under direction from seniors team members Should be willing to learn advanced tools and technologies Other duties as assigned","Software Engineer, Game Entertainment",Hồ Chí Minh,"Yêu Cầu Công Việc We are looking to hire resources in PHP/MySQL/MSSQL Teams. Must-have skills: At least 1 YOE as Fullstack Engineer Knowledge of Javascript Libs, JQuery, CSS, XML, XHTML is a must Strong Concepts of Databases (MySQL, MSSQL), OOP, PHP, (Golang is a plus) Knowledge about WebServer: Apache, IIS, Nginx Applicant should have passion for programming and love for software development Nice-to-have skills: Knowledge and experience in MVC architecture, web framework: Laravel, Symfony, Yii2, CakePHP, CodeIgniter, Zend,... JS Framework: VueJS, Angular,… Knowledge about Memcache, Queue,… Social network (Facebook App, API), Mobile application development (React Native), Java, Python,… Experience in following tools/technologies",Lương: Cạnh tranh,06-12-2023
TECHCOMBANK,"Mô tả Công việc A. JOB PURPOSE: - The job holder leads the development of projects between front and back-end development to successfully manage projects through planning, coordinating and leading activities throughout the entire delivery lifecycle. - The job holder technical support and guidance to FE and BE developers. In addition, the position has the role of an expert in the field of software development, using different programming languages (especially Java). B. KEY RESPONSIBILITIES: Software development: - Lead the development team to project delivery by providing technical guidance throughout the software development lifecycle. - Maintain high web quality standards within the team by establishing good practices - Facilitating discussions with developers, business analysts, and software engineers to plan, design, develop, test, and maintain web application technologies. - Supervise the analysis and resolution of technical and application problems - Proactively identify areas of improvement needed to improve business processes while minimizing disruption to business operations. - Assess opportunities for process adoption and improvement; Prepare documents to share with members and stakeholders. - Ensure timely delivery of projects while adhering to high quality development principles. - Assist IT team leader in developing the team's blueprint based on Techcombank's business needs and goals. Project Management - Manage project conflicts, challenges, and requirements business to maintain high performance. - Work with team leaders to resolve resource issues and project barriers, conducting root cause analysis to help teams continuously improve their methods to ensure productivity maximum. Resource development - Attract, motivate, and retain employees of all levels to ensure performance. - Develop and train fully qualified professionals. - Identify and encourage areas of growth and improvement in the Team","Senior Expert, Software Engineering (Java based)",Hà Nội,"Yêu Cầu Công Việc Qualifications - Bachelor's or Master’s degree in Computer Science, Software Engineering or Information Technology Work Experience - At least 12 years of experience in the engineering field and 4 years in management position - Proficient in programming languages related to application development (HTML, CSS, JavaScript, Java Spring boot, .NET, etc.) and willing to be hands-on coding if any - Proficient in implementing applications on Public Cloud services (AWS, GCP, Azure) - Experience in managing technical teams (with leadership and influence) and mediating in the work environment - Experience in leading and managing system/software delivery - Experience in both architecture and software design implementation Foreign language - Good English communication",Lương: Cạnh tranh,02-12-2023
Công Ty Cổ Phần VNG,"Mô tả Công việc Trust & Safety team at ZaloPay gather highly motivated team players who dedicate in building ZaloPay as the most trusted e-wallet and best against to bad actors in Vietnam fintech market. By developing and adapting advanced tech-driven prevention mechanisms/solutions while focusing on the user growth and customer experience, we aim to make risk management capability as a core and key differentiation of ZaloPay comparing to other competitors. We are looking for a savvy, motivated, team-oriented Software Engineer to join our Trust & Safety Platform team. The hire will be responsible for the full life-cycle in software development (e.g., design, implementation, testing, optimization, maintenance) of our Risk Decision Engine and its supportive risk evaluation components. This large-scale & high-availability platform must examinate all users on several steps of user journey to respond with low latency in real-time for the best on-time protection maximization. The ideal candidate is an experienced solution builder who enjoys optimizing complicated systems or building them from the ground up. The Engineer will work closely with our risk pillar owners, data engineers, machine learning engineers on new mechanism/solution initiatives and will ensure optimal system architecture is consistent throughout ongoing projects. They must be self-directed and comfortable supporting needs of multiple teams, systems and products. As a Software Engineer in our team, you will have the opportunity to: Work closely with stakeholders including Policy & Operations, Data Science team members to identify any product/functionality gaps, build and collaborate internal products and technology teams to define the necessary development to support solution delivery; Design and develop a robust, high-volume (thousand tps), low-latency (under 50ms), high-availability (zero downtime) backend platform with optimal software architecture; Participate in complex architectural discussions that involve multiple systems/services; Own implementation of modules/services/products, identify their bottlenecks, keep investing effort to maximize its quality and well prepare for scale-out readiness; Ensure the performance and quality of applications, moreover, your implementation must be reusable, testable, and efficient; Pro-actively respond in identifying and troubleshooting integration or technical issues; Work with devops engineers to identify, design, or implement internal software development process enhancement: automating manual processes, optimizing CI/CD & infrastructure for greater scalability; Work with technical expert team of Vietnam's leading online payment application; Challenge the status when needed.","Software Engineer, ZaloPay (Java - Trust & Safety Platform)",Hồ Chí Minh,"Yêu Cầu Công Việc We are looking for a candidate with 2+ years of experience in a Back-end Software Engineer role, who has attained a Graduate degree in Computer Science, Statistics, Informatics, Information Systems or another quantitative field. Preferably, you should also have the following qualifications: Experience in object-oriented programming, multi-threading, web-service programming; Proficiency in the Java programming language; Experience in relational databases such as MySQL, Postgres, etc; Experience in using caching technologies Redis, Memcache; Experience with Git source control and effective branching and release management practices; Strong critical thinking skills - you will need to understand our challenges & opportunities and apply them to innovative software solutions; Ability to debug, diagnose and resolve complex Java bugs throughout the stack/tracing log; Experience in non-relational databases such as MongoDB, Cassandra, etc. is an advantage; Be able to work independently and as part of a team; A sense of ownership and a passion for delighting customers through innovation and creative solutions to sophisticated problems; Good communication skills in a collaborative environment; Understanding and implementation of security and data protection is a plus; Demonstrated ability to learn new technologies quickly.",Lương: Cạnh tranh,07-12-2023
HR Vietnam’s ESS Client,Mô tả Công việc Our company is a production software company with details: Designing user interactions on web pages. Developing front end website architecture. Developing back-end website applications. Creating servers and databases for functionality. Ensuring cross-platform optimization for mobile phones. Ensuring responsiveness of applications. Seeing through a project from conception to finished product. Designing and developing APIs. Meeting both technical and consumer needs. Staying abreast of developments in web applications and programming languages.,Lead Software Engineer,Hồ Chí Minh,"Yêu Cầu Công Việc At least 5-7 year of working experience in the related field is required for this position. Strong organizational and project management skills Familiarity with JavaScript frameworks such as Angular JS / React / Amber Proficiency with server side languages such as Python / Node JS / Java Familiarity with database technology such as MySQL or MsSQL Familiarity with version control such as Git Basic understanding of front-end technologies and platforms, such as ReactJS, ReactNative, JavaScript, HTML5, and CSS3 Integration of multiple data sources and database into one systems Strong organizational and project management skills. Experience with REST API",Lương: 44 Tr - 77 Tr VND,20-11-2023
Yes4All Trading Services Company Limited,"Mô tả Công việc Yes4All is one of the leading brands for home sporting goods & furniture in the e-commerce market. Founded in 2010, we have strived to be in the top 1% retailers on Amazon US. Based in California with an operation office in HCMC, we have more than 400 young and talented members with expert knowledge and experience in the e-commerce industry. We are on an ambitious journey to dominate not only Amazon's sporting goods market but also to enter new e-commerce markets from many regions like Canada, Europe, Japan. Besides, Home sporting goods, Furniture, Outdoor and Gardening are also great opportunities that we desire to occupy and create significant values. With our steady knowledge in E-commerce, Yes4All started to provide end to-end ecommerce-enabler service in order to help Vietnamese and global manufacturers or struggling sellers bring their products to the US & International markets. JOB DESCRIPTIONS Coach, supervise and lead junior levels Writing clean, scalable & efficient code Integrating user-facing elements developed by front-end developers with server-side logic Building reusable code libraries for future use Designing and implementing RESTful APIs Optimizing the performance of applications for full-scale production deployments Providing code documentation and other inputs to technical documents Participating in code reviews Troubleshooting and debugging to optimize performance.",Software Engineering Leader,Hồ Chí Minh,"Yêu Cầu Công Việc SKILL AND EXPERIENCE Familiarity with front-end languages (e.g. HTML, JavaScript and CSS, React); In-depth understanding of the entire web development process (design, development and deployment); BS in computer science or related field (master’s degree a strong plus); You are excited about making the Web a better and more informative place; Strong understanding of algorithms and distributed systems; Strong experience with Java; Working knowledge of CMS framework; Desire to work in a growth-stage company and build a strong team culture; 3+ years of experience working with Python in a professional environment; Able to provision infrastructure components on AWS and document these processes; Strong experience working on systems built with AWS components such as Kinesis, databases, Lambda Functions, etc; Resourceful; Capable of prioritizing work and creating product & sprint schedules. WHY YOU WILL LOVE JOINING US? FOR YOU TO JOIN Financial Well-being: A competitive salary with 13th month salary, annual performance bonus and a variety of allowances. Salary review: annually or on excellent performance. Activities: company trips, team-building, and other customized monthly bonding events. Annual leaves: 16 days off and 01 Birthday Leave per year. Healthcare: annual health check, insurance according to Labor Law and extra PTI Insurance package. Working Environment: dynamic, friendly environments with working time flexibility (Mon-Fri), and other perks include snacks, coffee, and healthy food provided daily suited for hardworking, fun, and team collaboration. FOR YOU TO GROW Ambition: We are now keeping on with our hyper growth to multicategory, multichannel, multimarket, and expanding into the world largest e-commerce enabler. Hence, there will continuously be opportunities to challenge yourself, learn new skills and knowledge. Challenges: Your voice can always be heard as we embrace the eagerness of learning and sharing. You can be your own boss and create your own value with the ability to take initiative and make decisions in all aspects of work. Chances: Be led and coached by experienced and inspirational leaders and participate in various training courses where you can enlarge your knowledge and experience in the E-commerce and Supply Chain industry. FOR YOU TO STAY People: Having a headquarter in the US and an operation office in Vietnam, our team is young and highly motivated. You will be working with and alongside members having experiences from International Corporations or high profile from Vietnam that share the same passion and dedication. Culture: Our working environment is humble, collaborative and 100% healthy. We promote Exchange & Speak out, you can receive transparent and supportive feedback so you can perform the best. Career path: Provide you a great career path, open to rotating for your better understanding of the company and contribute across many of our functions. And much more, join us and let yourself explore other fantastic things!",Lương: Cạnh tranh,26-11-2023
HR Vietnam’s ESS Client,Mô tả Công việc Our company is a production software company with details: Designing user interactions on web pages. Developing front end website architecture. Developing back-end website applications. Creating servers and databases for functionality. Ensuring cross-platform optimization for mobile phones. Ensuring responsiveness of applications. Seeing through a project from conception to finished product. Designing and developing APIs. Meeting both technical and consumer needs. Staying abreast of developments in web applications and programming languages.,Lead Software Engineer,Hồ Chí Minh,"Yêu Cầu Công Việc At least 5-7 year of working experience in the related field is required for this position. Strong organizational and project management skills Familiarity with JavaScript frameworks such as Angular JS / React / Amber Proficiency with server side languages such as Python / Node JS / Java Familiarity with database technology such as MySQL or MsSQL Familiarity with version control such as Git Basic understanding of front-end technologies and platforms, such as ReactJS, ReactNative, JavaScript, HTML5, and CSS3 Integration of multiple data sources and database into one systems Strong organizational and project management skills. Experience with REST API",Lương: 44 Tr - 77 Tr VND,05-12-2023
Công Ty TNHH JAC Recruitment Vietnam,"Mô tả Công việc · The main tasks for this job are to plan, create, and put into action strategies for technology applications that serve the whole company and match the company's business needs and growth plans. · Supervise important platforms, solutions, and engineering teams from an IT and engineering viewpoint. Encourage modern engineering practices, excellent engineering work, and the growth of highly capable teams to provide high-quality solutions to customers. · Take part in talks about how to design structures and solutions and collaborate with developers and senior business stakeholders. · Take charge and carry out the project plans for your assignments, acting as a technical leader. · Lead teams of engineers from different areas by setting a good example. · Set up and enforce engineering standards, emphasizing excellent engineering practices. · Find and use chances to speed up development while making it more stable. · Nurture a strong engineering culture in your teams and create a cooperative work atmosphere. · Make sure that using automation is a priority for your teams. · Promote a flexible development culture where the team owns their work. · Push for automation and quicker release of products by leading efforts in engineering and testing practices. · Take responsibility for both the overall and detailed design of your platforms, including methods, models, and the choice of technology. · Support the growth and development of engineers. · Identify and assess risks in the department during its operations and come up with ways to deal with them. · Work together with related units to develop ways to measure, assess, and lessen risks. · Make sure that the department's operations follow internal rules, laws, processes, guidelines, and commitments to service quality. · Develop a plan for hiring, manage human resources, and create a system for assigning, keeping track of, and judging employee performance, making sure there are enough high-quality people in the department. · Organize training and guide employees in their career development, nurturing and building the department's workforce. · Communicate and direct staff to follow the system's policies and development goals.",Software engineering manager,Hà Nội,"Yêu Cầu Công Việc · Have a university degree or higher in finance, economics, banking, business administration, or computer science. · Have a minimum of 8 years of experience in a related area, with at least 4 years in a management role. · Preferably have a technical background with experience in making large cloud or distributed systems, including web and mobile apps. · Show experience in leading teams of engineers to make high-quality distributed systems. · Know a lot about modern Continuous Integration/Continuous Deployment (CICD) practices and tools. · Have experience in making platforms on AWS, GCP, or Azure. · Understand common ways to design systems. · Have recently worked with at least one modern programming language (e.g., Java, Kotlin, Go, Python, Rust, JavaScript). · Know a lot about automation and ways to launch things. · Should be practical and able to work with uncertainty and many things to do in a fast-paced place.",Lương: Cạnh tranh,12-11-2023
Công Ty TNHH JAC Recruitment Vietnam,"Mô tả Công việc - Analyze solution, understand system requirements and product features - Develop and implement highly responsive user interface components using modern frontend frameworks - Collaborate with cross-functional teams to ensure the smooth design, implementation, and delivery of applications - Cooperate with BE developers to consume backend data services via GraphQL API, REST API - Implement UI components and libraries - Learn the new technologies and research technical solutions to apply them in the product, from proposals to reality - Write technical specifications based on conceptual design, business/technical requirements",Frontend software engineer,Hồ Chí Minh,"Yêu Cầu Công Việc ● Experience & Knowledge - 4+ years of experience in software development as a Frontend Engineer - Solid experience with Javascript, preferably Typescript - Details-oriented, experienced with building fully responsive apps - Strong knowledge and experience working with ReactJS, VueJS, especially Nuxt3 - Excellent with CSS, experience with preprocessor such as Sass, PostCSS - Experience with GraphQL, REST API - Self-organizing and self-sufficient, self-motivated, independent work ● Advantage - Experience with NextJS - Knowledge on rendering 3D: texture, material and lighting, AR and VR on web and mobile applications. - Experience with CI/CD ● Detailed Technical Skills - Vuejs, Typescript, GraphQL - 3D, WebGL - Git ● Other Skills - Teamwork - English communication",Lương: Cạnh tranh,26-11-2023
Công Ty Cổ Phần VNG,"Mô tả Công việc Thiết kế, phát triển và biểu diễn các báo cáo doanh thu theo yêu cầu từ các phòng ban dựa trên nhiều các nguồn data và master data có sẵn hoặc tự thiết kế riêng theo yêu cầu. Thực hiện theo dõi, đối soát và phân tích dữ liệu để đảm bảo chất lượng báo cáo doanh thu. Đảm bảo việc vận hành, điều chỉnh và phát triển các tính năng mới theo đúng thời gian yêu cầu ban đầu.","Associate Software Engineer (Oracle, SQL)",Hồ Chí Minh,"Yêu Cầu Công Việc ﻿Bằng cử nhân về khoa học máy tính, hệ thống thông tin hay một ngành kỹ thuật liên quan Có ít nhất 1-2 năm kinh nghiệm làm việc với các hệ cơ sở dữ liệu Postgres/Oracle/Hive với vai trò Database Developer / Data Engineer Thành thạo ngôn ngữ lập trình: SQL và Python ﻿Yêu thích làm việc với số liệu một cách tỉ mỉ, cẩn thận",Lương: Cạnh tranh,09-12-2023
