companyName,description,jobName,location,require,salary,timePost
Công Ty TNHH VIỆT NAM NOK,"Mô tả Công việc - Quản lý các phần mềm web và các phần mềm của công ty. - Phát triển các ứng dụng, phầm mềm web theo yêu cầu của công ty. - Duy trì, sửa chữa, nâng cấp và bổ sung các chức năng mới cho các phần mềm hiện tại của công ty. - Công việc cụ thể sẽ trao đổi trực tiếp khi phỏng vấn.",IT Web Developer,Đồng Nai,"Yêu Cầu Công Việc - Tốt nghiệp Cao đẳng/Đại học ngành CNTT và các chuyên ngành có liên quan. - Có ít nhất 1 năm kinh nghiệm ở vị trí web developer. - Tư duy lập trình tốt, có khả năng phân tích và thiết kế phần mềm. - Có kiến thức về ReacJS, NodeJS, ASP .NET Core, Javascript, JQuery, CSS, HTML, C#, C++ - Có kiến thức tốt về hệ quản trị cơ sở dữ liệu SQL Server, PostgreSQL. - Có kinh nghiệm về thiết kế web (Frontend, Backend), IoT, Git. - Có khả năng làm việc nhóm hoặc độc lập. - Ham học hỏi, có tinh thần trách nhiệm, năng động. - Từng sử dụng IBM AS/400 và ngôn ngữ lập trình RPG là một lợi thế.",Lương: 12 Tr - 20 Tr VND,20-11-2023
Techtronic Industries Vietnam (TTI),"Mô tả Công việc JOB SUMMARY Maintain & develop system: Traceability system maintain and upgrading for ANZ, ROW, 18v, 40v and 80v battery data, eFactory system (dashboard, Shipping status, Quality Alerts, productivity Alert) KEY DUTIES AND RESPONSIBILITIES • Web Site Design, development and maintenance of corporate system. • Development of UI Program for Web-based Software Products. • Development web portal systems linked to big data platforms. • Work as part of a team to develop product increments, using agile practices and processes. • Learning and adapting a web-based product to the current ecosystem. • Explore new technologies, engage in technical spikes, make documentation updates as necessary.",Web Developer,Đồng Nai,"Yêu Cầu Công Việc REQUIREMENTS 1. Education: University or higher 2. Knowledge: • Front End: JavaScript (React / React Native / Node.js)/ ReactJS/ React Redux/ Webpack/ HTML/ CSS • Back End: Node JS • Database: Those who can understand and develop RDBMS design (SQL, Server, MYSQL, PostgreSQL) > Store Procedure development. • Deploy: Windows server. 3. Functional Skills: • Experience in network programming development • Experience in server development using Framework • Experience in responsive web, mobile development and commercialization • Experience in RESTful API development 4. Other Abilities: • Team work • Problem solving • Data analysis",Lương: Cạnh tranh,11-12-2023
Công Ty TNHH OS POWER Việt Nam,"Mô tả Công việc Khách hàng của Os Power là một công ty hàng đầu trong lĩnh vực công nghệ, tài chính tại Nhật Bản và là một thành viên trong tập đoàn tài chính. Công ty hoạt động kinh doanh hiện tại (kinh doanh chứng khoán / ngoại hối) • Address Hà Nội: Đào Duy Anh, Đống Đa, Hà Nội • Nhật Bản: Dogenzaka, Shibuya-Ku, Tokyo, 150-0043. CƠ HỘI: • Có cơ hội tiếp cận hệ thống lớn về fintech, làm việc và trao đổi kỹ thuật trực tiếp với kỹ sư Nhật có thể giúp kỹ năng của các bạn phát triển hơn. • Công ty có nhiều công ty con và sản phẩm product, có nhiều cơ hội để làm product với đúng mong muốn của các bạn. • Có cơ hội lớn sang Nhật làm việc cho công ty mẹ, là tập đoàn tài chính hàng đầu Nhật Bản. • Được hỗ trợ học tiếng Nhật và được trang bị các kỹ năng cần thiết để có thể làm việc tại Nhật Bản. • Được cung cấp máy Mac cấu hình cao và các điều kiện tốt khác để làm việc. QUY TRÌNH PHÒNG VẤN: Phỏng vấn 1-2 vòng (thường là 1 vòng) • Hình thức: Online. • Nội dung: Technical, Kỹ năng mềm (quản lý, xử lý tình huống, teamwork,...), Culture-fit. • Ngôn ngữ: Tiếng Nhật (có thể phỏng vấn tiếng Nhật + Việt nếu tiếng Nhật chưa thực sự tốt). • Thời gian phản hồi: Tối đa 7 ngày sau khi phỏng vấn. QUYỀN LỢI: • Range lương chung: $1000 - $4000 Gross (thương lượng). • Bảo hiểm full lương. • Thử việc 2 tháng, 100% lương. • Thưởng lương tháng 13. Thưởng khi trở thành nhân viên chính thức của công ty mẹ bên Nhật Bản. • Tăng lương dựa trên đánh giá 1 lần/ năm. • Thời gian làm việc: 8h - 17h Thứ 2 - thứ 6 (nghỉ trưa 1 giờ). • Các Đãi ngộ/ Quyền lợi khác: • Các loại bảo hiểm xã hội (bảo hiểm y tế, bảo hiểm việc làm, bảo hiểm tai nạn lao động). • Kiểm tra sức khỏe. • Hỗ trợ chi phí học tiếng Nhật (5tr/tháng/người, chưa fix) và đào tạo các kỹ năng IT hay business khác của công ty Nhật. • Phụ cấp khi đi công tác Nhật Bản. • Được sang Nhật làm việc. • Ngày nghỉ: • 12 ngày nghỉ phép/năm, các ngày lễ theo quy định của Việt Nam. • Kỳ nghỉ có lương hàng năm. • Các ngày nghỉ Tết Nguyên đán. • Nghỉ phép/cưới/thai sản/ốm/con ốm/nghỉ khi vợ sinh con v.v.",Tuyển gấp Mobile Developer (iOS hoặc Android) & Web Develope -Mức lương 1000$ trở lên,Hà Nội,"Yêu Cầu Công Việc 1. Mobile Developer (iOS hoặc Android) • Tiếng Nhật trình độ tương đương N3 trở lên và có định hướng sang Nhật làm việc lâu dài. • Từ 2 năm kinh nghiệm phát triển, vận hành ứng dụng iOS (Swift) hoặc Android (Kotlin). 2. Web Developer • Tiếng Nhật trình độ tương đương N3 trở lên và có định hướng sang Nhật làm việc lâu dài. • Từ 2 năm kinh nghiệm phát triển dịch vụ web, làm việc với các framework như React / Next.js, Node.js hoặc cả hai.",Lương: Cạnh tranh,27-11-2023
CÔNG TY TNHH TECHCRAFT,"Mô tả Công việc We are seeking an experienced Senior Support Developer to join our software development support team. The Senior Support Developer will play a pivotal role in providing assistance, maintaining, and improving our software applications, ensuring they operate smoothly and meet customer requirements.",Senior Support Developer,Hồ Chí Minh,"Yêu Cầu Công Việc Key Responsibilities: Assist customers and colleagues with technical issues and application errors. Identify, track, and efficiently resolve software bugs and technical issues. Analyze and propose enhancements and optimizations to improve performance and stability. Collaborate closely with other departments to ensure seamless integration and product quality. Contribute to the development and maintenance of instructional and technical documentation. Support the development and deployment of new product versions. Assist in training and mentoring new team members in the support development team. Requirements: Bachelor’s degree or equivalent in Computer Science, Information Technology, or a related field. Minimum of 5 years of experience in software development with support development roles. Strong knowledge of programming languages (e.g., Javascript, C#, Python) and web development technologies. Quick learner with a systematic approach to problem analysis and resolution. Able to work independently and in a diverse work environment. Excellent communication skills and the ability to collaborate with colleagues and clients. Attention to detail and strong time management skills. Understanding of software development and technical support processes","Lương: 33 Tr - 37,4 Tr VND",17-11-2023
CÔNG TY TNHH TECHCRAFT,"Mô tả Công việc Take ownership for auto BIG scaling application. Deployed and managed services in Kubernetes. Load balancing service with Nginx ingress, NLB, ALB. Design, build and manage the infrastructure environments needed for the projects in AWS. Planned and migrated CI/CD flow for Kubernetes from Jenkins to Gitlab pipeline. Built auto observability, logging, and monitoring tools for Kubernetes and all components of the system. Auto-provisioning infrastructure as code (Linux operating system, Kubernetes cluster, database, cache, queue). Improved reliability, stability, and scalability challenges of the system. Supported development team to fix issues on dev/staging env and investigate/fix issues on production. DB Management Systems: Solr, MongoDB",Junior/Middle Devops,Hồ Chí Minh,"Yêu Cầu Công Việc ake ownership for auto BIG scaling application. Deployed and managed services in Kubernetes. Load balancing service with Nginx ingress, NLB, ALB. Design, build and manage the infrastructure environments needed for the projects in AWS. Planned and migrated CI/CD flow for Kubernetes from Jenkins to Gitlab pipeline. Built auto observability, logging, and monitoring tools for Kubernetes and all components of the system. Auto-provisioning infrastructure as code (Linux operating system, Kubernetes cluster, database, cache, queue). Improved reliability, stability, and scalability challenges of the system. Supported development team to fix issues on dev/staging env and investigate/fix issues on production. DB Management Systems: Solr, MongoDB","Lương: 22 Tr - 26,4 Tr VND",17-11-2023
CÔNG TY TNHH VẠN KIM GLOBAL,"Mô tả Công việc Collaborate with regional and global MKT team to implement & optimize digital marketing strategy. In charge of digital campaign ideation, planning, implementation, measurement, and optimisation process, including SEO/SEM, social media, display advertising, media buy campaign. Manage & optimize performance of digital channels including Google Ad, Social Media Ad, other 3rd party platforms, etc to generate leads. Measure and report performance of all digital marketing campaigns, and asset against goals (ROI, ROAS, KPIs) Work with local & global team to produce content for advertising, Social Media, email in content creation process Collaborate with agencies and vendors if required",Marketing Executive,Hồ Chí Minh,"Yêu Cầu Công Việc Bachelor’s degree in marketing, Business Administration or related At least 2 years working experience in Marketing with proficient in Google Ad, Facebook Ad, Analytic Tools Good command in English (Chinese / Mandarin is a plus) Microsoft Office Marketing experience in finance industry is a plus Knowledge of web development, CSS, HTML is a plus","Lương: 8,8 Tr - 11 Tr VND",11-12-2023
Công Ty Cổ Phần VNG,"Mô tả Công việc A senior project management executive of IT Department oversees the planning, execution, and delivery of complex innovative IT solutions that support our business objectives and customer needs. The position is also responsible for managing the scopes, schedules, quality, and risks of related projects, as well as coordinating with internal and external stakeholders, vendors, and customers. RESPONSIBILITIES Coordinate with related parties to collect and analyze relevant business and technical requirements Define and document the project scope, objectives, deliverables, assumptions, constraints, and success criteria Develop and maintain a detailed project plan that covers all phases of the project, including initiation, planning, execution, monitoring, control, and closure Manage and monitor the project budget, schedule, resources, quality, and risks, and implement corrective actions as needed Communicate effectively with all project stakeholders, including senior management, project team members, vendors, and customers Lead and motivate the project team to deliver high-quality results within the agreed timeframes and budget Manage the project change control process and ensure that any changes are properly documented, approved, and implemented Coordinate and oversee the testing, deployment, and transition of the project deliverables to the operational environment Conduct regular project reviews and lessons learned sessions to identify and share best practices and lessons learned Ensure compliance with the company’s policies, procedures, standards, and methodologies",Senior Project Management Executive,Hồ Chí Minh,"Yêu Cầu Công Việc REQUIREMENTS: Bachelor’s degree in computer science, information technology, or a related field 3+ years of experience in managing IT projects involving software development, system integration, network infrastructure, or other IT solutions Experience in using project management tools and methodologies such as Agile, Scrum, Waterfall, etc. Strong knowledge of IT concepts and technologies such as web development, cloud computing, cybersecurity, etc. Excellent communication, presentation, negotiation, and problem-solving skills Ability to work independently and collaboratively in a fast-paced and dynamic environment PMP, SCM or other relevant certifications are preferred",Lương: Cạnh tranh,18-11-2023
Công Ty CP Chứng Khoán VNDIRECT,"Mô tả Công việc Job Summary: We are seeking a highly skilled Technical Lead – Frontend to lead a team of developers responsible for building and maintaining our web applications. You will be responsible for guiding the development team and ensuring the delivery of high-quality coding solutions to meet business needs. Responsibilities: - Lead a team of developers in building and maintaining web applications using modern frontend technologies. - Collaborate with cross-functional teams to develop and implement new features. - Develop and maintain coding standards, best practices, and documentation. - Manage project timelines and deliverables, ensuring on-time delivery of high-quality products. - Conduct code reviews to maintain code quality and ensure adherence to coding standards. - Implement effective development processes and tools to streamline development and improve performance. - Mentor and coach developers to improve technical skills and ensure job satisfaction.",Techical Lead Frontend (ReactJS),Hà Nội,"Yêu Cầu Công Việc - Bachelor‘s degree in Computer Science, Computer Engineering or related field. - Minimum of 5 years of experience in frontend web development. - Experience leading a team of developers in delivering quality software products. - Strong knowledge of frontend technologies - HTML, CSS, JavaScript, ReactJS, AngularJS, etc. - Knowledge of UI/UX design principles. - Familiarity with Agile software development methodologies. - Excellent communication and leadership skills. - Ability to work effectively in a team-oriented environment.",Lương: Cạnh tranh,09-12-2023
Công Ty Cổ Phần VNG,"Mô tả Công việc ﻿We are looking for a Senior Software Engineer (Fullstack NodeJS) to help us build and maintain web applications and services. As a senior engineer at ZaloPay, you will work on a diverse range of projects, collaborate with cross-functional teams, and have the opportunity to take ownership of critical development tasks. Responsibilities: Collaborate with cross-functional teams to design, develop, and maintain web applications and services using Node.js and other relevant technologies. Write well-structured, tested and efficient code following industry best practices. Work on both frontend and backend development tasks, including database design, API development, and user interface implementation. Troubleshoot and debug issues to ensure the smooth operation of web applications. Stay up-to-date with the latest industry trends and technologies to propose improvements and innovations.","Senior Fullstack Engineer (NodeJS, ReactJS)",Hồ Chí Minh,"Yêu Cầu Công Việc Requirements: Bachelor's degree in Computer Science, related field, or equivalent practical experience. 3-5+ years of professional experience in Node.js development. Expertise in JavaScript and Node.js. Familiarity with TypeScript Familiarity with web development technologies such as HTML, CSS, and front-end frameworks (e.g., React). Familiarity with Next.js from development to deployment, deep understanding on web rendering mechanism like CSR, SSR, SSG,… Familiarity with bundling tool like Webpack, Rollup Knowledge of database systems (e.g., MongoDB, PostgreSQL, MySQL). Familiarity with RESTful APIs and microservices architecture. DevOps and CI/CD pipeline experience. Docker and containerization knowledge. In-depth knowledge of database systems and query optimization. Proven ability to lead and mentor junior developers. Exceptional problem-solving and architectural design skills. Strong problem-solving, research skills and a willingness to learn. Excellent communication and teamwork skills. It would be a plus if you: Security best practices in web development, especially in fintech industry. Have experience working with React Server component",Lương: Cạnh tranh,04-12-2023
CÔNG TY CỔ PHẦN KING FOOD MARKET,"Mô tả Công việc Xây dựng backend quản lý (server-side) cho các hệ thống vận hành tại Kingfood: hệ thống giám sát, hệ thống báo cáo, tích hợp dữ liệu... Viết code các tính năng theo nhu cầu vận hành; làm docker, message queue, database (MySQL, Mongo…), API, CI... Tham gia thiết kế kiến trúc phần mềm và cấu trúc dữ liệu. Nghiên cứu áp dụng những kỹ thuật đảm bảo yêu cầu người dùng. Tối ưu hóa hệ thống để xử lý dữ liệu lớn. Deploy code trên server test và production. Viết code sạch, rõ, dễ bảo trì.",Senior Backend/ Fullstack (NodeJS),Hồ Chí Minh,"Yêu Cầu Công Việc Từ 3 năm kinh nghiệm làm vị trí tương đương Có kiến thức tốt và toàn diện về NodeJS, MongoDB… để có thể độc lập làm việc và tự nghiên cứu sâu hơn (nếu cần) Có tư logic tốt trong việc xử lý các yêu cầu liên quan đến quy trình và số liệu Có ý thức viết code sạch, tỉ mẩn, chi tiết Ham học hỏi, sẵn sàng và có khả năng tự học ngôn ngữ công nghệ mới (nếu cần) Có tinh thần làm việc của startup và sẵn sàng chia sẻ đào tạo cho đồng nghiệp. *** Sử dụng laptop cá nhân",Lương: Cạnh tranh,23-11-2023
