companyName,description,jobName,location,require,salary,timePost
eVantage HR Pte Ltd,"Chi tiết công việc HR Administrator tại eVantage HR Pte Ltd Our client is currently seeking an HR Administrator based in Jurong, Singapore. About: My client is a leading company in the power solutions sector. They specialize in manufacturing generators and related power products, known for their innovation and reliability The HR Administrator is responsible for providing day-to-day HR and administrative support, as well as organizing and hosting company events. Key Responsibilities: Handle the recruitment process, employment contracts, on-boarding and off-boarding process. Organise and host company events. Maintain & updating staff personal file. Manage work passes application, renewal and cancellation. Administer staff benefits such as leave records, insurance claim, medical claim etc. Process government paid maternity leave, childcare leave reimbursement etc. Process training applications and filing for training grants. Liaise with Government agencies on relevant funding, applications, and claims. Prepare Monthly HR Reports. Any other appropriate duties as assigned. Requirements: Diploma in Human Resource Management or equivalent with at least 1-2 years HR administration experience. Able to speak with confidence and poise. Well-versed with Singapore Employment Act and HR related practices. Able to multi-task and ability to work independently as well as in a team. Knowledge of Timesoft payroll & leave system will be an added advantage. Proficient in MS Office especially in Excel and Powerpoint. Mature, well-organized, proactive and able to communicate effectively with all levels. Good English verbal and written communication skills.",HR Administrator,Singapore,"Chi tiết công việc HR Administrator tại eVantage HR Pte Ltd Our client is currently seeking an HR Administrator based in Jurong, Singapore. About: My client is a leading company in the power solutions sector. They specialize in manufacturing generators and related power products, known for their innovation and reliability The HR Administrator is responsible for providing day-to-day HR and administrative support, as well as organizing and hosting company events. Key Responsibilities: Handle the recruitment process, employment contracts, on-boarding and off-boarding process. Organise and host company events. Maintain & updating staff personal file. Manage work passes application, renewal and cancellation. Administer staff benefits such as leave records, insurance claim, medical claim etc. Process government paid maternity leave, childcare leave reimbursement etc. Process training applications and filing for training grants. Liaise with Government agencies on relevant funding, applications, and claims. Prepare Monthly HR Reports. Any other appropriate duties as assigned. Requirements: Diploma in Human Resource Management or equivalent with at least 1-2 years HR administration experience. Able to speak with confidence and poise. Well-versed with Singapore Employment Act and HR related practices. Able to multi-task and ability to work independently as well as in a team. Knowledge of Timesoft payroll & leave system will be an added advantage. Proficient in MS Office especially in Excel and Powerpoint. Mature, well-organized, proactive and able to communicate effectively with all levels. Good English verbal and written communication skills.",Competitive,22-11-2023
watchTowr,"Chi tiết công việc Sales Administrator tại watchTowr Hello, let us introduce ourselves! We are watchTowr, a VC-backed cyber security startup helping organisations continuously discover vulnerabilities in their Internet-facing attack surface. Cyber security veterans and technical experts, we are obsessed with building impactful technology for some of the world’s most targeted organisations. With experience informed by years of simulating sophisticated cyber attacks against some of the world's largest organisations, our mission is to enable organisations to continuously discover exploitable vulnerabilities and weaknesses in their external attack surface - with cutting-edge technology. As a team, we’re leveraging data to build the future of security testing - in our Continuous Automated Red Teaming and Attack Surface Management technology. Put simply - if there is a way to gain access to the organisation, it is our responsibility to find it before attackers do. We are a young, high-energy and high-performing team delivering world-class technology to global enterprises, banks, insurers and more. We are in a high and aggressive growth phase of our journey, and are excited to continue adding colleagues to join our phorce of nature. Our vision for offensive security is continuous. But what’s the role? We are looking for Sales Administrator to support our Commercial teams and processes. Sounds great – what will I do? Management and qualification of all in-coming sales leads Respond and generate quotation and sales materials (including proposal preparation) in response to prospective customers & partners Complete administration tasks required in the sales and contracting process Manage customer expectations and provide exceptional customer service, ensuring queries are handled in a timely manner. Process signed quotations or purchase orders received from customers Respond to Marketing Qualified Leads and Sales Qualified Leads in a timely manner Assist in preparing agreements and documentation for business and channel partner stakeholders Sounds perfect to me, what specifics are you looking for? Prior professional experience as a Sales Administrator Hands-on experience with CRM tools (Hubspot) and MS Office Understanding of sales performance metrics Fluent business English language skills - written and spoken Excellent organisational and multitasking skills A team player with a high-level of self-drive Keen attention to detail Ability to work under strict deadlines What’s in it for me? Meaningful mission - the work we do materially prevents our clients from being breached. Competitive compensation - we believe that hard work, skills and ambition should be fairly compensated. Meaningful role in a company - You will be a key and early contributor to a fast-growing cyber security business that helps protect some of the world's largest enterprises. Endless opportunities – we are in a high-growth phase of our journey, and plan to promote from within as we scale. Work with cyber security experts – we are solving cutting-edge industry-wide cyber security challenges with some of the world’s most advanced organisations.",Sales Administrator,Singapore,"Chi tiết công việc Sales Administrator tại watchTowr Hello, let us introduce ourselves! We are watchTowr, a VC-backed cyber security startup helping organisations continuously discover vulnerabilities in their Internet-facing attack surface. Cyber security veterans and technical experts, we are obsessed with building impactful technology for some of the world’s most targeted organisations. With experience informed by years of simulating sophisticated cyber attacks against some of the world's largest organisations, our mission is to enable organisations to continuously discover exploitable vulnerabilities and weaknesses in their external attack surface - with cutting-edge technology. As a team, we’re leveraging data to build the future of security testing - in our Continuous Automated Red Teaming and Attack Surface Management technology. Put simply - if there is a way to gain access to the organisation, it is our responsibility to find it before attackers do. We are a young, high-energy and high-performing team delivering world-class technology to global enterprises, banks, insurers and more. We are in a high and aggressive growth phase of our journey, and are excited to continue adding colleagues to join our phorce of nature. Our vision for offensive security is continuous. But what’s the role? We are looking for Sales Administrator to support our Commercial teams and processes. Sounds great – what will I do? Management and qualification of all in-coming sales leads Respond and generate quotation and sales materials (including proposal preparation) in response to prospective customers & partners Complete administration tasks required in the sales and contracting process Manage customer expectations and provide exceptional customer service, ensuring queries are handled in a timely manner. Process signed quotations or purchase orders received from customers Respond to Marketing Qualified Leads and Sales Qualified Leads in a timely manner Assist in preparing agreements and documentation for business and channel partner stakeholders Sounds perfect to me, what specifics are you looking for? Prior professional experience as a Sales Administrator Hands-on experience with CRM tools (Hubspot) and MS Office Understanding of sales performance metrics Fluent business English language skills - written and spoken Excellent organisational and multitasking skills A team player with a high-level of self-drive Keen attention to detail Ability to work under strict deadlines What’s in it for me? Meaningful mission - the work we do materially prevents our clients from being breached. Competitive compensation - we believe that hard work, skills and ambition should be fairly compensated. Meaningful role in a company - You will be a key and early contributor to a fast-growing cyber security business that helps protect some of the world's largest enterprises. Endless opportunities – we are in a high-growth phase of our journey, and plan to promote from within as we scale. Work with cyber security experts – we are solving cutting-edge industry-wide cyber security challenges with some of the world’s most advanced organisations.",Competitive,27-11-2023
Dynamic Technology Lab Pte Ltd,"Chi tiết công việc System Administrator tại Dynamic Technology Lab Pte Ltd Dynamic Technology Lab Pte Ltd (“DTL”) is a quantitative hedge fund established in Singapore and engages in global securities trading with multiple asset classes. As a tech-focused fund management firm, we drive to provide world-class infrastructure and use state-of-the-art technology to solve real life problems in the financial markets. DTL is growing rapidly and the System Administrators are crucial as the backbone of our innovation, ensuring reliable operation of our computer systems and servers. Responsibilities: Maintain Linux operating system Provide support user request and issues Monitoring system's health Manage server rooms and data centers Maintain security Qualifications: Bachelor's degree is desired, but not required, provided that strong knowledge and ability to deliver are demonstrated Proficient in Linux Administration Knowledge in LDAP, DNS, nagios, ansible, docker Experience with networking equipments Familiarity with bash script, python, and C++",System Administrator,Singapore,"Chi tiết công việc System Administrator tại Dynamic Technology Lab Pte Ltd Dynamic Technology Lab Pte Ltd (“DTL”) is a quantitative hedge fund established in Singapore and engages in global securities trading with multiple asset classes. As a tech-focused fund management firm, we drive to provide world-class infrastructure and use state-of-the-art technology to solve real life problems in the financial markets. DTL is growing rapidly and the System Administrators are crucial as the backbone of our innovation, ensuring reliable operation of our computer systems and servers. Responsibilities: Maintain Linux operating system Provide support user request and issues Monitoring system's health Manage server rooms and data centers Maintain security Qualifications: Bachelor's degree is desired, but not required, provided that strong knowledge and ability to deliver are demonstrated Proficient in Linux Administration Knowledge in LDAP, DNS, nagios, ansible, docker Experience with networking equipments Familiarity with bash script, python, and C++","SGD2,5N-SGD5N",11-11-2023
Rohde & Schwarz Regional Headquarters Singapore Pte Ltd,"Chi tiết công việc Sales Administration Intern tại Rohde & Schwarz Regional Headquarters Singapore Pte Ltd Your Task: The Intern, Sales Administration will have the opportunity to support in sales and marketing events (e.g. trainings, seminars, workshops etc.) for the Singapore Sales Team. This includes and not limited to event preparation, logistics and administrative support, events management. Responsibilities: Support sales and marketing events (e.g. trainings, seminars, workshops etc.) for the Singapore Sales Team. Includes and not limited to events preparation, logistics and administrative support, events management Packing, ordering and replenish of Promotional Materials from Rohde & Schwarz Munich (eg. Product Brochure, Datasheet, Catalogue etc.) Administrative tasks including and not limited to printing / photocopying training materials, filing, ordering stationery or marketing supplies Coordinate with logistics forwarder or courier for the arrangement of incoming and outgoing shipment and delivery Other ad-hoc assignments as assigned by the supervisor Requirements: Graduating students Diploma in Business Administration or relevant field of studies Good communication (i.e. writing and speaking) and interpersonal skills Attention to detail, proactive, self-motivated and willingness to learn Possess good customer-focused and results-oriented attitude Willingness to coordinate and work with colleagues across other departments or countries Proficiency in MS Office (MS Excel, Words and PowerPoint) Excellent time management skills and the ability to prioritize work",Sales Administration Intern,Singapore,"Chi tiết công việc Sales Administration Intern tại Rohde & Schwarz Regional Headquarters Singapore Pte Ltd Your Task: The Intern, Sales Administration will have the opportunity to support in sales and marketing events (e.g. trainings, seminars, workshops etc.) for the Singapore Sales Team. This includes and not limited to event preparation, logistics and administrative support, events management. Responsibilities: Support sales and marketing events (e.g. trainings, seminars, workshops etc.) for the Singapore Sales Team. Includes and not limited to events preparation, logistics and administrative support, events management Packing, ordering and replenish of Promotional Materials from Rohde & Schwarz Munich (eg. Product Brochure, Datasheet, Catalogue etc.) Administrative tasks including and not limited to printing / photocopying training materials, filing, ordering stationery or marketing supplies Coordinate with logistics forwarder or courier for the arrangement of incoming and outgoing shipment and delivery Other ad-hoc assignments as assigned by the supervisor Requirements: Graduating students Diploma in Business Administration or relevant field of studies Good communication (i.e. writing and speaking) and interpersonal skills Attention to detail, proactive, self-motivated and willingness to learn Possess good customer-focused and results-oriented attitude Willingness to coordinate and work with colleagues across other departments or countries Proficiency in MS Office (MS Excel, Words and PowerPoint) Excellent time management skills and the ability to prioritize work",Competitive,28-11-2023
Rohde & Schwarz Regional Headquarters Singapore Pte Ltd,"Chi tiết công việc Sales Administration Intern tại Rohde & Schwarz Regional Headquarters Singapore Pte Ltd Your Task: The Intern, Sales Administration will have the opportunity to support in sales and marketing events (e.g. trainings, seminars, workshops etc.) for the Singapore Sales Team. This includes and not limited to event preparation, logistics and administrative support, events management. Responsibilities: Support sales and marketing events (e.g. trainings, seminars, workshops etc.) for the Singapore Sales Team. Includes and not limited to events preparation, logistics and administrative support, events management Packing, ordering and replenish of Promotional Materials from Rohde & Schwarz Munich (eg. Product Brochure, Datasheet, Catalogue etc.) Administrative tasks including and not limited to printing / photocopying training materials, filing, ordering stationery or marketing supplies Coordinate with logistics forwarder or courier for the arrangement of incoming and outgoing shipment and delivery Other ad-hoc assignments as assigned by the supervisor Requirements: Graduating students Diploma in Business Administration or relevant field of studies Good communication (i.e. writing and speaking) and interpersonal skills Attention to detail, proactive, self-motivated and willingness to learn Possess good customer-focused and results-oriented attitude Willingness to coordinate and work with colleagues across other departments or countries Proficiency in MS Office (MS Excel, Words and PowerPoint) Excellent time management skills and the ability to prioritize work",Sales Administration Intern,Singapore,"Chi tiết công việc Sales Administration Intern tại Rohde & Schwarz Regional Headquarters Singapore Pte Ltd Your Task: The Intern, Sales Administration will have the opportunity to support in sales and marketing events (e.g. trainings, seminars, workshops etc.) for the Singapore Sales Team. This includes and not limited to event preparation, logistics and administrative support, events management. Responsibilities: Support sales and marketing events (e.g. trainings, seminars, workshops etc.) for the Singapore Sales Team. Includes and not limited to events preparation, logistics and administrative support, events management Packing, ordering and replenish of Promotional Materials from Rohde & Schwarz Munich (eg. Product Brochure, Datasheet, Catalogue etc.) Administrative tasks including and not limited to printing / photocopying training materials, filing, ordering stationery or marketing supplies Coordinate with logistics forwarder or courier for the arrangement of incoming and outgoing shipment and delivery Other ad-hoc assignments as assigned by the supervisor Requirements: Graduating students Diploma in Business Administration or relevant field of studies Good communication (i.e. writing and speaking) and interpersonal skills Attention to detail, proactive, self-motivated and willingness to learn Possess good customer-focused and results-oriented attitude Willingness to coordinate and work with colleagues across other departments or countries Proficiency in MS Office (MS Excel, Words and PowerPoint) Excellent time management skills and the ability to prioritize work",Competitive,07-12-2023
Atomionics,"Chi tiết công việc Mechanical Design Engineering Intern (Jan 2024 or later) tại Atomionics Responsibilities Work in collaboration with electronics and atomic physicists to develop the system architecture to ensure robustness and reliability in a dynamic environment of atom interferometry sensing systems Design the housing and packaging for miniaturized atom interferometry setup CAD models for precision manufacturing and fabrication of optomechanical benches Structural analysis and characterization to ensure robustness in harsh environment About you An absolutely driven individual with creative problem solving skills, analytical mind, and persistence, ideally, demonstrated Experience using Solidworks/Autodesk/other CAD software Experience in different manufacturing techniques Have a portfolio to show (please include a link in your CV) Even better if you have Worked in a technical student team, or an early stage company environment Worked on personal hobby projects (and can brag about them!) What can we offer you A chance to learn about the intricacies of deep tech research, product development, and strategy in a high-growth startup Work on the cutting edge of quantum technology Develop robust applications for translational research A book/hobby project allowance to help you grow and collectively build the Atomionics library Board games and curry night Only open to candidates residing in Singapore and legally authorized to do internships here. Minimum duration of 3 months, preferably 6 months.",Mechanical Design Engineering Intern (Jan 2024 or later),Singapore,"Chi tiết công việc Mechanical Design Engineering Intern (Jan 2024 or later) tại Atomionics Responsibilities Work in collaboration with electronics and atomic physicists to develop the system architecture to ensure robustness and reliability in a dynamic environment of atom interferometry sensing systems Design the housing and packaging for miniaturized atom interferometry setup CAD models for precision manufacturing and fabrication of optomechanical benches Structural analysis and characterization to ensure robustness in harsh environment About you An absolutely driven individual with creative problem solving skills, analytical mind, and persistence, ideally, demonstrated Experience using Solidworks/Autodesk/other CAD software Experience in different manufacturing techniques Have a portfolio to show (please include a link in your CV) Even better if you have Worked in a technical student team, or an early stage company environment Worked on personal hobby projects (and can brag about them!) What can we offer you A chance to learn about the intricacies of deep tech research, product development, and strategy in a high-growth startup Work on the cutting edge of quantum technology Develop robust applications for translational research A book/hobby project allowance to help you grow and collectively build the Atomionics library Board games and curry night Only open to candidates residing in Singapore and legally authorized to do internships here. Minimum duration of 3 months, preferably 6 months.","SGD1,1N",15-11-2023
Wealth Asia,"Chi tiết công việc Part Time Administration Assistant tại Wealth Asia Job Highlights Growth opportunities Flexible work arrangements Job Description: We are seeking a dedicated and organized Part-Time Administrative Assistant to join our team. The ideal candidate will be responsible for providing efficient administrative support, ensuring smooth office operations, and contributing to the overall success of our organization. This is a part-time role with flexible hours, perfect for individuals seeking to balance work with other commitments. Responsibilities: Respond to emails and inquiries promptly. Maintain organized physical and digital filing systems. Coordinate calendars and appointments. Support event planning and logistics. Handle general office tasks as required. Requirements: · Candidates must possess diploma or A levels and above. · No work experience is required. On-job training is provided.",Part Time Administration Assistant,Singapore,"Chi tiết công việc Part Time Administration Assistant tại Wealth Asia Job Highlights Growth opportunities Flexible work arrangements Job Description: We are seeking a dedicated and organized Part-Time Administrative Assistant to join our team. The ideal candidate will be responsible for providing efficient administrative support, ensuring smooth office operations, and contributing to the overall success of our organization. This is a part-time role with flexible hours, perfect for individuals seeking to balance work with other commitments. Responsibilities: Respond to emails and inquiries promptly. Maintain organized physical and digital filing systems. Coordinate calendars and appointments. Support event planning and logistics. Handle general office tasks as required. Requirements: · Candidates must possess diploma or A levels and above. · No work experience is required. On-job training is provided.",SGD1N-SGD3N,22-11-2023
JTC Kensington,"Chi tiết công việc Trust Administrator Assistant (Learning Opportunities) tại JTC Kensington Roles & Responsibilities At Kensington Trust Group, you will have the opportunity to build a career as unique as you are, with the support, inclusive culture, and technology. Your unique perspective and voice will help you and your team become even better. Come join our team and create an exceptional experience for yourself as well as a better working environment for everyone. Your next opportunity We are seeking a highly motivated and detail-oriented Trust Administration Assistant to join our dynamic Trust Administration team. The Trust Administration Assistant will play a vital role in supporting the efficient and effective trust administration of trust accounts and work closely with and assist the Trust Administrator(s) in ensuring all the data of the clients, the trust structure and its assets are properly recorded and maintained. Key Responsibilities: Collaborate closely with the Trust Administration team to obtain information to complete required forms and documentation accurately, ensuring smooth workflow and timely completion of tasks. File and scan correspondence, documents, and any other information related to the trust structures, ensuring proper organization and confidentiality. Fill up bank forms and assist in preparing necessary documentation related to trust structures and banking transactions. Assist in storing scanned documents to ViewPoint, our entity administration software, to maintain comprehensive electronic records. Provide general day-to-day administrative support to the Trust Administrator(s), helping them manage their workload effectively. Perform other related duties as assigned. Qualifications Requirements: Diploma or Bachelor's degree in Business Administration, Finance, or a related field. Meticulous attention to detail, accuracy, and strong organizational skills. Ability to multi-task, organize, and prioritize work effectively. Excellent written and verbal communication skills. Proficiency in Microsoft Office 365 suite (Outlook, Excel, Word, Teams, etc.). Ability to work effectively in a fast-paced, regulatory and deadline-driven environment. High level of integrity, professionalism, and ethical conduct. What We Offer: We offer a competitive salary and benefits package, a collaborative work environment, and opportunities for growth and development. To apply, please submit your resume and cover letter outlining your experience and qualifications. We regret to inform that only shortlisted candidates will be notified.",Trust Administrator Assistant (Learning Opportunities),Singapore,"Chi tiết công việc Trust Administrator Assistant (Learning Opportunities) tại JTC Kensington Roles & Responsibilities At Kensington Trust Group, you will have the opportunity to build a career as unique as you are, with the support, inclusive culture, and technology. Your unique perspective and voice will help you and your team become even better. Come join our team and create an exceptional experience for yourself as well as a better working environment for everyone. Your next opportunity We are seeking a highly motivated and detail-oriented Trust Administration Assistant to join our dynamic Trust Administration team. The Trust Administration Assistant will play a vital role in supporting the efficient and effective trust administration of trust accounts and work closely with and assist the Trust Administrator(s) in ensuring all the data of the clients, the trust structure and its assets are properly recorded and maintained. Key Responsibilities: Collaborate closely with the Trust Administration team to obtain information to complete required forms and documentation accurately, ensuring smooth workflow and timely completion of tasks. File and scan correspondence, documents, and any other information related to the trust structures, ensuring proper organization and confidentiality. Fill up bank forms and assist in preparing necessary documentation related to trust structures and banking transactions. Assist in storing scanned documents to ViewPoint, our entity administration software, to maintain comprehensive electronic records. Provide general day-to-day administrative support to the Trust Administrator(s), helping them manage their workload effectively. Perform other related duties as assigned. Qualifications Requirements: Diploma or Bachelor's degree in Business Administration, Finance, or a related field. Meticulous attention to detail, accuracy, and strong organizational skills. Ability to multi-task, organize, and prioritize work effectively. Excellent written and verbal communication skills. Proficiency in Microsoft Office 365 suite (Outlook, Excel, Word, Teams, etc.). Ability to work effectively in a fast-paced, regulatory and deadline-driven environment. High level of integrity, professionalism, and ethical conduct. What We Offer: We offer a competitive salary and benefits package, a collaborative work environment, and opportunities for growth and development. To apply, please submit your resume and cover letter outlining your experience and qualifications. We regret to inform that only shortlisted candidates will be notified.","SGD3,5N-SGD4,5N",27-11-2023
JTC Kensington,"Chi tiết công việc Trust Administrator (Career Growth Opportunities) tại JTC Kensington Roles & Responsibilities At Kensington Trust Group you will have the opportunity to build a career as unique as you are, with the support, inclusive culture and technology. Your unique perspective and voice will help you and your team become even better. Come join our team and create an exceptional experience for yourself as well as a better working environment for everyone. Your next opportunity Be a part of the dynamic trust team that acts as the key contact point for clients to/assist and resolve clients’ issues. We are seeking a dedicated individual who is passionate about delivering exceptional service to our valued clients and exceeding their expectations at every turn. Key Responsibilities: Trust and Estate Administration: Managing the day-to-day administration of trust accounts, including but not limited to opening new bank or brokerage accounts, distribution to beneficiaries, fund transfer, and investment management. Carry out periodic reviews of assigned trust accounts to ensure they are being administered in accordance with the trust deeds, the company’s policies, and legal and tax requirements. Recordkeeping and Documentation: Maintaining accurate and organized trust records. Create Viewpoint Master files, set up and uploaded all trust documents into ViewPoint and maintenance of all necessary principal records and trust files, including ongoing administration. Acts as a primary point of contact for trust clients and ensures transparency in trust administration by providing high-quality customer service to clients, building strong relationships, and maintaining a client-focused approach. Ability to draft trustee minutes, resolutions, or any trust related documents, and to guide the junior trust administrators on daily trust administration work. Administration of trusts and foundations, including its underlying structure and portfolios Work with professional advisors, investment managers and banks in the management of the assets of the trusts and foundations Qualifications Requirements: Minimum 4 years of experience in Trust Administration or relevant; 3 years of solid trust experience will be considered and are strongly encouraged to apply Bachelor's degree in business administration, law, finance, accounting, or relevant field Solid understanding of relevant trust laws and regulations related to trusts, estate planning, taxation, and fiduciary responsibilities Strong analytical skills, attention to detail, and problem-solving abilities Excellent communication skills, both written and verbal Ability to work in a discreet and utmost confidentiality with high ethical standards to protect clients' data The following is a plus: Experience working in the financial or legal industry, particularly in trust administration, estate planning, wealth management, or related areas Familiarity with ViewPoint system and its tools What We Offer: We offer a competitive salary and benefits package, a collaborative work environment, and opportunities for growth and development. We love to hear from you if you can demonstrate that you meet the criteria above We regret to inform that only shortlisted candidates will be notified.",Trust Administrator (Career Growth Opportunities),Singapore,"Chi tiết công việc Trust Administrator (Career Growth Opportunities) tại JTC Kensington Roles & Responsibilities At Kensington Trust Group you will have the opportunity to build a career as unique as you are, with the support, inclusive culture and technology. Your unique perspective and voice will help you and your team become even better. Come join our team and create an exceptional experience for yourself as well as a better working environment for everyone. Your next opportunity Be a part of the dynamic trust team that acts as the key contact point for clients to/assist and resolve clients’ issues. We are seeking a dedicated individual who is passionate about delivering exceptional service to our valued clients and exceeding their expectations at every turn. Key Responsibilities: Trust and Estate Administration: Managing the day-to-day administration of trust accounts, including but not limited to opening new bank or brokerage accounts, distribution to beneficiaries, fund transfer, and investment management. Carry out periodic reviews of assigned trust accounts to ensure they are being administered in accordance with the trust deeds, the company’s policies, and legal and tax requirements. Recordkeeping and Documentation: Maintaining accurate and organized trust records. Create Viewpoint Master files, set up and uploaded all trust documents into ViewPoint and maintenance of all necessary principal records and trust files, including ongoing administration. Acts as a primary point of contact for trust clients and ensures transparency in trust administration by providing high-quality customer service to clients, building strong relationships, and maintaining a client-focused approach. Ability to draft trustee minutes, resolutions, or any trust related documents, and to guide the junior trust administrators on daily trust administration work. Administration of trusts and foundations, including its underlying structure and portfolios Work with professional advisors, investment managers and banks in the management of the assets of the trusts and foundations Qualifications Requirements: Minimum 4 years of experience in Trust Administration or relevant; 3 years of solid trust experience will be considered and are strongly encouraged to apply Bachelor's degree in business administration, law, finance, accounting, or relevant field Solid understanding of relevant trust laws and regulations related to trusts, estate planning, taxation, and fiduciary responsibilities Strong analytical skills, attention to detail, and problem-solving abilities Excellent communication skills, both written and verbal Ability to work in a discreet and utmost confidentiality with high ethical standards to protect clients' data The following is a plus: Experience working in the financial or legal industry, particularly in trust administration, estate planning, wealth management, or related areas Familiarity with ViewPoint system and its tools What We Offer: We offer a competitive salary and benefits package, a collaborative work environment, and opportunities for growth and development. We love to hear from you if you can demonstrate that you meet the criteria above We regret to inform that only shortlisted candidates will be notified.","SGD4,5N-SGD7N",27-11-2023
Advisor Alliance Group,"Chi tiết công việc Business Support Administrator tại Advisor Alliance Group Brief Description: Hiring for business support administrator to assist a financial services team. Mainly looking for someone who can vibe well with the team made up of young and driven individuals. Apply if you enjoy working with people in a dynamic and fast moving industry where there are generally more new things to learn and figure out on the go as opposed to routine and repetitive admin work. This is a long-term, full-time hire. There will be a 2 months probationary period. Do note that this is NOT a sales role. Duties and Responsibilities: · Assisting with the performance management and review process, including tracking, analysing, updating and recognition · Running projects to increase team’s satisfaction and happiness · Inducting and onboarding candidates into the company · Supporting team related activities such as team bonding events and client appreciation events · Organizing recruitment activities and supporting the team with such activities · Performing basic bookkeeping and administrative work for the team · Liaising with division’s secretary in disseminating materials to direct team · Performing client-related errands and servicing matters · Any other ad-hoc tasks as required Requirements: · Enjoy working with young, dynamic and driven individuals · Excellent active listening, negotiation, and presentation skills · People oriented and results driven · Basic designing skills on mainstream platforms · Competency to build and effectively manage interpersonal relationships at all levels of the company · Willing to learn, try out and take on new projects · Ability to work independently Other Benefits: · 14 days annual leave · Potential performance bonuses and salary progression based on specific KPI · Non-monetary benefits such as opportunities to travel with the team if required",Business Support Administrator,Singapore,"Chi tiết công việc Business Support Administrator tại Advisor Alliance Group Brief Description: Hiring for business support administrator to assist a financial services team. Mainly looking for someone who can vibe well with the team made up of young and driven individuals. Apply if you enjoy working with people in a dynamic and fast moving industry where there are generally more new things to learn and figure out on the go as opposed to routine and repetitive admin work. This is a long-term, full-time hire. There will be a 2 months probationary period. Do note that this is NOT a sales role. Duties and Responsibilities: · Assisting with the performance management and review process, including tracking, analysing, updating and recognition · Running projects to increase team’s satisfaction and happiness · Inducting and onboarding candidates into the company · Supporting team related activities such as team bonding events and client appreciation events · Organizing recruitment activities and supporting the team with such activities · Performing basic bookkeeping and administrative work for the team · Liaising with division’s secretary in disseminating materials to direct team · Performing client-related errands and servicing matters · Any other ad-hoc tasks as required Requirements: · Enjoy working with young, dynamic and driven individuals · Excellent active listening, negotiation, and presentation skills · People oriented and results driven · Basic designing skills on mainstream platforms · Competency to build and effectively manage interpersonal relationships at all levels of the company · Willing to learn, try out and take on new projects · Ability to work independently Other Benefits: · 14 days annual leave · Potential performance bonuses and salary progression based on specific KPI · Non-monetary benefits such as opportunities to travel with the team if required","SGD1,5N-SGD3N",17-11-2023
