companyName,description,jobName,location,require,salary,timePost
Công Ty Cổ Phần VNG,"Mô tả Công việc We are looking for a Senior Data Scientist to join GDS’s Data Science Team. The DS team will work on developing advanced machine learning products and supporting key business initiatives with a focus on game users and game performance, platform data such as: churn prediction, recommendation system, fraud/anomaly detection, user segmentation, user’s LTV, targeted advertising, etc. RESPONSIBILITIES: In charge of developing POC and deploying model into production as well as AB testing Extract actionable business insights from data, formulate business solutions based on data to improve the company's business Analyze on large amounts of data from various sources to communicate insights, findings and recommendations to stakeholders Identify opportunities for process improvement, automation, and innovation to enhance data analysis capabilities Utilize statistical and machine learning techniques to identify patterns and trends in data Effective communication with leadership, tech and business teams Involve in the development and evolvement of the data product Help junior and intermediate members enhance their careers and their skill sets in data science Using cutting-edge approaches and procedures, as well as developing new ones, when necessary, support the redesign of the data science model development lifecycle Communicating complex analytical findings and recommendations to non-technical stakeholders, including senior management","Senior Data Scientist, Game Entertainment",Hồ Chí Minh,"Yêu Cầu Công Việc Minimum Bachelor's degree in Computer Science, Data Science, Statistics, Applied Mathematics, Econometrics, or a relevant field of study At least 3+ years of experience in data analytics and data science Strong analytical skills: capable of collecting, organizing, and analyzing significant amounts of information with attention to detail and accuracy Proficiency in SQL, Python, and machine learning frameworks (such as Scikit-learn, TensorFlow, PyTorch) Solid background in machine learning/statistics with hands-on experience in academia and/or industry Excellent communication and collaboration skills, demonstrating a proven ability to work effectively in cross-functional teams A keen learner and self-motivated team player with the ability to handle multiple projects simultaneously Possess a good business mindset",Lương: Cạnh tranh,12-01-2024
DatvietVAC Group Holdings,"Mô tả Công việc MỤC TIÊU CÔNG VIỆC/ JOB OBJECTIVES: Data Science Department is looking for a Data Scientist Lead to: Lead DS Team to deliver Data Platform (DP) for VieON – OTT Platform Design innovative attribution models to implement valuable metrics and better address system enhancement, user behavior Build and maintain visually appealing and engaging dashboards for stakeholders Work with Data Engineers to help define the data standards and requirements helping to ensure our systems are running correctly and efficiently. Involve in the development and evolvement of the data architecture Produce segmented views of our users for our business, and product stakeholders to drive product iterations and improvements Identify problems and propose recommendations. Focus on bringing statistical depth, analytical insights, and accurate interpretation of data. Collecting, cleaning, and preparing data at large scale for modeling. Providing insights and recommendations based on large amounts of data from various sources. Designing, conducting A/B tests, and analyzing the results for experiment insights;",Data Scientist Lead,Hồ Chí Minh,"Yêu Cầu Công Việc Degree in Computer Science or other related fields At least 2 years of experience as Lead Data Engineer/Scientist, preferably in the OTT, e-commerce, or digital industry. 2-4 years of using programming languages including Go/Python/Java/Scala Understanding of data administration and management functions (collection, analysis, distribution, etc.) Familiarity with modern database and information system technologies. Have practical experience in applying Machine Learning in personalization, deal recommendation, or user behavior analysis. Strong data visualization and storytelling skills. Experience in creating dashboards using Tableau and other visualization tools. Big Data tools: Kafka, Hadoop, Hive, Spark, Elastic Search Relational SQL and NoSQL databases: MySQL, MongoDB, Postgres, Cassandra Data pipeline and workflow management tools: Airflow Stream-processing systems: Spark-Streaming Familiar with Linux development environments and multi-threaded programming Having knowledge/Experience in crawl data is a plus Motitor server capacity and resource usage for server capacity planning is a plus Creating customized alerts to more effectively track key server capacity metrics is plus Good logical thinking Passionate about coding and programming, innovation, and solving challenging problems An analytical mindset with problem-solving skills. A team player, with brave, enthusiastic cheerful attitude",Lương: Cạnh tranh,21-12-2023
Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,"Mô tả Công việc VPBank hiện là một trong những Ngân hàng có tốc độ tăng trưởng nhanh nhất tại Việt Nam, cung cấp đa dạng các dịch vụ và được nhiều khách hàng tin dùng. VPBank đặc biệt chú ý đến việc nâng cao hiệu quả hoạt động qua việc phân tích các dữ liệu kinh doanh. Vị trí này đóng vai trò làm việc với các công ty thành viên trong hệ sinh thái của VPBank và các các Phòng/ Trung tâm khác trong nội bộ Khối Quản trị và Phân tích dữ liệu (EAD) để phân tích các bộ dữ liệu phức tạp, tìm kiếm các hiểu biết sâu sắc về hành vi khách hàng và đưa ra các khuyến nghị tương ứng. 1. Hỗ trợ quản lý và định hướng Phòng Khoa học dữ liệu trong việc áp dụng các kỹ thuật phân tích nâng cao, tìm ra hành vi khách hàng, giải quyết các vấn đề kinh doanh thực tế: Chủ động triển khai và dẫn dắt các dự án phân tích dữ liệu phục vụ hoạt động kinh doanh Áp dụng các kỹ thuật phân tích nâng cao, đưa ra các hiểu biết sâu sắc về hành vi của khách hàng, qua đó giúp giải quyết các vấn đề kinh doanh thực tế. Tìm kiếm các hiểu biết sâu sắc về hành vi khách hàng bằng các kỹ thuật khai phá dữ liệu khác nhau Phát triển mô hình học máy, giúp các đơn vị kinh doanh dự báo các vấn đề kinh doanh khác nhau như dự báo khách hàng ngừng sử dụng dịch vụ, bán chéo sản phẩm cho khách hàng hiện tại Tự động hóa quy trình phân tích Hướng dẫn, đào tạo các thành viên trong phòng 2. Nghiên cứu và học hỏi các kỹ thuật phân tích nâng cao mới Nghiên cứu các phương pháp mới trong lĩnh vực phân tích, khai phá dữ liệu và dự báo 3. Hỗ trợ các Phòng/ Trung tâm khác trong các bài toán phân tích dữ liệu nâng cao Làm việc với các phòng/ trung tâm khác trực thuộc EDA cũng như các đơn vị kinh doanh để nắm rõ các vấn đề và thực hiện các phân tích chuyên sâu và dự báo khi cần thiết Hỗ trợ đào tạo thành viên khác trong lĩnh vực phân tích dữ liệu",Data Scientist Senior/Expert - Hà Nội - TA139,Hà Nội,"Yêu Cầu Công Việc Yêu cầu công việc Tốt nghiệp Đại học hoặc cao hơn chuyên nghành toán, thống kê, kinh tế, ngân hàng, tài chính, khoa học máy tính, kỹ thuật phần mềm… Tối thiểu 3-5 năm làm việc trong lĩnh vực phân tích dữ liệu, mô hình học máy, học sâu. Ưu tiên các ứng viên có kinh nghiệm tại ngân hàng Có hiểu biết sâu sắc và có kinh nghiệm làm việc với các mô hình thống kê, dự báo, các thuật toán học máy, các kỹ thuật phân tích nâng cao Thành thạo SQL, Excel và ngôn ngữ phân tích dữ liệu R hoặc Python Thích nghiên cứu, học hỏi các phương pháp và kỹ thuật phân tích chuyên sâu để phục vụ tối ưu kết quả kinh doanh. Quyền lợi: Thu nhập hấp dẫn, lương thưởng cạnh tranh theo năng lực (16-18 tháng lương/năm) Thưởng các Ngày lễ, Tết cạnh tranh Được vay ưu đãi với lãi suất hấp dẫn theo quy định của ngân hàng Chế độ ngày phép 12-18 ngày phép/năm theo cấp bậc Bảo hiểm sức khỏe VPBank care cho CBNV theo cấp bậc Được tham gia các khóa đào tạo tùy thuộc vào Khung đào tạo cho từng vị trí Thời gian làm việc: từ thứ 2 – thứ 6 & 02 sáng thứ 7/ tháng",Lương: Cạnh tranh,08-01-2024
Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,"Mô tả Công việc VPBank hiện là một trong những Ngân hàng có tốc độ tăng trưởng nhanh nhất tại Việt Nam, cung cấp đa dạng các dịch vụ và được nhiều khách hàng tin dùng. VPBank đặc biệt chú ý đến việc nâng cao hiệu quả hoạt động qua việc phân tích các dữ liệu kinh doanh. Vị trí này đóng vai trò làm việc với các đơn vị kinh doanh và các các Phòng/ Trung tâm khác trong nội bộ Khối Quản trị và Phân tích dữ liệu (EAD) để phân tích các bộ dữ liệu phức tạp, tìm kiếm các hiểu biết sâu sắc về hành vi khách hàng và đưa ra các khuyến nghị tương ứng. 1. Hỗ trợ quản lý và định hướng Phòng Khoa học dữ liệu trong việc áp dụng các kỹ thuật phân tích nâng cao, tìm ra hành vi khách hàng, giải quyết các vấn đề kinh doanh thực tế: Chủ động triển khai và dẫn dắt các dự án phân tích dữ liệu phục vụ hoạt động kinh doanh Áp dụng các kỹ thuật phân tích nâng cao, đưa ra các hiểu biết sâu sắc về hành vi của khách hàng, qua đó giúp giải quyết các vấn đề kinh doanh thực tế. Tìm kiếm các hiểu biết sâu sắc về hành vi khách hàng bằng các kỹ thuật khai phá dữ liệu khác nhau Phát triển mô hình học máy, giúp các đơn vị kinh doanh dự báo các vấn đề kinh doanh khác nhau như dự báo khách hàng ngừng sử dụng dịch vụ, bán chéo sản phẩm cho khách hàng hiện tại Tự động hóa quy trình phân tích Hướng dẫn, đào tạo các thành viên trong phòng 2. Nghiên cứu và học hỏi các kỹ thuật phân tích nâng cao mới Nghiên cứu các phương pháp mới trong lĩnh vực phân tích, khai phá dữ liệu và dự báo 3. Hỗ trợ các Phòng/ Trung tâm khác trong các bài toán phân tích dữ liệu nâng cao Làm việc với các phòng/ trung tâm khác trực thuộc EDA cũng như các đơn vị kinh doanh để nắm rõ các vấn đề và thực hiện các phân tích chuyên sâu và dự báo khi cần thiết Hỗ trợ đào tạo thành viên khác trong lĩnh vực phân tích dữ liệu",Data Scientist Senior/Expert - Hà Nội - TA139,Hà Nội,"Yêu Cầu Công Việc Yêu cầu công việc Tốt nghiệp Đại học hoặc cao hơn chuyên nghành toán, thống kê, kinh tế, ngân hàng, tài chính, khoa học máy tính, kỹ thuật phần mềm… Tối thiểu 3-5 năm làm việc trong lĩnh vực phân tích dữ liệu, mô hình học máy, học sâu. Ưu tiên các ứng viên có kinh nghiệm tại ngân hàng Có hiểu biết sâu sắc và có kinh nghiệm làm việc với các mô hình thống kê, dự báo, các thuật toán học máy, các kỹ thuật phân tích nâng cao Thành thạo SQL, Excel và ngôn ngữ phân tích dữ liệu R hoặc Python Thích nghiên cứu, học hỏi các phương pháp và kỹ thuật phân tích chuyên sâu để phục vụ tối ưu kết quả kinh doanh. Quyền lợi: Thu nhập hấp dẫn, lương thưởng cạnh tranh theo năng lực (16-18 tháng lương/năm) Thưởng các Ngày lễ, Tết cạnh tranh Được vay ưu đãi với lãi suất hấp dẫn theo quy định của ngân hàng Chế độ ngày phép 12-18 ngày phép/năm theo cấp bậc Bảo hiểm sức khỏe VPBank care cho CBNV theo cấp bậc Được tham gia các khóa đào tạo tùy thuộc vào Khung đào tạo cho từng vị trí Thời gian làm việc: từ thứ 2 – thứ 6 & 02 sáng thứ 7/ tháng",Lương: Cạnh tranh,02-01-2024
Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,"Mô tả Công việc VPBank hiện là một trong những Ngân hàng có tốc độ tăng trưởng nhanh nhất tại Việt Nam, cung cấp đa dạng các dịch vụ và được nhiều khách hàng tin dùng. VPBank đặc biệt chú ý đến việc nâng cao hiệu quả hoạt động qua việc phân tích các dữ liệu kinh doanh. Vị trí này đóng vai trò làm việc với các đơn vị kinh doanh, công ty thành viên trong hệ sinh thái của VPBank và các các Phòng/ Trung tâm khác trong nội bộ Khối Quản trị và Phân tích dữ liệu (EAD) để phân tích các bộ dữ liệu phức tạp, tìm kiếm các hiểu biết sâu sắc về hành vi khách hàng và đưa ra các khuyến nghị tương ứng. 1. Hỗ trợ quản lý và định hướng Phòng Khoa học dữ liệu trong việc áp dụng các kỹ thuật phân tích nâng cao, tìm ra hành vi khách hàng, giải quyết các vấn đề kinh doanh thực tế: Chủ động triển khai và dẫn dắt các dự án phân tích dữ liệu phục vụ hoạt động kinh doanh Áp dụng các kỹ thuật phân tích nâng cao, đưa ra các hiểu biết sâu sắc về hành vi của khách hàng, qua đó giúp giải quyết các vấn đề kinh doanh thực tế. Tìm kiếm các hiểu biết sâu sắc về hành vi khách hàng bằng các kỹ thuật khai phá dữ liệu khác nhau Phát triển mô hình học máy, giúp các đơn vị kinh doanh dự báo các vấn đề kinh doanh khác nhau như dự báo khách hàng ngừng sử dụng dịch vụ, bán chéo sản phẩm cho khách hàng hiện tại Tự động hóa quy trình phân tích Hướng dẫn, đào tạo các thành viên trong phòng 2. Nghiên cứu và học hỏi các kỹ thuật phân tích nâng cao mới Nghiên cứu các phương pháp mới trong lĩnh vực phân tích, khai phá dữ liệu và dự báo 3. Hỗ trợ các Phòng/ Trung tâm khác trong các bài toán phân tích dữ liệu nâng cao Làm việc với các phòng/ trung tâm khác trực thuộc EDA cũng như các đơn vị kinh doanh để nắm rõ các vấn đề và thực hiện các phân tích chuyên sâu và dự báo khi cần thiết Hỗ trợ đào tạo thành viên khác trong lĩnh vực phân tích dữ liệu",Senior Data Scientist Senior - Hà Nội - TA139,Hà Nội,"Yêu Cầu Công Việc Yêu cầu công việc Tốt nghiệp Đại học hoặc cao hơn chuyên nghành toán, thống kê, kinh tế, ngân hàng, tài chính, khoa học máy tính, kỹ thuật phần mềm… Tối thiểu 3 năm làm việc trong lĩnh vực phân tích dữ liệu, mô hình học máy, học sâu. Ưu tiên các ứng viên có kinh nghiệm tại ngân hàng Có hiểu biết sâu sắc và có kinh nghiệm làm việc với các mô hình thống kê, dự báo, các thuật toán học máy, các kỹ thuật phân tích nâng cao Thành thạo SQL, Excel và ngôn ngữ phân tích dữ liệu R hoặc Python Thích nghiên cứu, học hỏi các phương pháp và kỹ thuật phân tích chuyên sâu để phục vụ tối ưu kết quả kinh doanh. Quyền lợi: Thu nhập hấp dẫn, lương thưởng cạnh tranh theo năng lực (16-18 tháng lương/năm) Thưởng các Ngày lễ, Tết cạnh tranh Được vay ưu đãi với lãi suất hấp dẫn theo quy định của ngân hàng Chế độ ngày phép 12-18 ngày phép/năm theo cấp bậc Bảo hiểm sức khỏe VPBank care cho CBNV theo cấp bậc Được tham gia các khóa đào tạo tùy thuộc vào Khung đào tạo cho từng vị trí Thời gian làm việc: từ thứ 2 – thứ 6 & 02 sáng thứ 7/ tháng",Lương: Cạnh tranh,09-01-2024
Ngân Hàng TMCP Quân Đội,"Mô tả Công việc - Nhóm xử lý dữ liệu Text yêu cầu kỹ năng lập trình 1 trong các ngôn ngữ Python/Scala/java với các stack công nghệ Spark processing framework, Jupiter Notebook, Numpy, Pandas, Pyspark, PyClustering, Transformer, Fast-Bert, Anaconda, Tableau, ect. - Nhóm xử lý ảnh yêu cầu thêm Pytorch, TensorFlow, OpenCV, Keras, Pytorch, Rapid, CUDA, etc - Có kiến thức cơ bản về Hadoop eco-system/ Image-Processing Eco-System - Kiến thức cơ bản về Machine Learning, Deep Machine Learning, Data mining.",Data Scientist - Trung tâm Công nghệ Dữ Liệu - Khối Dữ Liệu,Hà Nội,"Yêu Cầu Công Việc 1. Đang theo học hoặc tốt nghiệp Đại học chuyên nghành liên quan trong và ngoài nước. 2. Chuyên nghành: CNTT, Điện tử-Viễn thông, Toán Tin, Khoa học máy tính, Khoa học dữ liệu,…. 3. Ngoại ngữ: Đọc hiểu tài liệu tiếng Anh tốt. Ưu tiên có thể làm việc trực tiếp với các đối tác nước ngoài. 4. Kinh nghiệm: Yêu cầu tối thiểu 3 năm làm việc đối với ứng viên có kinh nghiệm. Ưu tiên: - Đã tham gia các dự án thực tế tại các công ty - Tốt nghiệp nghành data science, có kiến thức tốt về thuật toán và giải thuật và kỹ năng phân tích data tốt - Khả năng làm việc độc lập tốt: xác định vấn đề, giải quyết vấn đề, khả năng chịu áp lực - Kỹ năng làm việc nhóm tốt: kỹ năng giao tiếp, trình bày, thuyết phục,… - Sôi nổi, nhiệt tình, đam mê công việc - Background về Banking Business - Có khả năng đọc hiểu tiếng anh tốt",Lương: Cạnh tranh,09-01-2024
Công Ty TNHH Reeracoen Việt Nam,"Mô tả Công việc - Work across the data value chain based on the project and client opportunity, with responsibilities ranging from performing deep-dive data analyses, developing predictive models and forecasting tools, building analytics dashboards and developing end-to-end data strategies - Problem solve, disaggregate issues, develop hypotheses and develop actionable recommendations from data and analysis - Take ownership of work delivery, assessing a problem and designing the approach, developing the data science solution, presenting the results to stakeholders, and where appropriate, prepare and facilitate workshops. - Keep your skills up to date with the latest developments in data science and AI and contribute to thought leadership and knowledge share initiatives across company.","[Nam Từ Liêm, Hà Nội] Senior Data Scientist (50M - 60M) (23737) (Mới)",Hà Nội,"Yêu Cầu Công Việc - 4+ years of professional experience in data sciences - High level of English communication skills, both written and verbal - Experience in data sciences in the field of Insurance or Healthcare - Advanced degree in quantitative field (e.g. Engineering, Mathematics, etc.) - Solid understanding of the strategic impact of Data and Insights on business strategy and operations - Strong working knowledge of SQL, Python and/or R; Tableau and Power BI",Lương: 50 Tr - 60 Tr VND,12-01-2024
Ngân Hàng TMCP Quân Đội,"Mô tả Công việc 1. Thực hiện xây dựng, thu thập các dữ liệu phục vụ cho việc xây dựng mô hình phân tích dữ liệu theo mảng nghiệp vụ được phân công 2. Hỗ trợ xây dựng kho lưu trữ dữ liệu đặc điểm làm nguồn đầu vào cho các mô hình phân tích dữ liệu kinh doanh trên lĩnh vực được phân công 3. Tham gia xây dựng và phát triển các mô hình phân tích phục vụ ra quyết định kinh doanh trên lĩnh vực được phân công 4. Tham gia công tác điều chỉnh, tối ưu hóa các mô hình phân tích phục vụ ra quyết định kinh doanh trên lĩnh vực được phân công",Chuyên viên/CVCC Mô hình kinh doanh (Data scientist) - Khối Dữ liệu,Hà Nội,"Yêu Cầu Công Việc - Tốt nghiệp Cử nhân chuyên ngành kinh tế, tài chính, ngân hàng, khoa học dữ liệu, khoa học máy tính, thống kê, Toán tin... hoặc các chuyên ngành liên quan - Ưu tiên có kinh nghiệm từ 01 năm phân tích dữ liệu, khoa học máy tính hoặc các vị trí tương đương làm việc với dữ liệu lớn, có kinh nghiệm xây dựng các mô hình dự đoán, học máy. Ưu tiên có kinh nghiệm trong lĩnh vực ngân hàng - tài chính - Ưu tiên có chứng chỉ hoặc có kinh nghiệm sử dụng thành thạo công cụ truy xuất, biến đổi dữ liệu: SQL, Tableau, Power BI, Oracle, Data visualization - Toeic 450 hoặc chứng chỉ tương đương",Lương: Cạnh tranh,03-01-2024
Ngân Hàng TMCP Quân Đội,"Mô tả Công việc 1. Thực hiện xây dựng, thu thập các dữ liệu phục vụ cho việc xây dựng mô hình phân tích dữ liệu theo mảng nghiệp vụ được phân công 2. Hỗ trợ xây dựng kho lưu trữ dữ liệu đặc điểm làm nguồn đầu vào cho các mô hình phân tích dữ liệu kinh doanh trên lĩnh vực được phân công 3. Tham gia xây dựng và phát triển các mô hình phân tích phục vụ ra quyết định kinh doanh trên lĩnh vực được phân công 4. Tham gia công tác điều chỉnh, tối ưu hóa các mô hình phân tích phục vụ ra quyết định kinh doanh trên lĩnh vực được phân công",Chuyên viên/CVCC Mô hình kinh doanh (Data scientist) - Khối Dữ liệu,Hà Nội,"Yêu Cầu Công Việc - Tốt nghiệp Cử nhân chuyên ngành kinh tế, tài chính, ngân hàng, khoa học dữ liệu, khoa học máy tính, thống kê, Toán tin... hoặc các chuyên ngành liên quan - Ưu tiên có kinh nghiệm từ 01 năm phân tích dữ liệu, khoa học máy tính hoặc các vị trí tương đương làm việc với dữ liệu lớn, có kinh nghiệm xây dựng các mô hình dự đoán, học máy. Ưu tiên có kinh nghiệm trong lĩnh vực ngân hàng - tài chính - Ưu tiên có chứng chỉ hoặc có kinh nghiệm sử dụng thành thạo công cụ truy xuất, biến đổi dữ liệu: SQL, Tableau, Power BI, Oracle, Data visualization - Toeic 450 hoặc chứng chỉ tương đương",Lương: Cạnh tranh,09-01-2024
Unilever Vietnam International,"What you will be doing: - Dedicated to drive the digital transform projects of factory, with their deep understanding of factory process & needs (using your coding skills) - Lead the deployment of standard digital use case deployed in the factory, with the help of Internet Of Things Engineer & Data Scientist - Coordinate with Manufacturing Excellence Team for the adoption of global digital use case for shopfloor execution",UFresh Manufacturing Data Analyst,Hồ Chí Minh,"Yêu Cầu Công Việc What we are looking for: Final year student or graduated with less than 1-year experience with technical background in industrial/ manufacturing/engineering Able to work fulltime Data literacy & familiar with data manipulation tools such as SQL, Power Query, Python, Excel Marco, Power Automate… Basic data visualization skill with Power BI, Power Apps… Good English communication Self-motivated, committed, and confident. Wish to work in the manufacturing environment",Lương: Cạnh tranh,04-01-2024
