companyName,description,jobName,location,require,salary,timePost
CÔNG TY TNHH CHASQUI VIỆT NAM,"Mô tả Công việc • Phát triển trang web và ứng dụng di động. • Phân tích các yêu cầu của khách hàng để phát triển các tính năng mới (các dự án gia công phần mềm). • Maintenance code đã có, fix bug, phát triển tính năng mới • Phối hợp chặt chẽ với Quản lý dự án và team dev để đưa ra các ý tưởng và giải pháp cho việc phát triển các tính năng mới. • Viết và maintenance code • Tích hợp các giải pháp lưu trữ dữ liệu.","Software Developer (Ruby on Rails, Python, PHP)",Hà Nội,"Yêu Cầu Công Việc • Bằng Cử nhân về CNTT / Khoa học Máy tính. • Có từ 3 năm kinh nghiệm lập trình trở lên với Ruby on rails hoặc Có kinh nghiệm với Laravel (PHP), Django (Python), Fuel PHP • Khả năng viết code và maintenance code. • Thành thạo với các công cụ lập phiên bản mã bao gồm Git, Github, SVN ... • Hiểu biết tốt về các công nghệ front-end: Jquery, Bootstrap là điểm cộng",Lương: 18 Tr - 35 Tr VND,12-01-2024
CÔNG TY CỔ PHẦN TRÒ CHƠI GIÁO DỤC VIỆT,"Mô tả Công việc Tạo ra âm thanh, tiếng động, hiệu ứng âm thanh... trong game theo kịch bản sao cho phù hợp nhất. Thực hiện thu âm và xử lý âm thanh sau khi thu. Phối hợp với các bộ phận liên quan để phối hợp tạo ra sản phẩm hoàn thiện. Chi tiết công việc sẽ trao đổi trong vòng phỏng vấn.",Chuyên Viên Hậu Kỳ Âm Thanh Game,Hà Nội,"Yêu Cầu Công Việc Có ít nhất 1 năm kinh nghiệm chuyên nghiệp về lĩnh vực tạo âm thanh và nhạc cho trò chơi điện tử hoặc phim hoạt hình (cần có portfolio/các bản demo) Có kiến thức về nội dung nhạc tương tác Ưu tiên có kinh nghiệm trong trong thiết kế âm thanh cho phim hoạt hình hoặc trò chơi dành cho trẻ em PHÚC LỢI Thưởng kỳ, KPIs, thưởng dự án không giới hạn Ít nhất 1 lần/năm Môi trường làm việc trẻ trung, năng động, có nhiều câu lạc bộ để bạn tham gia. ĐỊA ĐIỂM LÀM VIỆC Dịch Vọng, Cầu Giấy, Hà Nội, Việt Nam",Lương: Cạnh tranh,14-01-2024
Tan Hiep Phat Group,"Mô tả Công việc - Thiết kế, xây dựng, triển khai, quản lý, vận hành và bảo trì hệ thống công nghệ thông tin bao gồm các hệ thống phần mềm, website, ứng dụng di động và các hệ thống khác trong lĩnh vực Kỹ thuật phát triển Ứng dụng CNTT None ERP luôn vận hành an toàn và thông suốt + Trao đổi với bộ phận phân tích nghiệp vụ để hiểu rõ và nắm bắt nhu cầu mới tư vấn giải, pháp, thực hiện phát triển, vận hành và bảo trì hệ thống công nghệ thông tin trong lĩnh vực kỹ thuật phát triển ứng dụng CNTT None ERP luôn vận hành an toàn và thông suốt. + Tham gia thử nghiệm các công nghệ mới nhằm cải tiến, phát triển công nghệ thông tin của Công ty trong lĩnh vực kỹ thuật phát triển ứng dụng CNTT None ERP + Tham gia thực hiện rà soát và tìm kiếm các lỗ hổng hay nguy cơ trong hệ thống CNTT trong lĩnh vực kỹ thuật phát triển ứng dụng CNTT None ERP có thể gây thất thoát và ảnh hưởng đến tính toàn vẹn của hệ thống, từ đó đưa lên các phương án và lộ trình khắc phục đảm bảo tính liên tục trong việc vận hành hệ thống phục vụ cho Công ty + Tham gia triển khai cùng các đối tác để đưa các CNTT mới vào các hoạt động thực tế trong Công ty nhằm đáp ứng nhu cầu phát triển trung và dài hạn của Công ty trong lĩnh vực kỹ thuật phát triển ứng dụng CNTT None ERP + Thực hiện phân quyền cho người dùng các ứng dụng về kỹ thuật phát triển ứng dụng CNTT None ERP nhằm đảm bảo thực hiện đúng quy định + Tham gia xử lý và khắc phục các sự cố liên quan đến hệ thống CNTT trong hoạt động hàng ngày của người dùng trong lĩnh vực kỹ thuật phát triển ứng dụng CNTT None ERP của Công ty và đảm bảo sự tiện dụng của người dùng + Tham gia thực hiện các giải pháp phòng ngừa các rủi ro trong lĩnh vực kỹ thuật phát triển ứng dụng CNTT None ERP đảm bảo ngăn ngừa các rủi ro và sự cố an toàn công nghệ thông tin. + Vận hành chu trình phát triển phần mềm trong lĩnh vực kỹ thuật phát triển ứng dụng CNTT None ERP theo tiêu chuẩn DevOps (Phát triển mới, Quản lý sự thay đổi, Theo dõi và phối hợp xử lý lỗi, Kiểm thử và bàn giao). - Tham gia rà soát, kiểm kê định kỳ về tài nguyên CNTT trong lĩnh vực Kỹ thuật phát triển ứng dụng None ERP bao gồm phân quyền tài nguyên, bản quyền phần mềm đảm bảo các tài nguyên CNTT được cấp phát đúng quy định + Tham gia rà soát, kiểm kê định kỳ về tài nguyên CNTT trong lĩnh vực Kỹ thuật phát triển ứng dụng None ERP bao gồm phân quyền tài nguyên, bản quyền phần mềm, dịch vụ hosting đảm bảo các tài nguyên CNTT được cấp phát đúng quy định và hoạt động ổn định",Mobile Developer (Flutter),Bình Dương,"Yêu Cầu Công Việc Tốt nghiệp Đại Học CNTT. Hiểu và áp dụng đầy đủ vòng đời của phát triển phần mềm từ giao diện tới sử lý phần nền của hệ thống. Thành thạo các ngôn ngữ lập trình: Flutter Kiến thức tốt trong Web services(RESTFUL API, JSON) Đọc hiểu tốt tài liệu kỹ thuật chuyên ngành CNTT Kỹ năng tiếng Anh giao tiếp tốt là 1 lợi thế Kỹ năng vi tính văn phòng tốt Có ít nhất 3 năm kinh nghiệm làm việc trong lĩnh vực phát triển phần mềm.",Lương: Cạnh tranh,22-12-2023
Công ty Cổ phần Thời Trang YODY,"Mô tả Công việc - Phát triển giao diện người dùng: Xây dựng giao diện người dùng dựa trên thiết kế từ các nhóm thiết kế hoặc UI/UX Designer. Sử dụng các ngôn ngữ và công nghệ như HTML, CSS, JavaScript để tạo ra trang web hoặc ứng dụng di động hấp dẫn và thân thiện với người dùng. - Tối ưu hóa hiệu suất: Tối ưu hóa hiệu suất giao diện để đảm bảo tải trang nhanh chóng và đáp ứng. Xử lý các yếu tố như tối ưu hóa hình ảnh, sử dụng đệm và tối ưu hóa mã nguồn. - Đảm bảo tính đáp ứng: Đảm bảo rằng giao diện hoạt động một cách đáp ứng trên nhiều thiết bị và kích thước màn hình khác nhau. - Tương tác với Backend: Làm việc với nhóm Backend Developer để tích hợp giao diện người dùng với phần Backend của ứng dụng. Giao tiếp thông tin và dữ liệu giữa Frontend và Backend thông qua API hoặc các kỹ thuật khác. - Kiểm tra và sửa lỗi: Kiểm tra và sửa lỗi trên giao diện người dùng để đảm bảo tính ổn định và chất lượng của ứng dụng. - Tương tác với thiết kế: Làm việc cùng với nhóm thiết kế để hiểu và thực hiện các thiết kế giao diện theo đúng yêu cầu và hướng dẫn thiết kế. - Nghiên cứu công nghệ mới: Theo dõi và áp dụng các xu hướng và công nghệ mới trong lĩnh vực Frontend để cải thiện trải nghiệm người dùng. - Thời gian làm việc: 8h-17h (từ Thứ 2 đến hết Thứ 7), nghỉ các Chủ nhật Quyền lợi + Cung cấp thiết bị, màn hình làm việc + Thu nhập: Open for discussion + Thưởng cuối năm: 1 - 2 tháng thu nhập, thưởng theo doanh thu, thưởng các ngày Lễ, Tết + Công ty chi trả 100% các khóa học nội bộ/ bên ngoài + Nghỉ chủ nhật, năm có 12 ngày nghỉ phép + Đóng bảo hiểm khi chính thức theo quy định + Phụ cấp Ăn trưa miễn phí tại công ty. + Được tổ chức sinh nhật, du lịch 1-2 lần/năm, hưởng các chính sách đãi ngộ đặc biệt từ công ty",Senior Frontend Developer (ReactJS),Hà Nội,"Yêu Cầu Công Việc - Kinh nghiệm làm việc với HTML, CSS, JavaScript và các thư viện hoặc framework phát triển Frontend như React, Angular, Vue.js, hoặc Ember.js. - Hiểu biết về thiết kế giao diện người dùng (UI/UX) và khả năng làm việc với các công cụ thiết kế như Adobe XD, Sketch, Figma. - Hiểu biết về các tiêu chuẩn, quy tắc truy cập trang web và ứng dụng di động. - Kỹ năng làm việc nhóm và giao tiếp hiệu quả. - Khả năng giải quyết vấn đề và tư duy logic. - Có sự chi tiết và cẩn thận trong công việc. - Hiểu biết về các công cụ kiểm tra và kiểm tra tự động (testing tools) là một lợi thế. - Kiến thức về các tiêu chuẩn bảo mật và biện pháp bảo vệ thông tin là một lợi thế. - Ưu tiên kinh nghiệm từ 2 năm trở lên",Lương: Cạnh tranh,31-12-2023
CÔNG TY CỔ PHẦN CÔNG NGHỆ & THỂ THAO UNITY,Mô tả Công việc Chịu trách nhiệm phát triển các sản phẩm Web sử dụng ReactJS/NextJS Chuyển đổi thiết kế thành các các giao diện UI/UX thân thiện với người dùng. Đảm bảo trải nghiệm người dùng tốt và tương tác mượt mà trên nhiều thiết bị và trình duyệt khác nhau.,Frontend Developer (ReactJS/NextJS) (Mới),Hồ Chí Minh,"Yêu Cầu Công Việc Ít nhất 2 năm kinh nghiệm làm việc với ReactJS/NextJS trong môi trường phát triển web. Thành thạo JavaScript, jQuery, Bootstrap, Tailwindcss, Typescript, ES6, CSS3, HTML5, ESLint. Nắm vững lập trình hướng đối tượng với JavaScript. Có kinh nghiệm phát triển và tích hợp RESTful API, Web socket. Có kinh nghiệm triển khai giao diện web responsive, đảm bảo trải nghiệm người dùng mượt mà trên nhiều loại thiết bị và kích thước màn hình.",Lương: 22 Tr - 33 Tr VND,12-01-2024
Công ty Cổ phần Dịch vụ Di Động Trực tuyến (Ví MoMo),"Mô tả Công việc At MoMo, many businesses depend largely on our customer data, which are intensive and require reliable, scalable, and secure access. We’re looking for a senior backend software engineer for our data platform to enable efficient, reliable and scalable data processing across both realtime and offline processing systems. Design, build and test significant features in microservice-based architecture; Monitor and operate existing systems; Collaborate with various engineering and product teams in MoMo to provide technical supports and solutions; Enhance and resolve issues in the current codes, perform unit testing and integration testing; Enhance common code base, library and framework; Research and apply new technology to optimize and enhance current systems.","Java Developer, Social platform",Hà Nội,"Yêu Cầu Công Việc Bachelor’s Degree of Computer Science, Engineering, or related field; 2+ years of experience as a professional software developer; Having 2+ years of experience in building and operating scalable, fault-tolerant, distributed systems; Experienced with building systems with intensive amount of data and traffic is a plus; Experienced with modern data stores: relational databases (Oracle, Postgres, etc.), NoSQL databases (Redis, RockDB, MongoDB, etc.). Experienced with OLAP databases like Clickhouse is a plus; Familiar with at least one of the following: Kafka, RabbitMQ, or equivalent streaming technology; Excellent understanding of Java fundamentals, data structures and algorithms; Thorough understanding of asynchronous, parallel, and concurrent programming. Experienced with Vertx is a plus; Having ability to work both independently and collaboratively with colleagues; Having willingness to work hard and be creative in a fast-paced environment.",Lương: Cạnh tranh,16-12-2023
Tập đoàn Giáo dục Đại Trường Phát,"Mô tả Công việc *REACT NATIVE - Discussing/suggesting to Technical Leader/ PM about requirements and application design - Developing fully functional mobile applications (iOS and Android) by writing clean code - Planning and suggesting your ideas about the products/application to Product Manager - Researching and suggesting new mobile products, applications and frameworks - Implementing high-quality mobile application - Integrating the front-end elements built by your co-workers into the application. - Testing carefully functions, and projects before delivering to customers. - Solid understanding of the full mobile development life cycle - Knowledge of UI elements & layout, animation technique - Experience in working with the Server Side using RESTful, SOAP",Senior/Leader Mobile Developer,Hồ Chí Minh,"Yêu Cầu Công Việc - At least 03 years experiences in Mobile development - Proficiency in REACT NATIVE or Flutter or both of them - Able to handle all mobile development processes from development to deployment - Good at OOP, pattern designing, writing testable code and easy for maintenance - Have passion for exploring and learning new technology - Demonstrable portfolio of released applications on App store or Google Play - Good problem solving, collaboration, and communication skills - Proficient in using GIT code versioning - Proficient in oral English is highly appreciated",Lương: Cạnh tranh,14-01-2024
Công Ty TNHH OS POWER Việt Nam,"Mô tả Công việc OSPV cần tuyển gấp 1 IOS Developer với nội dung như sau: * Về công ty: công ty cung cấp dịch vụ CNTT có trụ sở chính tại Hà Nội, được thành lập vào tháng 4 năm 2014 * Đia điểm làm việc: Yên Hòa, Cầu Giấy, Hà Nội * Thời gian làm việc: 8:30~17:30 (Thứ 2~Thứ 6) * Nội dung công việc: - Phát triển các ứng dụng Mobile bằng Objective C và Swift theo yêu cầu - Tham gia phân tích, thiết kế và cung cấp các tính năng mới - Tham gia vào quá trình phát triển ý tưởng, ứng dụng mới cho iOS - Phối hợp với nhóm Kiểm thử kiểm tra và sửa lỗi của ứng dụng - Hỗ trợ, sửa lỗi sau triển khai; - Cùng với PM/BrSE phối hợp triển khai, hoàn thành tiến độ dự án","IOS Developer - Cầu Giấy, Hà Nội (~1700 USD)",Hà Nội,"Yêu Cầu Công Việc - Có kinh nghiệm 3-4 năm trở lên về Objective C , Swift (cần biết cả 2) - Có kinh nghiệm về xử lý video, stream video là một lợi thế. - Có kỹ năng Horenso tốt - Có kỹ năng điều tra code và kỹ năng đưa ra các đề xuất. * Phúc lợi - Lương: Up to ~1700$ (thỏa thuận) - Thu nhập 13 tháng lương/năm, quà tặng (tiền thưởng) vào các ngày Lễ Tết (Tết dương lịch, Quốc khánh, 30/04-01/05, Trung thu, Tết thiếu nhi...) - Xét tăng lương 2 lần/năm theo năng lực và hiệu quả công việc - 3 ngày remote/tháng, 1 ngày nghỉ sinh nhật full lương - Phụ cấp ăn trưa, gửi xe miễn phí - Đồng nghiệp trẻ trung, năng động, luôn hỗ trợ và giúp đỡ nhau. - Môi trường làm việc văn minh, công bằng, tinh thần Startup năng động, thoải mái đưa ra các ý tưởng cải tiến. - Teambuilding, du lịch cùng công ty. - Khám sức khỏe định kỳ 1 lần/năm tại bệnh viện uy tín. - Các chế độ về bảo hiểm xã hội, bảo hiểm y tế, và các chế độ khác theo quy định của Pháp luật. - Các chính sách hỗ trợ việc học tập để phát triển bản thân bao gồm ngân sách và thời gian tham gia các khóa đào tạo. - Có lộ trình phát triển nghề nghiệp Career Path rõ ràng, được tạo điều kiện để phát triển nghề nghiệp theo năng lực và mong muốn cá nhân.","Lương: 37,4 Tr - 37,4 Tr VND",08-01-2024
Công ty Cố phần giải pháp công nghệ ITE,"Mô tả Công việc Thiết kế, triển khai, vận hành và bảo trì các phần mềm hệ thống Xây dựng tài liệu đặc tả kỹ thuật Phối hợp chặt chẽ với các bộ phận khác (QA, Tech Support,...) để phát hiện và xử lý lỗi phần mềm một cách hiệu quả","Middle Java Developer (E-payment, Banking)",Hà Nội,"Yêu Cầu Công Việc Có từ 03 năm kinh nghiệm lập trình Backend (Java, .Net, NodeJS,...), có hiểu biết về các Framework: Spring, Hibernate là một lợi thế Có kiến thức về System, Monitoring, Logging là 1 lợi thế Có kinh nghiệm với NoSQL (Redis, MongoDB), các hệ thống Message Queue (Kafka, RabbitMQ) là 1 lợi thế Có kinh nghiệm làm việc với hệ thống cơ sở dữ liệu SQL Server/MySQL/MongoDB/ElasticSearch là 1 lợi thế Có kinh nghiệm làm việc trên môi trường UNIX / Linux là 1 lợi thế. Khuyến khích Ưu tiên ứng viên có kinh nghiệm làm việc với Microservices Có kiến thức về Docker và Kubernetes Có kiến thức về bảo mật và tối ưu hệ thống Đã từng tham gia dự án trong ngành tài chính, ngân hàng, viễn thông Kỹ năng mềm Tư duy lập trình hướng đối tượng tốt Sẵn sàng và tích cực học hỏi công nghệ và kiến thức mới Có kỹ năng làm việc độc lập và theo nhóm Có khả năng sử dụng Tiếng Anh trong công việc QUYỀN LỢI Chế độ đãi ngộ Mức lương: 18-25 triệu/tháng (mức Net) Review lương ít nhất 01 lần/năm và tăng đột xuất với các cá nhân xuất sắc Thưởng tháng lương 13, thưởng dự án, thưởng hiệu quả làm việc cuối năm, thưởng các ngày lễ tết, thưởng cá nhân xuất sắc hàng năm, thưởng thâm niên Một năm 13 ngày phép nguyên lương bao gồm 12 ngày nghỉ phép năm và 1 ngày nghỉ sinh nhật, từ năm thứ 2 mỗi năm làm việc tăng 1 ngày nghỉ Tham gia 1 chuyến dã ngoại công ty và 2 chuyến từ thiện hàng năm; Liên hoan mỗi phòng ban 2 lần/năm Tiệc nhà hàng, vui chơi các ngày lễ lớn trong năm, Happy hour hàng tuần, hàng tháng tại văn phòng Môi trường làm việc tử tế, sáng tạo, hiện đại, quản lý theo tiến độ và hiệu quả công việc, giờ làm việc linh hoạt, nghỉ thứ 7&CN Đào tạo và phát triển Chú trọng đào đạo tận tình các kĩ năng mềm, và nghiệp vụ chuyên sâu Đội ngũ lãnh đạo thân thiện, hòa đồng, quan tâm đến sự phát triển của các cá nhân Nhiều hoạt động tinh thần và thể chất lý thú: CLB Share & Learn, Khí công, Guitar ca hát và dạy, gaming, đá bóng, phượt, ẩm thực.... Không khí vui vẻ, nhiều đồng nghiệp trẻ trung, năng động Chăm sóc sức khỏe Bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp theo luật bảo hiểm Khám sức khỏe tổng quát định kỳ hàng năm Gói bảo hiểm sức khoẻ cho quản lý và nhân viên có thâm niên Được tặng quà, thăm hỏi nhân các dịp: sinh nhật, cưới hỏi, hiếu hỉ, ốm đau…",Lương: 18 Tr - 25 Tr VND,08-01-2024
New Wave Solutions JSC,"Mô tả Công việc Conduct software analysis, research, programming, testing and debugging. Contribute to improve the product and the working procedures together with PM and clients. Writing clean, readable, and easily maintainable code. Implementation of software solutions by developing and maintaining Java components and interfaces. Implementation of UI elements with server-side logic. Resolve issues and other work in line with pre-set plans, report work progress to PM. Have the opportunity to develop into the team leader position",Middle/Senior Java Developer,Hà Nội,"Yêu Cầu Công Việc Must have: Graduated from ICT major or relevant Be proficient in Java (with at least 3 years of experience) Good at English both spoken and written is a must. Have good knowledge and know-how to use J2EE, các framework Spring boot, Struts, Hibernate; Master in Java Core; Good knowledge of Design pattern, OOP, REST API, Json, Restful, Oauth; Good knowledge of MVC; Have good understanding and be highly experienced with MS SQL Server or other similar CSDL like MySQL, PostgreSQL Knowledge of Agile methodologies Good teamwork skills and working under pressure Good organizational skill, technical documents researching, building and managing Nice to have: Have experience in developing frontend (Bootstap, JQuery, Javascript, HTML, CSS) and other frameworks like Angular/ReactJS; Have experience and understanding of UI/UX Have good knowledge and working skill in using other CSDL nonSQL like MongoDB/Cassandra. Expose to the deployment of the system to cloud platform like AWS, Azure, Google Cloud Platform. Working experience in building API gateway, Microservice. Working experience with Docker, Kubernetes. Having experience as a leader/mentor is an advantage",Lương: 25 Tr - 45 Tr VND,13-01-2024
