companyName,description,jobName,location,require,salary,timePost
PT DayaTani Digital Indonesia,"",Senior Data Scientist,Singapore,"",SGD1-SGD100,11-01-2024
SATS Ltd,"",Data Scientist Intern (Data & Business Analytics) Jan - Jul 24,Singapore,"","SGD1,2N-SGD1,2N",18-12-2023
Rsm Singapore,"",Intern Data Science,"Orchard, Singapore","","SGD800-SGD1,5N",18-12-2023
Agora Co-learning Spaces Pte Ltd,"",Data Analyst Intern,Singapore,"","SGD800-SGD1,2N",26-12-2023
SATS Ltd,"",Data Analyst Intern (Data & Business Analytics) Jan - Jul 2024,Singapore,"","SGD1,2N-SGD1,2N",18-12-2023
Rsm Singapore,"",Intern Data Science Developer,Singapore,"","SGD900-SGD1,5N",10-01-2024
Soristic,"",Research Data Analysis cum Marketing Intern,Singapore,"",SGD799-SGD800,11-01-2024
Monstyr Pte. Ltd.,"",Data Entry - Contract Position (Admin),Singapore,"","Rp2,2Tr-Rp2,5Tr",11-01-2024
Bata Shoe Singapore Pte Ltd,"",Human Resource Intern,Singapore,"",SGD800-SGD1N,11-01-2024
Atomionics,"",Software Controls Engineering Intern (Jan 2024 or later),Singapore,"","SGD1,7N",11-01-2024
Vopak Terminals Singapore Pte Ltd,"",HR Intern,Singapore,"","SGD1N-SGD1,4N",11-01-2024
SGCM Pte Ltd,"",Product Management Intern,Singapore,"",SGD800-SGD1N,11-01-2024
ZENKO Superfoods,"",E-commerce and Livestream intern,Singapore,"",SGD800,14-01-2024
Rsm Singapore,"",Intern AI development Intern - Retrieval-Augmented Generation (R,Singapore,"","SGD900-SGD1,5N",12-01-2024
Halcyon Agri Corporation Limited,"",HR Business Analytics Intern (Available from Jan 2024),Singapore,"","SGD800-SGD1,2N",11-01-2024
ConcreteAI,"",IOT Intern (Q3 Q4 Sem 1),Singapore,"",Competitive,10-01-2024
Soristic,"",Research and Community Outreach Intern,Singapore,"",SGD799-SGD800,11-01-2024
KNO,"",Personal Assistant (Part-time) (WFH/Remote),Singapore,"",SGD10-SGD20,26-12-2023
Consulting Group - Asia Insight Pte Ltd,"",Market Research Intern,Singapore,"",SGD800-SGD1N,14-12-2023
Advisors Alliance Group,"",Management Associate (Traineeship),Singapore,"","SGD1,2N",12-01-2024
PALO IT SINGAPORE PTE. LTD.,"",Sales Operations Intern,Singapore,"","SGD1,2N-SGD1,5N",28-12-2023
Impossible Marketing Pte Ltd,"",Google Ads (PPC) Account Manager,Singapore,"","SGD3N-SGD3,3N",12-01-2024
Impossible Marketing Pte Ltd,"",Digital Marketing Support,Singapore,"",SGD2N-SGD3N,12-01-2024
Lalamove,"",Corporate Sales Associate,Singapore,"","SGD2,8N-SGD3,5N",26-12-2023
SATS Ltd,"",Operational Excellence Intern,Singapore,"","SGD850-SGD1,2N",18-12-2023
