companyName,description,jobName,location,require,salary,timePost
eVantage Technology Pte Ltd,"",Network and System Engineer,Singapore,"","SGD3N-SGD4,5N",11-01-2024
Aztech Technologies Pte Ltd,"",Network Internship,Singapore,"",Competitive,11-01-2024
ANOTECH Singapore,"",System Engineer (IT Infra and Network),Singapore,"","SGD4,5N-SGD7N",11-01-2024
National Institute Of Education,"",Senior Network Consultant (IDD) [NIE],Singapore,"",Competitive,18-12-2023
National Institute Of Education,"",Senior Network Consultant / Network Consultant (IDD) [NIE],Singapore,"",Competitive,15-12-2023
Aevice Health,"",Project Engineer,Singapore,"","SGD3,5N-SGD4,5N",17-12-2023
Marymount Labs,"",Product Engineer,Singapore,"","SGD800-SGD1,2N",27-12-2023
I.O.T. Workz,"",IoT Engineer,Singapore,"","SGD800-SGD1,2N",30-12-2023
Deltafrontier Pte Ltd,"",Project Engineer,Singapore,"","SGD3,5N-SGD5N",11-01-2024
Monstyr Pte. Ltd.,"",Software Engineer,Singapore,"",Rp5Tr,14-12-2023
Youyi Technology Pte Ltd,"",Project Engineer,Singapore,"","SGD3N-SGD3,5N",22-12-2023
The Swim Starter,"",Senior Software Engineer,Singapore,"",SGD6N-SGD7N,11-01-2024
Thinkreh,"",Automation Engineer Xceptor,Singapore,"",SGD3N-SGD6N,11-01-2024
Job Express Services Pte Ltd,"",Project Engineer (ID8074),Singapore,"","SGD2,3N-SGD2,7N",11-01-2024
Watchdata Technologies Pte Ltd,"",Testing Engineer (Telecom),Singapore,"","SGD2,5N-SGD3,2N",11-01-2024
Youyi Technology Pte Ltd,"",Technical Support Engineer,"Changi, Singapore","",Competitive,22-12-2023
ANOTECH Singapore,"",Service Support Engineer - Networking,Singapore,"","SGD2,5N-SGD3,3N",11-01-2024
Rakuten Asia,"",Software Engineer (Fresh Graduates 2024),Singapore,"",Competitive,11-01-2024
Transcelestial Technologies,"",Senior Manufacturing Software Engineer,Singapore,"",Competitive,11-01-2024
ANOTECH Singapore,"",Senior Software Engineer - Go/Angular,Singapore,"","SGD4N-SGD6,5N",11-01-2024
Vibefam,"",Fullstack Software Engineer Intern [Summer 2024],Singapore,"","SGD1,5N-SGD2N",12-01-2024
USER,"",ICT Infrastructure Engineer - Unix Platform,Singapore,"",Competitive,11-01-2024
Noak,"",Software QA Engineer (Includes Equity),Singapore,"",Competitive,29-12-2023
Atomionics,"",Electronics Engineering Intern (Jan 2024 or later),Singapore,"","SGD1,4N",11-01-2024
Vflowtech,"",Embedded Engineer (Battery & Energy Management System),Singapore,"",SGD5N-SGD9N,11-01-2024
Youyi Technology Pte Ltd,"",IT Engineer (Server / Microsoft Exchange),Singapore,"","SGD3,5N-SGD4,5N",22-12-2023
USER,"",ICT Infrastructure Engineer - Windows and Virtualisation Platfor,Singapore,"",Competitive,11-01-2024
Aha AI,"",Generative AI Engineer (🇺🇸 Full-Remote),Singapore,"",Competitive,11-01-2024
Aha AI,"",Senior Back-End Engineer (Full-Remote),Singapore,"","NT$3,5Tr-NT$4,5Tr",11-01-2024
National Institute Of Education,"",ICT Support Engineer (Service Management Department) [NIE],Singapore,"",Competitive,08-01-2024
National Institute Of Education,"",ICT Support Engineer (Service Management Department) [NIE],Singapore,"",Competitive,08-01-2024
Atomionics,"",Firmware Engineering Intern (Jan 2024 or later),Singapore,"","SGD1,4N",11-01-2024
Trueworld Studios,"",VFX Artist,Singapore,"",Competitive,04-01-2024
Singapore Education Network,"",Turkish - English Translator,Singapore,"",SGD250,11-01-2024
Atomionics,"",Hardware Controls Engineering Intern (Jan 2024 or later),Singapore,"","SGD1,7N",11-01-2024
Trueworld Studios,"",The Gameplay Programmer,Singapore,"",Competitive,12-01-2024
Atomionics,"",Mechanical Design Engineering Intern (Jan 2024 or later),Singapore,"","SGD1,1N",04-01-2024
Atomionics,"",Experimental Physics Intern (Jan 2024 or later),Singapore,"","SGD1,4N",11-01-2024
ANOTECH Singapore,"",Frontend Developer - React/Angular,Singapore,"","SGD4,5N-SGD6N",11-01-2024
Atomionics,"",Software Engineering (Python) Intern (Jan 2024 or later),Singapore,"","SGD1,5N",02-01-2024
Recruit Express Pte Ltd,"",HR Specialist (Internship),Singapore,"","SGD1N-SGD1,5N",27-12-2023
Trueworld Studios,"",Sound Designer for Game Dev,Singapore,"",Competitive,29-12-2023
ANOTECH Singapore,"",Unity Developer - VR,Singapore,"",Competitive,11-01-2024
Atomionics,"",Operations Intern (Jan 2024 or later),Singapore,"","SGD1,4N",11-01-2024
ConcreteAI,"",IOT Intern (Q3 Q4 Sem 1),Singapore,"",Competitive,10-01-2024
Ato Partners,"",Customer Service Specialist,Singapore,"",SGD2N-SGD5N,12-01-2024
Environmental Solutions (Asia) Pte Ltd,"",Engineering Assistant,Singapore,"","SGD800-SGD1,2N",11-01-2024
Trueworld Studios,"",The 3D Animator,Singapore,"",Competitive,04-01-2024
Trueworld Studios,"",That 3D Artist,Singapore,"",Competitive,04-01-2024
Trueworld Studios,"",A Concept Artist,Singapore,"",Competitive,04-01-2024
NETS Solutions Pte. Ltd.,"",Test Automation Intern (Digital Transformation Office),Singapore,"",Competitive,11-01-2024
Zenith Org,"",Marketing Coordinator,Singapore,"","SGD3,2N-SGD4N",11-01-2024
Vision Organisation Pte Ltd,"",Sales and Marketing Ambassador,Singapore,"","SGD2,8N-SGD4,8N",11-01-2024
Vision Organisation Pte Ltd,"",Events & Marketing Representative,Singapore,"","SGD2,8N-SGD4,8N",11-01-2024
Vision Organisation Pte Ltd,"",Sales & Marketing Representative,Singapore,"","SGD2,8N-SGD4,8N",11-01-2024
National Institute Of Education,"",Analyst Programmer / Systems Analyst (DSD) [NIE],Singapore,"",Competitive,20-12-2023
Vision Organisation Pte Ltd,"",Events & Marketing Representative,Singapore,"","SGD2,8N-SGD4,8N",11-01-2024
Job Express Services Pte Ltd,"",Welder (ID4409),Singapore,"","SGD2,3N-SGD2,8N",11-01-2024
Vision Organisation Pte Ltd,"",Events & Marketing Representative,Singapore,"","SGD2,8N-SGD4,8N",11-01-2024
Trueworld Studios,"",Executive Assistant,Singapore,"",Competitive,10-01-2024
Vision Organisation Pte Ltd,"",Sales & Marketing Representative,Singapore,"","SGD2,8N-SGD4,8N",11-01-2024
Vision Organisation Pte Ltd,"",Marketing & Events Representative,Singapore,"","SGD2,8N-SGD4,8N",11-01-2024
Credence Advisors Pte Ltd,"",Marketing & PR Associate,Singapore,"","SGD3N-SGD4,5N",11-01-2024
Vision Organisation Pte Ltd,"",Events & Marketing Representative (Entry Level),Singapore,"","SGD2,8N-SGD4,8N",11-01-2024
Rakuten Asia,"",Product Management Intern,Singapore,"",Competitive,11-01-2024
Atomionics,"",Software Controls Engineering Intern (Jan 2024 or later),Singapore,"","SGD1,7N",11-01-2024
Vision Organisation Pte Ltd,"",Events & Marketing Representative,Singapore,"","SGD2,8N-SGD4,8N",11-01-2024
Zenith Org,"",Junior Marketing Executive,Singapore,"",SGD340-SGD4N,11-01-2024
Vision Organisation Pte Ltd,"",Events & Marketing Representative (Entry Level),Singapore,"","SGD2,8N-SGD4,8N",11-01-2024
A.scend International,"",Junior Marketing Influencer- IMMEDIATE START,Singapore,"","SGD2,8N-SGD3,8N",20-12-2023
SATS Ltd,"",Robotic Process Automation (RPA) & Power Platform Intern - 6 mth,Singapore,"","SGD1,2N-SGD1,2N",18-12-2023
Delicious Consulting Pte Ltd,"",Social Media Intern,Singapore,"","SGD600-SGD1,2N",11-01-2024
Confirm Good Pte Ltd,"",Creative Graphics Designer,Singapore,"","SGD2,4N-SGD2,8N",14-12-2023
Vision Organisation Pte Ltd,"",Events & Marketing Representative,Singapore,"","SGD2,8N-SGD4,8N",11-01-2024
RYSE Marketing Group,"",Sales Development Representative,Singapore,"",SGD3N-SGD5N,11-01-2024
Metropolitan YMCA Singapore,"",Associate Curriculum Developer (Freelance),Singapore,"",Competitive,04-01-2024
Vision Organisation Pte Ltd,"",Events & Marketing Campaign Lead,Singapore,"","SGD2,8N-SGD4,8N",11-01-2024
RYSE Marketing Group,"",Brand Ambassador (Fun Environment),Singapore,"",SGD3N-SGD5N,11-01-2024
Vision Organisation Pte Ltd,"",Marketing & Events Campaign Lead,Singapore,"","SGD2,7N-SGD5N",11-01-2024
Expressions,"",Social Media Marketing Intern,Singapore,"",SGD900-SGD1N,11-01-2024
National Institute Of Education,"",Analyst Programmer / Systems Analyst (DSD) [NIE],Singapore,"",Competitive,04-01-2024
ConcreteAI,"",Civil Project Intern,Singapore,"",Competitive,10-01-2024
Vision Organisation Pte Ltd,"",Events & Marketing Representative,Singapore,"","SGD2,7N-SGD5N",11-01-2024
