companyName,description,jobName,location,require,salary,timePost
Công Ty Cổ Phần VCCORP,"Mô tả Công việc Tham gia phát triển dự án Bizfly CRM. Sản phẩm web/app Thu thập, tìm hiểu nghiệp vụ và yêu cầu hệ thống từ phía khách hàng. Thực hiện phân tích và xây dựng tài liệu đặc tả yêu cầu nghiệp vụ; Hỗ trợ, khuyến nghị khách hàng trong việc định hướng yêu cầu của sản phẩm, đề xuất giải pháp và đàm phán với khách hàng; Tạo, quản lý hệ thống tài liệu; Làm cầu nối giữa bộ phận phát triển sản phẩm và khách hàng. Làm cho Lập trình viên hiểu rõ nghiệp vụ & mong muốn của khách hàng. Phối hợp với các nhóm phát triển trong suốt quá trình xây dựng và tương tác với khách hàng nhằm bám sát yêu cầu, sự thay đổi, mục tiêu và mong muốn của khách hàng; Hỗ trợ nhóm kiểm thử sản phẩm; Thực hiện, hỗ trợ trong quá trình nghiệm thu sản phẩm, đào tạo, chuyển giao; Nghiên cứu, phân tích các phần mềm đối thủ và các phần mềm liên quan và đề xuất giải pháp cải tiến cho phần mềm Bizfly Crm; Thiết kế mockup, wireframe…",Business Analyst,Hà Nội,"Yêu Cầu Công Việc Chủ động trong công việc, tính tự giác cao, tinh thần làm việc hăng hái, tích cực; Tốt nghiệp ĐH chuyên ngành CNTT hoặc Kinh tế, Quản trị kinh doanh hoặc liên quan Công nghệ thông tin...; Có từ 1- 2 năm kinh nghiệm trở lên trong vai trò làm BA phần mềm. Ưu tiên các ứng viên có kinh nghiệm làm việc trong các dự án phát triển phần mềm như CRM, ERP,...; Có kiến thức về các phần mềm quản lý như Crm, phần mềm bán hàng, phần mềm quản lý kho...Hiểu rõ quy trình phát triển phần mềm; Giao tiếp tốt, nắm bắt vấn đề nhanh, khả năng tự học hỏi tốt; Có khả năng thu thập, tổng hợp, đánh giá, phân tích thông tin; Có khả năng viết tài liệu, đào tạo và thuyết trình; Hiểu biết use case, biết vẽ sơ đồ workflow, vẽ wireframe/mockup screen; Cẩn thận, trách nhiệm trong công việc.",Lương: Cạnh tranh,17-11-2023
CÔNG TY CỔ PHẦN SACHI (LIXIBOX),"Mô tả Công việc Key tasks and responsibilities Monitor key metrics and alert the business on potential issues.Daily/Weekly/monthly performance analysis to monitor the performance of the business, locate risk, and discover potential business opportunities. Analyse operational efficiency and build business models to guide decision-making. Design market/business intelligence reports and performance measurement dashboards to share with senior management Partner with management and operational teams to deep dive into core issues and use our data to find answers. Explore business issues/opportunities, uncover insights, and/or identify targeted areas for business growth. Perform ad-hoc business analysis, to drill down on certain business challenges, providing conclusions and advice based on data analysis. Collaborate with various expert teams to roll out effective products/services and to expand data for building richer insights. Help summarize data analysis requirements to conduct data application projects (need communication with data tech team).",Business Analyst,Hồ Chí Minh,"Yêu Cầu Công Việc Bachelor’s/Master's Degree, preferably in Analytics, statistics, mathematics, or business/marketing management Experience in business performance analysis reporting, and data analysis, with independent thoughts and insight. Experience in leading cross-BU level analysis projects Results and detail-orientated with a strong emphasis on problem-solving",Lương: 20 Tr - 30 Tr VND,21-11-2023
CÔNG TY TNHH KINH DOANH LỐP XE BRIDGESTONE VIỆT NAM,"Mô tả Công việc Job purpose: - Provide Business environment indicators for Business overview - Together with that, provide Demand & Sales Planning in all segments & areas - Provide comprehensive Sales performance report & tracking - to Internal for Business actions and to Regional for Business decision. KEY RESPONSIBILITIES 1. Market Macro and Micro Demand analysis - Provide Key business environment data: PESTEL-A (Automotives)s - Market Economics index & Industry related index analysis 2. Strategic Demand areas analysis - Demand & Sales Planning - Strategic areas analysis for planning (By segment, by customer, by product...) - 3C-4P analysis: Analyze Market, segment, competitors and consumers trends in order to provide a long-term strategy for the dedicated segments(s) - Gap analysis with current portfolio in order to identify new opportunities of demand & growing segments, concentrating on Strategic product driven & Industry eleme 3. Key Business drivers monitoring & Reporting - Host Master Sales planning and Comprehensive Sales performance analysis (Including Financials) in Monthly FCST and Budgeting - Customer insight analysis - Improve Forecast accuracy of Rolling Sales & Market Rolling demand - Host Sales Report and Regional KPI report",Business Analyst,Hồ Chí Minh,"Yêu Cầu Công Việc Education: BA, prefer Economics/Business/Trade major Experience: + Economics background + Strong knowledge in Business analysis (Business Intelligence), Sales planning or Trade marketing related functions (Mandatory) + Automobile knowledge (Plus) Skillset: - Planning, decision making and Execution capability (Mandatory) - Language: Strong at communication and presentation in both Vietnamese and English (Mandatory) - Good at negotiation and organization skill - Strong Collaborative, Creative, Resourceful & Critical thinking - Independent, self-motivated with excellent interpersonal and communication skills. - Good analytical skills and high adaptability in a fast moving environment. English: Fluent (speaking and writing) in English and Vietnamese",Lương: Cạnh tranh,05-12-2023
Tổng công ty Cổ phần Bảo hiểm Bưu điện,"Mô tả Công việc - Phối hợp với các Biz owner, Product owner, Product manager và Khối kinh doanh để nắm bắt yêu cầu của người sử dụng sản phẩm, quy trình vận hành và các hoạt động của bộ phận kinh doanh. - Thiết kế, xây dựng các giải pháp cho người sử dụng thông qua các công cụ mô phỏng thiết kế. - Xây dựng, viết tài liệu phân tích yêu cầu, phân tích nghiệp vụ (URD, SRS). - Phối hợp với Tech team và đảm bảo các nghiệp vụ yêu cầu được các member nắm rõ hiểu để implement. - Nghiệm thu sản phẩm công nghệ. - Thực hiện hỗ trợ và đào tạo end user sử dụng phần mềm hệ thống.",Business Analyst,Hà Nội,Yêu Cầu Công Việc - Có từ 05 năm kinh nghiệm làm ở các vị trí tương đương - Kỹ năng nghiên cứu - Tư duy linh hoạt - Phân tích và giải quyết vấn đề,Lương: Cạnh tranh,05-12-2023
BSS Group,"Mô tả Công việc Overview of position: The Presales Business Analyst works in partnership with the sales team as the technical/consultant expert behind the sale. You are responsible for identifying and matching technology opportunities with the customers’ business issues, objectives, and outcomes to drive product sales. You are a self-starting, problem solver with a knack for sales but a passion for technology. You are passionate about combining your technical expertise with your understanding of customer business needs to solve complex problems. Opportunity: As a Pre-sales Business Analyst, you will provide insight on technology & business trends, product developments, best practices in retail business processes, and technical capabilities. You will use professional concepts and company objectives to define technical offerings and solutions; develop business value propositions around Magestore POS to drive sales with technical expertise, account management skills, and superior customer focus. This is a great opportunity for you if you have a passion for learning and developing technical skills – especially with POS systems, e-commerce platforms, and solution design and are interested in continued career growth in sales within Magestore – The world #1 POS for Magento, a global organization that is continuously recognized for its world-class products! Responsibilities Conduct discovery calls to prospective client customers in partnership with the sales team to assess potential use cases and document requirements Work with company engineering team to build proof-of-concept solutions Prepare demos and proof of concepts to demonstrate various use cases for Magestore POS solutions Prepare high level solution architecture to demonstrate every technology solution. Communicate technical solutions and concepts to audiences ranging from managers to directors, VP’s and C-Suite Run complete and compelling platform demos for prospective clients in partnership with the sales team to audiences ranging from managers to directors, VPs and C-Suite Guide the design and deployment of enterprise software solutions that impact multiple functional areas of a customer’s organization Research to stay up-to-date on competitive solutions, products Develops and delivers outstanding Magestore Presentations and demonstrations. Why you will love to work with us Competitive salary: 8-15M. Review salary twice a year Youthful working environment, dynamic internal culture, at Magestore we respect differences, and focus on human development. Benefiting from birthday presents, seniority allowance, coverage of specialization courses fee or career certificate. Working time: 5 days per week, 8h30 to 17h45, from Monday to Friday. Allowed 13.5 days absence per year (12 days absence according to laws and 1.5 day absence for annual company trip) Chance to participate in team-building, picnics, summer trip, voluntary activities … regularly Convenient office at 14th, 16th, 18th and 19th floor with scenic views. Tea, coffee and drinks are always available at the office . Social Insurance and Health Insurance paid by the company after 2 months of working trial and others benefit according to the Labor Law.",Business Analyst Presales,Hà Nội,"Yêu Cầu Công Việc Requirements At least 1 years’ experience working as IT Business Analyst or relevant (PM/PO position) Confident dispensing knowledge to a highly skilled and experienced audience including C-level executives Strong knowledge of system architecture and software architecture is an advantage. Having experience in software development with programming language, database, data structure is an advantage. Thorough understanding of the software development lifecycle Ability to maintain relationships with technical resources at all levels of a customer organization Experience in the ERP/POS/eCommerce/Retail solutions is an advantage",Lương: 8 Tr - 15 Tr VND,20-11-2023
Công Ty Cổ Phần VNG,"Mô tả Công việc VNG Solutions is a subsidiary of VNG Corporation, a reputable Vietnamese provider of IT services and technology on a global scale. With its key markets in the Middle East, the US, and Europe, VNG Solutions's headquarters in Vietnam is dedicated to providing enterprise-level services and empowering customers and society to advance decisively into the digital future. VNG Solutions provides top-notch services while strictly adhering to international standards. We remain in the public eye as experts in \"the next big technologies”. VNG Solutions will provide you with a creative environment with an emphasis on B2B services, where you will have the opportunity to foster your abilities and learn about various technologies to advance your career. We are dedicated to the development and well-being of our staff members while creating a supportive work environment that allows them to reach their greatest potential We are seeking a dedicated Business Analyst with a focus on integrating legacy systems into a new model. Knowledge of WSO2 and API-Led architecture is a valuable advantage for this role. If you are passionate about bridging the gap between legacy and modern systems and improving operational efficiency, we want to hear from you. Key Responsibilities • Collaborate with stakeholders to understand business requirements related to the integration of legacy systems into a new model. • Analyze and document existing legacy systems, their functionalities, and data flows. • Identify opportunities for process improvement, efficiency gains, and system modernization. • Work with cross-functional teams to develop and document integration strategies and solutions. • Gather and document functional and technical requirements for the integration project. • Ensure clear communication between business stakeholders and the technical team. • Assess the impact of legacy system integration on existing business processes and data structures. • Support the adoption of API-Led architecture and leverage WSO2 integration solutions where applicable. • Collaborate with project managers to ensure successful project delivery and stakeholder satisfaction.","Senior Business Analyst, VNG Solutions",Hồ Chí Minh,"Yêu Cầu Công Việc • Bachelor's degree in Business, Information Technology, or a related field. Advanced degrees or relevant certifications are a plus. • Proven experience as a Business Analyst, with a strong focus on system integration projects. • Knowledge of WSO2 integration solutions is a valuable advantage. • Familiarity with API-Led architecture principles is preferred. • Strong analytical and problem-solving skills. • Excellent communication and interpersonal skills to facilitate collaboration between business and technical teams. • Ability to document and translate business requirements into technical specifications. • Proficiency in tools and techniques for process modeling and documentation. • Excellent communication skills in English or Arabic, both written and spoken. • Strong organizational and time management abilities. • Adaptability and flexibility to work in a dynamic, cross-functional environment.",Lương: Cạnh tranh,11-12-2023
LOTTE FINANCE VIETNAM,"Mô tả Công việc • Elicits and documents existing processes and recommend solutions for improvement. • Performs the requirements management process. • Facilitates meetings between business units, IT and project managers to clarify the business requirements. • Write the business requirement docunmet (BRD) and SRS . • Validates the business requirements with the business owners of the application to meet the business needs. • Assists business departments. • Generate weekly business analysts status reports for each of their assignments. • Assists with performing data analysis as requested. • Assists with preparing executive summaries and reports as needed. • Facilitate or provide any information needed for the business to update their process and procedures based on the project initiatives. • Other duties as assigned by management.",Senior Business Analyst Officer,Hà Nội,"Yêu Cầu Công Việc • Bachelor’s Degree. * Have experience about Core system or Credit Card system • Minimum five (5) years information technology experience preferred. • Minimum three (3) years experience in business analysis, systems installation, implementations, development, and/or quality assurance preferred. • Demonstrated knowledge of Business Analysis Knowledge Areas; basic understanding of system design concepts; knowledge of software usability principles, understanding of testing principles and processes; ability to write and review test cases. • Solid understanding of data types and relational database systems (Oracle, PL/SQL).",Lương: Cạnh tranh,04-12-2023
LOTTE FINANCE VIETNAM,"Mô tả Công việc • Elicits and documents existing processes and recommend solutions for improvement. • Performs the requirements management process. • Facilitates meetings between business units, IT and project managers to clarify the business requirements. • Write the business requirement docunmet (BRD) and SRS . • Validates the business requirements with the business owners of the application to meet the business needs. • Assists business departments. • Generate weekly business analysts status reports for each of their assignments. • Assists with performing data analysis as requested. • Assists with preparing executive summaries and reports as needed. • Facilitate or provide any information needed for the business to update their process and procedures based on the project initiatives. • Other duties as assigned by management.",Senior Business Analyst Officer,Hà Nội,"Yêu Cầu Công Việc • Bachelor’s Degree. * Have experience about Core system or Credit Card system • Minimum five (5) years information technology experience preferred. • Minimum three (3) years experience in business analysis, systems installation, implementations, development, and/or quality assurance preferred. • Demonstrated knowledge of Business Analysis Knowledge Areas; basic understanding of system design concepts; knowledge of software usability principles, understanding of testing principles and processes; ability to write and review test cases. • Solid understanding of data types and relational database systems (Oracle, PL/SQL).",Lương: Cạnh tranh,05-12-2023
ACB - Ngân Hàng TMCP Á Châu,"Mô tả Công việc Business Analyst is responsible for ensuring business requirements are fully understood and specified in a manner that will enable full understanding from development team. Business Analyst is reporting directly to Line Manager and for specific project related items to the project manager and has authority on all the matters related to workflow of product and client requirement if no other indication specified. The detail as below: Responsibilities Create Business Requirement Spec, SRS (System Requirement Spec), User Stories and wire frame for complex UCs (if needed) Transfer Business requirement to IT Division team or IT vendors Act as the bridge between Business Unit and IT Division or IT vendors to clarify requirement with development team (developers, testers, UI designer) in both business and system analysis view, and facilitate communication among internal team members Work with QC to verify that all requirements of the system are fulfilled by the implementation in the traceability manner among requirements, CR and implementation Write testing scenarios for UAT Support UAT in testing, verifying bugs/issues. Analyze and reverse engineer the existing system to describe it in the requirement specifications that can be understood by project team",HO - IT Business Analyst,Hồ Chí Minh,Yêu Cầu Công Việc Bachelor degree preferably in Computer Science or Business Information System Obtaining IT knowledge-base Fluent English and Vietnamese to be able to communicate directly with customers At least 3 years of working experience of which 2 years in analyzing requirements Basic experience in programming languages Basic knowledge on database such as database schema and simple SQL query Knowledge of testing approaches and techniques General understanding and experience of business processes as well as an interest to understand a broad range of business models and needs,Lương: Cạnh tranh,21-11-2023
Bảo mật,"Mô tả Công việc Smarthiz là đơn vị tiên phong trong lĩnh vực thiết bị thông minh và hệ thống phân phối thông minh. Với sứ mệnh đồng hành cùng khách hàng kiến tạo một cuộc sống số đơn giản, sử dụng công nghệ nâng tầm cuộc sống, chúng tôi đã xây dựng một hệ sinh thái tối giản nhất, trọn vẹn nhất, kết hợp với IoT đem tới tiện ích cho doanh nghiệp và người dùng. Smarthiz hiện đang phát triển 03 mảng sản phẩm chính là Nền tảng thương mại điện tử, kênh phân phối (quản lý kênh phân phối B2B2C từ nhà máy, kho, đến chuỗi các nhà phân phối, đại lý, mạng lưới kỹ thuật viên, cộng tác viên rộng khắp toàn quốc); Thiết bị và giải pháp IoT thông minh; Nền tảng quản trị dữ liệu khách hàng. Chúng tôi thông báo tuyển dụng vị trí Business Analyst/ Product Manager với thông tin chi tiết như sau: I. MÔ TẢ CÔNG VIỆC: • Phân tích nhu cầu nghiệp vụ cho các hệ thống phần mền quản trị sản xuất, kho bãi, bán hàng. • Phối hợp với các đội chuyên môn xây dựng quy trình phát triển phần mềm phục vụ nhu cầu của khách hàng (nội bộ và bên ngoài). II. QUYỀN LỢI: • Thu nhập thỏa thuận trong buổi trao đổi • Thử việc hưởng 100% lương • Flexible time (Thời gian linh hoạt) • Môi trường làm việc trẻ trung, năng động, tài năng • Mức lương cạnh tranh • Thưởng ngày Lễ/Tết, thưởng KPI, thưởng dự án • Các chế độ khác theo thỏa thuận khi phỏng vấn",Business Analyst/ Product Manager - [Smarthiz - Hoàng Mai],Hà Nội,"Yêu Cầu Công Việc • Có kinh nghiệm tiếp nhận, phân tích yêu cầu nghiệp vụ từ khách hàng để lên mock up design, wireframe, lên tài liệu đặc tả yêu cầu phần mềm SRS (Software Requirement Specification), làm việc với team phát triển để lên được lịch phát triển; • Có kinh nghiệm quản lý source code, hệ thống build, release, version control, quản lý dự án theo mô hình Agile; • Làm việc với đối tác phần cứng để thống nhất đặc tính sản phẩm, thời gian và tiêu chuẩn chất lượng.","Lương: 26,4 Tr - 55 Tr VND",27-11-2023
