companyName,description,jobName,location,require,salary,timePost
Gank Global,"Chi tiết công việc Data Analyst Intern tại Gank Global Responsibilities: Gank is a fan monetization platform for content creators. Our mission is to enable content entrepreneurship for everyone. So if you are passionate about Content Creators, Gaming, Influencers, and Cosplayers, we welcome you to join us at Gank. We are looking for an Intern with a data science or business analytics background. Gank is a fully remote working company, so that means you get to work hard from home in your pajamas and save time from traveling to the office daily. Required background: Data science or Business Analytics The successful candidate will be required to perform Data-related duties such as: Data cleaning Data analysis Data visualization Data exploration Data reporting Data querying Data efficiency Data trends Undergrads and Fresh Graduates are welcome to apply So other good-to-have traits: Eager to learn and work with various departments in the company. Excellent verbal and written communication skills. Ability to multitask. Cope well under pressure. Please come help us see some sense in our numbers. Let's talk. Apply now.",Data Analyst Intern,Singapore,"Chi tiết công việc Data Analyst Intern tại Gank Global Responsibilities: Gank is a fan monetization platform for content creators. Our mission is to enable content entrepreneurship for everyone. So if you are passionate about Content Creators, Gaming, Influencers, and Cosplayers, we welcome you to join us at Gank. We are looking for an Intern with a data science or business analytics background. Gank is a fully remote working company, so that means you get to work hard from home in your pajamas and save time from traveling to the office daily. Required background: Data science or Business Analytics The successful candidate will be required to perform Data-related duties such as: Data cleaning Data analysis Data visualization Data exploration Data reporting Data querying Data efficiency Data trends Undergrads and Fresh Graduates are welcome to apply So other good-to-have traits: Eager to learn and work with various departments in the company. Excellent verbal and written communication skills. Ability to multitask. Cope well under pressure. Please come help us see some sense in our numbers. Let's talk. Apply now.","SGD1N-SGD1,2N",06-12-2023
Agora Co-learning Spaces Pte Ltd,"Chi tiết công việc Data Analyst Intern tại Agora Co-learning Spaces Pte Ltd About Agora Colearning Agora Colearning is a tech-enabled startup focused on improving after-school education for students, parents and educators. By bringing together best-in-class education providers with in-person education and a digital platform, Agora Colearning helps students learn and develop diverse skill sets whilst nurturing their mental and physical well-being. Role This role will focus on data analytics. The role will be to help ensure we are collecting the right data and present it in actionable insights for the business. We are using the following technologies to collect data. Direct experience is not required in each one, but a willingness to dig deep and understand how the platforms work and figure out how to combine them together, is required. Google Adwords, Analytics, TagManager, Search DataStudio Facebook, Instagram HubSpot Platform database Segment, MixPanel AWS QuickSite You will be responsible for: Setting up analytics platforms for tracking & reporting Liaising with development team for integration points with the website Working with marketing to understand the sales funnel and customer journeys Writing SQL or creating datasets for analyses Creating dashboards & reports of key performance data",Data Analyst Intern,Singapore,"Chi tiết công việc Data Analyst Intern tại Agora Co-learning Spaces Pte Ltd About Agora Colearning Agora Colearning is a tech-enabled startup focused on improving after-school education for students, parents and educators. By bringing together best-in-class education providers with in-person education and a digital platform, Agora Colearning helps students learn and develop diverse skill sets whilst nurturing their mental and physical well-being. Role This role will focus on data analytics. The role will be to help ensure we are collecting the right data and present it in actionable insights for the business. We are using the following technologies to collect data. Direct experience is not required in each one, but a willingness to dig deep and understand how the platforms work and figure out how to combine them together, is required. Google Adwords, Analytics, TagManager, Search DataStudio Facebook, Instagram HubSpot Platform database Segment, MixPanel AWS QuickSite You will be responsible for: Setting up analytics platforms for tracking & reporting Liaising with development team for integration points with the website Working with marketing to understand the sales funnel and customer journeys Writing SQL or creating datasets for analyses Creating dashboards & reports of key performance data","SGD800-SGD1,2N",28-11-2023
Invigilo Technologies,"Chi tiết công việc Data Analyst tại Invigilo Technologies Are you passionate about the intersection of technology, artificial intelligence, and visual data analysis? Join us as a Video Analytics Data Annotation Intern and immerse yourself in the exciting world of cutting-edge video analytics technology! As an integral part of our dynamic team, you will play a crucial role in enhancing the accuracy and efficiency of our video analytics algorithms. This hands-on internship provides a unique opportunity to work with state-of-the-art tools and contribute to groundbreaking projects that impact industries ranging from security to entertainment. Key Responsibilities: Collaborate with our talented team to annotate and label video datasets for training machine learning models. Utilize industry-leading annotation tools and methodologies to ensure the highest quality and accuracy in data labeling. Work closely with engineers and data scientists to understand project requirements and contribute to the development of innovative video analytics solutions. Gain practical experience in the entire data annotation pipeline, from data collection to model training and evaluation. Contribute ideas and insights to improve annotation processes, enhancing overall efficiency. What We Offer: Hands-On Learning: Dive into the heart of video analytics technology, gaining practical skills that are in high demand in today's tech-driven landscape. Innovative Environment: Be part of a team that thrives on creativity and innovation, working on projects that push the boundaries of what's possible. Professional Development: Receive mentorship from industry experts and participate in training sessions to build a strong foundation for a successful career in data science and AI. Networking Opportunities: Connect with professionals in the field, expanding your network and opening doors for future career opportunities. Requirements: Interest in technology, AI, computer vision, machine learning, and data annotation. Detail-oriented with excellent organizational skills. Eagerness to learn and adapt to new technologies and methodologies. Anyone with a heart to learn and grow. Embark on a journey with us and contribute to the exciting evolution of video analytics. Apply now to be part of a team where your skills will be valued, your ideas will be heard, and your career will flourish in the fast-paced world of AI and data science!",Data Analyst,Singapore,"Chi tiết công việc Data Analyst tại Invigilo Technologies Are you passionate about the intersection of technology, artificial intelligence, and visual data analysis? Join us as a Video Analytics Data Annotation Intern and immerse yourself in the exciting world of cutting-edge video analytics technology! As an integral part of our dynamic team, you will play a crucial role in enhancing the accuracy and efficiency of our video analytics algorithms. This hands-on internship provides a unique opportunity to work with state-of-the-art tools and contribute to groundbreaking projects that impact industries ranging from security to entertainment. Key Responsibilities: Collaborate with our talented team to annotate and label video datasets for training machine learning models. Utilize industry-leading annotation tools and methodologies to ensure the highest quality and accuracy in data labeling. Work closely with engineers and data scientists to understand project requirements and contribute to the development of innovative video analytics solutions. Gain practical experience in the entire data annotation pipeline, from data collection to model training and evaluation. Contribute ideas and insights to improve annotation processes, enhancing overall efficiency. What We Offer: Hands-On Learning: Dive into the heart of video analytics technology, gaining practical skills that are in high demand in today's tech-driven landscape. Innovative Environment: Be part of a team that thrives on creativity and innovation, working on projects that push the boundaries of what's possible. Professional Development: Receive mentorship from industry experts and participate in training sessions to build a strong foundation for a successful career in data science and AI. Networking Opportunities: Connect with professionals in the field, expanding your network and opening doors for future career opportunities. Requirements: Interest in technology, AI, computer vision, machine learning, and data annotation. Detail-oriented with excellent organizational skills. Eagerness to learn and adapt to new technologies and methodologies. Anyone with a heart to learn and grow. Embark on a journey with us and contribute to the exciting evolution of video analytics. Apply now to be part of a team where your skills will be valued, your ideas will be heard, and your career will flourish in the fast-paced world of AI and data science!","SGD800-SGD1,2N",06-12-2023
SATS Ltd,"Chi tiết công việc Data Analyst Intern (Data & Business Analytics) Jan - Jul 2024 tại SATS Ltd Key Responsibilities Design, develop and implement datasets, models, as well as support to interpret and present statistical outcomes to support the organisation’s operations and execution of key business strategies Design and conceptualize solutions that address the organisation’s challenges through use of data analysis and governance of large amount of data Implement solutions using the Power Platform stack, build data pipelines and functions for visualisation and business analytics supporting the business and respective product owners Knowledge of analytics to support and contribute to database implementation and systems, devising strategies to promote continuous improvement Deliver accurate regular and ad-hoc performance tracking and analysis to drive traffic, transactions and processes Make data management recommendations based on data and industrial practices Key Requirements Undergraduate in Information Systems, Business / Data Analytics, Information Technology or Computer Science Understanding of and experience using data visualisation concepts, techniques and tools, such as Microsoft Power BI Experience in developing data solutions based on established patterns and best practices for database integration with Power Platform stack (Power BI, Power Apps, Power Automate, Power Query) Working knowledge of data mining principles: mapping, collecting data from multiple data systems on premises and cloud-based data sources In-depth understanding of and experience in designing structured and unstructured, SQL and NoSQL data repositories Experience working with, creating and maintaining databases and repositories using state-of-the-art data backup, rollback and version control solutions Proficient with data processing methods and technologies / tools. Azure Cloud proficiency will be an advantage Highly motivated, structured and methodical with high degree of initiative Strong problem solving, quantitative and analytical abilities Excellent written and oral communication skills. Able to work independently or cross functionally Able to commit full-time (5 days a week) for minimum of 6 months from Jan to Jul 2024",Data Analyst Intern (Data & Business Analytics) Jan - Jul 2024,Singapore,"Chi tiết công việc Data Analyst Intern (Data & Business Analytics) Jan - Jul 2024 tại SATS Ltd Key Responsibilities Design, develop and implement datasets, models, as well as support to interpret and present statistical outcomes to support the organisation’s operations and execution of key business strategies Design and conceptualize solutions that address the organisation’s challenges through use of data analysis and governance of large amount of data Implement solutions using the Power Platform stack, build data pipelines and functions for visualisation and business analytics supporting the business and respective product owners Knowledge of analytics to support and contribute to database implementation and systems, devising strategies to promote continuous improvement Deliver accurate regular and ad-hoc performance tracking and analysis to drive traffic, transactions and processes Make data management recommendations based on data and industrial practices Key Requirements Undergraduate in Information Systems, Business / Data Analytics, Information Technology or Computer Science Understanding of and experience using data visualisation concepts, techniques and tools, such as Microsoft Power BI Experience in developing data solutions based on established patterns and best practices for database integration with Power Platform stack (Power BI, Power Apps, Power Automate, Power Query) Working knowledge of data mining principles: mapping, collecting data from multiple data systems on premises and cloud-based data sources In-depth understanding of and experience in designing structured and unstructured, SQL and NoSQL data repositories Experience working with, creating and maintaining databases and repositories using state-of-the-art data backup, rollback and version control solutions Proficient with data processing methods and technologies / tools. Azure Cloud proficiency will be an advantage Highly motivated, structured and methodical with high degree of initiative Strong problem solving, quantitative and analytical abilities Excellent written and oral communication skills. Able to work independently or cross functionally Able to commit full-time (5 days a week) for minimum of 6 months from Jan to Jul 2024","SGD1,2N-SGD1,2N",23-11-2023
SATS Ltd,"Chi tiết công việc Data Scientist Intern (Data & Business Analytics) Jan - Jul 24 tại SATS Ltd Key Responsibilities Design, develop and implement datasets, models, as well as support to interpret and present statistical outcomes to support the organisation’s operations and execution of key business strategies Design and conceptualize solution that address the organisation’s challenges through use of Machine Learning (ML) and Artificial Intelligence (AI) Operationalise ML models using high-end tools and technologies Assist in the development and execution of an AI framework, with a focus on ensuring that AI technologies are well researched and developed Develop, deploy and maintain CI/CD pipelines and ML systems to standardize and streamline the continuous delivery of high-performing models in production Use statistical and ML techniques to create scalable analytics solutions Explain model behavior/results to both technical and non-technical audiences Collaborate with data scientists, data engineers and other key stakeholders in a fast-paced cross-functional and diverse environment Stay current on new products and relevant industry trends in the field of ML Key Requirements Undergraduate in Information Systems, Business / Data Analytics, Information Technology or Computer Science Deep understanding of the ML lifecycle and concepts Experience with the design and implementation (building, containerizing, and deploying end to end automated data and ML pipelines) of automated cloud solutions Fluency in Python, R, and other common ML languages Experience with ML frameworks like Scikit-learn, Tensorflow, Keras and others. Experience with version control tools such as Git Fluency in both structured and unstructured data (SQL, NOSQL) Hands-on experience with web APIs, CI/CD for ML, and serverless deployment Familiarity with the latest Natural Language Processing related algorithms Knowledge of Docker, Jenkins, Kubernetes, and other MLOps tools Highly motivated, structured and methodical with high degree of initiative Strong problem solving, quantitative and analytical abilities Excellent written and oral communication skills Able to work independently or cross functionally Able to commit full-time (5 days a week) for minimum of 6 months from Jan 2024 to Jul 2024 Please indicate your period of availability for the internship in your resume.",Data Scientist Intern (Data & Business Analytics) Jan - Jul 24,Singapore,"Chi tiết công việc Data Scientist Intern (Data & Business Analytics) Jan - Jul 24 tại SATS Ltd Key Responsibilities Design, develop and implement datasets, models, as well as support to interpret and present statistical outcomes to support the organisation’s operations and execution of key business strategies Design and conceptualize solution that address the organisation’s challenges through use of Machine Learning (ML) and Artificial Intelligence (AI) Operationalise ML models using high-end tools and technologies Assist in the development and execution of an AI framework, with a focus on ensuring that AI technologies are well researched and developed Develop, deploy and maintain CI/CD pipelines and ML systems to standardize and streamline the continuous delivery of high-performing models in production Use statistical and ML techniques to create scalable analytics solutions Explain model behavior/results to both technical and non-technical audiences Collaborate with data scientists, data engineers and other key stakeholders in a fast-paced cross-functional and diverse environment Stay current on new products and relevant industry trends in the field of ML Key Requirements Undergraduate in Information Systems, Business / Data Analytics, Information Technology or Computer Science Deep understanding of the ML lifecycle and concepts Experience with the design and implementation (building, containerizing, and deploying end to end automated data and ML pipelines) of automated cloud solutions Fluency in Python, R, and other common ML languages Experience with ML frameworks like Scikit-learn, Tensorflow, Keras and others. Experience with version control tools such as Git Fluency in both structured and unstructured data (SQL, NOSQL) Hands-on experience with web APIs, CI/CD for ML, and serverless deployment Familiarity with the latest Natural Language Processing related algorithms Knowledge of Docker, Jenkins, Kubernetes, and other MLOps tools Highly motivated, structured and methodical with high degree of initiative Strong problem solving, quantitative and analytical abilities Excellent written and oral communication skills Able to work independently or cross functionally Able to commit full-time (5 days a week) for minimum of 6 months from Jan 2024 to Jul 2024 Please indicate your period of availability for the internship in your resume.",Competitive,23-11-2023
Rsm Singapore,"Chi tiết công việc Intern Data Science Developer tại Rsm Singapore Your team We know the future of accounting and advisory work will look different from its current form because of technological disruptions. The role of our Data Science team is to lead projects and develop solutions around analytics and artificial intelligence to augment our professional service offerings. The purpose of this is to enhance effective delivery of our client service, provide value added insights to our clients, and at the same time, to help our professional staff to be future-ready. Your responsibilities The Trainee, Data Science Developer will be part of an energetic team that shapes the data analytics thrust of the organisation. As part of the team, you will be given opportunities to innovate new platforms to automate business procedures, conceptualise and lead data analytics projects, as well as to drive initiatives to enhance the vibrancy of the data analytics ecosystem. As a Trainee with the Data Science Team, you will learn and support the team in the following tasks: Design and develop automation procedures to drive business efficiency of the organisation Research and deploy new, cutting edge tools or platform to augment existing business processes Collaborate with key stakeholders to identify, design and develop data driven solutions to solve business pain points Conduct quantitative and qualitative analyses of clients' data to generate actionable insights Identify key industry trends and advise on technology initiatives to future proof the firm Who are you: Passionate in data science and technology Ability to work under pressure and meet tight deadlines Driven, inquisitive and self-motivated Good communication skills Have demonstrated proficiency in at least one of the following:- Machine learning with applications in Natural Language Processing (NLP), sentiment analysis, image processing and optical character recognition Confident in object oriented programming and writing applications/packages (eg, python, VBA, etc) Web application framework such as Django, Flask, or Plotly/ Dash etc Front end UI/UX development Workflow automation and deployment (eg, Alteryx or similar application) Business Intelligence tools (eg, Tableau, Power BI, or similiar application) Microsoft Power Apps (eg, Power Query, Power Automate, etc) Database design, development and configuration (eg, MS SQL)",Intern Data Science Developer,Singapore,"Chi tiết công việc Intern Data Science Developer tại Rsm Singapore Your team We know the future of accounting and advisory work will look different from its current form because of technological disruptions. The role of our Data Science team is to lead projects and develop solutions around analytics and artificial intelligence to augment our professional service offerings. The purpose of this is to enhance effective delivery of our client service, provide value added insights to our clients, and at the same time, to help our professional staff to be future-ready. Your responsibilities The Trainee, Data Science Developer will be part of an energetic team that shapes the data analytics thrust of the organisation. As part of the team, you will be given opportunities to innovate new platforms to automate business procedures, conceptualise and lead data analytics projects, as well as to drive initiatives to enhance the vibrancy of the data analytics ecosystem. As a Trainee with the Data Science Team, you will learn and support the team in the following tasks: Design and develop automation procedures to drive business efficiency of the organisation Research and deploy new, cutting edge tools or platform to augment existing business processes Collaborate with key stakeholders to identify, design and develop data driven solutions to solve business pain points Conduct quantitative and qualitative analyses of clients' data to generate actionable insights Identify key industry trends and advise on technology initiatives to future proof the firm Who are you: Passionate in data science and technology Ability to work under pressure and meet tight deadlines Driven, inquisitive and self-motivated Good communication skills Have demonstrated proficiency in at least one of the following:- Machine learning with applications in Natural Language Processing (NLP), sentiment analysis, image processing and optical character recognition Confident in object oriented programming and writing applications/packages (eg, python, VBA, etc) Web application framework such as Django, Flask, or Plotly/ Dash etc Front end UI/UX development Workflow automation and deployment (eg, Alteryx or similar application) Business Intelligence tools (eg, Tableau, Power BI, or similiar application) Microsoft Power Apps (eg, Power Query, Power Automate, etc) Database design, development and configuration (eg, MS SQL)","SGD900-SGD1,5N",04-12-2023
Kopi Date,"Chi tiết công việc Technology intern (Data Science/ Full stack) tại Kopi Date All-Star Team (Intern) Kopi Date introduces a kinder way of meeting singles through 1:1 curated coffee dates at unique spaces in Singapore. We're looking to build an all-star intern team by investing in hidden talents to run innovative projects across disciplines: Technology (Software Eng & Algorithms) | Growth (Marketing analysis & Content writing) | Experience Design (Design & Social Science) Technology (Data Science and Product) Work closely with the founders to strategise, iterate and develop both internal algorithmic tools and growth features. Requirements: Strong programming skills, with working experience in Javascript Familiarity with Nodejs and other backend languages. Interest and working knowledge in Machine Learning models is a plus. Familiarity with Python and React is a strong plus. Strong ownership, relentlessly resourceful and independent in thinking, interest in working in a startup. Join an exciting, mission driven local start-up as we enter the growth stage and brew thoughtful dating experiences to the Millennials! KOPI DATE HUMANISING CONNECTIONS",Technology intern (Data Science/ Full stack),Singapore,"Chi tiết công việc Technology intern (Data Science/ Full stack) tại Kopi Date All-Star Team (Intern) Kopi Date introduces a kinder way of meeting singles through 1:1 curated coffee dates at unique spaces in Singapore. We're looking to build an all-star intern team by investing in hidden talents to run innovative projects across disciplines: Technology (Software Eng & Algorithms) | Growth (Marketing analysis & Content writing) | Experience Design (Design & Social Science) Technology (Data Science and Product) Work closely with the founders to strategise, iterate and develop both internal algorithmic tools and growth features. Requirements: Strong programming skills, with working experience in Javascript Familiarity with Nodejs and other backend languages. Interest and working knowledge in Machine Learning models is a plus. Familiarity with Python and React is a strong plus. Strong ownership, relentlessly resourceful and independent in thinking, interest in working in a startup. Join an exciting, mission driven local start-up as we enter the growth stage and brew thoughtful dating experiences to the Millennials! KOPI DATE HUMANISING CONNECTIONS",Competitive,08-12-2023
National Institute Of Education,"Chi tiết công việc Learning Data Specialist (In-Learning) [NIE] tại National Institute Of Education ABOUT THE NATIONAL INSTITUTE OF EDUCATION (NIE) The National Institute of Education (NIE), Singapore, is Singapore’s national teacher education institute and we are proud to be an integral part of the nation’s education service. We play a key role in the preparation of teachers and in the provision of teacher professional and school leadership development programmes. We are committed to our vision of being An Institute of Distinction: Leading the Future of Education and our mission to Inspire Learning, Transform Teaching and Advance Research. NIE invites applications for a Learning Data Specialist position in the Centre for Innovation in Learning. Responsibilities Work with fellow Learning Data Specialists to examine department and project level datasets using data analysis tools to optimise learning and the learning environment at NIE. To collaborate across teams: to develop insights and strategies for faculty engagement, academic development and teaching & learning and develop emerging technologies to innovate. to assess needs for faculty related to the design, development and evaluation of learner-centred blended courses and course requirements. to identify strategies, and appropriate tools to design, develop and facilitate face-to-face and online tech-enhanced workshops (i.e., blended learning) as part of capability development for faculty. Remain abreast of best and innovative teaching and learning practices in higher education (e.g., regarding personalised learning, adaptive learning, e-assessment, hybrid learning). Collaborate on initiatives with IN-Learning's Community Engagement and Partnership team to share institute-wide knowledge. Carry out action research by: conceptualising frameworks and methodologies, designing evaluation instruments, gathering and analysing data (e.g., Learning Analytics) formulating decisions that will enhance the effectiveness of learning experiences and our Capability Development initiatives. Participate in special projects on teaching and learning as required. Requirements A Bachelor’s Degree related to Education, Learning Sciences, Business/Data Analytics, Applied Statistics and Technology for the Learning Data Specialist post. At least 2 years’ experience in learning analytics or related instructional design and development experience. Possess good analytical skills to facilitate interpretation of data for decision-making purposes. Well-versed with ICT tools for education. Experience in working with Learning Management Systems. Having teaching experience will be an advantage. Ability to work independently and in diverse teams. Ability to learn new tools and processes quickly with little guidance or support documentation. Possess good creative thinking and problem-solving skills. Excellent communication and interpersonal skills. Exceptionally meticulous in work details. Experience in using data visualization tools will be an advantage. Application We regret that only shortlisted candidates will be notified. Other information NIE Staff can take chartered buses at their own expenses from or near their homes to the NIE campus. This is subject to availability of seats.",Learning Data Specialist (In-Learning) [NIE],Singapore,"Chi tiết công việc Learning Data Specialist (In-Learning) [NIE] tại National Institute Of Education ABOUT THE NATIONAL INSTITUTE OF EDUCATION (NIE) The National Institute of Education (NIE), Singapore, is Singapore’s national teacher education institute and we are proud to be an integral part of the nation’s education service. We play a key role in the preparation of teachers and in the provision of teacher professional and school leadership development programmes. We are committed to our vision of being An Institute of Distinction: Leading the Future of Education and our mission to Inspire Learning, Transform Teaching and Advance Research. NIE invites applications for a Learning Data Specialist position in the Centre for Innovation in Learning. Responsibilities Work with fellow Learning Data Specialists to examine department and project level datasets using data analysis tools to optimise learning and the learning environment at NIE. To collaborate across teams: to develop insights and strategies for faculty engagement, academic development and teaching & learning and develop emerging technologies to innovate. to assess needs for faculty related to the design, development and evaluation of learner-centred blended courses and course requirements. to identify strategies, and appropriate tools to design, develop and facilitate face-to-face and online tech-enhanced workshops (i.e., blended learning) as part of capability development for faculty. Remain abreast of best and innovative teaching and learning practices in higher education (e.g., regarding personalised learning, adaptive learning, e-assessment, hybrid learning). Collaborate on initiatives with IN-Learning's Community Engagement and Partnership team to share institute-wide knowledge. Carry out action research by: conceptualising frameworks and methodologies, designing evaluation instruments, gathering and analysing data (e.g., Learning Analytics) formulating decisions that will enhance the effectiveness of learning experiences and our Capability Development initiatives. Participate in special projects on teaching and learning as required. Requirements A Bachelor’s Degree related to Education, Learning Sciences, Business/Data Analytics, Applied Statistics and Technology for the Learning Data Specialist post. At least 2 years’ experience in learning analytics or related instructional design and development experience. Possess good analytical skills to facilitate interpretation of data for decision-making purposes. Well-versed with ICT tools for education. Experience in working with Learning Management Systems. Having teaching experience will be an advantage. Ability to work independently and in diverse teams. Ability to learn new tools and processes quickly with little guidance or support documentation. Possess good creative thinking and problem-solving skills. Excellent communication and interpersonal skills. Exceptionally meticulous in work details. Experience in using data visualization tools will be an advantage. Application We regret that only shortlisted candidates will be notified. Other information NIE Staff can take chartered buses at their own expenses from or near their homes to the NIE campus. This is subject to availability of seats.",Competitive,30-11-2023
National Institute Of Education,"Chi tiết công việc Analyst Programmer / Systems Analyst (DSD) [NIE] tại National Institute Of Education ABOUT THE NATIONAL INSTITUTE OF EDUCATION (NIE) The National Institute of Education (NIE), Singapore, is Singapore’s national teacher education institute and we are proud to be an integral part of the nation’s education service. We play a key role in the preparation of teachers and in the provision of teacher professional and school leadership development programmes. We are committed to our vision of being An Institute of Distinction: Leading the Future of Education and our mission to Inspire Learning, Transform Teaching and Advance Research. NIE invites suitable candidates to join the Division of Academic Computing & Information Services (ACIS) as an Analyst Programmer/Systems Analyst. This is a 2-year contract post. The candidate should be a dynamic IT professional who is a good team player and a strong software developer. Job Description As a member of the Digital Solutions department, your responsibilities include: Application Development and Support Analyse, design, develop, test and implement the application systems within the project timeframe and in accordance to users’ requirements. Maintain existing in-house applications. Ensure applications conform to Data Governance, IT Audit and Security requirements. Collaborate IT teams on the implementation and deployment of applications. Focus on good code quality and high-test coverage and participate in code reviews. Integrate software components and third-party programs to meet specifications. Troubleshoot, debug and upgrade existing applications. Requirements A University Degree in Computer Science, Information Technology, Engineering or a related field. 2+ years of experience as a software developer, software engineer, or similar role. Entry-level candidates are welcome to apply. Quick learner who is passionate and willing to learn new languages and technologies. Good self-motivated team player with a positive attitude and flexibility in adapting to changes. Ability to manage IT projects independently. Ability to work with tight deadlines and fluid requirements. Experience in the Software Development Life Cycle (SDLC) framework and Agile software development methodology. Robust knowledge of .Net coding language. Relevant experience with databases and Object-Relational Mapping (ORM) frameworks (e.g., Hibernate). Possessing the following skillsets will give the applicant added advantage: Experience in RPA (Robotic Process Automation). Experience in data visualization. Experience in low code development platform. Experience in software integration with APIs. Other Information NIE staff can take chartered buses at their own expense from or near their homes to NIE campus. This is subject to the availability of seats. Req ID: RXXX14748",Analyst Programmer / Systems Analyst (DSD) [NIE],Singapore,"Chi tiết công việc Analyst Programmer / Systems Analyst (DSD) [NIE] tại National Institute Of Education ABOUT THE NATIONAL INSTITUTE OF EDUCATION (NIE) The National Institute of Education (NIE), Singapore, is Singapore’s national teacher education institute and we are proud to be an integral part of the nation’s education service. We play a key role in the preparation of teachers and in the provision of teacher professional and school leadership development programmes. We are committed to our vision of being An Institute of Distinction: Leading the Future of Education and our mission to Inspire Learning, Transform Teaching and Advance Research. NIE invites suitable candidates to join the Division of Academic Computing & Information Services (ACIS) as an Analyst Programmer/Systems Analyst. This is a 2-year contract post. The candidate should be a dynamic IT professional who is a good team player and a strong software developer. Job Description As a member of the Digital Solutions department, your responsibilities include: Application Development and Support Analyse, design, develop, test and implement the application systems within the project timeframe and in accordance to users’ requirements. Maintain existing in-house applications. Ensure applications conform to Data Governance, IT Audit and Security requirements. Collaborate IT teams on the implementation and deployment of applications. Focus on good code quality and high-test coverage and participate in code reviews. Integrate software components and third-party programs to meet specifications. Troubleshoot, debug and upgrade existing applications. Requirements A University Degree in Computer Science, Information Technology, Engineering or a related field. 2+ years of experience as a software developer, software engineer, or similar role. Entry-level candidates are welcome to apply. Quick learner who is passionate and willing to learn new languages and technologies. Good self-motivated team player with a positive attitude and flexibility in adapting to changes. Ability to manage IT projects independently. Ability to work with tight deadlines and fluid requirements. Experience in the Software Development Life Cycle (SDLC) framework and Agile software development methodology. Robust knowledge of .Net coding language. Relevant experience with databases and Object-Relational Mapping (ORM) frameworks (e.g., Hibernate). Possessing the following skillsets will give the applicant added advantage: Experience in RPA (Robotic Process Automation). Experience in data visualization. Experience in low code development platform. Experience in software integration with APIs. Other Information NIE staff can take chartered buses at their own expense from or near their homes to NIE campus. This is subject to the availability of seats. Req ID: RXXX14748",Competitive,20-11-2023
Rsm Singapore,"Chi tiết công việc Intern Data Science tại Rsm Singapore The Trainee, Data Science will be part of an energetic team that shapes the data analytics journey of the organisation. As part of the team, you will be given opportunities to work on data analytics project, as well as to drive initiatives to enhance the vibrancy of the data analytics ecosystem. As a trainee with the Data Science team, you will learn and support the team in the following tasks: Identify opportunities, design and develop data analytics procedures to support audit activities Conduct quantitative and qualitative analyses of clients’ data to generate actionable insights Conceptualise and develop data analytics or technology-related content to raise awareness of their benefits Inspire and encourage a culture of data-mindedness within the organisation Identify key industry trends and advise on initiatives to align our firm for the future Interact and collaborate with key stakeholders in working towards departmental goals Who are you: Passionate in data analytics and technology for business innovation Driven, inquisitive and self-motivated Detail-oriented and strong in analytical skills Strong business acumen Ability to work under pressure and meet tight deadlines Excellent reporting, story-telling and verbal communication skills",Intern Data Science,"Orchard, Singapore","Chi tiết công việc Intern Data Science tại Rsm Singapore The Trainee, Data Science will be part of an energetic team that shapes the data analytics journey of the organisation. As part of the team, you will be given opportunities to work on data analytics project, as well as to drive initiatives to enhance the vibrancy of the data analytics ecosystem. As a trainee with the Data Science team, you will learn and support the team in the following tasks: Identify opportunities, design and develop data analytics procedures to support audit activities Conduct quantitative and qualitative analyses of clients’ data to generate actionable insights Conceptualise and develop data analytics or technology-related content to raise awareness of their benefits Inspire and encourage a culture of data-mindedness within the organisation Identify key industry trends and advise on initiatives to align our firm for the future Interact and collaborate with key stakeholders in working towards departmental goals Who are you: Passionate in data analytics and technology for business innovation Driven, inquisitive and self-motivated Detail-oriented and strong in analytical skills Strong business acumen Ability to work under pressure and meet tight deadlines Excellent reporting, story-telling and verbal communication skills","SGD800-SGD1,5N",20-11-2023
