companyName,description,jobName,location,require,salary,timePost
Trueworld Studios,"Chi tiết công việc Sound Designer for Game Dev tại Trueworld Studios We are looking for someone with a prepared portfolio. (You can come vibe in our community discord. We love artists because we are all artists too!) ---------------------------------------------------------------------- Candidates must show: A fundamental understanding of design Be able to adapt and contribute as a team member and artist. The ability to creatively iterate on sounds according to a set direction. The ability to iterate on sound direction A good attitude and outlook towards learning and adapting. Pride in their work and workflow. Taste. Candidates must be competent and familiar with the following: DAW Softwares used to create and design audio files i.e. FLstudio, Pro Tools, etc. etc. (any additional tools which reside in your pipeline, please mention them in your portfolio) Additional Skills which we look out for: Audio Middleware for Game Engines i.e. FMOD, WWISE, etc. Understanding the technical constraints of working with Game Engines and how to produce creative solutions around these constraints. Consistency in style. Optimising files & folder structure for Games. Prior Experience working with Unreal Engine 4/5. Prior Experience working with Unity. Don't worry about being formal with your application, we make games, we know how to have fun.",Sound Designer for Game Dev,Singapore,"Chi tiết công việc Sound Designer for Game Dev tại Trueworld Studios We are looking for someone with a prepared portfolio. (You can come vibe in our community discord. We love artists because we are all artists too!) ---------------------------------------------------------------------- Candidates must show: A fundamental understanding of design Be able to adapt and contribute as a team member and artist. The ability to creatively iterate on sounds according to a set direction. The ability to iterate on sound direction A good attitude and outlook towards learning and adapting. Pride in their work and workflow. Taste. Candidates must be competent and familiar with the following: DAW Softwares used to create and design audio files i.e. FLstudio, Pro Tools, etc. etc. (any additional tools which reside in your pipeline, please mention them in your portfolio) Additional Skills which we look out for: Audio Middleware for Game Engines i.e. FMOD, WWISE, etc. Understanding the technical constraints of working with Game Engines and how to produce creative solutions around these constraints. Consistency in style. Optimising files & folder structure for Games. Prior Experience working with Unreal Engine 4/5. Prior Experience working with Unity. Don't worry about being formal with your application, we make games, we know how to have fun.",Competitive,28-11-2023
Smartli,"Chi tiết công việc Senior Game Developer tại Smartli Looking for a Game Developer to fine tune existing and create new gaming solutions for an edtech organisation producing children’s educational content. This is not a junior position and candidates must have prior experience in Game Development. Previous experience in a gaming company is a plus. The ideal candidate should have experience in developing games in Unity and be able to identify errors, and debug existing game to make it ready for launch. Must be able to follow Game QA and Testing reports. The Role: Unity Game Development needed. Work closely with product owners and product QA to identify bugs in existing game. Bring structure to the game concept by creating the level flow and plotting out the actions within it. Collaborate with the art and design teams to fix game-play mechanics and game experiences in existing game. Able to contribute to ideas and technical documentation. Collaborate effectively on team projects and work independently. The Requirements: Experience in Unity 2D game development is a must. Diploma/Degree in Game Development, UX, UI or related fields. Experience with writing clean, maintainable, and documented code. Comfortable with tools and software involved in game development such as Adobe Creative Suites. Experience in game design and development. Familiar with incorporating artwork, graphics, design, creative variations to the product. Strong knowledge of development in Web, iOS, and Android. Able to integrate payment methods and gateways into the game. Be able to work independently with minimum supervision. Up to date with industry best practice and competitor trends. Competencies: Unity Game Development Game AI Development Game Level development Game Server Programming Game UI development Gameplay development",Senior Game Developer,Singapore,"Chi tiết công việc Senior Game Developer tại Smartli Looking for a Game Developer to fine tune existing and create new gaming solutions for an edtech organisation producing children’s educational content. This is not a junior position and candidates must have prior experience in Game Development. Previous experience in a gaming company is a plus. The ideal candidate should have experience in developing games in Unity and be able to identify errors, and debug existing game to make it ready for launch. Must be able to follow Game QA and Testing reports. The Role: Unity Game Development needed. Work closely with product owners and product QA to identify bugs in existing game. Bring structure to the game concept by creating the level flow and plotting out the actions within it. Collaborate with the art and design teams to fix game-play mechanics and game experiences in existing game. Able to contribute to ideas and technical documentation. Collaborate effectively on team projects and work independently. The Requirements: Experience in Unity 2D game development is a must. Diploma/Degree in Game Development, UX, UI or related fields. Experience with writing clean, maintainable, and documented code. Comfortable with tools and software involved in game development such as Adobe Creative Suites. Experience in game design and development. Familiar with incorporating artwork, graphics, design, creative variations to the product. Strong knowledge of development in Web, iOS, and Android. Able to integrate payment methods and gateways into the game. Be able to work independently with minimum supervision. Up to date with industry best practice and competitor trends. Competencies: Unity Game Development Game AI Development Game Level development Game Server Programming Game UI development Gameplay development",Rp12Tr-Rp46Tr,21-11-2023
Smartli,"Chi tiết công việc Senior Game Developer tại Smartli Looking for a Game Developer to fine tune existing and create new gaming solutions for an edtech organisation producing children’s educational content. This is not a junior position and candidates must have prior experience in Game Development. Previous experience in a gaming company is a plus. The ideal candidate should have experience in developing games in Unity and be able to identify errors, and debug existing game to make it ready for launch. Must be able to follow Game QA and Testing reports. The Role: Unity Game Development experience required. Work closely with product owners and product QA to identify bugs in existing game. Bring structure to the game concept by creating the level flow and plotting out the actions within it. Collaborate with the art and design teams to fix game-play mechanics and game experiences in existing game. Able to contribute to ideas and technical documentation. Collaborate effectively on team projects and work independently. The Requirements: Experience in Unity 2D game development is a must. Diploma/Degree in Game Development, UX, UI or related fields. Experience with writing clean, maintainable, and documented code. Comfortable with tools and software involved in game development such as Adobe Creative Suites. Experience in game design and development. Familiar with incorporating artwork, graphics, design, creative variations to the product. Strong knowledge of development in Web, iOS, and Android. Able to integrate payment methods and gateways into the game. Be able to work independently with minimum supervision. Up to date with industry best practice and competitor trends. Competencies: Unity Game Development Game AI Development Game Level development Game Server Programming Game UI development Gameplay development",Senior Game Developer,Singapore,"Chi tiết công việc Senior Game Developer tại Smartli Looking for a Game Developer to fine tune existing and create new gaming solutions for an edtech organisation producing children’s educational content. This is not a junior position and candidates must have prior experience in Game Development. Previous experience in a gaming company is a plus. The ideal candidate should have experience in developing games in Unity and be able to identify errors, and debug existing game to make it ready for launch. Must be able to follow Game QA and Testing reports. The Role: Unity Game Development experience required. Work closely with product owners and product QA to identify bugs in existing game. Bring structure to the game concept by creating the level flow and plotting out the actions within it. Collaborate with the art and design teams to fix game-play mechanics and game experiences in existing game. Able to contribute to ideas and technical documentation. Collaborate effectively on team projects and work independently. The Requirements: Experience in Unity 2D game development is a must. Diploma/Degree in Game Development, UX, UI or related fields. Experience with writing clean, maintainable, and documented code. Comfortable with tools and software involved in game development such as Adobe Creative Suites. Experience in game design and development. Familiar with incorporating artwork, graphics, design, creative variations to the product. Strong knowledge of development in Web, iOS, and Android. Able to integrate payment methods and gateways into the game. Be able to work independently with minimum supervision. Up to date with industry best practice and competitor trends. Competencies: Unity Game Development Game AI Development Game Level development Game Server Programming Game UI development Gameplay development",SGD4N-SGD6N,21-11-2023
RYSE Marketing Group,"Chi tiết công việc Business Development Representative (Personal Development) tại RYSE Marketing Group “You’ll get all you want in life, if you help enough other people to get what they want” Realized that a stable job is not that stable anymore? We’re looking for outgoing team players to join us and continuously growing even in this pandemic! YOUR ROLE Customer Service * Ensure you achieve win-win solutions for clients and customers * Provide true and verifiable details to the customers Sales Presentation * Develop content for sales presentation * Share related information internally and externally ARE YOU * Positive and willing to learn attitude * Strong desire to excel and achieve the goals * Seek help and support from peers when in need BENEFITS * Fun and enjoyable working environment * Overseas traveling opportunities * 1-on-1 mentorship * Transparent career progression * Personal development",Business Development Representative (Personal Development),Singapore,"Chi tiết công việc Business Development Representative (Personal Development) tại RYSE Marketing Group “You’ll get all you want in life, if you help enough other people to get what they want” Realized that a stable job is not that stable anymore? We’re looking for outgoing team players to join us and continuously growing even in this pandemic! YOUR ROLE Customer Service * Ensure you achieve win-win solutions for clients and customers * Provide true and verifiable details to the customers Sales Presentation * Develop content for sales presentation * Share related information internally and externally ARE YOU * Positive and willing to learn attitude * Strong desire to excel and achieve the goals * Seek help and support from peers when in need BENEFITS * Fun and enjoyable working environment * Overseas traveling opportunities * 1-on-1 mentorship * Transparent career progression * Personal development",Competitive,06-12-2023
YoRipe,"Chi tiết công việc Business Development Intern tại YoRipe YoRipe' mission is to enrich millions of lives through valuable communities, content and experiences. Our platform brings together communities to learn and share around topics for a better everyday life. To help our communities to grow and sustain, we connect brands to communities via collaborations so the communities are able to get more resources to grow while brands can reach, educate and engage consumers. We're a highly motivated team who wants to build a big business and make meaningful impact to people’s daily life. Internship Opportunity: YoRipe is looking for an exceptional Business Development & Content Intern to support our B2B team. The candidate is to be based in Singapore. Objectives & Responsibilities - Support business planning, revenue planning, P&L review - Implement revenue growth strategy, strengthen our B2B business model - Sales calls, presentation of the company and services to potential customers - Support campaign and event operations - i.e. plan event flow, source for event props, train promoters, visit stores, sales analysis - Seek new partnership opportunities for both revenue and community growth - Support video content editing - i.e. add subtitles, trim video length using Canva / Capcut Requirements Overview: - Interest in cooking and baking! - Want to learn and gain experience in a bootstrap startup with a profitable business model, how to set business developement strategy, planning and execution - Hungry for growth, excited about approaching new Creators, Partners and Brands - Not afraid at cold calling and getting rejections from outreach - Strong communication skills – enjoys listening and discovering about others, empathetic, able to summarize and express thoughts clearly - Excited to work in a startup environment where growth goals and stress level are high - Independent thinker, fast learner, curious, resourceful, diligent and adaptive - Min. 3 months of availability What we offer: A super rich experience in an early stage startup: you’ll have an impact on the growth strategy, and you’ll be very close to the founding team. If you like to learn things fast and get new challenges every day : apply 👌 Resource Requirements: Intern to work with his or her own laptop",Business Development Intern,Singapore,"Chi tiết công việc Business Development Intern tại YoRipe YoRipe' mission is to enrich millions of lives through valuable communities, content and experiences. Our platform brings together communities to learn and share around topics for a better everyday life. To help our communities to grow and sustain, we connect brands to communities via collaborations so the communities are able to get more resources to grow while brands can reach, educate and engage consumers. We're a highly motivated team who wants to build a big business and make meaningful impact to people’s daily life. Internship Opportunity: YoRipe is looking for an exceptional Business Development & Content Intern to support our B2B team. The candidate is to be based in Singapore. Objectives & Responsibilities - Support business planning, revenue planning, P&L review - Implement revenue growth strategy, strengthen our B2B business model - Sales calls, presentation of the company and services to potential customers - Support campaign and event operations - i.e. plan event flow, source for event props, train promoters, visit stores, sales analysis - Seek new partnership opportunities for both revenue and community growth - Support video content editing - i.e. add subtitles, trim video length using Canva / Capcut Requirements Overview: - Interest in cooking and baking! - Want to learn and gain experience in a bootstrap startup with a profitable business model, how to set business developement strategy, planning and execution - Hungry for growth, excited about approaching new Creators, Partners and Brands - Not afraid at cold calling and getting rejections from outreach - Strong communication skills – enjoys listening and discovering about others, empathetic, able to summarize and express thoughts clearly - Excited to work in a startup environment where growth goals and stress level are high - Independent thinker, fast learner, curious, resourceful, diligent and adaptive - Min. 3 months of availability What we offer: A super rich experience in an early stage startup: you’ll have an impact on the growth strategy, and you’ll be very close to the founding team. If you like to learn things fast and get new challenges every day : apply 👌 Resource Requirements: Intern to work with his or her own laptop",Competitive,11-12-2023
Accelerasia,"Chi tiết công việc Sales Development Representative tại Accelerasia AccelerAsia provides fast growing technology companies from Europe, Israel and the US with a suite of growth services to help them expand their businesses into APAC and ensure long term success in this region. We have offices in Singapore, Bangkok, Jakarta and Melbourne, a team of highly experienced international business builders and a well-established network in the region. Over the past 11 years we have created a unique culture and a very successful business that has helped dozens of companies build their business in these parts of the world. We are looking for budding talents who are tech-enthusiasts, seeking their first experience in technology sales, and aspiring business builders! You will play a key role in finding prospects and qualifying them, before passing them on to the Sales Development Team. This involves researching companies, identifying the key decision makers and generating leads through cold outreach such as cold calling and social platforms (LinkedIn). Key Responsibilities: Ability to grasp the business needs of AccelerAsia’s client(s) and be able to think on your feet Outbound prospecting, cold calling to hunt for new leads for AccelerAsia’s client(s) Qualify inbound leads from regular marketing campaigns and follow up with leads who have attended events, with the aim of booking meeting Qualify leads using a structured sales methodology Work closely with the Business Development Team to support in developing and implementing appropriate prospecting strategies and plans Maintain high level of CRM hygiene by ensuring all customer interactions from LinkedIn messages, calls and emails are updated and recorded in our CRM The Super Intern: Has excellent communication skills, both written and verbal, Is meticulous in managing daily tasks Is a self-starter with a bias for action to get things done and always be “playing to win” Is a fast learner who can adapt quickly Is proactive, has a service-oriented attitude towards AccelerAsia’s client(s) and prospects Will thrive in a dynamic team environment Perks and Benefits: We can offer an experience with endless opportunities to work with exciting new technologies along with a potential of a full time role conversion. You will get the opportunity to work with a highly supportive, fun and tenacious team!",Sales Development Representative,Singapore,"Chi tiết công việc Sales Development Representative tại Accelerasia AccelerAsia provides fast growing technology companies from Europe, Israel and the US with a suite of growth services to help them expand their businesses into APAC and ensure long term success in this region. We have offices in Singapore, Bangkok, Jakarta and Melbourne, a team of highly experienced international business builders and a well-established network in the region. Over the past 11 years we have created a unique culture and a very successful business that has helped dozens of companies build their business in these parts of the world. We are looking for budding talents who are tech-enthusiasts, seeking their first experience in technology sales, and aspiring business builders! You will play a key role in finding prospects and qualifying them, before passing them on to the Sales Development Team. This involves researching companies, identifying the key decision makers and generating leads through cold outreach such as cold calling and social platforms (LinkedIn). Key Responsibilities: Ability to grasp the business needs of AccelerAsia’s client(s) and be able to think on your feet Outbound prospecting, cold calling to hunt for new leads for AccelerAsia’s client(s) Qualify inbound leads from regular marketing campaigns and follow up with leads who have attended events, with the aim of booking meeting Qualify leads using a structured sales methodology Work closely with the Business Development Team to support in developing and implementing appropriate prospecting strategies and plans Maintain high level of CRM hygiene by ensuring all customer interactions from LinkedIn messages, calls and emails are updated and recorded in our CRM The Super Intern: Has excellent communication skills, both written and verbal, Is meticulous in managing daily tasks Is a self-starter with a bias for action to get things done and always be “playing to win” Is a fast learner who can adapt quickly Is proactive, has a service-oriented attitude towards AccelerAsia’s client(s) and prospects Will thrive in a dynamic team environment Perks and Benefits: We can offer an experience with endless opportunities to work with exciting new technologies along with a potential of a full time role conversion. You will get the opportunity to work with a highly supportive, fun and tenacious team!","SGD1,2N",04-12-2023
Agora Co-learning Spaces Pte Ltd,"Chi tiết công việc Business Development Intern tại Agora Co-learning Spaces Pte Ltd About Agora Colearning Agora Colearning is a one-stop education hub providing educational programmes for children aged 6 months to 16 years. We offer our own Student Care and Early Years programmes, as well as enrichment and tuition activities from best-in-class education providers. We help students learn, and develop life skills and competencies, whilst nurturing their physical health and well-being. Role We are seeking a self-motivated and optimistic individual who will be actively involved in the launch of a new product. In this role, you will work closely with the founders to identify business opportunities, develop relationships with potential partners, and close deals that align with our strategic objectives. Responsibilities Identify and pursue potential business leads through actively getting in touch with school principals/vice-principals, alumni associations, and other possible contact points. Build and maintain relationship with prospective partners. Introduce company's objectives, what we do and our offering to potential clients. Maintain an accurate and updated record of business development activities. Assist with the initial onboarding of new partners Skills & Experience Required Currently pursuing a degree in business/marketing (preferred) Strong intrinsic motivation and a go-getter attitude in pursuing new opportunities Excellent communication and presentation skills and comfort with talking to more senior people Comfort or past familiarity with CRM tools a plus What you can get out of the experience Gain exposure in the different stages of business development and how to effectively execute a product launch strategy. Opportunity to work closely with the founders and interact with senior management from various schools and institutions. Build up your capabilities in sales and communication, the very characteristics highly sought after by companies across all industries.",Business Development Intern,Singapore,"Chi tiết công việc Business Development Intern tại Agora Co-learning Spaces Pte Ltd About Agora Colearning Agora Colearning is a one-stop education hub providing educational programmes for children aged 6 months to 16 years. We offer our own Student Care and Early Years programmes, as well as enrichment and tuition activities from best-in-class education providers. We help students learn, and develop life skills and competencies, whilst nurturing their physical health and well-being. Role We are seeking a self-motivated and optimistic individual who will be actively involved in the launch of a new product. In this role, you will work closely with the founders to identify business opportunities, develop relationships with potential partners, and close deals that align with our strategic objectives. Responsibilities Identify and pursue potential business leads through actively getting in touch with school principals/vice-principals, alumni associations, and other possible contact points. Build and maintain relationship with prospective partners. Introduce company's objectives, what we do and our offering to potential clients. Maintain an accurate and updated record of business development activities. Assist with the initial onboarding of new partners Skills & Experience Required Currently pursuing a degree in business/marketing (preferred) Strong intrinsic motivation and a go-getter attitude in pursuing new opportunities Excellent communication and presentation skills and comfort with talking to more senior people Comfort or past familiarity with CRM tools a plus What you can get out of the experience Gain exposure in the different stages of business development and how to effectively execute a product launch strategy. Opportunity to work closely with the founders and interact with senior management from various schools and institutions. Build up your capabilities in sales and communication, the very characteristics highly sought after by companies across all industries.","SGD800-SGD1,2N",28-11-2023
Treehouse Finance,"Chi tiết công việc Business Development Trainee tại Treehouse We are looking for a tenacious go-getter to join us as our Business Development Trainee. The ideal candidate would thrive under pressure and in fast-paced environments. They should have strong communication and excellent interpersonal skills to drive business development and champion customer success in the institutional digital assets analytics space. Responsibilities Identify, plan and engage in business development opportunities for customer acquisition, such as outreach initiatives, networking events and conferences. Tracking and organizing of business development activities Assist with the preparation and presentation of business development materials such as fact sheets and reports. Conduct market research on competitors, potential customers, and the market environment to contribute to sales strategies. Proactively collect information and feedback to create value added solutions that will drive product improvements and overall positioning. Skills and Requirements Based in Singapore At least a diploma Understanding of crypto and familiarity with digital assets institutions industry No experience required but experience in a client facing role would be advantageous Embodies a ‘can-do’ spirit and thrives in high intensity, fast-paced environments. Extremely strong presentation, communication and networking skills Proficiency in Excel, including pivot tables, chart-making. Strong work ethic, detail-oriented, and a passion for excellenc Company Description Treehouse provides users with live analytics and risk metrics of their digital assets. We are building a unified and user-friendly interface to help users successfully manage their investments in the ever-changing world of digital assets. We aim to be the gateway for all traders and investors to effectively manage their crypto risk across chains and exchanges. We are backed by some of the largest Singapore VCs and global crypto exchanges.",Business Development Trainee,Singapore,"Chi tiết công việc Business Development Trainee tại Treehouse We are looking for a tenacious go-getter to join us as our Business Development Trainee. The ideal candidate would thrive under pressure and in fast-paced environments. They should have strong communication and excellent interpersonal skills to drive business development and champion customer success in the institutional digital assets analytics space. Responsibilities Identify, plan and engage in business development opportunities for customer acquisition, such as outreach initiatives, networking events and conferences. Tracking and organizing of business development activities Assist with the preparation and presentation of business development materials such as fact sheets and reports. Conduct market research on competitors, potential customers, and the market environment to contribute to sales strategies. Proactively collect information and feedback to create value added solutions that will drive product improvements and overall positioning. Skills and Requirements Based in Singapore At least a diploma Understanding of crypto and familiarity with digital assets institutions industry No experience required but experience in a client facing role would be advantageous Embodies a ‘can-do’ spirit and thrives in high intensity, fast-paced environments. Extremely strong presentation, communication and networking skills Proficiency in Excel, including pivot tables, chart-making. Strong work ethic, detail-oriented, and a passion for excellenc Company Description Treehouse provides users with live analytics and risk metrics of their digital assets. We are building a unified and user-friendly interface to help users successfully manage their investments in the ever-changing world of digital assets. We aim to be the gateway for all traders and investors to effectively manage their crypto risk across chains and exchanges. We are backed by some of the largest Singapore VCs and global crypto exchanges.",Competitive,21-11-2023
Fingertips Group Pte Ltd,"Chi tiết công việc Business Development Intern tại Fingertips Group Pte Ltd Fingertips Technologies is a full suite brand activation agency that specializes in providing cutting-edge solutions in the realms of digital marketing, product innovation, events management, and website design services. We are seeking a motivated and enthusiastic individual to join our team as a Business Development Intern. This is an exciting opportunity for someone looking to gain hands-on experience in the dynamic field of business development. As an intern, you will work closely with our experienced team to support various aspects of the business development process. Key Responsibilities: Prepare compelling sales pitches and proposals to captivate potential clients Generating new opportunities using outbound tactics (cold calling, email sequences, LinkedIn, etc.) Identifying, targeting, and nurturing potential outbound opportunities Actively engage with leads, turning opportunities into long-term partnerships Devise and execute marketing plans with a sharp focus on driving sales growth Personal Attributes: Self-driven, positive attitude with an entrepreneurial mindset Able to pick up on key themes in the market approach Creative problem solver with a good work ethic and desire to learn Able to communicate effectively and work in a collaborative environment High attention to detail with good presentation skills Exceptional verbal and written communication skills with a persuasive edge Key Takeaways For You: Work on real B2B projects, gaining firsthand experience in the complexities of business development Develop and refine crucial skills in event operations, sales, negotiation, market research, and project management Receive guidance from seasoned professionals who will support your growth and provide valuable insights",Business Development Intern,Singapore,"Chi tiết công việc Business Development Intern tại Fingertips Group Pte Ltd Fingertips Technologies is a full suite brand activation agency that specializes in providing cutting-edge solutions in the realms of digital marketing, product innovation, events management, and website design services. We are seeking a motivated and enthusiastic individual to join our team as a Business Development Intern. This is an exciting opportunity for someone looking to gain hands-on experience in the dynamic field of business development. As an intern, you will work closely with our experienced team to support various aspects of the business development process. Key Responsibilities: Prepare compelling sales pitches and proposals to captivate potential clients Generating new opportunities using outbound tactics (cold calling, email sequences, LinkedIn, etc.) Identifying, targeting, and nurturing potential outbound opportunities Actively engage with leads, turning opportunities into long-term partnerships Devise and execute marketing plans with a sharp focus on driving sales growth Personal Attributes: Self-driven, positive attitude with an entrepreneurial mindset Able to pick up on key themes in the market approach Creative problem solver with a good work ethic and desire to learn Able to communicate effectively and work in a collaborative environment High attention to detail with good presentation skills Exceptional verbal and written communication skills with a persuasive edge Key Takeaways For You: Work on real B2B projects, gaining firsthand experience in the complexities of business development Develop and refine crucial skills in event operations, sales, negotiation, market research, and project management Receive guidance from seasoned professionals who will support your growth and provide valuable insights",SGD700-SGD1N,20-11-2023
Rohde & Schwarz Regional Headquarters Singapore Pte Ltd,"Chi tiết công việc Learning & Development Intern tại Rohde & Schwarz Regional Headquarters Singapore Pte Ltd Responsibilities: Supporting the delivery of our training programs, by managing trainings and sales events, including managing attendance and payment tasks, and providing valuable analytics Take charge of operational activities at our training center, including communicating with stakeholders face to face and virtually in support of their needs Manage the learning center set up, and lead certain partner relations such as vendor management and negotiations Help to create content to promote our training programs and internal events, organize virtual webinars and symposiums Editing videos, providing tech support, and troubleshooting for internal meetings and training Sourcing and evaluating new virtual tools and platforms that can take our training to the next level Create engaging content for our Company's intranet page Other duties or tasks as assigned on an as-needed basis Requirements: Currently pursuing or has obtained a Diploma / Degree in Events Management, Communications, Media, Business or related fields Experience using Microsoft Word, Excel and PowerPoint, and possess strong digital skills Proactive self-starter, solution-oriented, creative, who is able to identify ways of working smarter Able to work on multiple projects simultaneously with great attention to detail Customer service oriented with a strong sense of emotional intelligence, and able to work under pressure in a fast-paced, rapidly changing environment Ability to work effectively as part of a team and independently Experience in video editing tools and storyboarding, such as Adobe Premiere Pro or DaVinci Resolve, is a plus",Learning & Development Intern,Singapore,"Chi tiết công việc Learning & Development Intern tại Rohde & Schwarz Regional Headquarters Singapore Pte Ltd Responsibilities: Supporting the delivery of our training programs, by managing trainings and sales events, including managing attendance and payment tasks, and providing valuable analytics Take charge of operational activities at our training center, including communicating with stakeholders face to face and virtually in support of their needs Manage the learning center set up, and lead certain partner relations such as vendor management and negotiations Help to create content to promote our training programs and internal events, organize virtual webinars and symposiums Editing videos, providing tech support, and troubleshooting for internal meetings and training Sourcing and evaluating new virtual tools and platforms that can take our training to the next level Create engaging content for our Company's intranet page Other duties or tasks as assigned on an as-needed basis Requirements: Currently pursuing or has obtained a Diploma / Degree in Events Management, Communications, Media, Business or related fields Experience using Microsoft Word, Excel and PowerPoint, and possess strong digital skills Proactive self-starter, solution-oriented, creative, who is able to identify ways of working smarter Able to work on multiple projects simultaneously with great attention to detail Customer service oriented with a strong sense of emotional intelligence, and able to work under pressure in a fast-paced, rapidly changing environment Ability to work effectively as part of a team and independently Experience in video editing tools and storyboarding, such as Adobe Premiere Pro or DaVinci Resolve, is a plus",Competitive,28-11-2023
