companyName,description,jobName,location,require,salary,timePost
Tập Đoàn Tân Á Đại Thành,"Mô tả Công việc - Nghiên cứu đổi mới sáng tạo, công nghệ/giải pháp mới trong chuyển đổi số, thường xuyên cập nhật công nghệ mới và tìm hiểu xu hướng công nghệ - Tham gia xây dựng kế hoạch và đề xuất việc ứng dụng công nghệ/giải pháp mới nhằm đáp ứng các mục tiêu kinh doanh của tập đoàn - Tìm hiểu tư vấn, các đơn vị nghiệp vụ các giải pháp, các sáng kiến, cải tiến phù hợp trong đổi mới/chuyển đổi số - Tham gia triển khai các dự án/chương trình Đối mới/Chuyển đổi số thiết yếu, nền tảng Smart City, Smart Home, IoT,.. - Tham gia phân tích nghiệp vụ các lĩnh vực ngành nghề quản lý đô thị, kinh doanh, sản xuất, và công nghệ cao - Áp dụng số hoá quy trình toàn bộ khối/ban/phòng của tập đoàn - Đưa ra các ý tưởng mới, công nghệ mới để chuyển đổi số trong tập đoàn",Business Analyst,Hà Nội,"Yêu Cầu Công Việc - Tốt nghiệp Đại học trở lên thuộc các lĩnh vực: Công nghệ thông tin, Khoa học tự nhiên, Kinh tế, Tài chính - Am hiểu về các công nghệ, có khả năng ứng dụng các giải pháp mới bao gồm nhưng không giới hạn (AI, ML, BlockChain, IOT, BigData...) - Am hiểu về công nghệ các lĩnh vực OCR, RPA, eKYC,.. là lợi thế - Có kinh nghiệm với các dự án về Smart City, Smart Home, IoT - Có khả năng áp dụng các công nghệ mới vào việc tối ưu hóa, chuyển đổi các qui trình kinh doanh - Có khả năng đọc tài liệu, giao tiếp, email trao đổi công việc bằng tiếng Anh lĩnh vực chuyên môn - Có kỹ năng lập kế hoạch và tổ chức thực hiện kế hoạch/sắp xếp công việc; giao tiếp tốt - Kỹ năng phân tích ứng dụng công nghệ vào cải tiến vào hoạt động nghiệp vụ, - Ưu tiên ứng viên đã có kinh nghiệm nghiên cứu phát triển, đổi mới sáng tạo hoặc chịu trách nhiệm về digital và chuyển đổi số; Ứng viên đã giữ vị trí tương đương tại các công ty lớn trong nước và nước ngoài",Lương: 30 Tr - 35 Tr VND,12-01-2024
Công ty TNHH Fonterra Brands Việt Nam,"Mô tả Công việc · Have business insights to understand business requirements related to data & report, analyze, provide insights and recommendations as a result of data analysis. · Build processes and tools to extract, transform, and organize data from multiple sources. · Build, deploy, and manage centralized DWH and BI tools. · Collect, integrate, and transform raw data into meaningful and useful information for business purposes. · Use BI and other software applications to develop data models, data mining, and analysis, presented in visually appealing reports/dashboards. · Coordinate with departments, especially IT, to complete the construction of related processes and tools.",Business Analyst,Hồ Chí Minh,"Yêu Cầu Công Việc At least 3-5 years relevant experience analyzing, visualizing, and performing deep drive ad-hoc analysis of data/data analysis/data mining/data science Working experience in FMCG/nutrition/ pharma/consulting industry is an advantage Experience in business intelligence, data analytics and visualization in both of developing, managing, and operating DWH, BI tools. Experience in data extraction, aggregation, transformation, modeling of data Familiar with data manipulation/data mining/multi-dimensional data modelling Competent in BI technologies (SQL, Python, R, AAS, SSAS, Power BI and Qlikview)",Lương: Cạnh tranh,02-01-2024
Công ty Cổ phần LitGroup,"Mô tả Công việc Communicate and work according to customer’s requirements: Research, analyze customer needs and offer appropriate solutions. Design user manuals and support users. Business analysis and solution implementation with related departments: Create system design documents, workflow diagrams, data models, and sample interface designs. Test and verify the solutions. Manage changes according to customer requirements: Continuously analyze, predict, update, and innovate according to customer requirements and business situations. Propose options and accurately update system changes. Research competitor products: Analyze, compare, and make upgrade recommendations for company products.",Business Analyst,Hà Nội,"Yêu Cầu Công Việc Have at least 6 months of experience in a similar position in SaaS and e-commerce fields. Graduated from FTU, NEU, or related universities. Proficient English: 6.0 IELTS or equivalent. Having an ECBA or CCBA certification is an advantage. Good at Communication, Analytical, Problem-solving, Negotiation, and Persuasion skills. QUYỀN LỢI: Basic Salary: 7.000.000 - 20.000.000 VND/month (based on Fresher/Junior level). Receive a satisfactory salary based on actual working performance. Flexible pay raises for good working results. Computers are available or a monthly depreciation cost of VND200,000 is provided for a personal laptop. The monthly parking fee is covered. Bonus for Tet holidays, 13th-month salary, and good performance. Opportunities for improving English skills. Enhance communication skills and presentation skills.",Lương: 7 Tr - 20 Tr VND,10-01-2024
Tổng công ty Cổ phần Bảo hiểm Bưu điện,"Mô tả Công việc - Phối hợp với các Biz owner, Product owner, Product manager và Khối kinh doanh để nắm bắt yêu cầu của người sử dụng sản phẩm, quy trình vận hành và các hoạt động của bộ phận kinh doanh. - Thiết kế, xây dựng các giải pháp cho người sử dụng thông qua các công cụ mô phỏng thiết kế. - Xây dựng, viết tài liệu phân tích yêu cầu, phân tích nghiệp vụ (URD, SRS). - Phối hợp với Tech team và đảm bảo các nghiệp vụ yêu cầu được các member nắm rõ hiểu để implement. - Nghiệm thu sản phẩm công nghệ. - Thực hiện hỗ trợ và đào tạo end user sử dụng phần mềm hệ thống.",Business Analyst,Hà Nội,Yêu Cầu Công Việc - Có từ 05 năm kinh nghiệm làm ở các vị trí tương đương - Kỹ năng nghiên cứu - Tư duy linh hoạt - Phân tích và giải quyết vấn đề,Lương: Cạnh tranh,29-12-2023
BSS Group,"Mô tả Công việc Overview of position: The Presales Business Analyst works in partnership with the sales team as the technical/consultant expert behind the sale. You are responsible for identifying and matching technology opportunities with the customers’ business issues, objectives, and outcomes to drive product sales. You are a self-starting, problem solver with a knack for sales but a passion for technology. You are passionate about combining your technical expertise with your understanding of customer business needs to solve complex problems. Opportunity: As a Pre-sales Business Analyst, you will provide insight on technology & business trends, product developments, best practices in retail business processes, and technical capabilities. You will use professional concepts and company objectives to define technical offerings and solutions; develop business value propositions around Magestore POS to drive sales with technical expertise, account management skills, and superior customer focus. This is a great opportunity for you if you have a passion for learning and developing technical skills – especially with POS systems, e-commerce platforms, and solution design and are interested in continued career growth in sales within Magestore – The world #1 POS for Magento, a global organization that is continuously recognized for its world-class products! Responsibilities Conduct discovery calls to prospective client customers in partnership with the sales team to assess potential use cases and document requirements Work with company engineering team to build proof-of-concept solutions Prepare demos and proof of concepts to demonstrate various use cases for Magestore POS solutions Prepare high level solution architecture to demonstrate every technology solution. Communicate technical solutions and concepts to audiences ranging from managers to directors, VP’s and C-Suite Run complete and compelling platform demos for prospective clients in partnership with the sales team to audiences ranging from managers to directors, VPs and C-Suite Guide the design and deployment of enterprise software solutions that impact multiple functional areas of a customer’s organization Research to stay up-to-date on competitive solutions, products Develops and delivers outstanding Magestore Presentations and demonstrations. Why you will love to work with us Competitive salary: 8-15M. Review salary twice a year Youthful working environment, dynamic internal culture, at Magestore we respect differences, and focus on human development. Benefiting from birthday presents, seniority allowance, coverage of specialization courses fee or career certificate. Working time: 5 days per week, 8h30 to 17h45, from Monday to Friday. Allowed 13.5 days absence per year (12 days absence according to laws and 1.5 day absence for annual company trip) Chance to participate in team-building, picnics, summer trip, voluntary activities … regularly Convenient office at 14th, 16th, 18th and 19th floor with scenic views. Tea, coffee and drinks are always available at the office . Social Insurance and Health Insurance paid by the company after 2 months of working trial and others benefit according to the Labor Law.",Business Analyst Presales,Hà Nội,"Yêu Cầu Công Việc Requirements At least 1 years’ experience working as IT Business Analyst or relevant (PM/PO position) Confident dispensing knowledge to a highly skilled and experienced audience including C-level executives Strong knowledge of system architecture and software architecture is an advantage. Having experience in software development with programming language, database, data structure is an advantage. Thorough understanding of the software development lifecycle Ability to maintain relationships with technical resources at all levels of a customer organization Experience in the ERP/POS/eCommerce/Retail solutions is an advantage",Lương: 8 Tr - 15 Tr VND,20-12-2023
Công Ty Cổ Phần VNG,"Mô tả Công việc VNG Solutions is a subsidiary of VNG Corporation, a reputable Vietnamese provider of IT services and technology on a global scale. With its key markets in the Middle East, the US, and Europe, VNG Solutions's headquarters in Vietnam is dedicated to providing enterprise-level services and empowering customers and society to advance decisively into the digital future. VNG Solutions provides top-notch services while strictly adhering to international standards. We remain in the public eye as experts in \"the next big technologies”. VNG Solutions will provide you with a creative environment with an emphasis on B2B services, where you will have the opportunity to foster your abilities and learn about various technologies to advance your career. We are dedicated to the development and well-being of our staff members while creating a supportive work environment that allows them to reach their greatest potential We are seeking a dedicated Business Analyst with a focus on integrating legacy systems into a new model. Knowledge of WSO2 and API-Led architecture is a valuable advantage for this role. If you are passionate about bridging the gap between legacy and modern systems and improving operational efficiency, we want to hear from you. Key Responsibilities • Collaborate with stakeholders to understand business requirements related to the integration of legacy systems into a new model. • Analyze and document existing legacy systems, their functionalities, and data flows. • Identify opportunities for process improvement, efficiency gains, and system modernization. • Work with cross-functional teams to develop and document integration strategies and solutions. • Gather and document functional and technical requirements for the integration project. • Ensure clear communication between business stakeholders and the technical team. • Assess the impact of legacy system integration on existing business processes and data structures. • Support the adoption of API-Led architecture and leverage WSO2 integration solutions where applicable. • Collaborate with project managers to ensure successful project delivery and stakeholder satisfaction.","Senior Business Analyst, VNG Solutions",Hồ Chí Minh,"Yêu Cầu Công Việc • Bachelor's degree in Business, Information Technology, or a related field. Advanced degrees or relevant certifications are a plus. • Proven experience as a Business Analyst, with a strong focus on system integration projects. • Knowledge of WSO2 integration solutions is a valuable advantage. • Familiarity with API-Led architecture principles is preferred. • Strong analytical and problem-solving skills. • Excellent communication and interpersonal skills to facilitate collaboration between business and technical teams. • Ability to document and translate business requirements into technical specifications. • Proficiency in tools and techniques for process modeling and documentation. • Excellent communication skills in English or Arabic, both written and spoken. • Strong organizational and time management abilities. • Adaptability and flexibility to work in a dynamic, cross-functional environment.",Lương: Cạnh tranh,21-12-2023
LOTTE FINANCE VIETNAM,"Mô tả Công việc • Elicits and documents existing processes and recommend solutions for improvement. • Performs the requirements management process. • Facilitates meetings between business units, IT and project managers to clarify the business requirements. • Write the business requirement docunmet (BRD) and SRS . • Validates the business requirements with the business owners of the application to meet the business needs. • Assists business departments. • Generate weekly business analysts status reports for each of their assignments. • Assists with performing data analysis as requested. • Assists with preparing executive summaries and reports as needed. • Facilitate or provide any information needed for the business to update their process and procedures based on the project initiatives. • Other duties as assigned by management.",Senior Business Analyst Officer,Hà Nội,"Yêu Cầu Công Việc • Bachelor’s Degree. * Have experience about Core system or Credit Card system • Minimum five (5) years information technology experience preferred. • Minimum three (3) years experience in business analysis, systems installation, implementations, development, and/or quality assurance preferred. • Demonstrated knowledge of Business Analysis Knowledge Areas; basic understanding of system design concepts; knowledge of software usability principles, understanding of testing principles and processes; ability to write and review test cases. • Solid understanding of data types and relational database systems (Oracle, PL/SQL).",Lương: Cạnh tranh,09-01-2024
LOTTE FINANCE VIETNAM,"Mô tả Công việc • Elicits and documents existing processes and recommend solutions for improvement. • Performs the requirements management process. • Facilitates meetings between business units, IT and project managers to clarify the business requirements. • Write the business requirement docunmet (BRD) and SRS . • Validates the business requirements with the business owners of the application to meet the business needs. • Assists business departments. • Generate weekly business analysts status reports for each of their assignments. • Assists with performing data analysis as requested. • Assists with preparing executive summaries and reports as needed. • Facilitate or provide any information needed for the business to update their process and procedures based on the project initiatives. • Other duties as assigned by management.",Senior Business Analyst Officer,Hà Nội,"Yêu Cầu Công Việc • Bachelor’s Degree. * Have experience about Core system or Credit Card system • Minimum five (5) years information technology experience preferred. • Minimum three (3) years experience in business analysis, systems installation, implementations, development, and/or quality assurance preferred. • Demonstrated knowledge of Business Analysis Knowledge Areas; basic understanding of system design concepts; knowledge of software usability principles, understanding of testing principles and processes; ability to write and review test cases. • Solid understanding of data types and relational database systems (Oracle, PL/SQL).",Lương: Cạnh tranh,14-01-2024
ACB - Ngân Hàng TMCP Á Châu,"Mô tả Công việc Business Analyst is responsible for ensuring business requirements are fully understood and specified in a manner that will enable full understanding from development team. Business Analyst is reporting directly to Line Manager and for specific project related items to the project manager and has authority on all the matters related to workflow of product and client requirement if no other indication specified. The detail as below: Responsibilities Create Business Requirement Spec, SRS (System Requirement Spec), User Stories and wire frame for complex UCs (if needed) Transfer Business requirement to IT Division team or IT vendors Act as the bridge between Business Unit and IT Division or IT vendors to clarify requirement with development team (developers, testers, UI designer) in both business and system analysis view, and facilitate communication among internal team members Work with QC to verify that all requirements of the system are fulfilled by the implementation in the traceability manner among requirements, CR and implementation Write testing scenarios for UAT Support UAT in testing, verifying bugs/issues. Analyze and reverse engineer the existing system to describe it in the requirement specifications that can be understood by project team",HO - IT BUSINESS ANALYST,Hồ Chí Minh,Yêu Cầu Công Việc Bachelor degree preferably in Computer Science or Business Information System Obtaining IT knowledge-base Fluent English and Vietnamese to be able to communicate directly with customers At least 3 years of working experience of which 2 years in analyzing requirements Basic experience in programming languages Basic knowledge on database such as database schema and simple SQL query Knowledge of testing approaches and techniques General understanding and experience of business processes as well as an interest to understand a broad range of business models and needs,Lương: Cạnh tranh,08-01-2024
Công Ty TNHH Chợ Tốt,"Mô tả Công việc At Cho Tot, we aspire to make secondhand the first choice by delivering a reliable and effective recommerce platform for millions of Vietnamese to buy and sell used items. We are looking for a committed and strong Business Analyst for Chotot Goods vertical (covering Electronics, Home Appliances, Pets, Fashion & Accessories, etc. categories). The ideal candidate will take responsibility to deliver effectiveness and efficiency to Goods sellers and help them scale their business successfully on the platform, while ensuring healthy growth of revenue from this users segment. Responsibilities Participate in building Goods strategy and annual planning to deliver effectiveness and efficiency to sellers, enable them to scale business successfully on site, and at the same time achieve ambitious growth rate of revenue. Take ownership of the overall seller's experience and revenue performance by deep segmentation analysis and proactively develop a timely optimisation plan to maximise sellers' success and revenue performance. Possess a hybrid user-focused & data-informed mindset. Actively conduct in-depth analysis with big amount of data, research market trends and frequently talk to customers to identify sellers' problems/opportunities; while at the same time work closely with relevant teams to deliver appropriate solutions. Work closely with Product team to develop product roadmap and play an active role in product development process with Product team - from users discovery to solutions ideation, results analysis and optimisation. Research on new monetisation schemes and regularly carry out experiments to test new premium packages/features to optimise users’ effectiveness as well as spending. Work closely with the Go to market specialist to maximise adoption of the product offerings from the target segments. Responsible for analysis of sales performance and product/ service effectiveness metrics of the Business Owner segment who is a reliable seller and qualified by the Commercial team. Prepare weekly, monthly, quarterly, yearly reports and presentation materials on revenue. Other ad-hoc projects as assigned by supervisor.",Business Analyst (Goods),Hồ Chí Minh,"Yêu Cầu Công Việc Minimum 2 years of working experience related to business performance. A Bachelor Degree in areas related to Business/Finance/Performance Marketing is an advantage. Strong analytical and problem-solving skills. Competency in data analysis and ability to identify key challenges and come up with feasible, scalable recommendations. Self-motivation, strong time management and attention to details. Positive mindset with a can do attitude. Great work ethic and eagerness to go the extra mile to deliver results. Competency in Excel, SQL, Big Query.",Lương: Cạnh tranh,10-01-2024
