companyName,description,jobName,location,require,salary,timePost
Tổng công ty Cổ phần Bảo hiểm Bưu điện,"Mô tả Công việc 1. Team Post and Telecommunication Insurance Corporation (PTI) is currently the largest non-life insurer with largest sales and service network in Vietnam. PTI is developing a Data team with an ambitious mission of implementing a brand-new Data Strategy to better serve our customers, manage risk and find new business opportunities. 2. Role Description We are looking for a Data Analyst to join PTI and to be part of our journey in developing Data Analytics/AI solutions for PTI as a part of VNDirect’s ecosystem. 3. Responsibilities - Work with various stakeholders to define and monitor KPIs across the company - Explore/Analyze vast data from PTI to understand and normalize company’s data - Build dashboards and ad hoc reports to analyze and present data associated with business and product performance, business operations, risk management and strategic decision making - Support development of predictive models to support strategic and operational initiatives",Data Analyst,Hà Nội,"Yêu Cầu Công Việc - Bachelor‘s degree in Data Science, Statistics, Computer Science or Finance/Economics with Data Analytics skillset - 1+ years working experience as a data analyst - Demonstrable experience working with PowerBI or similar data analytics and data visualization tools - Have a strong foundation on SQL and Python - Capable of working in an interdisciplinary/cross-functional environment - Strong foundation on statistics & probability",Lương: Cạnh tranh,25-12-2023
Công Ty Cổ Phần GreenFeed Việt Nam,"Yêu Cầu Công Việc - Minimum of 5 years of relevant experience - Proficient in Excel and SQL, Power BI - Experienced with SAP systems - Domain expertise: reference given to those with financial and accounting backgrounds - Ability to gather detailed requirements from users - Bonus: Experience with the DBT tool",Senior Data Analyst,Hồ Chí Minh,Thông tin khác Bằng cấp: Đại học Hình thức: Nhân viên chính thức Độ tuổi: Không giới hạn tuổi Lương: Cạnh tranh,Lương: Cạnh tranh,09-01-2024
CÔNG TY TNHH GIMASYS,"Mô tả Công việc - Tham gia dự án triển khai giải pháp phân tích dữ liệu trên Google Cloud cho khách hàng bao gồm các công việc: Khảo sát yêu cầu, phân tích đánh giá yêu cầu, thiết kế giải pháp, phát triển, triển khai và kiểm thử - Thu thập, tích hợp, xử lý dữ liệu - Trích xuất, xử lý, load dữ liệu từ nhiều nguồn khác nhau lên Google Cloud BigQuery - Phát triển và vận hành các Data pipeline phát triển trên BigQuery hoặc các dịch vụ Google Cloud Data Analytics khác để đảm bảo tính nhất quán giữa các luồng dữ liệu - Phân tích dữ liệu - Khai phá dữ liệu xác định xu hướng, thất thường của dữ liệu - Phát triển và thực thi các truy vấn liên quan (xử lý dữ liệu hàng ngày, biến đổi dữ liệu theo nhu cầu phân tích, thống kê và kiểm thử) - Khảo sát yêu cầu, phân tích, thiết kế mô hình dữ liệu phân tích với LookML, phát triển các tính năng liên quan đến Block, báo cáo nhúng,... - Khảo sát yêu cầu, phân tích, thiết kế phát triển các báo cáo, ứng dụng phân tích dữ liệu dựa trên các công cụ như Looker Studio, Looker, …",Data Analyst,Hà Nội,"Yêu Cầu Công Việc - Tốt nghiệp hệ chính quy một trong các chuyên ngành: CNTT, Toán Tin, Điện tử viễn thông, kinh tế hoặc chuyên ngành khác liên quan. - Tối thiểu 1 năm kinh nghiệm làm về Data Analyst - Sử dụng thành thạo SQL, có thể sử dụng ngôn ngữ Python trong phân tích dữ liệu - Có kinh nghiệm với các nền tảng Cloud data warehouse như Snowflake, BigQuery hoặc các dịch vụ, giải pháp tương đương - Có kinh nghiệm phân tích và xử lý dữ liệu, các cấu trúc dữ liệu đa dạng và các phương pháp thu thập, biến đổi dữ liệu từ nhiều nguồn khác nhau - Có khả năng sử dụng thành thạo các công cụ spreadsheet (Excel, Google sheet,...) - Có kinh nghiệm làm việc với các dịch vụ Phân tích dữ liệu trên Google cloud, đặc biệt là các giải pháp như Looker, BigQuery hoặc các dịch vụ, giải pháp tương đương - Có kỹ năng giao tiếp tốt, có khả năng khảo sát, thu thập, phân tích yêu cầu từ người dùng - Có kiến thức cơ bản về các giải pháp thiết kế và phát triển mô hình dữ liệu - Ưu tiên ứng viên + Kiến thức, kinh nghiệm về các concepts & framework về và Machine Learning + Ứng viên có chứng chỉ Google Cloud Professional Data Engineer hoặc các chứng chỉ về Data Analyst liên quan",Lương: Cạnh tranh,10-01-2024
Yes4All Trading Services Company Limited,"Mô tả Công việc Yes4All is one of the leading brands for home sporting goods & furniture in the e-commerce market. Founded in 2010, we have strived to be the world leader in e-commerce enablers in term of trading, product creating and e-commerce servicing. Based in California with an operation office in HCMC, we have more than 500 young and talented members with expert knowledge and experience in the e-commerce industry. We are on an ambitious journey to dominate not only US e-commerce market but also to enter new e-commerce markets of more than 15 countries in Europe, Asia and North America, not only Amazon channel but also Walmart, Wayfair among others. Besides, Home sporting goods, Furniture, Outdoor and Gardening are also great opportunities that we desire to occupy and create significant values. With our steady knowledge in E-commerce, Yes4All started to provide end-to-end ecommerce-enabler service in order to help Vietnamese and global manufacturers or struggling sellers bring their products to the US & International markets. Our mission: Connect the Worldwide Resources & create innovative platform to bring products and services from innovators and manufacturers to worldwide customers more efficiently. Our vision: To be the world leader of e-commerce enabler in term of trading, product creating, and e-commerce servicing. ROLES & RESPONSIBILITIES Build dashboards that provide accurate and actionable insights Automate daily/weekly sales performance review reports Collaborate with Data Engineer team to ensure data accuracy Conduct exploratory data analysis to go deep into the data to develop hypotheses and to answer complex business questions Other ad hoc duties as assigned by Manager.",Data Analyst,Hồ Chí Minh,"Yêu Cầu Công Việc SKILL AND EXPERIENCE 1+ years of experience in Data Analytics or Business Intelligence. Proficiency in SQL (PostgreSQL and MySQL are preferred) Proficiency in Power BI is a must. Hands-on experience programming with Python Independent leaner, self-motivated, and willing share knowledge with team members. Work proactively with key business partners to closely monitor risks and opportunities and identify improvement opportunities NICE TO HAVE Experience in e-commerce industry Good knowledge in data warehouse, ETL, Data Pipeline. WHY YOU WILL LOVE JOINING US? FOR YOU TO JOIN Financial Well-being: A competitive salary with 13th month salary, annual performance bonus and a variety of allowances. Salary review: annually or on excellent performance. Activities: company trips, team-building, and other customized monthly bonding events. Annual leaves: 16 days off and 01 Birthday Leave per year. Healthcare: annual health check, insurance according to Labor Law and extra Bao Viet Insurance package. Working Environment: dynamic, friendly environments with working time flexibility (Mon-Fri), and other perks include snacks, coffee, and healthy food provided daily suited for hardworking, fun, and team collaboration. FOR YOU TO GROW Ambition: We are now keeping on with our hyper growth to multicategory, multichannel, multimarket, and expanding into the world largest e-commerce enabler. Hence, there will continuously be opportunities to challenge yourself, learn new skills and knowledge. Challenges: Your voice can always be heard as we embrace the eagerness of learning and sharing. You can be your own boss and create your own value with the ability to take initiative and make decisions in all aspects of work. Chances: Be led and coached by experienced and inspirational leaders and participate in various training courses where you can enlarge your knowledge and experience in the E-commerce and Supply Chain industry. FOR YOU TO STAY People: Having a headquarter in the US and an operation office in Vietnam, our team is young and highly motivated. You will be working with and alongside members having experiences from International Corporations or high profile from Vietnam that share the same passion and dedication. Culture: Our working environment is humble, collaborative and 100% healthy. We promote Exchange & Speak out, you can receive transparent and supportive feedback so you can perform the best. Career path: Provide you a great career path, open to rotating for your better understanding of the company and contribute across many of our functions. And much more, join us and let yourself explore other fantastic things!",Lương: Cạnh tranh,09-01-2024
SYBSY Ltd.,"Mô tả Công việc 1. Tham gia xây dựng hệ thống báo cáo BI - Thu thập nguồn dữ liệu kế hoạch hàng tháng (trên Excel hoặc Google Sheet) của các phòng ban để có nguồn dữ liệu xây dựng báo cáo - Kiểm tra tính đúng đắn và chuẩn hóa dữ liệu trước khi đưa vào hệ thống - Trình bày các báo cáo kinh doanh, khách hàng, hàng hóa cho hệ thống BI bằng biểu đồ hoặc hình thức minh họa hợp lý - Hướng dẫn người dùng sử dụng các báo cáo của hệ thống 2. Thực hiện các báo cáo theo yêu cầu - Tiếp nhận và xử lý các yêu cầu về phân tích dữ liệu - Xây dựng báo cáo hoặc truy vấn dữ liệu theo yêu cầu - Đề xuất giải pháp nhằm nâng cao tính cạnh tranh, cải tiến hiệu quả kinh doanh cho Công ty 3. Đảm bảo hệ thống BI vận hành liên tục - Kiểm tra dữ liệu đúng, đủ và tin cậy - Tham gia kiểm tra và xử lý sự cố của hệ thống BI (nếu có)",Data Analyst,Hồ Chí Minh,"Yêu Cầu Công Việc - Tốt nghiệp Đại học trở lên các chuyên ngành CNTT, Phân tích dữ liệu hoặc Tài chính, Kế toán - Tối thiểu 2 năm kinh nghiệm trở lên vị trí tương đương, ưu tiên trong ngành Thời trang/ Bán lẻ/Thương mại điện tử - Biết sử dụng công cụ visualization để biểu diễn dữ liệu như Tableau, Power BI - Có kiến thức, kỹ năng phân tích, thống kê và tổng hợp dữ liệu - Biết sử dụng ngôn ngữ truy vấn CSDL - Hiểu biết về eCommerce hoặc bán lẻ là lợi thế",Lương: 13 Tr - 18 Tr VND,08-01-2024
TRAN DUC GROUP - CÔNG TY CỔ PHẦN TRẦN ĐỨC,"Mô tả Công việc Data management Assess the effectiveness and accuracy of data tables in our distributed system. Provide quality assurance on the quality and accuracy of data tables. Help develop reports and analysis. Supporting Business Analysts by preparing complex/customized data tables. Work with other members (Data Engineer, Business Analyst) to implement, integrate and optimize our existing systems.",DATA ANALYST,Hồ Chí Minh,"Yêu Cầu Công Việc 1. Education Have Bachelor degree in Information Systems, Information Management or Information Technology. 2. Work experience At least 1 years of work experience in data processing, data analysis, or related fields. 3. Knowledge/ Professional skills/ Abilities Database tools: Microsoft Excel and SQL Statistical programming languages: Python or R Data visualization; Data cleaning Statistical programming Probability and Statistics Machine Learning Proficient in database design and organization Skills in using data analysis tools and basic coding to process (predictive models ) Strong analytical skills, ability to collect, organize, analyze, and communicate large amounts of information in a detailed and accurate manner Good English",Lương: Cạnh tranh,19-12-2023
NINJA VAN VIỆT NAM,"Mô tả Công việc ● Building databases, monitoring tables, analyzing operational indicators according to the requirements of the department ● Develop and analyze operational and project reports at the request of management levels ● Tracking the company's overall goals, allocating them into appropriate target packages for each level of operational management ● Provide and monitor solution packages for operations to ensure that the set operating targets are met ● Cooperate with departments, coordinate in building and improving operational processes to improve service quality ● Consulting, providing risk analysis, operational opportunities for all levels of management ● Monitoring, statistics, analysis of cost structures ● Cost management, assessment and warning of risks affecting cost structure, room budget ● Other tasks to support the management of superiors",Data Analyst Executive,Hồ Chí Minh,"Yêu Cầu Công Việc ● At least 06 months of experience in managing, building, analyzing operational data or directly managing operations ● Requires basic skills in coding, using software, data solutions (Power BI ...) ● Good communication skills. ● Knowledge of Microsoft Office, Google Drive tools ● Self-study sense, careful work and good presentation ability.",Lương: Cạnh tranh,20-12-2023
Unilever Vietnam International,"What you will be doing: - Dedicated to drive the digital transform projects of factory, with their deep understanding of factory process & needs (using your coding skills) - Lead the deployment of standard digital use case deployed in the factory, with the help of Internet Of Things Engineer & Data Scientist - Coordinate with Manufacturing Excellence Team for the adoption of global digital use case for shopfloor execution",UFresh Manufacturing Data Analyst,Hồ Chí Minh,"Yêu Cầu Công Việc What we are looking for: Final year student or graduated with less than 1-year experience with technical background in industrial/ manufacturing/engineering Able to work fulltime Data literacy & familiar with data manipulation tools such as SQL, Power Query, Python, Excel Marco, Power Automate… Basic data visualization skill with Power BI, Power Apps… Good English communication Self-motivated, committed, and confident. Wish to work in the manufacturing environment",Lương: Cạnh tranh,04-01-2024
Công ty Cổ phần Dịch vụ Di Động Trực tuyến (Ví MoMo),"Mô tả Công việc Building, developing, and maintaining automated dashboards to monitor performance metrics; Monitoring data quality to ensure data sources are reliable and relevant for the team’s purposes; Analyzing complex data to drive insightful findings and translating them into meaningful, actionable recommendations for our stakeholders; Designing and implementing solutions and best-practices, with automation and scalability in mind, to empower end-users to become self-reliant; Collaborating with internal team to consolidate requirements, understand business needs, and deliver projects in a timely manner; Ad-hoc Reporting & Data Analysis duties or other responsibilities as required; Types of projects include: customer segmentation; analyses to enhance user acquisition, engagement, conversion, retention; reporting standardization; gamification; A/B testing & experimentation analysis for product development and optimization.","Senior Data Analyst, OTA",Hồ Chí Minh,"Yêu Cầu Công Việc Minimum Qualifications University degree (BA, BSc, etc.) in a quantitative discipline such as Statistics, Computer Science, Mathematics, Information Management; University degree with quantitative/statistics coursework such as Business, Economics, Marketing, or relevant fields. Key Skills/Experience Required Critical: Excellent analytical skills and problem-solving aptitude; Ability to collect, organize, and analyze significant amounts of data with high attention to detail; Ability to visualize findings, create meaningful insights, and arrive at actionable recommendations; Strong spoken and written communication skills (in both English and Vietnamese) to collaborate with team members and to explain findings clearly to internal team as well as stakeholders; Experience writing complex queries in SQL or other SQL-based languages; Work proactively with key business partners to closely monitor risks and opportunities and identify improvement opportunities; Foster strong relationships with business units by establishing a culture of support and shared accountability within the team; Sense of ownership, a growth mindset, and the ability to recommend solutions which are scalable; Self-learner and quick to adopt new knowledge and technical skills; Effectively collaborate within a team as well as work independently. Desirable: Experience with BI/analytics/statistics tools and languages (Google BigQuery, Google Data Studio, R, Python, etc.); Solid technical/functional knowledge in statistics.",Lương: 22 Tr - 33 Tr VND,23-12-2023
Yes4All Trading Services Company Limited,"Mô tả Công việc Yes4All is one of the leading brands for home sporting goods & furniture in the e-commerce market. Founded in 2010, we have strived to be the world leader in e-commerce enablers in term of trading, product creating and e-commerce servicing. Based in California with an operation office in HCMC, we have more than 500 young and talented members with expert knowledge and experience in the e-commerce industry. We are on an ambitious journey to dominate not only US e-commerce market but also to enter new e-commerce markets of more than 15 countries in Europe, Asia and North America, not only Amazon channel but also Walmart, Wayfair among others. Besides, Home sporting goods, Furniture, Outdoor and Gardening are also great opportunities that we desire to occupy and create significant values. With our steady knowledge in E-commerce, Yes4All started to provide end-to-end ecommerce-enabler service in order to help Vietnamese and global manufacturers or struggling sellers bring their products to the US & International markets. Our mission: Connect the Worldwide Resources & create innovative platform to bring products and services from innovators and manufacturers to worldwide customers more efficiently. Our vision: To be the world leader of e-commerce enabler in term of trading, product creating, and e-commerce servicing. ROLES & RESPONSIBILITIES · Visualize data insights for both business and technical audiences. · Develop descriptive analytics to assist business users in making timely and accurate decisions in various projects. · Use business intelligence tools to process and analyze data. · Other ad hoc duties as assigned by Manager.",Senior Data Analyst,Hồ Chí Minh,"Yêu Cầu Công Việc SKILL AND EXPERIENCE · 2+ years of experience in Data Analytics or Business Intelligence. · Proficiency in SQL. · Experience in Power BI is a must. · Ability to program with Python · Knowledgeable of statistics such as regression, normal distribution, etc. · Very good data and analytical skills including the ability to define and decompose relevant metrics and evaluate the corresponding impacts in the context of business. · Independent leaner, self-motivated, and willing share knowledge with team members. · Work proactively with key business partners to closely monitor risks and opportunities and identify improvement opportunities NICE TO HAVE · Experience in e-commerce industry · Good knowledge in data warehouse, ETL, Data Pipeline. WHY YOU WILL LOVE JOINING US? FOR YOU TO JOIN Financial Well-being: A competitive salary with 13th month salary, annual performance bonus and a variety of allowances. Salary review: annually or on excellent performance. Activities: company trips, team-building, and other customized monthly bonding events. Annual leaves: 16 days off and 01 Birthday Leave per year. Healthcare: annual health check, insurance according to Labor Law and extra PTI Insurance package. Working Environment: dynamic, friendly environments with working time flexibility (Mon-Fri), and other perks include snacks, coffee, and healthy food provided daily suited for hardworking, fun, and team collaboration. FOR YOU TO GROW Ambition: We are now keeping on with our hyper growth to multicategory, multichannel, multimarket, and expanding into the world largest e-commerce enabler. Hence, there will continuously be opportunities to challenge yourself, learn new skills and knowledge. Challenges: Your voice can always be heard as we embrace the eagerness of learning and sharing. You can be your own boss and create your own value with the ability to take initiative and make decisions in all aspects of work. Chances: Be led and coached by experienced and inspirational leaders and participate in various training courses where you can enlarge your knowledge and experience in the E-commerce and Supply Chain industry. FOR YOU TO STAY People: Having a headquarter in the US and an operation office in Vietnam, our team is young and highly motivated. You will be working with and alongside members having experiences from International Corporations or high profile from Vietnam that share the same passion and dedication. Culture: Our working environment is humble, collaborative and 100% healthy. We promote Exchange & Speak out, you can receive transparent and supportive feedback so you can perform the best. Career path: Provide you a great career path, open to rotating for your better understanding of the company and contribute across many of our functions. And much more, join us and let yourself explore other fantastic things!",Lương: Cạnh tranh,09-01-2024
