companyName,description,jobName,location,require,salary,timePost
TRAN DUC GROUP - CÔNG TY CỔ PHẦN TRẦN ĐỨC,"Mô tả Công việc Participate in building Data Warehouse solutions,... Build the necessary infrastructure to extract, transform, and load data optimally from multiple data sources. Perform data preparation for data models (data cleaning, data aggregation). Design and develop data warehouse / data lake. Evaluate and develop new technologies / solutions to meet the company's business operations. Other tasks assigned by superiors.",DATA ENGINEER,Hồ Chí Minh,"Yêu Cầu Công Việc 1. Education: Bachelor's degree or higher in Information Technology, Telecommunications, Information Systems, or related fields. 2. Experience: At least 1 years of experience working in IT companies in the role of Data Engineer or a similar role. 3. Skills: Database tools: Microsoft Excel and SQL Data visualization Statistical programming languages: Python or R Data cleaning Statistical programming Probability and statistics Machine Learning (ML) Data Warehousing - Data Architecture - Coding/Programming - Apache Hadoop-Based Analytics Good understanding of data integration Ability to analyze, summarize, and write reports Proficient in office software 4. Abilities: Excellent communication and presentation skills Teamwork and independent work skills Organization and time management skills Ability to work under pressure Diligent, enthusiastic, friendly, and responsible in work Responsibility for ensuring information security: Comply with the company's information security regulations and regulations. Good English",Lương: Cạnh tranh,19-12-2023
Yes4All Trading Services Company Limited,"Mô tả Công việc Yes4All is one of the leading brands for home sporting goods & furniture in the e-commerce market. Founded in 2010, we have strived to be the world leader in e-commerce enablers in term of trading, product creating and e-commerce servicing. Based in California with an operation office in HCMC, we have more than 500 young and talented members with expert knowledge and experience in the e-commerce industry. We are on an ambitious journey to dominate not only US e-commerce market but also to enter new e-commerce markets of more than 15 countries in Europe, Asia and North America, not only Amazon channel but also Walmart, Wayfair among others. Besides, Home sporting goods, Furniture, Outdoor and Gardening are also great opportunities that we desire to occupy and create significant values. With our steady knowledge in E-commerce, Yes4All started to provide end-to-end ecommerce-enabler service in order to help Vietnamese and global manufacturers or struggling sellers bring their products to the US & International markets. Our mission: Connect the Worldwide Resources & create innovative platform to bring products and services from innovators and manufacturers to worldwide customers more efficiently. Our vision: To be the world leader of e-commerce enabler in term of trading, product creating, and e-commerce servicing. JOB DESCRIPTIONS Design, further develop, and implement ETL processes and BI systems in accordance with the defined architecture. Take responsibility for the accuracy of data. Manage and enhance the performance of the Data Warehouse and Data Marts. Create a tracking dashboard to ensure data quality within the relevant processes. Provide data to support analytics roles, including data scientists and analysts, from various sources such as databases, APIs, websites, etc. Handle large datasets from the market and streaming data. Write procedural and technical documentation, including data dictionaries and data governance. Research and implement new technologies (preferably open source) to enhance system performance.",Data Engineer,Hồ Chí Minh,"Yêu Cầu Công Việc SKILL AND EXPERIENCE 2 years of experience in similar roles. Experience with SQL Databases, particularly Oracle and PostgreSQL (PostgreSQL is a plus). Proficiency in Python, Airflow, Docker, MinIO, Crawler libraries, Data Dictionary Platforms, etc. Strong analytical skills, logical thinking, problem-solving abilities, and effective communication. Adaptability with various programming languages. Nice to have experience with OTP/Captcha. Familiarity with encryption algorithms and hash codes such as SHA256. Additional experience with Java, JavaScript, Spark, Kafka, RabbitMQ is a plus. Strong data analysis skills and the ability to derive meaningful insights from data. Capacity to work well under high-pressure conditions. Demonstrated teamwork, independence, a can-do attitude, and self-study skills. WHY YOU WILL LOVE JOINING US? FOR YOU TO JOIN Financial Well-being: A competitive salary with 13th month salary, annual performance bonus and a variety of allowances. Salary review: annually or on excellent performance. Activities: company trips, team-building, and other customized monthly bonding events. Annual leaves: 16 days off and 01 Birthday Leave per year. Healthcare: annual health check, insurance according to Labor Law and extra PTI Insurance package. Working Environment: dynamic, friendly environments with working time flexibility (Mon-Fri), and other perks include snacks, coffee, and healthy food provided daily suited for hardworking, fun, and team collaboration. FOR YOU TO GROW Ambition: We are now keeping on with our hyper growth to multicategory, multichannel, multimarket, and expanding into the world largest e-commerce enabler. Hence, there will continuously be opportunities to challenge yourself, learn new skills and knowledge. Challenges: Your voice can always be heard as we embrace the eagerness of learning and sharing. You can be your own boss and create your own value with the ability to take initiative and make decisions in all aspects of work. Chances: Be led and coached by experienced and inspirational leaders and participate in various training courses where you can enlarge your knowledge and experience in the E-commerce and Supply Chain industry. FOR YOU TO STAY People: Having a headquarter in the US and an operation office in Vietnam, our team is young and highly motivated. You will be working with and alongside members having experiences from International Corporations or high profile from Vietnam that share the same passion and dedication. Culture: Our working environment is humble, collaborative and 100% healthy. We promote Exchange & Speak out, you can receive transparent and supportive feedback so you can perform the best. Career path: Provide you a great career path, open to rotating for your better understanding of the company and contribute across many of our functions. And much more, join us and let yourself explore other fantastic things!",Lương: Cạnh tranh,14-01-2024
Công Ty CP Chứng Khoán VNDIRECT,"Mô tả Công việc MỤC TIÊU VỊ TRÍ: - Phát triển hệ thống Data warehouse theo định hướng phát triển của tổ chức - Phát triển các Data mart phục vụ cho nhu cầu khai thác dữ liệu - Xây dựng phát triển đội ngũ, gắn kết các thành viên để đạt mục tiêu chung của tập thể MÔ TẢ CÔNG VIỆC: - Tiếp nhận các yêu cầu phát triển, phân tích, đánh giá và đưa ra phương án thực hiện phù hợp - Hướng dẫn team Data Engineer thực hiện theo phương án đã thống nhất, review đảm bảo chất lượng công việc - Giám sát đảm bảo hệ thống phát triển theo đúng quy trình đã có - Giải quyết các vấn đề kỹ thuật phát sinh - Nghiên cứu các công nghệ hiện tại và đề xuất thay đổi khi cần thiết - Training đào tạo kỹ năng cho các thành viên khác",Senior Data Engineer,Hà Nội,"Yêu Cầu Công Việc - Có ít nhất 05 năm kinh nghiệm ở vị trí Data Engineer hoặc các vị trí tương đương. Ưu tiên ứng viên có kinh nghiệm làm việc trực tiếp với hệ thống Data warehouse - Am hiểu các hệ điều hành và các loại cơ sở dữ liệu khác nhau. Có kinh nghiệm làm việc với Hadoop Eco System là lợi thế - Nắm được cách thiết kế Data warehouse theo chuẩn Kimball - Thành thạo viết truy vấn và tối ưu câu lệnh SQL - Hiểu biết và nắm vững quy trình phát triển hệ thống - Sử dụng thành thạo các công cụ: Jira, Git, Xshell, SSMS, MySQL Workbench, DataGrip, .. - Có khả năng làm việc độc lập và làm việc nhóm - Có khả năng tư duy và giải quyết vấn đề - Có khả năng nghiên cứu và tự học hỏi - Yêu thích tìm hiểu công nghệ, cập nhật xu hướng công nghệ mới và có khả năng phân tích ứng dụng công nghệ trong các bài toán cụ thể CHẾ ĐỘ ĐÃI NGỘ: 1. Cộng đồng những người làm nghề chính trực và dấn thân phụng sự - Môi trường làm nghề tài chính chuyên nghiệp. - Làm việc với tinh thần làm chủ, sáng tạo và thách thức. 2. Thu nhập theo năng lực - Thu nhập xứng đáng theo năng lực và giá trị đóng góp. - Được xem xét và đánh giá điều chỉnh thu nhập hàng năm. - Trong 02 tháng thử việc hưởng 85% thu nhập, được truy lĩnh 15% sau khi ký hợp đồng chính thức (tương đương 100% trong thời gian thử việc). - Tham gia BHXH, BHYT, BHTN theo đúng quy định luật lao động. - Các bảo hiểm sức khỏe và bảo hiểm tai nạn 24/24. 3. Tổ chức học tập và văn hóa sôi nổi - Không gian làm việc mở với trang thiết bị hiện đại. - Các hoạt động văn hóa, thiện nguyện phong phú và sôi nổi.",Lương: Cạnh tranh,28-12-2023
Tổng công ty Cổ phần Bảo hiểm Bưu điện,"Mô tả Công việc - Phát triển hệ thống Data warehouse theo định hướng phát triển của tổ chức - Phát triển các Data mart phục vụ cho nhu cầu khai thác dữ liệu - Xây dựng phát triển đội ngũ, gắn kết các thành viên để đạt mục tiêu chung của tập thể - Tiếp nhận các yêu cầu phát triển, phân tích, đánh giá và đưa ra phương án thực hiện phù hợp - Hướng dẫn team Data Engineer thực hiện theo phương án đã thống nhất, review đảm bảo chất lượng công việc - Giám sát đảm bảo hệ thống phát triển theo đúng quy trình đã có - Giải quyết các vấn đề kỹ thuật phát sinh - Nghiên cứu các công nghệ hiện tại và đề xuất thay đổi khi cần thiết - Training đào tạo kỹ năng cho các thành viên khác",Senior Data Engineer,Hà Nội,"Yêu Cầu Công Việc - Có ít nhất 05 năm kinh nghiệm ở vị trí Data Engineer hoặc các vị trí tương đương. Ưu tiên ứng viên có kinh nghiệm làm việc trực tiếp với hệ thống Data warehouse - Am hiểu các hệ điều hành và các loại cơ sở dữ liệu khác nhau. Có kinh nghiệm làm việc với Hadoop Eco System là lợi thế - Nắm được cách thiết kế Data warehouse theo chuẩn Kimball - Thành thạo viết truy vấn và tối ưu câu lệnh SQL - Hiểu biết và nắm vững quy trình phát triển hệ thống - Sử dụng thành thạo các công cụ: Jira, Git, Xshell, SSMS, MySQL Workbench, DataGrip, .. - Có khả năng làm việc độc lập và làm việc nhóm - Có khả năng tư duy và giải quyết vấn đề - Có khả năng nghiên cứu và tự học hỏi - Yêu thích tìm hiểu công nghệ, cập nhật xu hướng công nghệ mới và có khả năng phân tích ứng dụng công nghệ trong các bài toán cụ thể CHẾ ĐỘ ĐÃI NGỘ: 1. Cộng đồng những người làm nghề chính trực và dấn thân phụng sự - Môi trường làm nghề tài chính chuyên nghiệp. - Làm việc với tinh thần làm chủ, sáng tạo và thách thức. 2. Thu nhập theo năng lực - Thu nhập xứng đáng theo năng lực và giá trị đóng góp. - Được xem xét và đánh giá điều chỉnh thu nhập hàng năm. - Trong 02 tháng thử việc hưởng 85% thu nhập, được truy lĩnh 15% sau khi ký hợp đồng chính thức (tương đương 100% trong thời gian thử việc). - Tham gia BHXH, BHYT, BHTN theo đúng quy định luật lao động. - Các bảo hiểm sức khỏe và bảo hiểm tai nạn 24/24. 3. Tổ chức học tập và văn hóa sôi nổi - Không gian làm việc mở với trang thiết bị hiện đại. - Các hoạt động văn hóa, thiện nguyện phong phú và sôi nổi.",Lương: Cạnh tranh,27-12-2023
MOVI Việt Nam,"Mô tả Công việc Job Objective: Building a platform with strong architecture Be part of the data & and analytics center of excellence (CoE) working on a wide range of data infrastructure and data engineering projects across Key Responsibilities 1. Data Architecture: Architects, Designs, Builds, Develops, Maintains, and Implements new data systems where needed, the Architecture with best practices and data infrastructure reliable and scalable. Responsible for deploying secure and well-tested software that meets privacy and compliance requirements, and maintains and improves CI / CD pipeline. Proactively drive the effort of identifying opportunities to manage data and provide data solutions. Evaluate various data architectures in the market and utilize them to develop data solutions to meet business requirements. Drive the delivery of data products and services into systems and business processes in compliance with internal regulatory requirements. Oversee the review of internal and external business and product requirements for data operations and activity and suggest changes and upgrades to systems and storage to accommodate ongoing needs 2. Data Integration: Review and analyze existing data systems, and make recommendations on improvement, maintenance, or other factors to improve the system, automate manual processes, optimize data delivery, and re-design infrastructure for scale and performance and greater scalability Monitoring and quality assurance within the system (Server/ Services/ETL /Networking/Security). Design, build, and maintain optimized data pipelines and ETL solutions as business support tools in providing analysis and real-time analytics platforms for critical decision-making, support of data and analytics projects, integrating new sources of data into our central data warehouse to meet business requirements, and experience building and optimizing ‘big data’ architectures for read-and-write performance. Ensure data assets are organized and stored efficiently so that information is high quality, reliable, flexible, and efficient. Manage and enhance to ensure that DWH, Data mart and BI tools work stably through aligned business/ system/ and data processes. Ensure data is accessible to the required personnel to ensure the ease of understanding and access to the data needed to make informed business decisions. Experience with building reports and data visualizations, using data from the data warehouse or other sources and mapping are helpful (but not required) 3. Project Management: The role plays is highly collaborative and, as such, works closely with data analysts, data scientists, and other data consumers within the business. Establishes the documentation of reports, data infrastructure, privacy controls and develops, maintains technical specification documentation, and processes, and effectively manages data systems that have the relevant security. Work with team leads to resolve people problems and projects to ensure maximum productivity. Understand business and technical requirements and constraints to design effective software solutions. Strong stakeholder management and collaboration with them to understand user requirements Effective time management skills, including demonstrated ability to manage and prioritize multiple tasks and projects. Experience working in Agile teams to lead successful digital transformation projects, having mastered Agile principles, practices, and Scrum methodologies 4. Talent Development: Support line manager training and mentor “Junior Data Engineer” Provide training and guidance on new systems and new skills and share knowledge that is being implemented into the team adding to the already Ability to work effectively in teams, in both a lead and support role. Take on research to improve data processing and any implemented frameworks used by our team Experience supporting and working with cross-functional teams in a dynamic environment. Ability to build processes supporting data transformation, data structures, metadata, dependency, and workload management. 5. Direct Manager (Key Relationships): Senior Manager/ Manager, BI&A And other tasks as assigned. Continuous learning and improvement mindset Ability to work long and extended hours as needed Ability to prioritize own time and workload Ability to read, understand, and write code Have teamwork skills, work independently, and self-study. Good number sense, listening, logical thinking, analytical thinking (with keen attention to detail), problem-solving abilities, and communication skills (both written and verbal).",Senior Data Engineer,Hồ Chí Minh,"Yêu Cầu Công Việc Bachelor’s degree (or higher) in Computer Science, Software Engineering or Information Technology, MIS, Economics, Finance, Statistics, Mathematics, or a related field (Financial Services, Banking, Insurance, Securities). At least 3 years experience (typically 5+ years) in Data Engineering and ETL and Analytics tools (R, Python, Pentaho, dbt…) and BI&A Visualization systems (Metabase, Power BI, OBIEE, SAS VA, IBM, Yellowfin, Tableau, Qlik …), and In-depth knowledge of BI technologies, methodologies, and their application like Metabase, PowerBI, Tableau, Looker etc Experience with building data pipelines from various business applications like Salesforce, Marketo, NetSuite, Workday, Odoo,… and databases (MsSQL, Oracle, IBM, SAP, MySQL, AWS Redshift). Experience designing and implementing large-scale distributed data pipelines and working with cloud infrastructure services like AWS/GCP/Azure (preferably AWS), (Big Query, Data Flow, Amazon EKS, EMR, Docker/ECS, and Redshift.) Experience with the LAN or VLAN, and digital organizing tools, like Active Directory Action Network, ActionKit, or Blue State Digital, is a plus (but not required). Experience with big data tools: Hadoop, Spark, Kafka, Spark & Kafka Streaming, Python, Scala, Talend, Azkaban, Luigi, Airflow etc Good at math and Advanced SQL knowledge and experience working with relational databases as well as working familiarity with a variety of databases is a big plus. Good report-writing skills Ability to communicate in English. Benefit: Full social insurance following Vietnamese Law 100% salary during probationary period Personal health and spouse insurance Annual leave, Annual heath-check Professional and Transparent working environment Buying company products at a reduced and with promotional offers",Lương: Cạnh tranh,04-01-2024
CareerViet's client,"Mô tả Công việc Job Objective: Building a platform with strong architecture Be part of the data & and analytics center of excellence (CoE) working on a wide range of data infrastructure and data engineering projects across Key Responsibilities 1. Data Architecture: Architects, Designs, Builds, Develops, Maintains, and Implements new data systems where needed, the Architecture with best practices and data infrastructure reliable and scalable. Responsible for deploying secure and well-tested software that meets privacy and compliance requirements, and maintains and improves CI / CD pipeline. Proactively drive the effort of identifying opportunities to manage data and provide data solutions. Evaluate various data architectures in the market and utilize them to develop data solutions to meet business requirements. Drive the delivery of data products and services into systems and business processes in compliance with internal regulatory requirements. Oversee the review of internal and external business and product requirements for data operations and activity and suggest changes and upgrades to systems and storage to accommodate ongoing needs 2. Data Integration: Review and analyze existing data systems, and make recommendations on improvement, maintenance, or other factors to improve the system, automate manual processes, optimize data delivery, and re-design infrastructure for scale and performance and greater scalability Monitoring and quality assurance within the system (Server/ Services/ETL /Networking/Security). Design, build, and maintain optimized data pipelines and ETL solutions as business support tools in providing analysis and real-time analytics platforms for critical decision-making, support of data and analytics projects, integrating new sources of data into our central data warehouse to meet business requirements, and experience building and optimizing ‘big data’ architectures for read-and-write performance. Ensure data assets are organized and stored efficiently so that information is high quality, reliable, flexible, and efficient. Manage and enhance to ensure that DWH, Data mart and BI tools work stably through aligned business/ system/ and data processes. Ensure data is accessible to the required personnel to ensure the ease of understanding and access to the data needed to make informed business decisions. Experience with building reports and data visualizations, using data from the data warehouse or other sources and mapping are helpful (but not required) 3. Project Management: The role plays is highly collaborative and, as such, works closely with data analysts, data scientists, and other data consumers within the business. Establishes the documentation of reports, data infrastructure, privacy controls and develops, maintains technical specification documentation, and processes, and effectively manages data systems that have the relevant security. Work with team leads to resolve people problems and projects to ensure maximum productivity. Understand business and technical requirements and constraints to design effective software solutions. Strong stakeholder management and collaboration with them to understand user requirements Effective time management skills, including demonstrated ability to manage and prioritize multiple tasks and projects. Experience working in Agile teams to lead successful digital transformation projects, having mastered Agile principles, practices, and Scrum methodologies",Senior Data Engineer,Hồ Chí Minh,"Yêu Cầu Công Việc Bachelor’s degree (or higher) in Computer Science, Software Engineering or Information Technology, MIS, Economics, Finance, Statistics, Mathematics, or a related field (Financial Services, Banking, Insurance, Securities). At least 3 years experience (typically 5+ years) in Data Engineering and ETL and Analytics tools (R, Python, Pentaho, dbt…) and BI&A Visualization systems (Metabase, Power BI, OBIEE, SAS VA, IBM, Yellowfin, Tableau, Qlik …), and In-depth knowledge of BI technologies, methodologies, and their application like Metabase, PowerBI, Tableau, Looker etc Experience with building data pipelines from various business applications like Salesforce, Marketo, NetSuite, Workday, Odoo,… and databases (MsSQL, Oracle, IBM, SAP, MySQL, AWS Redshift). Experience designing and implementing large-scale distributed data pipelines and working with cloud infrastructure services like AWS/GCP/Azure (preferably AWS), (Big Query, Data Flow, Amazon EKS, EMR, Docker/ECS, and Redshift.) Experience with the LAN or VLAN, and digital organizing tools, like Active Directory Action Network, ActionKit, or Blue State Digital, is a plus (but not required). Experience with big data tools: Hadoop, Spark, Kafka, Spark & Kafka Streaming, Python, Scala, Talend, Azkaban, Luigi, Airflow etc Good at math and Advanced SQL knowledge and experience working with relational databases as well as working familiarity with a variety of databases is a big plus. Good report-writing skills Ability to communicate in English. Benefit: Full social insurance following Vietnamese Law 100% salary during probationary period Personal health and spouse insurance Annual leave, Annual heath-check Professional and Transparent working environment Buying company products at a reduced and with promotional offers",Lương: Cạnh tranh,07-01-2024
Công Ty Cổ Phần VNG,"Mô tả Công việc VNG Solutions is a subsidiary of VNG Corporation, a reputable Vietnamese provider of IT services and technology on a global scale. With its key markets in the Middle East, the US, and Europe, VNG Solutions's headquarters in Vietnam is dedicated to providing enterprise-level services and empowering customers and society to advance decisively into the digital future. VNG Solutions provides top-notch services while strictly adhering to international standards. We remain in the public eye as experts in \"the next big technologies”. VNG Solutions will provide you with a creative environment with an emphasis on B2B services, where you will have the opportunity to foster your abilities and learn about various technologies to advance your career. We are dedicated to the development and well-being of our staff members while creating a supportive work environment that allows them to reach their greatest potential. We are seeking a skilled and experienced Data Engineer to join our team. The ideal candidate will have a strong background in Azure Cloud services and Microsoft Dynamics 365. This role involves developing and maintaining scalable data pipelines, ensuring data quality, and collaborating with cross-functional teams to meet business needs. Responsibilities: Lead the design and implementation of end-to-end data solutions on the Microsoft Azure platform. Evaluate and recommend new technologies to enhance data processing capabilities. Ensure data security, privacy, and compliance with regulatory standards. Design, build, and maintain efficient, reusable, and reliable data pipelines. Should be an expert in coding and implementing data pipelines in cloud-based data infrastructure, analytical, and no-SQL databases. Leverage Azure Cloud services for data processing and storage. Integrate various data sources with Microsoft Dynamics 365. Should have experience with Data Ingestion/Data Movement, Data migration, ETL pipelines Ensure seamless flow of data between internal and external systems. Implement data quality checks and balances. Manage and optimize data storage in Azure. Mentor and guide junior data engineers in best practices and methodologies. Collaborate with stakeholders, other department to define data architecture and integration strategies. Provide technical support and training on data-related aspects. Prepare detailed documentation for data engineering processes and pipelines. Maintain records of data schemas and transformations. English proficiency in written and spoken *** Note: The position may require international travel for periods of 1 week to 3 months continuously, per year. Candidates will be required to accept this requirement as part of the positions.","Senior Azure Data Engineer, VNG Solutions",Hồ Chí Minh,"Yêu Cầu Công Việc Qualifications: Relevant experience in data factory and data bricks Bachelor degree (Advanced degree preferred) in Computer Science, Engineering, or a related field. 5 - 9 years of experience in data engineering, with a focus on Azure services. Key skills: MongoDB, ETL, Postgres, Databricks, Python, Hive, Pyspark, SQL Expertise in designing and optimizing data warehouses and data lakes on Azure. Proficient in big data technologies, such as Apache Spark and Hadoop. Familiarity with containerization and orchestration technologies (Docker, Kubernetes) Preferred to have experience with shell scripting in Bash, Unix, or Windows shell Demonstrated experience and expertise in conceptual thinking of how to apply information solutions to a business challenge Strong leadership and project management skills",Lương: Cạnh tranh,04-01-2024
DatvietVAC Group Holdings,"Mô tả Công việc II. MỤC TIÊU CÔNG VIỆC/ JOB OBJECTIVES: Data Science Department is looking for a Data Engineer Lead to: Lead DE Team to deliver Data Platform (DP) for VieON – OTT Platform Setup and maintain in-house data-warehouse, built on top of Apache Hadoop, Spark, Kafka Build scalable, durable, and extensible data models and pipeline Optimize ingestion and management of data from multiple sources Design, create, and maintain low-latency, near-real time data systems",Data Engineer Lead,Hồ Chí Minh,"Yêu Cầu Công Việc - Optimizing in-house big-data pipelines, architectures and data sets - Design, develop, automate data pipeline, data ETL, etc. on distributed data processing platform Spark - Prepare data inputs for machine learning processes: model training, testing and production deployment - End-to-end data processing, troubleshoot data-related problems and authorize maintenance or modifications. - Monitor and analyze information and data systems and evaluate their performance to discover ways of enhancing them (new technologies, upgrades etc.) - Ensure digital databases and archives are protected from security breaches and data losses. - Degree in Computer Science or other related fields - +4 years of experience as Lead Data Engineer - 2 - 4 years of using the programming languages including Go/Python, Java, Scala - Excellent understanding of data administration and management functions (collection, analysis, distribution etc.) - Familiarity with modern database and information system technologies. - Big data tools: Kafka, Hadoop, Hive, Spark, Elastic Search - Relational SQL and NoSQL databases: MySQL, MongoDB, Postgres, Cassandra - Data pipeline and workflow management tools: Airflow - Stream-processing systems: Spark-Streaming - Familiar with Linux development environments and multi-threaded programming - Have knowledge/Experience in crawl data is plus - Monitor server capacity and resource usage for server capacity planning is plus - Create customized alerts to more effectively track key server capacity metrics is plus - Good logical thinking; - Passionate about coding and programming, innovation, and solving challenging problems - An analytical mindset with problem-solving skills. - Excellent communication and collaboration skills. - Proficient in Microsoft Office - Good English communication skills - A team player, with brave, enthusiastic cheerful attitude",Lương: 50 Tr - 70 Tr VND,21-12-2023
Công ty Cổ phần Dịch vụ Di Động Trực tuyến (Ví MoMo),"Mô tả Công việc MoMo is the market leader in mobile payments in Vietnam. We strive to make life better for every Vietnamese with innovation in technology. As many parts of the business grow, we are looking for an experienced Data Engineer to join the team. At MoMo BigData AI department, we focus on Smart, Efficienct, Execellent execution and data quality which providing high quality marterial for: Business Performance, App Performance monitoring. ML products such as recommendation, personalization, risk scoring, fraud detection, promotion targeting and financial services. We are striving to build the new hydrid data platform on multiple cloud vendors helping us to better control the budget and technologies behind. What you will do With the AI-first company mission, design and build the self-serve data platform to serve people in MoMo and partner needs. They will be allocated resources based on their needs to: Ingesting multiple data sources, from batch to stream, from pull to push mechanism. Developing and deploying the resilient data pipeline in the data lake, data warehouse, and streaming data. Delivering the derived data downstream with high quality, such as BI solution (PowerBI, Google Data Studio,…), Marketing Platform, Promotion Platform, and Experiment Platform,… in multiple ways (API, Dataset, Streaming Data,…) Monitoring the data quality of data pipelines in the data platform. Monitoring and optimizing resource usage. Design and build the Data Management Systems enabling the Data Governance team and data consumers: Managing the data life cycle in the big data platform. Having MoMo data ecosystem self-exploration ability. Proving the single source of truths to multiple downstream with high quality. Managing the attribution infrastructure cost from various big projects, teams, and departments. Design and build the Data Loss Prevention (DLP) solution to protect our data and achieve data visibility in large organizations. Collaborate with Machine Learning Engineers, Data Scientists, Business Analysts, Data Analysts, Product Owners, and Product Operators to strive for greater functionality in our data systems.",Senior Data Engineer,Hồ Chí Minh,"Yêu Cầu Công Việc Love of data. You run “SELECT COUNT(SHEEP) FROM BACKYARD” during your sleep! Strong programming skills: You have 3+ years of experience as a data engineer or software engineer for data intensive applications. You have 3+ years of experience with a scripting language (Python / Java / Go / Scala) for data processing and analysis. Language: Java/Kotlin, Python, Scala, VueJs, BashScripts; Infrastructure: Google Cloud Platform, Amazon Web Service, Kubernetes, Docker; Data Warehouse: BigQuery, Oracle; Data Source: App Events, Oracle, MySQL, MSSQL, Kafka, Pubsub, REST API; Data Pipeline Orchestration: Airflow; BI: Datastudio, PowerBI; Problem-solving skills, Teamwork spirit; Experience with cloud platforms such as Google Cloud Platform or Amazon Web Service is a plus.",Lương: Cạnh tranh,31-12-2023
Công Ty CP Vàng Bạc Đá Quý Phú Nhuận - PNJ,"Mô tả Công việc 1. Xây dựng và vận hành kho dữ liệu: Làm việc với các team ERP, software, các đối tác và phòng ban chức năng để xác định luồng đi và ý nghĩa của dữ liệu Thiết kế các phương án thu thập dữ liệu, các tiêu chuẩn thu thập, đảm bảo việc thu thập và ghi nhận dữ liệu đúng và phù hợp cho việc khai thác/ứng dụng. Xây dựng, phát triển các nền tảng lưu trữ, xử lý, quản lý dữ liệu lớn (Big Data) trên hệ sinh thái Cloud Azure (MS Fabric) ,AWS,… Thiết kế, xây dựng, tối ưu hóa luồng dữ liệu, giải pháp ETL có khả năng mở rộng linh hoạt với độ tin cậy cao, phục vụ cho việc khai thác/ingest các loại dữ liệu vào Data lake, Data Warehouse. Làm việc với các team phân tích để thiết kế những bộ dữ liệu phù hợp cho hệ thống báo cáo/ dashboard. Cập nhật những thay đổi trong các bộ dữ liệu theo quá trình chuyển đổi của business và các nhu cầu khai thác Xây dựng các tài liệu liên quan đến kiến trúc và định nghĩa dữ liệu 2. Cải tiến, nâng cấp hiệu suất của kho dữ liệu: Xây dựng những kiến trúc dữ liệu phù hợp với nhu cầu từ các đội phân tích, khoa học dữ liệu, học máy và người dùng Làm việc với các team kỹ thuật công nghệ để tối ưu hóa chi phí hạ tầng, môi trường kho dữ liệu, tư vấn và xây dựng những giải pháp để dữ liệu có thể được lưu trữ nhiều hơn, đa dạng hơn, truy vấn nhanh hơn với chi phí tối ưu nhất. Kiểm soát chi phí và khả năng đáp ứng của kho dữ liệu, liên tục theo dõi, cảnh báo và xử lí nhanh nhất có thể khi có sự cố phát sinh để đảm bảo hệ thống báo cáo và các sản phẩm dữ liệu khác hoạt động trơn tru hiệu quả. 3. Minh bạch và an toàn dữ liệu: Quy hoạch & xây dựng cơ chế an toàn dữ liệu của Data Warehouse. Đảm bảo các kết nối được ổn định ,an toàn. Data được khai thác & sử dụng đúng đối tượng & phạm vi công việc. Theo dõi và cảnh báo nếu có bất kì vấn đề gì khiến dữ liệu có thể bị sai lệch, lấy cắp, dùng sai mục đích.",Senior Data Engineer,Hồ Chí Minh,"Yêu Cầu Công Việc Tốt nghiệp Đại học trở lên chuyên ngành: Công nghệ thông tin/ Kinh tế hoặc ngành khác liên quan Các học vấn khác cần cho ngành nghề: Phân tích kĩ thuật, phân tích chiến lược kinh doanh, cơ sở dữ liệu, phân tích thống kê toán. Tối thiểu 5 năm kinh nghiệm làm việc trong lĩnh vực Data Engineer Kỹ năng công việc: - Sử dụng thành thạo các ngôn ngữ phân tích dữ liệu SQL, NoSQL, Python,... - Sử dụng thành thạo các ETL Tools : SSIS, Talend,Airflow,… - Có kinh nghiệm làm việc môi trường cloud: Azure Synapse, AAS, Databrick, Azure Data Lake, Azure Data Factory - Có kinh nghiệm BI Tools (Power BI, SAP BI, Oracle BI) - Có kinh nghiệm làm việc với một trong các hệ sinh thái Hadoop, Spark, Nifi, Airflow, Kafka, Pentaho, Hive, Impala - Có kiến thức về Phân tích kĩ thuật, hạ tầng công nghệ thông tin, phần mềm ứng dụng, quản lý dự án. Yêu cầu khác : - Trung thực,ham học hỏi, chăm chỉ, không ngại khó, dám dấn thân, cầu tiến,.. - Tư duy logic; - Khả năng phân tích; - Khả năng giải quyết vấn đề Kỹ năng mềm: Có kỹ năng giao tiếp tốt ,làm việc nhóm Thông tin liên hệ: Email: Ms.Hoài Anh - anh.nth13@pnj.com.vn",Lương: Cạnh tranh,07-01-2024
