companyName,description,jobName,location,require,salary,timePost
Công ty Tài Chính Cổ Phần Tín Việt,"Mô tả Công việc 1. Thực hiện các công việc được giao liên quan đến: Cài đặt, cấu hình, theo dõi, xử lý sự cố và hỗ trợ các hạ tầng liên quan đến các ứng dụng lớp giữa và hệ quản trị cơ sở dữ liệu. 2. Chịu trách nhiệm chính cho việc quản trị cơ sở dữ liệu bao gồm: Oracle, Microsoft SQL, MySQL, … 3. Chịu trách nhiệm chính cho việc quản trị phần mềm lớp giữa bao gồm: Websphere, WebLogic, JBoss, Tomcat, IIS, … 4. Đảm bảo vận hành theo đúng quy trình và cập nhật thường xuyên các quy trình vận hành hệ thống liên quan. 5. Thực hiện các công việc khác do cấp trên giao phó.",Database Administrator,Hồ Chí Minh,"Yêu Cầu Công Việc 1. Tốt nghiệp Đại học trở lên chuyên ngành CNTT hoặc bằng cấp tương đương. 2. Kinh nghiệm làm việc: tối thiểu làm 02 năm về Database Oracle, Microsoft SQL, MySQL . 3. Có kinh nghiệm cài đặt và quản trị Hadoop là một lợi thế. 4. Có kinh nghiệm làm việc với Database NoSQL như HBase, Casandra, hoặc MognoDB là một lợi thế. 5. Có kinh nghiệm làm việc tích hợp data với nhiều loại data sources. 6. Có kinh nghiệm làm việc quản trị các phần mềm hệ thống Middleware như WebLogic, JBOSS, Tomcat, IIS. 7. Am hiểu mô hình hoạt động của các hệ thống web. 8. Có Các bằng cấp/ chứng chỉ như: OCA và OCP là một lợi thế. 9. Có khả năng phối hợp nhóm tốt 10. Chịu được áp lực công việc, chấp nhận trực, theo dõi hệ thống và xử lý sự cố bất cứ khi nào. 11. Có kỹ năng nghiên cứu, phân tích, xử lý vấn đề 12. Có tính tuân thủ cao, nghiêm túc thực hiện đúng theo quy trình quản trị",Lương: Cạnh tranh,29-12-2023
CÔNG TY TNHH DỊCH VỤ THỰC PHẨM VÀ GIẢI KHÁT VIỆT NAM VFBS,"Mô tả Công việc Obtain and integrate data and information from various sources into the centralized platforms, solutions, and statistical models. Write scripts and ingest raw data to build and maintain optimized data pipelines and ETL solutions as business support tools in providing analysis. Ensure data assets are organized and stored in an efficient way so that information is easy to access and retrieve Identify and resolve performance and capacity issues Review Existing Queries, Store-Procedures to improve performance Establish and maintain backup and recovery processes Manage user rights and permissions",IT Database Administrator (Mới),Hồ Chí Minh,"Yêu Cầu Công Việc Minimum bachelor’s degree in Computer science, Software Engineering, Business Information System, or Information Technology At least 2 years of working as a data engineer/administrator Experience with database technologies (e.g. SQL Server, Oracle, mySQL), business intelligence (preferably PowerBI) and programming languages Expertise in database server specification, performance tuning, analysis and optimization Experience in designing and building dimensional data models, ETL processes, applied data warehouse concepts and methodologies, optimized data pipelines and assisted the architect as needed Understanding of Information Security principles to ensure compliant handling and management of all data Ability to work with database developers, engineers, and different operations and applications engineering teams to help them to identify, analyze, and resolve database performance issues Deep knowledge of SQL database design Familiarity with big data analysis Excellent critical thinking, organizational and communication skills.",Lương: Cạnh tranh,12-01-2024
Indo Trans Logistics,"Mô tả Công việc Duties and responsibilities include, but are not limited to: Be responsible for planning and system administration procedures - Plan the system capacity to ensure for the long-term development on business strategic objectives. - Assess risks and identify vulnerabilities of systems to analyze business impacts. - Building the recovery plan to mitigate or prevent the disaster in order to ensure the business operations continuously. - Managing the configurations, incidents and changes constantly to support for ICT governance. - Building up the policies and procedures to create ICT resources for newcomers or disable all resources of terminated/resigned staffs to ensure the highest security of information systems Be responsible for operational administration: - Main administration of server hardware, server operating systems, applications, services, configurations and databases on both Windows and Unix/Linux environment of entire enterprise systems (email, active directory, applications, database, website and others) - Managing user accounts, permissions and access rights as well as allocating ICT resources within approved policies and standards. - Monitor and test application performance for potential bottlenecks, identify possible solutions, and work with developers to implement those fixes. - Ensure the Confidentiality, Integrity and Availability of entire Corporation data on user’s computers, storages, databases as well as transferring data on network. - Optimizing and tuning the application and database system to ensure the performance as robustness as possible - Ensuring Corporation’s data to be monitored and audited strictly as well as implementing backup/restore procedure periodically. - Cooperating with Vendors and internal teams to ensure the system implementation on time, on project and on budget.",ICT System & Database Administrator,Hồ Chí Minh,"Yêu Cầu Công Việc Experienced in System and Database administrator at least 2 years. Strong knowledge and experience in administrating Enterprise applications on Windows Server/Unix/Linux. Strong knowledge and experience of MS SQL, MySQL or similar database management systems. Knowledge of web servers, web applications on both Windows and Linux environment such as IIS, Apache, Nginx, or others. Experience with virtualization and containerization (e.g., VMware, Hyper-V, Docker). Must be able to obtain and maintain a government security clearance. System and service monitoring solutions (Zabbix, Prometheus, Grafana, Opsgenie). Understanding scripting skills. Nice to have: - Network skills. Good knowledge and experience in Networking and Security - Nginx, HAProxy, - Kafka - Kubernetes - AWS",Lương: Cạnh tranh,16-12-2023
Công Ty Cổ Phần Vacxin Việt Nam,"Mô tả Công việc Quản lý và duy trì hệ thống cơ sở dữ liệu Database để đảm bảo hiệu suất, sẵn sàng và an ninh cao. Cài đặt, cấu hình và nâng cấp hệ thống cơ sở dữ liệu Database. Tuning Database để đảm bảo các cơ sở dữ liệu hoạt động xuyên suốt 24/7 để phục vụ cho các nghiệp vụ bệnh viện. Thực hiện các tác vụ sao lưu và khôi phục dữ liệu định kỳ để đảm bảo tính toàn vẹn và khả năng phục hồi. Giám sát và đánh giá mức độ ổn định/rủi ro của Database theo định kỳ hoặc sự cố (nếu có). và tối ưu hóa hiệu suất hệ thống cơ sở dữ liệu để đáp ứng yêu cầu kinh doanh Xây dựng và thực hiện các biện pháp bảo mật để bảo vệ dữ liệu và đảm bảo tuân thủ các quy định liên quan. Giải quyết các vấn đề liên quan đến cơ sở dữ liệu, bao gồm: xác định và khắc phục sự cố, tham mưu/đề xuất xây dựng qui trình, tài liệu, qui định về cách xử lý sư cố hệ thống database; đánh giá sự cố cơ sở dữ liệu và một số vấn đề cần giải quyết (problem) và báo cáo lãnh đạo. Hỗ trợ các nhóm phát triển và người dùng cuối trong việc thiết kế, triển khai và tối ưu hóa cơ sở dữ liệu.",Database Administrator (DBA),Hồ Chí Minh,"Yêu Cầu Công Việc Có thái độ cẩn thận trong công việc, sẵn sàng học hỏi thêm tài liệu, tìm hiểu sâu bản chất vấn đề công nghệ liên quan đến công việc để đảm bảo giải pháp đưa ra tối ưu và ít rủi ro. Bằng cử nhân hoặc cao hơn trong lĩnh vực Công nghệ thông tin, Hệ thống thông tin hoặc chuyên ngành tương đương. Kinh nghiệm làm việc ít nhất 2 năm trong vai trò DBA với nền tảng Microsoft SQL Biết cấu hình và vận hành Microsoft Data Protection Manager, Enterprise Manager, Backup and Restore Có kinh nghiệm tuning SQL và OS, hiểu rõ bản chất mô hình hoạt động của SQL và cách database tương tác với OS. Chứng chỉ quốc tế về quản trị cở sở dữ liệu hoặc các chứng chỉ quốc về quản trị CSDL Mssql, Mysql, DB2 có giá trị tương đương là lợi thế Có kinh nghiệm về quản trị hệ cơ sở dữ liệu: Oracle, Mysql, Mssql Có khả năng thực hiện các tác vụ quản trị hệ thống, bao gồm cài đặt, cấu hình và giám sát. Sử dụng thành thạo các công cụ và ngôn ngữ liên quan đến SQL như PL/SQL, RMAN, Enterprise Manager. Hiểu biết về các biện pháp bảo mật cơ sở dữ liệu và có khả năng triển khai các biện pháp bảo mật liên quan. Kỹ năng phân tích và giải quyết vấn đề tốt, với khả năng làm việc độc lập và trong nhóm. Có kinh nghiệm triển khai xây dựng các dự án liên quan đến cơ sở dữ liệu.",Lương: Cạnh tranh,11-01-2024
Công Ty Cổ Phần VNG,"Mô tả Công việc VNG Solutions is a subsidiary of VNG Corporation, a reputable Vietnamese provider of IT services and technology on a global scale. With its key markets in the Middle East, the US, and Europe, VNG Solutions's headquarters in Vietnam is dedicated to providing enterprise-level services and empowering customers and society to advance decisively into the digital future. VNG Solutions provides top-notch services while strictly adhering to international standards. We remain in the public eye as experts in \"the next big technologies”. VNG Solutions will provide you with a creative environment with an emphasis on B2B services, where you will have the opportunity to foster your abilities and learn about various technologies to advance your career. We are dedicated to the development and well-being of our staff members while creating a supportive work environment that allows them to reach their greatest potential. We are seeking a talented and experienced Middle/Senior Database Administrator with expertise in Microsoft SQL Server to join our dedicated team. The ability to communicate effectively in English or Arabic is essential as you will be interfacing with customers. If you are passionate about managing and optimizing MSSQL databases and ensuring their reliability, we want to hear from you. • Manage and maintain Microsoft SQL Server databases, ensuring high availability, security, and optimal performance. • Design, implement, and oversee database architecture, including data modeling, indexing, and query optimization. • Perform database installations, configurations, and upgrades, staying up-to-date with the latest MSSQL versions. • Monitor database performance and troubleshoot issues proactively to minimize downtime. • Implement backup and recovery strategies to safeguard data integrity. • Collaborate with development and IT teams to support application integration with the database. • Perform regular database maintenance tasks, such as patching, tuning, and capacity planning. • Ensure compliance with data security and privacy regulations and implement access controls. • Work on disaster recovery planning and testing to mitigate data loss and system downtime. • Stay current with MSSQL best practices and industry trends, making recommendations for improvements.","Senior Database Administrator (Microsoft SQL Server), VNG Solutions",Hồ Chí Minh,"Yêu Cầu Công Việc • Bachelor's degree in Computer Science, Information Technology, or a related field. Advanced degrees or relevant certifications (e.g., Microsoft Certified: Azure Database Administrator Associate) are a plus. • Proven experience as a Database Administrator with a focus on Microsoft SQL Server. • In-depth knowledge of MSSQL database management, performance optimization, and troubleshooting. • Proficiency in scripting and automation for database tasks (e.g., T-SQL, PowerShell). • Strong understanding of database security, backup and recovery, and disaster recovery strategies. • Experience with SQL Server Reporting Services (SSRS) and Integration Services (SSIS) is a plus. • Good communication skills in English or Arabic, both written and spoken. • Ability to work effectively both independently and as part of a team. • Strong attention to detail and organizational abilities.",Lương: Cạnh tranh,08-01-2024
Tổng Công ty Cổ phần Công trình Viettel,"Mô tả Công việc - Cài đặt, xây dựng hệ thống CSDL cho toàn bộ ứng dụng của Tổng Công ty - Quản trị toàn bộ hệ thống CSDL của các ứng dụng/phần mềm: Oracle, MySQL/MariaDB, PostgreSQL,… - Tối ưu hệ thống, truy vấn CSDL (câu lệnh query SQL) - Đảm bảo công tác sao lưu định kỳ, khôi phục dữ liệu - Giám sát các điểm bất thường của hệ thống CSDL - Xử lý các vấn đề trên hệ thống CSDL - Hỗ trợ thực hiện các yêu cầu tác động lên các hệ thống CSDL - Xây dựng hướng dẫn xử lý sự cố, bảo dưỡng, ứng cứu thông tin, chuẩn hóa quy trình, quy định vận hành khai thác; đào tạo cho các đơn vị về hệ thống, nghiệp vụ - Nghiên cứu các giải pháp, tính năng mới, triển khai các dự án mới liên quan tới CSDL.",Kỹ sư Quản trị Cơ sở dữ liệu - Database Administrator (DBA),Hà Nội,"Yêu Cầu Công Việc Trình độ Học vấn/ Chuyên môn có Liên quan Tốt nghiệp đại học trở lên chuyên ngành CNTT/ Toán tin/ Điện tử viễn thông/ Khoa học máy tính Kiến thức: Kiến thức cơ bản về hệ điều hành Linux/Windows Kiến thức cơ bản về Storage: SAN/NAS Kiến thức nền tảng về các CSDL: Oracle, MySQL/MariaDB, PostgreSQL Kiến thức về tối ưu câu lệnh SQL Kiến thức tốt về CSDL Oracle Kinh nghiệm Liên quan Ít nhất 1 năm kinh nghiệm tại vị trí Quản trị Cơ sở dữ liệu Kinh nghiệm trong lĩnh vực CNTT: vận hành khai thác các dịch vụ, tích hợp, thiết kế/triển khai hệ thống… Ưu tiên: Có chứng chỉ quốc tế lĩnh vực CSDL (OCA/ OCP…) QUYỀN LỢI - Mức lương: 20.000.000 – 30.000.000tr/tháng - Có phụ cấp ăn trưa, điện thoại: 930.000/tháng - Gói Thưởng các ngày lễ tết: 48.000 Tr/năm - Thưởng Tháng lương T13 - Nghỉ phép 15 ngày/năm - Thưởng các dịp Lễ, thưởng quý, năm theo hiệu quả công việc. - Được tham gia BHXH, BHTN, BHYT đầy đủ theo quy định của Công ty và quy định của Pháp luật. - Có cơ hội được thăng tiến theo chính sách của Công ty.Có cơ hội được tham gia các hoạt động văn hóa doanh nghiệp của Công ty,....",Lương: 20 Tr - 40 Tr VND,14-01-2024
Tổng công ty Cổ phần Bảo hiểm Bưu điện,"Mô tả Công việc 1. Team Post and Telecommunication Insurance Corporation (PTI) is currently the largest non-life insurer with largest sales and service network in Vietnam. PTI is developing a Data team with an ambitious mission of implementing a brand-new Data Strategy to better serve our customers, manage risk and find new business opportunities. 2. Role Description We are looking for a Data Analyst to join PTI and to be part of our journey in developing Data Analytics/AI solutions for PTI as a part of VNDirect’s ecosystem. 3. Responsibilities - Work with various stakeholders to define and monitor KPIs across the company - Explore/Analyze vast data from PTI to understand and normalize company’s data - Build dashboards and ad hoc reports to analyze and present data associated with business and product performance, business operations, risk management and strategic decision making - Support development of predictive models to support strategic and operational initiatives",Data Analyst,Hà Nội,"Yêu Cầu Công Việc - Bachelor‘s degree in Data Science, Statistics, Computer Science or Finance/Economics with Data Analytics skillset - 1+ years working experience as a data analyst - Demonstrable experience working with PowerBI or similar data analytics and data visualization tools - Have a strong foundation on SQL and Python - Capable of working in an interdisciplinary/cross-functional environment - Strong foundation on statistics & probability",Lương: Cạnh tranh,25-12-2023
"NGÂN HÀNG MIZUHO BANK, LTD.- CHI NHÁNH THÀNH PHỐ HÀ NỘI","Mô tả Công việc Main tasks: • To provide adequate system administration, operation and maintenance activities for Branch’s IT systems & ensure the system availability and safety. • To be a database administrator • To provide technical support to internal or external end-users. Our Offer: • Professional working environment • Competitive salary • 13th month salary • Performance bonus • Health care insurance & accident insurance • 16 days annual leave",Senior Clerk - IT Admin - IT Department,Hà Nội,"Yêu Cầu Công Việc Requirements: • University degree in computer sciences or above; • Responsible, accurate and able to work under high pressure and to strict deadlines; • Good skills of teamwork, communication, reporting & interpersonal; • Fluent in Vietnamese and English (both oral & written) • Good understanding in network/system administration. The title can be adjusted according to the experience and ability of the selected candidate. • Certifications: o MCSA/MCDBA (Mandatory); o CCNA, CCNP, etc (Advantage)",Lương: Cạnh tranh,23-12-2023
CÔNG TY TNHH GIMASYS,"Mô tả Công việc - Tham gia dự án triển khai giải pháp phân tích dữ liệu trên Google Cloud cho khách hàng bao gồm các công việc: Khảo sát yêu cầu, phân tích đánh giá yêu cầu, thiết kế giải pháp, phát triển, triển khai và kiểm thử - Thu thập, tích hợp, xử lý dữ liệu - Trích xuất, xử lý, load dữ liệu từ nhiều nguồn khác nhau lên Google Cloud BigQuery - Phát triển và vận hành các Data pipeline phát triển trên BigQuery hoặc các dịch vụ Google Cloud Data Analytics khác để đảm bảo tính nhất quán giữa các luồng dữ liệu - Phân tích dữ liệu - Khai phá dữ liệu xác định xu hướng, thất thường của dữ liệu - Phát triển và thực thi các truy vấn liên quan (xử lý dữ liệu hàng ngày, biến đổi dữ liệu theo nhu cầu phân tích, thống kê và kiểm thử) - Khảo sát yêu cầu, phân tích, thiết kế mô hình dữ liệu phân tích với LookML, phát triển các tính năng liên quan đến Block, báo cáo nhúng,... - Khảo sát yêu cầu, phân tích, thiết kế phát triển các báo cáo, ứng dụng phân tích dữ liệu dựa trên các công cụ như Looker Studio, Looker, …",Data Analyst,Hà Nội,"Yêu Cầu Công Việc - Tốt nghiệp hệ chính quy một trong các chuyên ngành: CNTT, Toán Tin, Điện tử viễn thông, kinh tế hoặc chuyên ngành khác liên quan. - Tối thiểu 1 năm kinh nghiệm làm về Data Analyst - Sử dụng thành thạo SQL, có thể sử dụng ngôn ngữ Python trong phân tích dữ liệu - Có kinh nghiệm với các nền tảng Cloud data warehouse như Snowflake, BigQuery hoặc các dịch vụ, giải pháp tương đương - Có kinh nghiệm phân tích và xử lý dữ liệu, các cấu trúc dữ liệu đa dạng và các phương pháp thu thập, biến đổi dữ liệu từ nhiều nguồn khác nhau - Có khả năng sử dụng thành thạo các công cụ spreadsheet (Excel, Google sheet,...) - Có kinh nghiệm làm việc với các dịch vụ Phân tích dữ liệu trên Google cloud, đặc biệt là các giải pháp như Looker, BigQuery hoặc các dịch vụ, giải pháp tương đương - Có kỹ năng giao tiếp tốt, có khả năng khảo sát, thu thập, phân tích yêu cầu từ người dùng - Có kiến thức cơ bản về các giải pháp thiết kế và phát triển mô hình dữ liệu - Ưu tiên ứng viên + Kiến thức, kinh nghiệm về các concepts & framework về và Machine Learning + Ứng viên có chứng chỉ Google Cloud Professional Data Engineer hoặc các chứng chỉ về Data Analyst liên quan",Lương: Cạnh tranh,10-01-2024
TRAN DUC GROUP - CÔNG TY CỔ PHẦN TRẦN ĐỨC,"Mô tả Công việc Data management Assess the effectiveness and accuracy of data tables in our distributed system. Provide quality assurance on the quality and accuracy of data tables. Help develop reports and analysis. Supporting Business Analysts by preparing complex/customized data tables. Work with other members (Data Engineer, Business Analyst) to implement, integrate and optimize our existing systems.",DATA ANALYST,Hồ Chí Minh,"Yêu Cầu Công Việc 1. Education Have Bachelor degree in Information Systems, Information Management or Information Technology. 2. Work experience At least 1 years of work experience in data processing, data analysis, or related fields. 3. Knowledge/ Professional skills/ Abilities Database tools: Microsoft Excel and SQL Statistical programming languages: Python or R Data visualization; Data cleaning Statistical programming Probability and Statistics Machine Learning Proficient in database design and organization Skills in using data analysis tools and basic coding to process (predictive models ) Strong analytical skills, ability to collect, organize, analyze, and communicate large amounts of information in a detailed and accurate manner Good English",Lương: Cạnh tranh,19-12-2023
