companyName,description,jobName,location,require,salary,timePost
Aevice Health,"",Project Engineer,Singapore,"","SGD3,5N-SGD4,5N",17-12-2023
Marymount Labs,"",Product Engineer,Singapore,"","SGD800-SGD1,2N",27-12-2023
Deltafrontier Pte Ltd,"",Project Engineer,Singapore,"","SGD3,5N-SGD5N",11-01-2024
I.O.T. Workz,"",IoT Engineer,Singapore,"","SGD800-SGD1,2N",30-12-2023
Monstyr Pte. Ltd.,"",Software Engineer,Singapore,"",Rp5Tr,14-12-2023
Youyi Technology Pte Ltd,"",Project Engineer,Singapore,"","SGD3N-SGD3,5N",22-12-2023
The Swim Starter,"",Senior Software Engineer,Singapore,"",SGD6N-SGD7N,11-01-2024
Thinkreh,"",Automation Engineer Xceptor,Singapore,"",SGD3N-SGD6N,11-01-2024
Job Express Services Pte Ltd,"",Project Engineer (ID8074),Singapore,"","SGD2,3N-SGD2,7N",11-01-2024
Watchdata Technologies Pte Ltd,"",Testing Engineer (Telecom),Singapore,"","SGD2,5N-SGD3,2N",11-01-2024
Youyi Technology Pte Ltd,"",Technical Support Engineer,"Changi, Singapore","",Competitive,22-12-2023
ANOTECH Singapore,"",Service Support Engineer - Networking,Singapore,"","SGD2,5N-SGD3,3N",11-01-2024
Rakuten Asia,"",Software Engineer (Fresh Graduates 2024),Singapore,"",Competitive,11-01-2024
Transcelestial Technologies,"",Senior Manufacturing Software Engineer,Singapore,"",Competitive,11-01-2024
eVantage Technology Pte Ltd,"",Network and System Engineer,Singapore,"","SGD3N-SGD4,5N",11-01-2024
Vibefam,"",Fullstack Software Engineer Intern [Summer 2024],Singapore,"","SGD1,5N-SGD2N",12-01-2024
ANOTECH Singapore,"",Senior Software Engineer - Go/Angular,Singapore,"","SGD4N-SGD6,5N",11-01-2024
USER,"",ICT Infrastructure Engineer - Unix Platform,Singapore,"",Competitive,11-01-2024
Noak,"",Software QA Engineer (Includes Equity),Singapore,"",Competitive,29-12-2023
Vflowtech,"",Embedded Engineer (Battery & Energy Management System),Singapore,"",SGD5N-SGD9N,11-01-2024
Youyi Technology Pte Ltd,"",IT Engineer (Server / Microsoft Exchange),Singapore,"","SGD3,5N-SGD4,5N",22-12-2023
ANOTECH Singapore,"",System Engineer (IT Infra and Network),Singapore,"","SGD4,5N-SGD7N",11-01-2024
Atomionics,"",Electronics Engineering Intern (Jan 2024 or later),Singapore,"","SGD1,4N",11-01-2024
USER,"",ICT Infrastructure Engineer - Windows and Virtualisation Platfor,Singapore,"",Competitive,11-01-2024
Aha AI,"",Generative AI Engineer (🇺🇸 Full-Remote),Singapore,"",Competitive,11-01-2024
Aha AI,"",Senior Back-End Engineer (Full-Remote),Singapore,"","NT$3,5Tr-NT$4,5Tr",11-01-2024
National Institute Of Education,"",ICT Support Engineer (Service Management Department) [NIE],Singapore,"",Competitive,08-01-2024
National Institute Of Education,"",ICT Support Engineer (Service Management Department) [NIE],Singapore,"",Competitive,08-01-2024
Atomionics,"",Firmware Engineering Intern (Jan 2024 or later),Singapore,"","SGD1,4N",11-01-2024
Atomionics,"",Software Engineering (Python) Intern (Jan 2024 or later),Singapore,"","SGD1,5N",02-01-2024
Trueworld Studios,"",VFX Artist,Singapore,"",Competitive,04-01-2024
Atomionics,"",Hardware Controls Engineering Intern (Jan 2024 or later),Singapore,"","SGD1,7N",11-01-2024
Trueworld Studios,"",The Gameplay Programmer,Singapore,"",Competitive,12-01-2024
Atomionics,"",Mechanical Design Engineering Intern (Jan 2024 or later),Singapore,"","SGD1,1N",04-01-2024
ANOTECH Singapore,"",Frontend Developer - React/Angular,Singapore,"","SGD4,5N-SGD6N",11-01-2024
Atomionics,"",Experimental Physics Intern (Jan 2024 or later),Singapore,"","SGD1,4N",11-01-2024
Trueworld Studios,"",Sound Designer for Game Dev,Singapore,"",Competitive,29-12-2023
NETS Solutions Pte. Ltd.,"",Software Developer Intern,Singapore,"","SGD800-SGD1,2N",27-12-2023
ANOTECH Singapore,"",Unity Developer - VR,Singapore,"",Competitive,11-01-2024
Atomionics,"",Operations Intern (Jan 2024 or later),Singapore,"","SGD1,4N",11-01-2024
Trueworld Studios,"",The 3D Animator,Singapore,"",Competitive,04-01-2024
Trueworld Studios,"",That 3D Artist,Singapore,"",Competitive,04-01-2024
El Pando Pte Ltd,"",Frontend Web Developer,Singapore,"","SGD2,4N-SGD3,5N",11-01-2024
Environmental Solutions (Asia) Pte Ltd,"",Engineering Assistant,Singapore,"","SGD800-SGD1,2N",11-01-2024
NETS Solutions Pte. Ltd.,"",Test Automation Intern (Digital Transformation Office),Singapore,"",Competitive,11-01-2024
Trueworld Studios,"",A Concept Artist,Singapore,"",Competitive,04-01-2024
Trueworld Studios,"",Executive Assistant,Singapore,"",Competitive,10-01-2024
Job Express Services Pte Ltd,"",Welder (ID4409),Singapore,"","SGD2,3N-SGD2,8N",11-01-2024
Rakuten Asia,"",Product Management Intern,Singapore,"",Competitive,11-01-2024
National Institute Of Education,"",Analyst Programmer / Systems Analyst (DSD) [NIE],Singapore,"",Competitive,20-12-2023
Atomionics,"",Software Controls Engineering Intern (Jan 2024 or later),Singapore,"","SGD1,7N",11-01-2024
SATS Ltd,"",Robotic Process Automation (RPA) & Power Platform Intern - 6 mth,Singapore,"","SGD1,2N-SGD1,2N",18-12-2023
Expressions,"",Social Media Marketing Intern,Singapore,"",SGD900-SGD1N,11-01-2024
National Institute Of Education,"",Analyst Programmer / Systems Analyst (DSD) [NIE],Singapore,"",Competitive,04-01-2024
Assembly Works HR Pte Ltd,"",Civil / Architecture Engineering Intern,Singapore,"",SGD1N,11-01-2024
ConcreteAI,"",IOT Intern (Q3 Q4 Sem 1),Singapore,"",Competitive,10-01-2024
NETS Solutions Pte. Ltd.,"",Software Developer Intern (Digital Transformation Office),Singapore,"",Competitive,11-01-2024
Aztech Technologies Pte Ltd,"",R&D Mechanical Engineering Internship,Singapore,"",Competitive,11-01-2024
Aztech Technologies Pte Ltd,"",Network Internship,Singapore,"",Competitive,11-01-2024
ConcreteAI,"",Civil Project Intern,Singapore,"",Competitive,10-01-2024
NETS Solutions Pte. Ltd.,"",Software Developer Intern (Digital Transformation Office),Singapore,"",Competitive,11-01-2024
Mediashock Productions Pte Ltd,"",Assistant Producer Intern,Singapore,"",Competitive,04-01-2024
Aha AI,"",Human Capital Specialist,Singapore,"",Competitive,11-01-2024
Impossible Marketing Pte Ltd,"",Digital Marketing Support,Singapore,"",SGD2N-SGD3N,12-01-2024
PT DayaTani Digital Indonesia,"",Senior Data Scientist,Singapore,"",SGD1-SGD100,11-01-2024
Rsm Singapore,"",Intern Software Developer,Singapore,"","SGD800-SGD1,5N",10-01-2024
