companyName,description,jobName,location,require,salary,timePost
BayOne,"What you should have: You have 7+ years of professional experience writing client-side JavaScript along with investigating and improving its performance You have 3+ years' experience with React. You can lead technical architecture discussions and help drive technical decisions within your team You have expertise in building complex layouts with CSS and HTML You have experience building and debugging complex systems in a multi-team environment You have experience with modern browser technologies and knowledge of a templating system You have strong UX and design sensibilities, and a desire to sweat the small stuff You are a strong communicator. Explaining complex technical concepts to designers, support, and other engineers is no problem for you You have a bachelor's degree in Computer Science, Engineering or a related field, or equivalent training, fellowship, or work experience",Senior Frontend Developer,"San Jose, CA","What you should have: You have 7+ years of professional experience writing client-side JavaScript along with investigating and improving its performance You have 3+ years' experience with React. You can lead technical architecture discussions and help drive technical decisions within your team You have expertise in building complex layouts with CSS and HTML You have experience building and debugging complex systems in a multi-team environment You have experience with modern browser technologies and knowledge of a templating system You have strong UX and design sensibilities, and a desire to sweat the small stuff You are a strong communicator. Explaining complex technical concepts to designers, support, and other engineers is no problem for you You have a bachelor's degree in Computer Science, Engineering or a related field, or equivalent training, fellowship, or work experience",Competitive,2024-01-14
minware,"About minware minware provides engineering business metrics that show the true cost of engineering impediments. This helps organizations make better decisions with stronger alignment between engineers and executives. Kevin Borders founded minware after bootstrapping his previous company to $86m in revenue and selling in 2021, with the idea of helping others benefit from lessons learned growing an engineering team from 0 to 40. minware is a self-funded seed-stage company. After promising initial customer traction, we are looking for people who share our values to help bring minware to a larger audience. The Role As an early engineer, you will have the unique opportunity to work directly with minware's founders to build the product from the ground up. We are looking for someone who enjoys designing, developing, and maintaining front-end software. We are seeking an ambitious and nice junior engineer who has experience independently executing complex projects and building scalable, maintainable software. As a purveyor of developer productivity analytics, we are diligent about process efficiency and code quality. Though we are small, we try to avoid unnecessarily creating technical debt and are looking for someone who can lead us toward this goal. Primary Responsibilities Develop UX/UX components for customer facing applications to enhance scalability, performance, and user experience Work closely with product managers and customers to define minware's capabilities Perform code reviews, unit testing, and continuous integration to maintain code quality standards Manage a backlog of tech debt reduction and internal efficiency improvements Qualifications Familiarity with principles of high-quality code, including continuous integration, declarative and functional programming Strong communication skills for interfacing with non-technical stakeholders and occasionally with customers Well-versed in agile or lean planning and project management processes Proficiency in Figma, HTML, and CSS Experience with the core stack (Next.js, Apollo GraphQL, React) or similar technologies is preferred Benefits and Perks Competitive base salary, bonus, and seed-stage equity compensation 100% remote work, flexible hours, and unlimited vacation policy. (Read here about how we built trust in our previous all-remote company.) Full health care premium coverage for you and your family Unique career development guidance reporting directly to the founder/CEO We offer competitive compensation packages along with stock options based on industry benchmarks for function, and level. Offer amounts are determined by multiple factors such as a candidate's experience and expertise. Base Compensation: $80,000—$120,000 USD",Junior Front End Engineer,Remote,"About minware minware provides engineering business metrics that show the true cost of engineering impediments. This helps organizations make better decisions with stronger alignment between engineers and executives. Kevin Borders founded minware after bootstrapping his previous company to $86m in revenue and selling in 2021, with the idea of helping others benefit from lessons learned growing an engineering team from 0 to 40. minware is a self-funded seed-stage company. After promising initial customer traction, we are looking for people who share our values to help bring minware to a larger audience. The Role As an early engineer, you will have the unique opportunity to work directly with minware's founders to build the product from the ground up. We are looking for someone who enjoys designing, developing, and maintaining front-end software. We are seeking an ambitious and nice junior engineer who has experience independently executing complex projects and building scalable, maintainable software. As a purveyor of developer productivity analytics, we are diligent about process efficiency and code quality. Though we are small, we try to avoid unnecessarily creating technical debt and are looking for someone who can lead us toward this goal. Primary Responsibilities Develop UX/UX components for customer facing applications to enhance scalability, performance, and user experience Work closely with product managers and customers to define minware's capabilities Perform code reviews, unit testing, and continuous integration to maintain code quality standards Manage a backlog of tech debt reduction and internal efficiency improvements Qualifications Familiarity with principles of high-quality code, including continuous integration, declarative and functional programming Strong communication skills for interfacing with non-technical stakeholders and occasionally with customers Well-versed in agile or lean planning and project management processes Proficiency in Figma, HTML, and CSS Experience with the core stack (Next.js, Apollo GraphQL, React) or similar technologies is preferred Benefits and Perks Competitive base salary, bonus, and seed-stage equity compensation 100% remote work, flexible hours, and unlimited vacation policy. (Read here about how we built trust in our previous all-remote company.) Full health care premium coverage for you and your family Unique career development guidance reporting directly to the founder/CEO We offer competitive compensation packages along with stock options based on industry benchmarks for function, and level. Offer amounts are determined by multiple factors such as a candidate's experience and expertise. Base Compensation: $80,000—$120,000 USD","$80,000 - $120,000 a year",2024-01-14
Gamingtec,"Frontend Developer We are in search for a strong Front-end Engineer for developing new user-facing features, and determining the structure and design of web pages. Remote Kyiv London Limassol Tbilisi Lisbon Are you ready to take your JavaScript skills to the next level? Do you like the challenge of solving complicated problems? Then we have the right job for you! We are seeking an experienced JavaScript developer with a deep understanding of React. The main responsibilities of the candidate will be the development of user interface components and the refactoring of existing code for our stable and long-term projects. All you need is: 4+ years of experience as a Front-End Engineer; Solid background coding pure JavaScript; Experience with React and Redux (at least 3 years); Deep understanding and experience working with React Class Components; Knowledge and experience with Webpack and Gulp; Has relevant experience with HTML5, CSS3 and SCSS; Level of English language - upper-intermediate. Also, it will be great if you have: Experience with Redux Form; Experience with Twig and basic knowledge of PHP; Experience with PWA. Your daily adventures will look like: Performing a technical assessment of business requirements to ensure the possibility of their implementation within a reasonable time; Fixing bugs in existing projects; Refactoring and optimizing existing code; Optimizing components for maximum performance across browsers; Creating new and modifying existing websites; Be proactive in communication with team members. So, why Gamingtec? If you are a person with passion, ideas, and a thirst to advance your career, you will love our corporate culture. We are an international team that treats each other with respect and moves towards the same goals. We believe in freedom and flexibility and trust our employees to do their jobs in a way that works for them. We have an ambitious and rewarding work environment, a flat organisational structure and almost zero bureaucracy. Our employees’ ideas are what move the company forward. Everyone has equal opportunities in every aspect of work, learning and development! Why you will love working here: Being a part of an international team, where everyone treats each other with respect and moves towards the same goal; Freedom and responsibility. You do not need to be told what to do; Competitive salaries. We want only the top performers, so we offer the appropriate remuneration for their experience and knowledge; Fully remote work. If you are in one of the areas where one of our offices is located, you will also have the option to go to the office; Flexible work schedule. We do not track time, we measure performance; Unlimited paid vacation and sick leave days. We believe that everyone should have a good work-life balance and no one should burn out; Constant career development & learning opportunities! Enjoy the corporate atmosphere with awesome parties and team-building events throughout the year; Refer your friends and get rewarded with a bonus, after they pass their probation period; Find the right private medical insurance that works for you and receive compensation for it. Compensation (full/partial) depends on the cost; Flexible Benefits plan. Decide which of your activities/expenses you want the company to compensate you for. For example; gym subscription, language courses, Netflix subscription, a spa day, etc; Education foundation in learning something new. Be part of our biannual ruffle that gives you the chance to learn something new, unrelated to your job. And this is how our interview process goes: A 30-minute interview with a member of our HR team to get to know you and your experience; A technical interview with our Lead developer to assess your skills and abilities; A final 1.5-hour interview with three team members to gauge your fit with our culture and working style. Sounds interesting? Do not hesitate to apply or contact us if you have any questions! Gamingtec is waiting for you! Sorry, we're not hiring in your country Advantages of Our Company Zero bureaucracy Unlimited holidays Medical insurance Only top talent and top salaries Challenging projects and tasks Smartest colleagues in the industry Our Principles Celebrate diversity Celebrate diversity Innovation matters Innovation matters Ambitious goals Ambitious goals Contact us We are always on the lookout for passionate clients and new talents to join us. info@gamingtec.com",Frontend Developer,Remote,"Frontend Developer We are in search for a strong Front-end Engineer for developing new user-facing features, and determining the structure and design of web pages. Remote Kyiv London Limassol Tbilisi Lisbon Are you ready to take your JavaScript skills to the next level? Do you like the challenge of solving complicated problems? Then we have the right job for you! We are seeking an experienced JavaScript developer with a deep understanding of React. The main responsibilities of the candidate will be the development of user interface components and the refactoring of existing code for our stable and long-term projects. All you need is: 4+ years of experience as a Front-End Engineer; Solid background coding pure JavaScript; Experience with React and Redux (at least 3 years); Deep understanding and experience working with React Class Components; Knowledge and experience with Webpack and Gulp; Has relevant experience with HTML5, CSS3 and SCSS; Level of English language - upper-intermediate. Also, it will be great if you have: Experience with Redux Form; Experience with Twig and basic knowledge of PHP; Experience with PWA. Your daily adventures will look like: Performing a technical assessment of business requirements to ensure the possibility of their implementation within a reasonable time; Fixing bugs in existing projects; Refactoring and optimizing existing code; Optimizing components for maximum performance across browsers; Creating new and modifying existing websites; Be proactive in communication with team members. So, why Gamingtec? If you are a person with passion, ideas, and a thirst to advance your career, you will love our corporate culture. We are an international team that treats each other with respect and moves towards the same goals. We believe in freedom and flexibility and trust our employees to do their jobs in a way that works for them. We have an ambitious and rewarding work environment, a flat organisational structure and almost zero bureaucracy. Our employees’ ideas are what move the company forward. Everyone has equal opportunities in every aspect of work, learning and development! Why you will love working here: Being a part of an international team, where everyone treats each other with respect and moves towards the same goal; Freedom and responsibility. You do not need to be told what to do; Competitive salaries. We want only the top performers, so we offer the appropriate remuneration for their experience and knowledge; Fully remote work. If you are in one of the areas where one of our offices is located, you will also have the option to go to the office; Flexible work schedule. We do not track time, we measure performance; Unlimited paid vacation and sick leave days. We believe that everyone should have a good work-life balance and no one should burn out; Constant career development & learning opportunities! Enjoy the corporate atmosphere with awesome parties and team-building events throughout the year; Refer your friends and get rewarded with a bonus, after they pass their probation period; Find the right private medical insurance that works for you and receive compensation for it. Compensation (full/partial) depends on the cost; Flexible Benefits plan. Decide which of your activities/expenses you want the company to compensate you for. For example; gym subscription, language courses, Netflix subscription, a spa day, etc; Education foundation in learning something new. Be part of our biannual ruffle that gives you the chance to learn something new, unrelated to your job. And this is how our interview process goes: A 30-minute interview with a member of our HR team to get to know you and your experience; A technical interview with our Lead developer to assess your skills and abilities; A final 1.5-hour interview with three team members to gauge your fit with our culture and working style. Sounds interesting? Do not hesitate to apply or contact us if you have any questions! Gamingtec is waiting for you! Sorry, we're not hiring in your country Advantages of Our Company Zero bureaucracy Unlimited holidays Medical insurance Only top talent and top salaries Challenging projects and tasks Smartest colleagues in the industry Our Principles Celebrate diversity Celebrate diversity Innovation matters Innovation matters Ambitious goals Ambitious goals Contact us We are always on the lookout for passionate clients and new talents to join us. info@gamingtec.com",Competitive,2024-01-14
AllStars-IT,"Front End Developer Level Senior Department Angular Type Full Time Project vCita Locations: Remote Job Details Posted on: January 11, 2024 Job ID: 202 About the Company ALLSTARSIT is an international outstaffing service provider that helps businesses recruit, pay, insure, and support top global talent with payroll, benefits, and more. The company specializes in software development services for clients across diverse industries such as cybersecurity, healthcare, fintech, telecommunications, media, and more. ALLSTARSIT operates development hubs across Central and Eastern Europe, Israel, the UAE, India, the Philippines, and LATAM, with headquarters in San Francisco, US. The company has over 1,000 talented software engineers and tech specialists across all locations. About the Project vCita was founded with the vision that small business owners deserve better and more fulfilling workdays. We develop smart, cloud-based solutions that help entrepreneurs and small teams manage their entire business from a single app. Our solution turns time-consuming tasks like scheduling, payment collection and marketing into simple, one-click operations. vcita manages the entire customer lifecycle, from the first \"hello\" to the final invoice, empowering small business owners toenjoy their work while we do the heavy lifting Required skills: At least 4 years of experience with Javascript, HTML, CSS andframeworks/libraries such as Angular, React, VueJS Ability to plan and create complex UI according to product & designspecs Well-versed in coding best practices, agile methodologies, CI/CD, testing Passion for learning and implementing new technologies Independent, fast learner, creative, great communication skills Experience in Automation, hybrid / native mobile apps – advantage BSc in computer science / elite army unit graduate - advantage Scope of work: As a Front End Developer, you’ll be designing and building beautiful and complexclient-side applications with high-end UI Why ALLSTARSIT? Work on a variety of research domains - ML, DL, RL, NLP, CV, Gen. AI, RecSys and more. A team that truly believes in knowledge-sharing and collaboration. An innovative culture that fuels personal growth.",Front End Developer,Remote,"Front End Developer Level Senior Department Angular Type Full Time Project vCita Locations: Remote Job Details Posted on: January 11, 2024 Job ID: 202 About the Company ALLSTARSIT is an international outstaffing service provider that helps businesses recruit, pay, insure, and support top global talent with payroll, benefits, and more. The company specializes in software development services for clients across diverse industries such as cybersecurity, healthcare, fintech, telecommunications, media, and more. ALLSTARSIT operates development hubs across Central and Eastern Europe, Israel, the UAE, India, the Philippines, and LATAM, with headquarters in San Francisco, US. The company has over 1,000 talented software engineers and tech specialists across all locations. About the Project vCita was founded with the vision that small business owners deserve better and more fulfilling workdays. We develop smart, cloud-based solutions that help entrepreneurs and small teams manage their entire business from a single app. Our solution turns time-consuming tasks like scheduling, payment collection and marketing into simple, one-click operations. vcita manages the entire customer lifecycle, from the first \"hello\" to the final invoice, empowering small business owners toenjoy their work while we do the heavy lifting Required skills: At least 4 years of experience with Javascript, HTML, CSS andframeworks/libraries such as Angular, React, VueJS Ability to plan and create complex UI according to product & designspecs Well-versed in coding best practices, agile methodologies, CI/CD, testing Passion for learning and implementing new technologies Independent, fast learner, creative, great communication skills Experience in Automation, hybrid / native mobile apps – advantage BSc in computer science / elite army unit graduate - advantage Scope of work: As a Front End Developer, you’ll be designing and building beautiful and complexclient-side applications with high-end UI Why ALLSTARSIT? Work on a variety of research domains - ML, DL, RL, NLP, CV, Gen. AI, RecSys and more. A team that truly believes in knowledge-sharing and collaboration. An innovative culture that fuels personal growth.",Competitive,2024-01-14
AppMaster,"Are you an experienced front-end developer and looking for a complex, exciting project that will pump your skills? Then we have a perfect suggestion for you! What you’ll be doing: Work closely with business and product to analyze requirements and complete system design, development, expansion, or code reconstruction Design and plan the overall architecture and technical specifications of the system, and implement them in daily development practices Responsible for tackling technical difficulties and designing and coding key systems We’re excited if you have: Experience in frontend positions Excellent knowledge of HTML5, CSS, JavaScript (Ajax) Experience in cross-browser layout for different platforms Knowledge of the Vue framework and experience in implementing complex tasks with its help Experience with Jira, BitBucket, Confluence is an advantage General understanding of the Scrum methodology What we offer: Use the latest cutting edge technologies with an opportunity for growth Ability to work remote Competitive salary Flexible schedule Regular increase based on the results of the contribution to the product",Frontend Developer (Vue3/NUXT3),Remote,"Are you an experienced front-end developer and looking for a complex, exciting project that will pump your skills? Then we have a perfect suggestion for you! What you’ll be doing: Work closely with business and product to analyze requirements and complete system design, development, expansion, or code reconstruction Design and plan the overall architecture and technical specifications of the system, and implement them in daily development practices Responsible for tackling technical difficulties and designing and coding key systems We’re excited if you have: Experience in frontend positions Excellent knowledge of HTML5, CSS, JavaScript (Ajax) Experience in cross-browser layout for different platforms Knowledge of the Vue framework and experience in implementing complex tasks with its help Experience with Jira, BitBucket, Confluence is an advantage General understanding of the Scrum methodology What we offer: Use the latest cutting edge technologies with an opportunity for growth Ability to work remote Competitive salary Flexible schedule Regular increase based on the results of the contribution to the product",Competitive,2024-01-14
Drivetrain AI,"Drivetrain is on a mission to empower businesses to make better decisions. Our financial planning & decision-making platform helps companies scale and achieve their targets predictably. Drivetrain is a remote-first company headquartered in the San Francisco Bay Area. Founded in 2021 by a couple of ex-Googlers, Drivetrain is a fast-growing company on a trajectory for success with backing from leading venture capital firms. Drivetrain provides a great culture for its employees to thrive in and be happy. Remote-friendly: Drivetrain brings together the best and the brightest, no matter where they are and provides them a great degree of autonomy. We trust our people. ️ Open & transparent: We know that when our creators have access to all the information they need, their best work will emerge. Idea-friendly: We provide an environment to explore new ideas, to take risks, to make mistakes, and to learn, so you can succeed. Anyone in the company can come up with great ideas and become a catalyst for positive change. We let the best ideas win. Customer-centric: We follow a product-led growth strategy, continuously learning from our customers and collaborating to build the amazing software that Drivetrain is. About the role Drivetrain is looking for a Frontend Engineer to join our team. You will closely interact with designers, product owners, and other engineers and implement the user interfaces that define our core platforms. What you’ll be doing Work closely with design, product and engineering teams to create elegant, accessible, responsive and interactive interfaces. Handcraft UI/UX designs into prototypes, create awesome interactions, write reusable components and address performance issues of the product. Work on complex yet performant, deep yet elegant frontend components like a data visualisation system to create beautiful charts/tables and a spreadsheet-inspired business modelling system. Help set up processes to guarantee the long-term success of Drivetrain's engineering team. Requirements 1 to 3 years of relevant work experience as a web, UI, JavaScript or frontend engineer with sound knowledge in Javascript, HTML and CSS, and a strong eye for design, with experience debugging using browser console. ReactJS and Data structure skills are important. Be able to write clean and maintainable code with attention to performance, but also be able to ship quickly. An ability to perform well in a fast-paced environment and bring in optimal flow for rapidly changing design. Java and AWS experiences are a plus although not mandatory. Sounds exciting? Apply at careers@drivetrain.ai . It may just be the next best decision you’ve ever made! Sounds exciting? Apply at careers@drivetrain.ai . It may just be the next best decision you’ve ever made!",Frontend Engineer,Remote,"Drivetrain is on a mission to empower businesses to make better decisions. Our financial planning & decision-making platform helps companies scale and achieve their targets predictably. Drivetrain is a remote-first company headquartered in the San Francisco Bay Area. Founded in 2021 by a couple of ex-Googlers, Drivetrain is a fast-growing company on a trajectory for success with backing from leading venture capital firms. Drivetrain provides a great culture for its employees to thrive in and be happy. Remote-friendly: Drivetrain brings together the best and the brightest, no matter where they are and provides them a great degree of autonomy. We trust our people. ️ Open & transparent: We know that when our creators have access to all the information they need, their best work will emerge. Idea-friendly: We provide an environment to explore new ideas, to take risks, to make mistakes, and to learn, so you can succeed. Anyone in the company can come up with great ideas and become a catalyst for positive change. We let the best ideas win. Customer-centric: We follow a product-led growth strategy, continuously learning from our customers and collaborating to build the amazing software that Drivetrain is. About the role Drivetrain is looking for a Frontend Engineer to join our team. You will closely interact with designers, product owners, and other engineers and implement the user interfaces that define our core platforms. What you’ll be doing Work closely with design, product and engineering teams to create elegant, accessible, responsive and interactive interfaces. Handcraft UI/UX designs into prototypes, create awesome interactions, write reusable components and address performance issues of the product. Work on complex yet performant, deep yet elegant frontend components like a data visualisation system to create beautiful charts/tables and a spreadsheet-inspired business modelling system. Help set up processes to guarantee the long-term success of Drivetrain's engineering team. Requirements 1 to 3 years of relevant work experience as a web, UI, JavaScript or frontend engineer with sound knowledge in Javascript, HTML and CSS, and a strong eye for design, with experience debugging using browser console. ReactJS and Data structure skills are important. Be able to write clean and maintainable code with attention to performance, but also be able to ship quickly. An ability to perform well in a fast-paced environment and bring in optimal flow for rapidly changing design. Java and AWS experiences are a plus although not mandatory. Sounds exciting? Apply at careers@drivetrain.ai . It may just be the next best decision you’ve ever made! Sounds exciting? Apply at careers@drivetrain.ai . It may just be the next best decision you’ve ever made!",Competitive,2024-01-14
WebCreek,"Frontend Developer React.js Available for the following offices: Latin America, Remote Are you an experienced FrontEnd Developer with experience working with React.js looking to expand your career with one of the world’s leading IT companies? Then this is your opportunity! WebCreek now has remote positions open in Latin America. See the details below: What You’ll Do Design, program, and test software while also providing assistance to team members and fostering their growth. Author and maintain relevant documentation for developers, clients, and users to promote innovation. Develop and refine prototypes to validate requirements. Program according to project plans, including versions and sprints. Test software based on predetermined test plans. Take the lead in release and post-release activities, such as support, versioning, and maintenance, while continuously improving your skills. Collaborate with designers to create interfaces that adhere to the design guidelines. Build mobile APIs and web applications for both mobile and browser clients. Conduct peer reviews of code from other team members and learn from feedback on your own code. Provide technical insights to support sales and project managers in creating budgets and schedules for projects. Seek opportunities to promote research and development (R&D), increase market exposure, and enhance credibility within your team. Develop high-quality deliverables while exploring innovative approaches to achieve objectives. Attend and actively contribute to code/development meetings. Write and maintain code for internal (product) and external (client) projects. Collaborate with other team members and the QA team on bug fixes. Support the development of reusable code and libraries for future use. What You Have Required Skills: 4 to 6 years of relevant professional experience Strong experience working with React.js. Proficient in native JavaScript, HTML, and CSS, with a preference for working with preprocessors such as SASS or LESS. Comfortable using precompilers like Webpack and Babel. Proficient in working with APIs and integrating third-party services. Demonstrated ability to learn new technologies. Strong understanding of responsive design and development. Experience with test-driven development and a basic understanding of QA processes. Familiarity with common user interface guidelines and standards for web and mobile applications. Knowledge of project management techniques, including the ability to plan, design, develop, test, implement, and maintain system development life cycle segments and phases. Advanced knowledge of SEO and web analytics practices and platforms. Nice to have Skills: Comfortable working directly with clients. Experience working with content management systems. Advanced knowledge and experience with common web application technology stacks such as Java, PHP, or Python. Experience collaborating with a creative team to influence the design process. Proficiency in exporting creative assets from tools like Sketch and Photoshop. Experience working on applications that connect to middleware technologies or databases. What You’ll Gain Full-time, remote position in a quickly growing company. Competitive salary with regular revisions. Many excellent programs and benefits. In-house IT and English training and certifications. Flexible work environment. International team with opportunities to work abroad. Who We Are WebCreek is a provider of world-class software development teams and technical staff augmentation. We serve many Fortune 500 companies and other leading organizations. We have operations in ten countries and over 25 years of experience delivering top-notch digital solutions to the companies that power our world. WebCreek is committed to creating a diverse environment and is proud to be an equal-opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, nationality, genetics, pregnancy, disability, age, veteran status, or other characteristics. Find out more about our job opportunities: https://www.webcreek.com/en/careers/.",Frontend Developer React.js,United States,"Frontend Developer React.js Available for the following offices: Latin America, Remote Are you an experienced FrontEnd Developer with experience working with React.js looking to expand your career with one of the world’s leading IT companies? Then this is your opportunity! WebCreek now has remote positions open in Latin America. See the details below: What You’ll Do Design, program, and test software while also providing assistance to team members and fostering their growth. Author and maintain relevant documentation for developers, clients, and users to promote innovation. Develop and refine prototypes to validate requirements. Program according to project plans, including versions and sprints. Test software based on predetermined test plans. Take the lead in release and post-release activities, such as support, versioning, and maintenance, while continuously improving your skills. Collaborate with designers to create interfaces that adhere to the design guidelines. Build mobile APIs and web applications for both mobile and browser clients. Conduct peer reviews of code from other team members and learn from feedback on your own code. Provide technical insights to support sales and project managers in creating budgets and schedules for projects. Seek opportunities to promote research and development (R&D), increase market exposure, and enhance credibility within your team. Develop high-quality deliverables while exploring innovative approaches to achieve objectives. Attend and actively contribute to code/development meetings. Write and maintain code for internal (product) and external (client) projects. Collaborate with other team members and the QA team on bug fixes. Support the development of reusable code and libraries for future use. What You Have Required Skills: 4 to 6 years of relevant professional experience Strong experience working with React.js. Proficient in native JavaScript, HTML, and CSS, with a preference for working with preprocessors such as SASS or LESS. Comfortable using precompilers like Webpack and Babel. Proficient in working with APIs and integrating third-party services. Demonstrated ability to learn new technologies. Strong understanding of responsive design and development. Experience with test-driven development and a basic understanding of QA processes. Familiarity with common user interface guidelines and standards for web and mobile applications. Knowledge of project management techniques, including the ability to plan, design, develop, test, implement, and maintain system development life cycle segments and phases. Advanced knowledge of SEO and web analytics practices and platforms. Nice to have Skills: Comfortable working directly with clients. Experience working with content management systems. Advanced knowledge and experience with common web application technology stacks such as Java, PHP, or Python. Experience collaborating with a creative team to influence the design process. Proficiency in exporting creative assets from tools like Sketch and Photoshop. Experience working on applications that connect to middleware technologies or databases. What You’ll Gain Full-time, remote position in a quickly growing company. Competitive salary with regular revisions. Many excellent programs and benefits. In-house IT and English training and certifications. Flexible work environment. International team with opportunities to work abroad. Who We Are WebCreek is a provider of world-class software development teams and technical staff augmentation. We serve many Fortune 500 companies and other leading organizations. We have operations in ten countries and over 25 years of experience delivering top-notch digital solutions to the companies that power our world. WebCreek is committed to creating a diverse environment and is proud to be an equal-opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, nationality, genetics, pregnancy, disability, age, veteran status, or other characteristics. Find out more about our job opportunities: https://www.webcreek.com/en/careers/.",Competitive,2024-01-14
Atlassian,"Overview: Working at Atlassian Atlassians can choose where they work – whether in an office, from home, or a combination of the two. That way, Atlassians have more control over supporting their family, personal goals, and other priorities. We can hire people in any country where we have a legal entity. Interviews and onboarding are conducted virtually, a part of being a distributed-first company. We're able to hire eligible candidates for this role from anywhere in USA. Your future team We're hiring a Front End Software Engineer, reporting to an Engineering Manager. Here, you'll work closely with design and product management, influencing the direction of the product and collaborating with team to get there. You'll write code and ship product capabilities that you are proud of and delivering amazing results that our customers love and help us become the best project management tool for business teams! Responsibilities: Deliver projects autonomously, from technical design to launch Build client code that is efficient, fast, testable, scalable, and high quality. Promote collaboration with other engineers, designers and managers to understand user pain points and iterate to deliver solutions Partner with design and product and across other engineering teams to develop delightful customer experiences Contribute to code reviews and documentation, and take on complex bug fixes Qualifications: 2+ years of experience building large-scale frontend applications using React. Bachelor's degree with a preference for Computer Science degree Understanding of modern frontend ecosystem, including but not limited to bundling, linting, testing and releasing. Experience with modern testing frameworks (e.g., Jest, Cypress, Mocha, Chai) Familiarity of the JavaScript language and ecosystem Experience building frontend applications at scale Experience in Agile software development methodologies Experience engineering software systems of medium-to-large scope and complexity Compensation At Atlassian, we strive to design equitable, explainable, and competitive compensation programs. To support this goal, the baseline of our range is higher than that of the typical market range, but in turn we expect to hire most candidates near this baseline. Base pay within the range is ultimately determined by a candidate's skills, expertise, or experience. In the United States, we have three geographic pay zones. For this role, our current base pay ranges for new hires in each zone are: Zone A: $147,500 - $196,600 Zone B: $132,700 - $177,000 Zone C: $122,400 - $163,200 This role may also be eligible for benefits, bonuses, commissions, and equity. Please visit go.atlassian.com/payzones for more information on which locations are included in each of our geographic pay zones. However, please confirm the zone for your specific location with your recruiter. Our perks & benefits Atlassian offers a variety of perks and benefits to support you, your family and to help you engage with your local community. Our offerings include health coverage, paid volunteer days, wellness resources, and so much more. Visit go.atlassian.com/perksandbenefits to learn more. About Atlassian At Atlassian, we're motivated by a common goal: to unleash the potential of every team. Our software products help teams all over the planet and our solutions are designed for all types of work. Team collaboration through our tools makes what may be impossible alone, possible together. We believe that the unique contributions of all Atlassians create our success. To ensure that our products and culture continue to incorporate everyone's perspectives and experience, we never discriminate based on race, religion, national origin, gender identity or expression, sexual orientation, age, or marital, veteran, or disability status. All your information will be kept confidential according to EEO guidelines. To provide you the best experience, we can support with accommodations or adjustments at any stage of the recruitment process. Simply inform our Recruitment team during your conversation with them. To learn more about our culture and hiring process, visit go.atlassian.com/crh.",Frontend Software Engineer,"Remote in San Francisco, CA 94104","Overview: Working at Atlassian Atlassians can choose where they work – whether in an office, from home, or a combination of the two. That way, Atlassians have more control over supporting their family, personal goals, and other priorities. We can hire people in any country where we have a legal entity. Interviews and onboarding are conducted virtually, a part of being a distributed-first company. We're able to hire eligible candidates for this role from anywhere in USA. Your future team We're hiring a Front End Software Engineer, reporting to an Engineering Manager. Here, you'll work closely with design and product management, influencing the direction of the product and collaborating with team to get there. You'll write code and ship product capabilities that you are proud of and delivering amazing results that our customers love and help us become the best project management tool for business teams! Responsibilities: Deliver projects autonomously, from technical design to launch Build client code that is efficient, fast, testable, scalable, and high quality. Promote collaboration with other engineers, designers and managers to understand user pain points and iterate to deliver solutions Partner with design and product and across other engineering teams to develop delightful customer experiences Contribute to code reviews and documentation, and take on complex bug fixes Qualifications: 2+ years of experience building large-scale frontend applications using React. Bachelor's degree with a preference for Computer Science degree Understanding of modern frontend ecosystem, including but not limited to bundling, linting, testing and releasing. Experience with modern testing frameworks (e.g., Jest, Cypress, Mocha, Chai) Familiarity of the JavaScript language and ecosystem Experience building frontend applications at scale Experience in Agile software development methodologies Experience engineering software systems of medium-to-large scope and complexity Compensation At Atlassian, we strive to design equitable, explainable, and competitive compensation programs. To support this goal, the baseline of our range is higher than that of the typical market range, but in turn we expect to hire most candidates near this baseline. Base pay within the range is ultimately determined by a candidate's skills, expertise, or experience. In the United States, we have three geographic pay zones. For this role, our current base pay ranges for new hires in each zone are: Zone A: $147,500 - $196,600 Zone B: $132,700 - $177,000 Zone C: $122,400 - $163,200 This role may also be eligible for benefits, bonuses, commissions, and equity. Please visit go.atlassian.com/payzones for more information on which locations are included in each of our geographic pay zones. However, please confirm the zone for your specific location with your recruiter. Our perks & benefits Atlassian offers a variety of perks and benefits to support you, your family and to help you engage with your local community. Our offerings include health coverage, paid volunteer days, wellness resources, and so much more. Visit go.atlassian.com/perksandbenefits to learn more. About Atlassian At Atlassian, we're motivated by a common goal: to unleash the potential of every team. Our software products help teams all over the planet and our solutions are designed for all types of work. Team collaboration through our tools makes what may be impossible alone, possible together. We believe that the unique contributions of all Atlassians create our success. To ensure that our products and culture continue to incorporate everyone's perspectives and experience, we never discriminate based on race, religion, national origin, gender identity or expression, sexual orientation, age, or marital, veteran, or disability status. All your information will be kept confidential according to EEO guidelines. To provide you the best experience, we can support with accommodations or adjustments at any stage of the recruitment process. Simply inform our Recruitment team during your conversation with them. To learn more about our culture and hiring process, visit go.atlassian.com/crh.",Competitive,2024-01-14
