companyName,jobName,location,requirement,salary,timePost,website,jobType
CSX,Software Architect I | Messaging & Data Streaming (REMOTE),Remote in United States,"Job Summary CSX Technology is transforming the rail industry through innovative approaches to application development. Our software architects use their expertise to define solutions for the most complex business requirements and create the foundation for next-generation software capabilities. Here, you’ll be part of a culture that prides itself on delivering robust solutions to a variety of interesting and challenging projects. Applicants will be required to engage in ongoing background checks through the duration of this position with continued passing results. Primary Activities and Responsibilities Define strategy and roadmap of the Next Generation distributed messaging platform based on Azure Service Bus, Confluent/Kafka, MQTT broker, IBM MQ. Collaborate with cross-functional teams to understand requirements that meet business needs Provides technical guidance including research, analysis and translation of business drivers to project teams and areas. Follow best practices around developing and maintaining secure systems. Assists in the development and management of the architecture governance process. Assists application teams with usage of CSX Enterprise Standard tools/libraries along with building applications that follow CSX design principals and code quality standards. Promote and socialize the standard application architecture view within larger organization. Maintains working knowledge of industry directions, standards and emerging technologies, and makes recommendations for integration into CSX portfolio. Participates as technical expert, contributing to the architecture design of multiple software projects or a single large/complex project ensuring the success of major application development and roll-outs. Partners with Business Analysts and Architects to define technology system scope, objectives, and requirements. Drives merging business requirements with technical software solutions including data design. Communicates and facilitates alignment with project teams and architects across the organization. Implements standard software builds, risks, costs versus benefits and impact on the enterprise business process and goals. Assists with the development and implementation of foundational software libraries and tools used by application development teams across the enterprise Miscellaneous activities and responsibilities as assigned by manager Minimum Qualifications Bachelor's Degree/4-year Degree 7 or more years of experience in Software Development Equivalent Minimum Qualifications High School Diploma/GED 9 or more years of experience in Software Development Preferred Qualifications Graduate Degree 5 or more years of experience in Software Development Knowledge and Skills Proven experience with Software Architecture and Integration Patterns Proven experience with messaging protocols and associated APIs and Java Message Service In-depth understanding of different messaging paradigms (pub/sub, queuing), as well as delivery models, quality-of-service, and fault -tolerance architectures Experience with Cloud Native Architecture including Kubernetes, containers and lightweight application servers and frameworks such as JEE and Spring Expert experience with Object Oriented Programming (Java preferred) Experience with the aggregation, observation and visualization of logs: Elastic, Grafana Experience with CI/CD DevOps automation and development Experience with automating tasks and processes into self-service offerings Knowledge of Tools focused on improving code quality and testing: SonarQube, JUnit, Mockito, JMeter Expert experience with Relational Database Design and Concepts and web development Knowledge of Agile Scrum methodologies and their application Knowledge of change management processes and the full Software Development Life Cycle (SDLC) concepts Ability to lead cross-functional teams Expert debugging and problem solving skills System documentation skills (requirements and technical design) Ability to perform unit and integration testing. Ability to excel in an agile/iterative development atmosphere. Ability to communicate and collaborate effectively with individuals and groups at all levels of the organization, internally and externally (both written and orally). Willingness to learn new technologies Knowledge of multiple business areas, Knowledge of a wide range of technical applications or expertise in a more narrow range and Knowledge of The Open Group Architecture Framework (TOGAF) Leadership The CSX Leadership Model is the foundation of our Talent Strategy and is what drives CSX performance. CSX accordingly selects and develops talent based on each of the following: producing results, creating change, and inspiring excellence. Job Requirements Work hours may vary in length and schedule (may include a non-standard work week)",Competitive,14-01-2024,Indeed,Software Architect
EX2 Outcoding,Software Architect,Remote,"Become an Outcoder as a Software Architect We are looking for an experienced Software Architect to make intuitive high-level decisions for software development. You will see the “big picture” and create architectural approaches for software design and implementation to guide the development team. A great software architect has a solid technical background and excellent IT skills. They are experienced in designing and can develop a unified vision for software characteristics and functions. The goal is to provide a framework for the development of software or system that will result in high-quality IT solutions. What you’ll need to be successful: Proven experience as Software Architect Experience in software development and coding in various languages (C#, .NET, Java, etc.) Excellent knowledge of software and application design and architecture Excellent knowledge of UML and other modeling methods Familiarity with HTML/CSS, JavaScript, and UI/UX design Understanding of software quality assurance principles A technical mindset with great attention to detail High-quality organizational and leadership skills Outstanding communication and presentation abilities MSc/MA in computer science, engineering, or a relevant field About us: EX² Outcoding is a premier solution provider of a broad range of outsourcing services, combining proven expertise in technology and project execution for companies searching for high-quality software development solutions. We specialize in delivering the best technical solution but also in enhancing that solution creatively by working closely with stakeholders to understand the business context. #LI-REMOTE",Competitive,14-01-2024,Indeed,Software Architect
Innominds Software,Software Architect,"San Jose, CA 95131 (North San Jose area)","Job duration: 40 Hours / Week, Permanent position, Full time Job Duties: Utilize technical expertise to create system requirements, perform design and analysis, and coding, code reviews and unit testing of complex to highly complex system functionality and/or defect correction across multiple platforms. Act as a technical resource throughout the development of life cycle to the business users. Identify ideas to improve system performance and impact availability. Identify and create solutions to improve system performance and availability. Resolve complex technical design issues. Analyze and influence technical, system, and/or user requirements. Provide functional and/or technical guidance in evaluating applications systems or evaluating requests for proposals. Coordinate changes and influences and prioritizes tasks with business or technical departments. Facilitate root cause analysis of system issues to minimize impact and future occurrences. Assist team leads and management with delegation of technical work packages to cross functional and team members for execution through the full development life cycle. Coordinate system application transition from development teams to maintenance and production teams, and/or constructs and implements necessary controls to assure system/application traceability. Leverage REST principles to produce and consume Restful web services. Integrate with backend service like JMS, ORM frameworks (Hibernate, JPA, etc), JDBC. Work with Distributed Streaming Technology, Apache Kafka for Producing, Consuming and Streaming the Events. Design applications using microservices architecture and implementation. Perform database design and optimization with Relational Databases like Oracle DB2 or MySQL. Work with Gradle as build tool and GitLab as Source Control around continuous integration and continuous delivery infrastructure. Deploy the applications in container-based APIs using container frameworks like OpenShift, Docker, or Kubernetes. Develop Cloud infrastructure application development with vendors like AWS, Google, or Microsoft. Develop the applications using the AGILE methodology (Scrum, Lean, SaFe, etc.) for the faster development and deployment of the Enterprise Applications. Design and develop automated tests and frameworks. Perform testing the REST services using SOAP UI, Ready API or Postman. Job Requirements: Required Master’s or foreign equivalent in CS, CIS, MIS, Engineering (Any), or any related field + 1 year of experience with the same or similar job duties but given another designation. Must be able to travel/relocate to various client sites throughout the U.S. Location of Work: Innominds Software Inc., 2055 Junction Avenue, Suite 122, San Jose, CA 95131, U.S. Salary: $167,149.00 /Year To $170,000.00/Year To contact or to apply please send resumes to Innominds Software Inc., 2055 Junction Avenue, Suite 122, San Jose, CA 95131 or Email: careers@innominds.com.",Competitive,14-01-2024,Indeed,Software Architect
"Karsun Solutions, LLC",Software Design Architect,Remote,"Overview: The Software Design Architect is responsible for architecting and implementing multiple products and features in parallel; will be responsible for translating overall business requirements and vision to a technical architecture and developing working prototype, overall solution and frameworks as needed. Responsibilities: Present proposals to senior government officials in a clear and compelling way; has a balance of business and technology acumen, including ability to articulate high- level technical solutions to business problems and to tie solutions to program success criteria. Conduct business and technical discovery with customers and provides recommendations for engagements while also identifying critical dependencies and gaps. As needed, independently applying a wide set of engineering disciplines for planning, design, analysis, coding, testing, roll-out and support of software products Be responsible for: The designing of interface standards, quality assurance standards, performance standards, and cost-benefit analysis of modem state-of-the art information systems; analyzes available technologies and makes recommendations of technologies to use and how best to use them Designing highly complex solutions with multiple applications with high transaction volumes. Create system architecture and design documents to include detail software architecture diagram, logical and physical deployment views using UML Serve as the technical and technology expert supporting the crafting of the application architecture aspects of the solution, as well as supporting the implementation of the solution. Review proposed new development and/or enhancements to validate feasibility and assists with scoping and estimating work. In coordination with others, monitor and analyze production performance, while looking for ways to optimize and scale existing solutions. Ensure strategies, standards, and architecture are consistent and well-integrated across products. Help developers to adopt new platforms through documentation, training, and mentoring Qualifications and Education: Required: Typically requires a bachelor's degree in Computer Science or related field and 10+ years of experience including: 10+ years of full-lifecycle application development lead experience 6+ years of experience in architecting large-scale systems 6+ years of experience in building multi-tier applications using webservices / APIs / microservices 5+ years of experience using Agile/Lean methodologies, continuous deployment, automated testing, and DevSecOps 4+ years of experience with Nodejs and React Experience in or knowledge of developing systems utilizing AWS Cloud-native designs Demonstrated experience as a technical lead of a large-scale migration to a cloud infrastructure (AWS) Experience on multiple application development projects with similar responsibilities Superior written and verbal communication skills with the ability to present technical details and interface with various groups such as project team, clients, and senior executives Demonstrated experience architecting, building and deploying technical solutions that use multiple data stores targeting specific application use cases including multiple technologies including but not limited to SQL and noSQL databases Ability to obtain Federal Government Public Trust Preferred: Experience with legacy system modernization Experience with large scale data migration Experience with Serverless computing Experience with scaled agile frameworks Master's degree preferred Highly prefer candidates residing in the DC Metro area or Eastern time zone #LI-SR1#FLEET Compensation: In accordance with pay transparency guidelines, the proposed salary range for this position is $133,000 to $170,000. Final salary will be determined based on various factors such as relevant skills, experience and certifications.",Competitive,14-01-2024,Indeed,Software Architect
INTEL,Cloud Software Architect SW-Defined Storage,Remote,"Job Description Architects, designs and provides technical oversight and direction of the development of Intel cloud software products including system software, frameworks, and applications. Researches, designs and implements optimal end-to-end cloud computing software solutions for cloud, cloud native, orchestration, service mesh, networking, microservices, and/or distributed computing. Engages with customers to understand use cases, influence architectures and optimize software, and interacts with technologists and product/product managers across Intel to evaluate feasibility of requirements and determine priorities for development. Makes design and implementation choices focused on manageability, scalability, usability, resiliency, availability and security. Qualifications You must possess the below minimum qualifications to be considered for this position. Preferred qualifications are in addition to the minimum requirements and are considered a plus factor in identifying top candidates. The candidate must have a Bachelor's degree in Computer Science or Engineering and 10+ years of experience OR a Master's degree in Computer Science or Engineering and 8+ years of experience. Minimum Qualifications 5 or more years of experience building, deploying and operating highly available distributed systems using public Cloud platforms and services (AWS, Azure, GCP etc.) 5 or more years of experience demonstrating expert level knowledge of Cloud architecture patterns (microservices, event-driven, serverless, API gateways, service mesh, etc.). 3 or more years of experience with DevOps, CICD and Infrastructure as code 3 or more years of experience scaling and performance optimizing Cloud software. 3 or more years of experience with any of the languages C/C++/Go/Scala/Rust Preferred Qualifications: (experience with the following skillset is preferred): Understanding of networking and security in Cloud environments (API gateways, firewalls, routing, and security policies) Knowledge of containerization and orchestration technologies (Docker, Kubernetes) Knowledge of database systems (relational and NOSQL), including scaling, sharing and replication. Understanding of monitoring and logging in Cloud environments including retention and cost optimization strategies Understanding of Secure Development Lifecycle and Agile Development Methodology Understanding of Confidential computing Knowledge of AI toolsets (TensorFlow, PyTorch, Arrayfire, CNTK etc.) Inside this Business Group Enable amazing computing experiences with Intel Software continues to shape the way people think about computing – across CPU, GPU, and FPGA architectures. Get your hands on new technology and collaborate with some of the smartest people in the business. Our developers and software engineers work in all software layers, across multiple operating systems and platforms to enable cutting-edge solutions. Ready to solve some of the most complex software challenges? Explore an impactful and innovative career in Software. Posting Statement All qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance. Benefits We offer a total compensation package that ranks among the best in the industry. It consists of competitive pay, stock, bonuses, as well as, benefit programs which include health, retirement, and vacation. Find more information about all of our Amazing Benefits here. Working Model This role is available as a fully home-based and generally would require you to attend Intel sites only occasionally based on business need. This role may also be available as our hybrid work model which allows employees to split their time between working on-site at their assigned Intel site and off-site. In certain circumstances the work model may change to accommodate business needs. Position of Trust This role is a Position of Trust. Should you accept this position, you must consent to and pass an extended Background Investigation, which includes (subject to country law), extended education, SEC sanctions, and additional criminal and civil checks. For internals, this investigation may or may not be completed prior to starting the position. For additional questions, please contact your Recruiter. JobType Fully Remote",Competitive,14-01-2024,Indeed,Software Architect
BayOne,Senior Software Architect,California,"Skills / Experience : 10+ years' experience in software architecture, design, development in Java stack J2EE microservices, springboot, REACT 5+ years are in Python, Flask or Django, Restful Frameworks, Elastic Search Nice to have processing with Pandas, and NLP frameworks - including Stanford Core NLP, NLTK, and Scikit-learn Nice to have experience implementing modern Client classifier models and recommender systems (e.g., Bayesian Adaptive Method) Proficiency in development stacks including SQL and NoSQL, JSON",Competitive,14-01-2024,Indeed,Software Architect
Concentric AI,Software Architect,"San Francisco Bay Area, CA","Locations Bay Area, CA You will • Lead the architecture of Concentric’s solution Design, develop, code and test the solution Review peer engineer design and code to ensure quality, and mentor junior engineers in sound design and development best practices. Experience of debugging applications running on Unix like systems (e.g. Ubuntu, CentOS) You have 7-10 years of experience in architecting, designing and developing distributed scalable software Prior experience with providing technical leadership Expert in Application development cloud/on premise end to end. Middle layer, DB layer. Good hands on in Complex Event Processing systems. Solved scale and performance issues while dealing with huge sets of data. Pre compute or data aggregation frameworks to achieve good response time. Good programming skills and hands on in any one of Java/Python/Scala/Go/NodeJs Real world experience working with large datasets and NoSQL database technologies Experience of debugging applications running on Unix like systems (e.g. Ubuntu, CentOS) Experience developing RESTful APIs for complex data sets Knowledge of container based development & deployment (e.g. Dockers, rkt) Exposure to AWS, Google Cloud Platform, Microsoft Azure, etc. Expertise in security software domain will be a bonus Energetic self-starter, with the desire to work in a dynamic startup environment BS or MS in Computer Science",Competitive,14-01-2024,Indeed,Software Architect
Rackspace,Senior Cloud Software Architect,Remote,"Job Summary: As a Rackspce SR Cloud Software Architect you’ll Design, develop, test, debug and implement operating systems components, software tools and utilities. Determine systems software design requirements. Ensure that system improvements are successfully implemented and monitored to increase efficiency. Generate systems software engineering policies, standards and procedures. May participate in all aspects of software development, from detailed programming to high-level system design Responsible for adhering to company security policies and procedures and any other relevant policies and standards as directed. Work Location: Remote Key Responsibilities: Oversee team members to discuss current projects, workload and activities; prioritizes resources accordingly. Improve workload management by supporting others in setting priorities and by postponing less relevant work. Strategically focus self and others on top priorities; effectively manages overlapping timelines and competing demands. Persuade others by supporting ideas with logical arguments/data, recognizing what information to share and when to share it; builds support to resolve issues and achieve the most favorable outcome for the company. Engage in discussion in more complex situations to help others arrange agreements and ensure maximum value and sustainability for all parties. Use understanding of the potential outcomes for both parties to create win-win solutions that identify alternatives to meet each party’s needs. Creatively develop tools, visual aids and other original content to support the understanding/education of complex and technical information (e.g., legal, operational risk, and regulatory data). Guide others on the best practices and approaches for creating clear, concise and organized communication materials to convey technical concepts in a user-friendly way. Challenge others to bring fresh and creative perspective to differentiating technical communications and ensuring comprehension and ease-of-use for various audiences. Exceeds customers’ expectations by listening for unexpressed needs; connects customer needs to relevant service offerings and new technology. Lead others in resolving technical issues in a timely manner; follows up with customers to ensure satisfaction. Partner with the business to integrate new technologies into business solutions; creates and communicates a vision of the technology requirements for the future state of the business. Prioritize workload and ensures that deadlines are successfully met; delegates or seeks additional staff when necessary. Identify short- and long-term barriers to completing project plans and takes corrective action to meet deliverable objectives. Manage multifaceted projects or assignments, such as projects that have several separate components, with minimal error and without missing important deliverables. Provide guidance and expertise to analyze data and patterns and assess the root cause of complex, non-routine problems. Collaborate with others across disciplines to brainstorm and execute solutions to the most complex, uncommon problems. Guide the execution of solutions for complex, non-routine issues; redirects solution implementation if desired results were not originally met. Provide tactical scope and work directly with the business representatives/customers to understand the requirements driving the need for a solution to be developed. Lead teams of both business and technical colleagues throughout the course of the project, and communicate with each of them effectively. Be an AWS evangelist by educating a variety of customers on the value of AWS. Help customers transition to the cloud in a high-value migration approach that leverages best of breed designs and practices delivered in an agile model. Establish credibility and build impactful relationships with our customers to enable them to be cloud advocates. Lead and participate in deep architectural discussions to build confidence and ensure customer success when building new, or migrating existing, applications, software, and services on the AWS platform. Qualifications: Bachelor’s degree in information technology or a related field required. Additional experience may substitute for the degree requirement at a rate of 4 years of experience for 1 year of education. Preferred: AWS SA Cert – Professional 12+ years of related experience. Experienced with Java or C#. Knowledge with at least one other programming language such as Node.js, Scala, Python, or GO. Knowledge within distributed systems or a microservice based architecture. Expert leadership skills to effectively communicate and manage a technical team. Knowledge and professional use of AWS Cloud with an emphasis on serverless technologies. Ability to build containerized applications and systems. Knowledge and professional experience with CI/CD pipelines for serverless and container applications. Discover your inner Racker: Racker Life The following information is required by pay transparency legislation in the following states: CA, CO, HI, NY, and WA. This information applies only to individuals working in these states. The anticipated starting pay range for Colorado is: $143,700 - $210,760. The anticipated starting pay range for the states of Hawaii and New York (not including NYC) is: $153,000 - $224,400. The anticipated starting pay range for California, New York City and Washington is: $167,400 - $245,520. Unless already included in the posted pay range and based on eligibility, the role may include variable compensation in the form of bonus, commissions, or other discretionary payments. These discretionary payments are based on company and/or individual performance and may change at any time. Actual compensation is influenced by a wide array of factors including but not limited to skill set, level of experience, licenses and certifications, and specific work location. Information on benefits offered is here.#LI-MF1 #LI-Remote About Rackspace Technology We are the multicloud solutions experts. We combine our expertise with the world’s leading technologies — across applications, data and security — to deliver end-to-end solutions. We have a proven record of advising customers based on their business challenges, designing solutions that scale, building and managing those solutions, and optimizing returns into the future. Named a best place to work, year after year according to Fortune, Forbes and Glassdoor, we attract and develop world-class talent. Join us on our mission to embrace technology, empower customers and deliver the future. More on Rackspace Technology Though we’re all different, Rackers thrive through our connection to a central goal: to be a valued member of a winning team on an inspiring mission. We bring our whole selves to work every day. And we embrace the notion that unique perspectives fuel innovation and enable us to best serve our customers and communities around the globe. We welcome you to apply today and want you to know that we are committed to offering equal employment opportunity without regard to age, color, disability, gender reassignment or identity or expression, genetic information, marital or civil partner status, pregnancy or maternity status, military or veteran status, nationality, ethnic or national origin, race, religion or belief, sexual orientation, or any legally protected characteristic. If you have a disability or special need that requires accommodation, please let us know.",Competitive,14-01-2024,Indeed,Software Architect
Almac Group,Software Architect,Remote,"Almac Group is currently seeking a Software Architect for our Clinical Technologies division. The Software Architect will provide technical solution guidance, vision, support, and execution to business problems in order to meet corporate objectives. They will be apart of a fast paced and innovative Architecture team, driving both technical and organizational transformations, aimed at revolutionizing how the company sells, delivers, and supports its market leading IRT technology platform. Responsibilities include but are not limited to: Performs analysis on business problems and exposes business significant trade-offs in order to properly align technical solutions. Partners with Product Management during analysis and design to shape and align solutions with architectural strategy and company vision. Provides guidance, design, and oversight to software delivery teams. Provides analysis and recommendations to address cross-functional technical and organizational challenges Works with team members, on-site consultants, partners, companies, third parties, and clients to define, develop and deploy technology solutions Represents Almac externally by demonstrating our technical direction and competence Evaluates future technologies and determines strengths and weaknesses of a technology and architecture; recommends solutions to ensure consistency and alignment with company vision. Has an advanced understanding of the IXRS 3 platform and other required components; their features and limitations. Assists in increasing the productivity and effectiveness of the organization by defining standards and best practices in terms of software development and delivery. Provides mentorship and consultancy on implementation of architectural concepts and approaches that are in alignment with the architectural strategy. Qualifications: The incumbent must possess technical aptitude and the ability to analyze complex problems, explore potential solutions, and evaluate business-significant trade-offs. Superior communication skills including the ability to present ideas, analysis, and feedback to all levels of the organization, in group settings as well as one on one. Exceptional attention to detail in order to maintain high quality in our systems. Ability to motivate and engage staff to enable a cohesive and well-functioning team. Ability to work with other team disciplines to collaborate on what is best for the business overall and not just on what is best for the individual team or stakeholder. Required Experience / Education: Bachelor’s Degree in related technical field 2+ years as a technical lead 5+ years in the software development field 2+ years working on the Microsoft stack (.NET, .NET Core, C#, MVC, etc.) 2+ AWS Experience Experience with distributed systems architecture, SOA, microservices, messaging, and/or Domain Driven Design. Excellent analysis skills for discovering and evaluating trade-offs and business requirements Strong understanding of software architecture principles and design patterns Demonstrated ability and interest in continued learning Ability to learn quickly Team or technical leadership experience Preferred Experience / Education: 3+ years architecting solutions Experience with NServiceBus Experience mentoring developers Bachelor’s Degree in Computer Science or Information Science related field What can Almac Group offer you? Medical, Vision & Dental benefits from the 1st of the month following start date 20 days PTO per year, accrued monthly following start date 12 holidays per year Company paid Long and Short-term disability along with Life Insurance 401k company contribution Hybrid work available for applicable roles Professional development programs/ continuous learning opportunities Want to see our latest job opportunities? Follow us on LinkedIn Almac is an exceptional, award winning, drug development solutions provider at the forefront of the pharmaceutical industry. We are a privately owned organization that has organically grown over 50 years now employing 7,000 highly skilled personnel worldwide. Our US Headquarters is located at Souderton, PA with additional operations scattered around the US and Europe. ‘Partnering to Advance Human Health’ is more than just a tagline – it is our way of life. Embracing diversity is at the heart of enhancing Almac Group’s unique culture and reflects our fundamental belief that all people deserve equality, inclusivity and the opportunity for advancement. We are committed to cultivating a welcoming, supportive, and inclusive environment for all. Together, we will build on the strength in our diversity and deliver exceptional solutions to advance human health globally. RECRUITMENT AGENCIES PLEASE NOTE: Almac will only accept applications from agencies/business partners that have been invited to work on this role through our portal. Candidate Resumes/CV’s not submitted through our portal or directly to Hiring Managers will be considered unsolicited and no fee will be payable. Thank you for your cooperation. Almac Group, Inc. is an Equal Opportunity Employer - Minorities/Women/Protected Veterans/Disabled - Proudly embracing diversity in all of its expressions. EEO is the Law EEO is the Law GINA Supplement Almac provides reasonable accommodations to people with disabilities who need assistance completing the application process. Please email us at ADARequest@almacgroup.com to request assistance.",Competitive,14-01-2024,Indeed,Software Architect
INTEL,Cloud Software Architect,"Santa Clara, CA","Job Description Join our Software and Advanced Technology Group as a Cloud Software Architect! This role is responsible for the strategic vision of the software architecture for the Intel Trust Platform (ITP) cloud service. Responsibilities include defining the technical vision, architecture, technical requirements, and operational considerations for a cloud-native software-as-a-service. This role is also responsible for providing technical oversight and guidance to the engineering teams. As part of this role, you will have the influence, scope and responsibility to ensure that the software architecture for the ITP service is well-designed to meet current and ongoing customer requirements around functionality, scalability, performance, reliability, availability, security, cost efficiency and industry best practices. Day to day activities can vary but will be a combination of the following: Design and planning. Technical review. Collaboration, mentoring and guidance to engineers. Research and Proof-of-Concept development. Architecture evolution and forward thinking. Architecture and Design communications (presentations and meetings) Work deliverables include: Architecture, high level, low level Design Documents Proof of concept implementations Scalability and performance plans Security and compliance plans Data management strategy Deployment strategy Cost estimations and optimization plans Technical presentations Qualifications You must possess the below minimum qualifications to be initially considered for this position. Preferred qualifications are in addition to the minimum requirements and are considered a plus factor in identifying top candidates. The candidate must have a Bachelor's degree in Electrical/Computer Engineering or Computer Science and 6+ years of experience -OR- a Master's degree in Electrical/Computer Engineering or Computer Science and 4+ years of experience -OR- a PhD in Electrical/Computer Engineering or Computer Science and 2+ year of experience in: 3 or more years of experience designing applications using multiple public Cloud platforms and services (Azure, AWS, GCP) 3 or more years of experience demonstrating expert level knowledge of Cloud architecture patterns (microservices, event-driven, serverless, API first and API gateways, service mesh, CQRS, stateless design). 3 or more years of experience designing distributed systems (CAP, distributed storage system, consensus) 3 or more years of experience scaling and performance optimizing Cloud software Experience with the following skillset is preferred: Fundamental understanding of networking and security in Cloud environments (API gateways, firewalls, routing, and security policies) Knowledge of scalability and performance optimizations for Cloud software Strong knowledge of containerization and orchestration technologies (Docker, Kubernetes) Familiarity with serverless computing technology. Fundamental knowledge of database systems (relational and object stores), including scaling, sharing and replication. Deep understanding of monitoring and logging in Cloud environments including retention and cost optimization strategies Familiarity with DevOps and CI/CD concepts and practices. Ability to create high-quality documentation about architectural decisions, design rationale and implementation guidelines. Secure Development Lifecycle Agile Development Methodology Infrastructure as code Continuous integration and delivery/deployment DevSecOps Experience Inside this Business Group Enable amazing computing experiences with Intel Software continues to shape the way people think about computing – across CPU, GPU, and FPGA architectures. Get your hands on new technology and collaborate with some of the smartest people in the business. Our developers and software engineers work in all software layers, across multiple operating systems and platforms to enable cutting-edge solutions. Ready to solve some of the most complex software challenges? Explore an impactful and innovative career in Software. Posting Statement All qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance. Benefits We offer a total compensation package that ranks among the best in the industry. It consists of competitive pay, stock, bonuses, as well as, benefit programs which include health, retirement, and vacation. Find more information about all of our Amazing Benefits here. Annual Salary Range for jobs which could be performed in US, California: $203,833.00-$325,999.00 Salary range dependent on a number of factors including location and experience Working Model This role will be eligible for our hybrid work model which allows employees to split their time between working on-site at their assigned Intel site and off-site. In certain circumstances the work model may change to accommodate business needs. JobType Hybrid",Competitive,14-01-2024,Indeed,Software Architect
